record_type,draw,population,comparison,log_loss_improvement,brier_improvement,top_two_change,top_one_change,realised_class_probability_change,prediction_entropy_reduction,effective_candidate_count_change,metric,real_increment,null_draws_exceeded,exceeds_at_least_0_of_5,exceeds_at_least_3_of_5,exceeds_at_least_4_of_5,exceeds_all_5
draw,3,pooled,T2_minus_T1,-9.882918731929369e-05,6.829255699780656e-06,7.542742205834951e-05,0.0006369426751591245,2.710502486236166e-06,-4.311755462182987e-05,8.884443071055514e-05,,,,,,,
draw,3,opening,T1_minus_T0,-0.0011738133868541833,-0.0007019207719689557,-0.00015923566878983664,-0.001849368644541105,-0.00044116079157352495,0.00010516645091485088,-0.00021206835317411077,,,,,,,
draw,3,opening,T2_minus_T1,0.000114257317083033,0.00010759473708510381,0.00015923566879005868,0.0009554140127387978,8.770189509199611e-05,7.407090946587314e-05,-0.00014935074800526138,,,,,,,
draw,3,later,T1_minus_T0,-0.0002515645355254392,1.9056992105803694e-05,-0.0010718143554215853,0.0007004287914741392,0.0004173709613977117,0.001248659204184377,-0.0026307085258823193,,,,,,,
draw,3,later,T2_minus_T1,-0.00031191569172150935,-9.393622568548698e-05,-8.38082467313761e-06,0.00031847133757956225,-8.22808901196348e-05,-0.0001603060187096439,0.0003375532370792911,,,,,,,
draw,3,late_no_open,T1_minus_T0,-0.00024489836823538,5.2049293351397186e-05,-0.0012926354290698772,0.0007354689521901214,0.00039703558288295415,0.0011446080959240934,-0.002411662792715319,,,,,,,
draw,3,late_no_open,T2_minus_T1,-0.00033996751107312484,-0.00010831476805422957,-8.800089910554476e-06,0.0001672017082987587,-9.076755260017944e-05,-0.00016135759674451577,0.00033980960721802234,,,,,,,
draw,4,pooled,T1_minus_T0,-0.0010408938867769724,-0.0006030878192513911,-0.0011896115022163034,-7.077140835098916e-05,-0.00012017828385524343,0.0008924105632878154,-0.0018392113379022135,,,,,,,
draw,4,pooled,T2_minus_T1,-0.00020159824835941365,-5.6644630551272446e-05,-0.00024723432785778154,0.0002556151525310302,2.4540943079132127e-05,0.00020414755413977748,-0.00042050676407301424,,,,,,,
draw,4,opening,T1_minus_T0,-0.0007745686041329414,-0.00026230689438905275,0.0003184713375796733,0.0009554140127390198,-0.0003686453825659797,-0.0004161135835154539,0.0008393125875163499,,,,,,,
draw,4,opening,T2_minus_T1,-8.059033315177544e-05,5.6081861743828565e-05,-0.00031847133757945123,0.0006369426751592355,0.00026198232734964133,0.0007252058533729899,-0.001462534205379118,,,,,,,
draw,4,later,T1_minus_T0,-0.0013072191694213364,-0.0009438687441138405,-0.00269769434201228,-0.0010969568294408871,0.0001282888148553818,0.0022009347100909737,-0.004634781283532341,,,,,,,
draw,4,later,T2_minus_T1,-0.00032260616356694083,-0.00016937112284620692,-0.00017599731813611186,-0.00012571237009717517,-0.00021290044119137708,-0.00031691074509332395,0.0006667297790077242,,,,,,,
draw,4,late_no_open,T1_minus_T0,-0.001424466460592022,-0.0010373203961742683,-0.002656649365191499,-0.001327835788711762,6.949585716542472e-05,0.002178863985570101,-0.004588443269981202,,,,,,,
draw,4,late_no_open,T2_minus_T1,-0.0002730297353726874,-0.00012928172052112386,-0.0001848018881196456,-0.00013200134865687385,-0.00018268690558187473,-0.00029250967617378,0.0006154117474896914,,,,,,,
comparison,,late_no_open,T1_minus_T0,,,,,,,,log_loss_improvement,-0.0023420161940027606,0.0,True,False,False,False
comparison,,late_no_open,T1_minus_T0,,,,,,,,brier_improvement,-0.0011745147581981308,0.0,True,False,False,False
comparison,,late_no_open,T1_minus_T0,,,,,,,,top_two_change,-0.0028238510734901467,0.0,True,False,False,False
comparison,,late_no_open,T2_minus_T1,,,,,,,,log_loss_improvement,-3.3286284531475197e-05,3.0,True,True,False,False
comparison,,late_no_open,T2_minus_T1,,,,,,,,brier_improvement,2.1666655190877293e-05,4.0,True,True,True,False
comparison,,late_no_open,T2_minus_T1,,,,,,,,top_two_change,0.0005016051248962761,5.0,True,True,True,True
comparison,,later,T1_minus_T0,,,,,,,,log_loss_improvement,-0.0026404214638026113,0.0,True,False,False,False
comparison,,later,T1_minus_T0,,,,,,,,brier_improvement,-0.0012797702641457187,0.0,True,False,False,False
comparison,,later,T1_minus_T0,,,,,,,,top_two_change,-0.0028569300108020057,0.0,True,False,False,False
comparison,,later,T2_minus_T1,,,,,,,,log_loss_improvement,4.965430568704132e-05,5.0,True,True,True,True
comparison,,later,T2_minus_T1,,,,,,,,brier_improvement,7.393042696562935e-05,5.0,True,True,True,True
comparison,,later,T2_minus_T1,,,,,,,,top_two_change,0.0006369426751592355,5.0,True,True,True,True
comparison,,opening,T1_minus_T0,,,,,,,,log_loss_improvement,0.00496059456743192,5.0,True,True,True,True
comparison,,opening,T1_minus_T0,,,,,,,,brier_improvement,0.0035202853987083005,5.0,True,True,True,True
comparison,,opening,T1_minus_T0,,,,,,,,top_two_change,-0.0006369426751591245,0.0,True,False,False,False
comparison,,opening,T2_minus_T1,,,,,,,,log_loss_improvement,8.789621737093078e-05,4.0,True,True,True,False
comparison,,opening,T2_minus_T1,,,,,,,,brier_improvement,0.00012507716151050063,5.0,True,True,True,True
comparison,,opening,T2_minus_T1,,,,,,,,top_two_change,0.0,2.0,True,False,False,False
comparison,,pooled,T1_minus_T0,,,,,,,,log_loss_improvement,0.0011600865518148762,5.0,True,True,True,True
comparison,,pooled,T1_minus_T0,,,,,,,,brier_improvement,0.001120257567281402,5.0,True,True,True,True
comparison,,pooled,T1_minus_T0,,,,,,,,top_two_change,-0.0017469363429805096,0.0,True,False,False,False
comparison,,pooled,T2_minus_T1,,,,,,,,log_loss_improvement,6.87752615287085e-05,5.0,True,True,True,True
comparison,,pooled,T2_minus_T1,,,,,,,,brier_improvement,9.950379423806499e-05,5.0,True,True,True,True
comparison,,pooled,T2_minus_T1,,,,,,,,top_two_change,0.0003184713375796733,5.0,True,True,True,True
