breakdown,value,arm,comparison,rows,sessions,stocks,outcome_rate,brier_improvement,log_loss_improvement
month,2025-04,movement,B1_vs_B0,573,20,20,0.193717277486911,1.3988969248509854e-05,8.331170012088789e-06
month,2025-05,closure,A3_vs_A2,567,20,20,0.2839506172839506,0.00037741692768406373,0.001099092233542136
month,2025-05,joint,C1_vs_C0,567,20,20,0.047619047619047616,-0.0005062982691713938,-0.004273172601572231
month,2025-05,movement,B1_vs_B0,567,20,20,0.1657848324514991,-1.4892672393390231e-05,-8.456185679925354e-05
month,2025-06,closure,A3_vs_A2,538,20,20,0.2825278810408922,0.0005487008989592845,0.001300103210094343
month,2025-06,joint,C1_vs_C0,538,20,20,0.04275092936802974,-0.0002092480553588323,-0.0029249028022037184
month,2025-06,movement,B1_vs_B0,538,20,20,0.1895910780669145,8.220888372585153e-05,0.0002551547433315095
month,2025-07,closure,A3_vs_A2,616,21,20,0.3051948051948052,0.000847627366543445,0.0018960867673166906
month,2025-07,joint,C1_vs_C0,616,21,20,0.045454545454545456,0.0004823498582584876,0.0010918983137719555
month,2025-07,movement,B1_vs_B0,616,21,20,0.1590909090909091,-2.056496910820929e-05,-4.803873228634892e-05
month,2025-08,closure,A3_vs_A2,499,16,20,0.2985971943887776,-0.00023711091675238121,5.174143155214873e-05
month,2025-08,joint,C1_vs_C0,499,16,20,0.03006012024048096,4.96119614247281e-06,-0.0021448628196290825
month,2025-08,movement,B1_vs_B0,499,16,20,0.11422845691382766,-6.048475080143462e-05,-0.00019145374844294533
movement_probability_quintile,1,closure,A3_vs_A2,418,127,16,0.3875598086124402,0.00021483503536083467,0.0006788757446444588
movement_probability_quintile,1,joint,C1_vs_C0,418,127,16,0.03110047846889952,-0.001497728217441005,-0.00951937548738035
movement_probability_quintile,1,movement,B1_vs_B0,418,127,16,0.10047846889952153,4.202264514091483e-06,2.447442475544314e-05
movement_probability_quintile,2,closure,A3_vs_A2,1104,149,20,0.3070652173913043,-0.00025592796460034484,-0.0003524209963392362
movement_probability_quintile,2,joint,C1_vs_C0,1104,149,20,0.022644927536231884,-0.0010089743377159055,-0.007460360269586015
movement_probability_quintile,2,movement,B1_vs_B0,1104,149,20,0.09329710144927536,2.3955704906537855e-05,8.69999067370495e-05
movement_probability_quintile,3,closure,A3_vs_A2,1167,155,20,0.2759211653813196,-0.00013302536597348713,-0.00033755667293203803
movement_probability_quintile,3,joint,C1_vs_C0,1167,155,20,0.04198800342759212,-0.0005798983755673394,-0.002980071129088885
movement_probability_quintile,3,movement,B1_vs_B0,1167,155,20,0.15424164524421594,-3.134120113059078e-05,-8.807614105789293e-05
movement_probability_quintile,4,closure,A3_vs_A2,955,156,20,0.27015706806282724,0.0014840018729897601,0.0034902812669147473
movement_probability_quintile,4,joint,C1_vs_C0,955,156,20,0.05549738219895288,0.0008281194659680045,0.004269806638109426
movement_probability_quintile,4,movement,B1_vs_B0,955,156,20,0.21047120418848167,-6.663289019829115e-05,-0.00016341657193807011
