stage,group_type,group_value,model,brier_score,log_loss,auc,average_precision,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,rows,sessions,stocks,predicted_positive_rate,mean_probability_realised_class,probability_distribution_overlap,top_decile_threshold,top_decile_precision,top_decile_lift,top_quintile_threshold,top_quintile_precision,top_quintile_lift
U,assessment_month,2025-06,U0,0.15841759515879358,0.48826539849023476,0.7041974352591948,0.41481404263481453,-0.4711465343120359,0.9096251712879001,0.06585776210454485,0.21625,800,20,20,0.11625,0.665087903701546,0.7264153552562458,0.5432270117461249,0.5000000000000001,2.3121387283237,0.42695349330743865,0.4436090225563911,2.051371202572907
U,assessment_month,2025-06,U1,0.15621828422329287,0.48081598182402896,0.7216030090992074,0.41557070605323976,-0.4293040680094411,0.9488304723672009,0.06315705588521348,0.21625,800,20,20,0.11625,0.6694324330635941,0.6763835495201505,0.5476725194483318,0.5000000000000001,2.3121387283237,0.4318235594956362,0.4218749999999999,1.9508670520231208
U,assessment_month,2025-07,U0,0.171050439553357,0.5147446559263349,0.7437138565879526,0.5065858424695983,-0.10773779427081512,1.1389682502888596,0.04395620483471674,0.2741228070175439,839,21,20,0.14442355889724312,0.6428136070890734,0.6555753129046187,0.5432270117461249,0.6159151193633952,2.2468583554376655,0.42695349330743865,0.5309656589374817,1.936962723803933
U,assessment_month,2025-07,U1,0.168577264818649,0.5091615779420943,0.7529145816634811,0.5172083698365197,-0.07544388482566362,1.1704340231994417,0.04917867968516387,0.2741228070175439,839,21,20,0.14323308270676693,0.6467229088290549,0.6185232628398798,0.5476725194483318,0.6465288818229994,2.3585373608903017,0.4318235594956362,0.551793400286944,2.0129423242467714
U,assessment_month,2025-08,U0,0.19854777735808862,0.5830430573805556,0.6510634803317739,0.4265331694302518,-0.3043758382109575,0.6769483219620633,0.04214977580450061,0.29531250000000003,640,16,20,0.13750000000000004,0.6151580139374916,0.741468107321768,0.5432270117461249,0.513888888888889,1.7401528512639624,0.42695349330743865,0.46212121212121227,1.5648548981882318
U,assessment_month,2025-08,U1,0.1964763538292498,0.5777479237281465,0.661328734499467,0.4395328626483585,-0.28993111057117793,0.7038428130742322,0.036783444440977205,0.29531250000000003,640,16,20,0.14687500000000006,0.6183534535228327,0.7398491300930337,0.5476725194483318,0.5466666666666667,1.8511463844797178,0.4318235594956362,0.4718309859154931,1.5977345554810347
R,assessment_month,2025-01,R0,0.058451430602744214,0.21916969799180447,0.8097442680776027,0.347926342212686,0.8917248926699698,1.6077877577557083,0.029397130136000798,0.07216494845360825,582,20,20,0.0017182130584192444,0.8630747374000961,0.5103174603174608,,,,,,
R,assessment_month,2025-01,R1,0.05820469629131833,0.21810432328233037,0.8123897707231054,0.3405223435739322,0.7988320845622339,1.5840677516538129,0.031766372204673474,0.07216494845360825,582,20,20,0.0017182130584192444,0.8624937484705308,0.5269841269841276,,,,,,
R,assessment_month,2025-02,R0,0.062425744752916276,0.22839805220302964,0.8237452977337385,0.28160006914284563,0.3560071276067823,1.3453976187861258,0.04444634256562479,0.07486631016042782,561,19,20,0.008912655971479501,0.8571551091602314,0.422928709055878,,,,,,
R,assessment_month,2025-02,R1,0.06155728323294261,0.22509597421380012,0.8335168364070111,0.2956127951896124,0.45812130829033565,1.4119638900349887,0.05149473543041455,0.07486631016042782,561,19,20,0.008912655971479501,0.8574871402509838,0.39843104872006746,,,,,,
R,assessment_month,2025-03,R0,0.05777905008422118,0.21712827314678187,0.8390665110851822,0.3301842447446823,0.9233251390111866,1.7586366628000665,0.056454054762714895,0.07197446879986563,625,21,20,0.0031914000167968426,0.8557413730119006,0.4858569037524368,,,,,,
R,assessment_month,2025-03,R1,0.058109918388187,0.21827475739382377,0.8358045797979918,0.32531960271126026,0.7359461761656356,1.67759167173379,0.0492879276302521,0.07197446879986563,625,21,20,0.0031914000167968426,0.8544921662263907,0.5192394810899863,,,,,,
R,assessment_month,2025-04,R0,0.03845165459573019,0.16809784261647304,0.747663129467689,0.2151765403132308,-0.3805522645669207,1.2396002316106807,0.04860602394631811,0.0408619949727178,563,20,20,0.0034945742137208026,0.8869282795219979,0.6180911219047702,,,,,,
R,assessment_month,2025-04,R1,0.03876982275542872,0.16895804524491834,0.7533829588625396,0.21687127000363363,-0.41118268656171714,1.2434210796741096,0.05148846835705607,0.0408619949727178,563,20,20,0.0034945742137208026,0.88518624146956,0.5806038505055979,,,,,,
R,assessment_month,2025-05,R0,0.058077730506542385,0.21925692431377175,0.8089369005489644,0.29184480377870353,0.4731243227829616,1.4691990792979392,0.03965487619674898,0.06963071835384899,602,20,20,0.004960499724416683,0.859032097421487,0.6338680196909651,,,,,,
R,assessment_month,2025-05,R1,0.05815866755380153,0.2186271363447987,0.8160547628872871,0.30090625700848794,0.38906512145776706,1.41846667350839,0.03754284408066555,0.06963071835384899,602,20,20,0.004960499724416683,0.8600951686676144,0.5739338577031947,,,,,,
R,assessment_month,2025-06,R0,0.05489765385309641,0.2153504871996109,0.7523030644858071,0.16798706198051505,-0.5664793279651377,1.0891281761164058,0.05077827992108969,0.057416267942583754,627,20,20,0.00637958532695375,0.8560837139251195,0.6229554427523983,,,,,,
R,assessment_month,2025-06,R1,0.055233883490943554,0.21591545057928033,0.7531960894905071,0.16424724450038644,-0.6404955848942059,1.0547546755294648,0.05085425942227364,0.057416267942583754,627,20,20,0.007974481658692186,0.855686490929069,0.6094190637337858,,,,,,
R,assessment_month,2025-07,R0,0.058086411923251674,0.21853073687103225,0.8641478991596652,0.4117675511642539,0.588978077340089,1.7083471901736318,0.04785133696332698,0.07552870090634442,609,21,20,0.008200258955545965,0.8487384117085848,0.45324369747899346,,,,,,
R,assessment_month,2025-07,R1,0.05786936578094483,0.21738747665452343,0.8660883019874631,0.4126937716819502,0.5547329238355657,1.6929136047466966,0.04482281814953994,0.07552870090634442,609,21,20,0.008200258955545965,0.8493660575078831,0.44269281045751824,,,,,,
R,assessment_month,2025-08,R0,0.06531388975551533,0.2411670687050625,0.7921686746987966,0.3292353168600399,0.35544457145842917,1.3901413691549007,0.032121925781384154,0.07982261640798226,451,16,20,0.004434589800443458,0.8464826781652094,0.5801204819277128,,,,,,
R,assessment_month,2025-08,R1,0.06555386770478615,0.2420470619423453,0.784270414993308,0.3335282038418132,0.17200058436737262,1.292621131295534,0.03516472085515251,0.07982261640798226,451,16,20,0.008869179600886916,0.8468356940951112,0.5995314591700152,,,,,,
