record_type,trajectory_group,permutation_draw,sum_absolute_standardised_coefficients,signed_standardised_coefficient_sum,log_loss_deterioration,brier_deterioration,auc_deterioration
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,16.0,,,0.0001439380099196308,-0.00012485025577183007,0.0017404691397450156
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,17.0,,,-0.00025868036293286156,-0.0003180762491560296,0.001209291144347091
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,18.0,,,0.0003196484262586452,-1.6842889524859572e-05,0.0024124275829808806
permutation_draw,SIGNED_PRESSURE_TRAJECTORY,19.0,,,0.0007954107163680169,0.00016906820720297144,0.003546402582713437
permutation_summary,SIGNED_PRESSURE_TRAJECTORY,,0.23195054580645866,-0.23195054580645866,0.000689310227327844,0.00014072475746090967,0.002970482122506557
coefficient_summary,SIGNED_EXHAUSTION_TRAJECTORY,,0.06396672504078725,0.024858558499317104,,,
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,0.0,,,7.636141041600375e-06,-1.0341443164585407e-06,0.00027090325634482326
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,1.0,,,-6.487747931660515e-05,-4.2314627796663506e-05,4.1989643757456285e-05
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,2.0,,,-2.1601534245463405e-05,-1.1059775763017088e-05,-2.9756230359501146e-05
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,3.0,,,1.5307082742888056e-05,-1.7052418251312096e-05,0.0001172036190748571
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,4.0,,,-0.00020071543746180698,-9.882445109382632e-05,-9.60619291120457e-05
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,5.0,,,0.00020079082428936523,8.17189194499135e-05,0.0003977643695785016
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,6.0,,,0.00029710296555096605,9.102793885651383e-05,0.0004565009302073264
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,7.0,,,0.0002613906778135,0.00013552431305327572,8.90680925188514e-05
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,8.0,,,-4.6856463261746306e-05,-1.747326466042254e-05,-8.75452753592576e-05
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,9.0,,,8.72004755755329e-05,1.8964431698298423e-05,3.872858079179142e-05
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,10.0,,,-9.800876869969777e-05,-4.0507228494801595e-05,-0.00023134518176293195
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,11.0,,,-0.00011197565362752737,-2.9488726013160438e-05,-0.00017115462687744554
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,12.0,,,-1.467015977829611e-05,-3.960171294364878e-06,-6.717787108367901e-06
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,13.0,,,8.59352155927473e-05,2.5649718554343615e-05,0.00020142522850197242
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,14.0,,,0.0001987252848189014,7.366111210679871e-05,0.0006926530421847987
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,15.0,,,-0.0001124464531256919,-3.689356867864202e-05,-0.00023701502391293428
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,16.0,,,-0.00018700586961195587,-8.339428384926406e-05,-0.0002767880428204972
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,17.0,,,-2.1916036105018577e-05,-2.3934007212650377e-05,0.00010042230644735639
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,18.0,,,0.0002009388535445522,7.375510457380274e-05,0.0005116335734867139
permutation_draw,SIGNED_EXHAUSTION_TRAJECTORY,19.0,,,4.573473752500501e-05,1.991486559829725e-05,8.724704128482141e-05
permutation_summary,SIGNED_EXHAUSTION_TRAJECTORY,,0.06396672504078725,0.024858558499317104,2.6034420163062456e-05,5.713986823333017e-06,9.345777934331445e-05
