group_type,group_value,model,multiclass_log_loss,multiclass_brier,top_one_accuracy,top_two_accuracy,mean_reciprocal_rank,mean_probability_realised_family,expected_calibration_error,prediction_entropy,effective_candidate_count,rows,sessions,stocks,family_support
realised_family,unregistered_primitive_like__5-6-5,F0,0.3649347206464138,0.16318543221537743,0.9499101702858929,0.9966606780190594,0.9743985314794562,0.7184654810710716,0.22327764448456217,0.7685578353717815,2.156653760192026,597,125,20,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 597}"
realised_family,unregistered_primitive_like__5-6-5,F1,0.3660939895276313,0.16554426409770112,0.9332135603811903,0.993321356038119,0.965493672863615,0.720425116697736,0.20587255648125793,0.7533581667358146,2.1241212060265817,597,125,20,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 597}"
realised_family,unregistered_primitive_like__2-3-2,F0,1.1417617730049567,0.6479390493250299,0.4917230896780433,0.7526875777255768,0.6975542351803232,0.41400083495788986,0.11090922709123158,0.8830906951824814,2.418362589332716,211,94,20,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 211, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,unregistered_primitive_like__2-3-2,F1,1.1196133084084692,0.6383044607085279,0.5022246787342821,0.7621390078761917,0.7055616968357054,0.4204659051393943,0.11350725725213323,0.8786150698099203,2.407563089652495,211,94,20,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 211, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,unregistered_primitive_like__2-5-2,F0,2.3269394634673417,1.1642922779733222,0.0,0.0,0.3144841269841271,0.11189936018351389,0.5099463712313915,1.1289442149158548,3.0923898768957203,75,52,20,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 75, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,unregistered_primitive_like__2-5-2,F1,2.2775811189970407,1.1428345119210526,0.0,0.02661064425770309,0.31891923436041086,0.12016663364000947,0.5022392542758982,1.138438441155573,3.1218895426666564,75,52,20,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 75, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,unregistered_primitive_like__4-7-4,F0,0.4860805206018667,0.23517136719800744,0.87856071964018,0.9730134932533733,0.9336581709145426,0.657225017707214,0.20315338798723992,0.8211932338707822,2.273210691862113,74,53,17,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 74, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,unregistered_primitive_like__4-7-4,F1,0.5190597104360091,0.2625330553680969,0.8515742128935533,0.9730134932533733,0.9190404797601199,0.6418058059180315,0.18915053794950315,0.82055881336434,2.271768977758584,74,53,17,"{""OTHER_UNREGISTERED_FAMILY"": 0, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 74, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,OTHER_UNREGISTERED_FAMILY,F0,0.7835734938187341,0.4888694992371964,0.6014822774878039,0.9970832054037457,0.800255006311193,0.5238975134669545,0.11189569964281071,0.8403919866394899,2.3172751396703766,684,147,20,"{""OTHER_UNREGISTERED_FAMILY"": 684, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 0}"
realised_family,OTHER_UNREGISTERED_FAMILY,F1,0.7815688636796964,0.48909946099095647,0.6147698973151843,0.9940896530549583,0.8063998908334187,0.525872501210258,0.1209445501587433,0.8313436288179117,2.2964021804479158,684,147,20,"{""OTHER_UNREGISTERED_FAMILY"": 684, ""unregistered_primitive_like__2-3-2"": 0, ""unregistered_primitive_like__2-5-2"": 0, ""unregistered_primitive_like__4-7-4"": 0, ""unregistered_primitive_like__5-6-5"": 0}"
transition_probability_split,LOW,F0,0.7245991578374801,0.39197478590264867,0.7250951981412159,0.9199125467923066,0.8474752323480057,0.5764942824289254,0.06495731219768539,0.8577235374102368,2.357787165431615,723,149,20,"{""OTHER_UNREGISTERED_FAMILY"": 263, ""unregistered_primitive_like__2-3-2"": 27, ""unregistered_primitive_like__2-5-2"": 33, ""unregistered_primitive_like__4-7-4"": 70, ""unregistered_primitive_like__5-6-5"": 330}"
transition_probability_split,LOW,F1,0.7249916696277241,0.39356458766910996,0.7195769330063251,0.9199125467923066,0.8443712082096295,0.5777651233588774,0.05693258941276496,0.8470572138270568,2.332771892250133,723,149,20,"{""OTHER_UNREGISTERED_FAMILY"": 263, ""unregistered_primitive_like__2-3-2"": 27, ""unregistered_primitive_like__2-5-2"": 33, ""unregistered_primitive_like__4-7-4"": 70, ""unregistered_primitive_like__5-6-5"": 330}"
transition_probability_split,HIGH,F0,0.7420360868785341,0.4245623510790112,0.6788014686265291,0.9180567377688564,0.823842630823371,0.5609018593002765,0.037725289847155064,0.811838719677418,2.252045061619568,918,154,20,"{""OTHER_UNREGISTERED_FAMILY"": 421, ""unregistered_primitive_like__2-3-2"": 184, ""unregistered_primitive_like__2-5-2"": 42, ""unregistered_primitive_like__4-7-4"": 4, ""unregistered_primitive_like__5-6-5"": 267}"
transition_probability_split,HIGH,F1,0.7345225745328214,0.4232527730477025,0.682422217422789,0.9179995680510207,0.8260960705347274,0.5635667807379371,0.04318414046145147,0.8033046408525356,2.232907707539081,918,154,20,"{""OTHER_UNREGISTERED_FAMILY"": 421, ""unregistered_primitive_like__2-3-2"": 184, ""unregistered_primitive_like__2-5-2"": 42, ""unregistered_primitive_like__4-7-4"": 4, ""unregistered_primitive_like__5-6-5"": 267}"
