symbol,present_in_safe_raw_manifest,raw_file_hash,data_qa_only,used_in_observable_model_training,used_in_feature_selection,used_in_threshold_selection,used_in_directional_outcome_analysis,used_in_post_hoc_tail_inspection,used_in_any_price_or_payoff_report,used_only_in_structural_nonprice_research,exposure_evidence_paths,exposure_status,eligible_for_cross_stock_holdout,exclusion_reason,vendor_qa_status,vendor_qa_issue_codes,bar_audit_passed,bar_audit_issue_codes,safe_raw_file
RIOT,true,4fcc291d9829bfd618430cd17e90f384e0a2a4f3a9be85500571a2452367248f,false,true,false,true,true,true,true,false,data/reports/audits/RIOT_5m_audit.json|data/reports/research/20260630120417_vwap_reclaim_v2_intraday_session_flat_RIOT_5m.json|data/reports/vendor_qa/RIOT_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=RIOT/interval=5m/2024-01-01_2025-08-23.json
RIVN,true,3f2285a32946f6e7d8f1f81f8f3fa9ce0e12cba9ac8e86a145f32e5ba9ae8c41,false,true,false,true,true,true,true,false,data/reports/audits/RIVN_5m_audit.json|data/reports/research/20260630120925_vwap_reclaim_v2_intraday_session_flat_RIVN_5m.json|data/reports/vendor_qa/RIVN_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=RIVN/interval=5m/2024-01-01_2025-08-23.json
SMCI,true,f3466be874aba0d11cde204ddd195b2cf73dfb363ea23ec70df98d1b64a50559,false,true,false,true,true,true,true,false,data/reports/audits/SMCI_5m_audit.json|data/reports/research/20260630114047_vwap_reclaim_v2_intraday_session_flat_SMCI_5m.json|data/reports/vendor_qa/SMCI_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=SMCI/interval=5m/2024-01-01_2025-08-23.json
SNDK,true,fddaee0b498ee36fcd1e5b29f0ca4b2fb3087b6f139371b06c3340b86ebeb431,false,false,false,false,true,false,true,false,data/reports/audits/SNDK_5m_audit.json|data/reports/research/20260630113429_vwap_reclaim_v2_intraday_session_flat_SNDK_5m.json|data/reports/vendor_qa/SNDK_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=SNDK/interval=5m/2024-01-01_2025-08-23.json
SOFI,true,85acbcb725a7ea4dc395bf13b0791f96bc161b8d69bcc0decc41fdc482cc7cf8,false,true,false,true,true,true,true,false,data/reports/audits/SOFI_5m_audit.json|data/reports/research/20260630114844_vwap_reclaim_v2_intraday_session_flat_SOFI_5m.json|data/reports/vendor_qa/SOFI_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=SOFI/interval=5m/2024-01-01_2025-08-23.json
TSLA,true,a3f1120eaddf5de2e7afc1d7351a002012c64cb580072a8e2f673785924a62ca,false,false,false,false,true,false,true,false,data/reports/audits/TSLA_5m_audit.json|data/reports/research/20260628200839_moving_average_momentum_v1_TSLA_1d.json|data/reports/vendor_qa/TSLA_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=TSLA/interval=5m/2024-01-01_2025-08-23.json
TSM,true,35dfc4aaa1bdde392dc0ee8767900a0f666dfb149d3834c3e9a6d45d96b49168,false,false,false,false,true,false,true,false,data/reports/audits/TSM_5m_audit.json|data/reports/research/20260628200840_moving_average_momentum_v1_TSM_1d.json|data/reports/vendor_qa/TSM_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=TSM/interval=5m/2024-01-01_2025-08-23.json
UNH,true,c1874475182bff85a6aa2ec948622be05ac1c8d7e47bcf6b31e92019c5c3a2c8,false,false,false,false,true,false,true,false,data/reports/audits/UNH_5m_audit.json|data/reports/research/20260630120600_vwap_reclaim_v2_intraday_session_flat_UNH_5m.json|data/reports/vendor_qa/UNH_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,pass,,true,,data/raw/source=eodhd/endpoint=intraday/symbol=UNH/interval=5m/2024-01-01_2025-08-23.json
WDC,true,ba901dc351329eec6da97ab4e23328fedbeae8255c5550ecbb71b9a98f58a590,false,false,false,false,true,false,true,false,data/reports/audits/WDC_5m_audit.json|data/reports/research/20260630114628_vwap_reclaim_v2_intraday_session_flat_WDC_5m.json|data/reports/vendor_qa/WDC_5m_eodhd_qa.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=WDC/interval=5m/2024-01-01_2025-08-23.json
WULF,true,a14ec36f30acebb598160f2ebf9f3b5602beef88970ee3a888c30cc85dd383c3,false,true,false,true,true,true,true,false,data/reports/audits/WULF_5m_audit.json|data/reports/research/20260630115635_vwap_reclaim_v2_intraday_session_flat_WULF_5m.json|data/reports/vendor_qa/WULF_5m_eodhd_qa.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/chain_ranking_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/direction_metrics.csv|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/model_coefficients.json|research/movement-regime-path/20260720-movement-conditioned-regime-path-probability-chain-v0/artifacts/primary/movement_thresholds.json,outcome_exposed,false,prior_price_or_payoff_outcome_exposure,warning,validation_warnings,false,large_price_jump,data/raw/source=eodhd/endpoint=intraday/symbol=WULF/interval=5m/2024-01-01_2025-08-23.json
