period,cluster_type,statistic,valid_draw_count,mean,lower_95,upper_95
stress,session,resistance_accuracy_including_no_move,5000,0.47249141817811763,0.30434782608695654,0.6452087286527507
stress,session,resistance_material_direction_accuracy,5000,0.8304340695039205,0.6153846153846154,1.0
stress,session,resistance_mean_aligned_return,5000,0.008377468343690063,0.0035037614947222395,0.01337543275421817
stress,session,severe_minus_normal_accuracy_including_no_move,5000,-0.1377195063437293,-0.24585857775183617,-0.008831722339928422
stress,session,severe_minus_normal_mean_market_aligned_return,5000,-0.009651132462152578,-0.019079490812236727,-0.000991914341374184
assessment,opening_transition_event,amplification_accuracy_including_no_move,5000,0.22839277050930787,0.10605614973262033,0.36363636363636365
assessment,opening_transition_event,amplification_material_direction_accuracy,5000,0.4045623035555938,0.2,0.615425531914893
assessment,opening_transition_event,amplification_mean_aligned_return,5000,-0.0014988569673544028,-0.006318069152242435,0.003199712459615512
assessment,opening_transition_event,amplifying_minus_resisting_follow_rate,5000,-0.0760710654698572,-0.39286027568922305,0.23809523809523808
assessment,opening_transition_event,continuous_ranking_auc,5000,0.36291263421820646,0.2071382783882784,0.5335927960927959
assessment,opening_transition_event,market_follow_accuracy_including_no_move,5000,0.2158103699542993,0.1325930262339468,0.3084169839621552
assessment,opening_transition_event,market_follow_material_direction_accuracy,5000,0.4264920952123859,0.2675610625779996,0.593254695373339
assessment,opening_transition_event,market_follow_mean_aligned_return,5000,-0.0013252375214182837,-0.0049497700264812695,0.0021442756126466593
assessment,opening_transition_event,resistance_accuracy_including_no_move,5000,0.21151159042860576,0.09090909090909091,0.34146341463414637
assessment,opening_transition_event,resistance_material_direction_accuracy,5000,0.5193666309745489,0.2727272727272727,0.75
assessment,opening_transition_event,resistance_mean_aligned_return,5000,0.0010153653725806472,-0.0031078246526555988,0.005445990873518155
assessment,opening_transition_event,severe_minus_normal_accuracy_including_no_move,5000,-0.010487995195004918,-0.1338170235389562,0.11480334181947062
assessment,opening_transition_event,severe_minus_normal_mean_market_aligned_return,5000,-0.0015326269254360887,-0.006459983751426897,0.003223166351602642
stress,opening_transition_event,amplification_accuracy_including_no_move,5000,0.10327515382328961,0.0,0.25
stress,opening_transition_event,amplification_material_direction_accuracy,5000,0.1897491401082532,0.0,0.46434523809523726
stress,opening_transition_event,amplification_mean_aligned_return,5000,-0.010793545285880734,-0.022800891922287226,-5.756983312242408e-06
stress,opening_transition_event,amplifying_minus_resisting_follow_rate,5000,0.01639823989817886,-0.20654486586493986,0.25
stress,opening_transition_event,continuous_ranking_auc,4972,0.35482861083289635,0.1505221151216844,0.5603902867965364
stress,opening_transition_event,market_follow_accuracy_including_no_move,5000,0.09957612897864743,0.01922619047619048,0.21153846153846154
stress,opening_transition_event,market_follow_material_direction_accuracy,5000,0.18239679706243836,0.03225806451612903,0.4
stress,opening_transition_event,market_follow_mean_aligned_return,5000,-0.010104403562155868,-0.019103632139191067,-0.002218897372976128
stress,opening_transition_event,resistance_accuracy_including_no_move,5000,0.4694277133099988,0.3076923076923077,0.6428571428571429
stress,opening_transition_event,resistance_material_direction_accuracy,5000,0.8266490997899256,0.6111111111111112,1.0
stress,opening_transition_event,resistance_mean_aligned_return,5000,0.008290903107172386,0.003582289417837738,0.012967316045882587
stress,opening_transition_event,severe_minus_normal_accuracy_including_no_move,5000,-0.13699998501663654,-0.2481337540359746,-0.009495610823305559
stress,opening_transition_event,severe_minus_normal_mean_market_aligned_return,5000,-0.009472046144709324,-0.018920521428932344,-0.001103569871971682
