record_type,period,hypothesis_id,lookback_bars,draw,observed_prevalence,null_prevalence,enrichment,matched_events,mean_null_prevalence,null_percentile,null_10th_percentile,null_90th_percentile
draw,development,H3,12,21,0.350785340314136,0.0523560209424084,0.298429319371728,191,,,,
draw,assessment,H1,12,21,0.423076923076923,0.269230769230769,0.153846153846154,52,,,,
draw,assessment,H2,12,21,0.352941176470588,0.164705882352941,0.188235294117647,85,,,,
draw,assessment,H3,12,21,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,22,0.490740740740741,0.268518518518519,0.222222222222222,108,,,,
draw,development,H2,12,22,0.304,0.264,0.04,125,,,,
draw,development,H3,12,22,0.350785340314136,0.0523560209424084,0.298429319371728,191,,,,
draw,assessment,H1,12,22,0.423076923076923,0.307692307692308,0.115384615384615,52,,,,
draw,assessment,H2,12,22,0.352941176470588,0.129411764705882,0.223529411764706,85,,,,
draw,assessment,H3,12,22,0.39047619047619,0.0523809523809524,0.338095238095238,210,,,,
draw,development,H1,12,23,0.490740740740741,0.231481481481481,0.259259259259259,108,,,,
draw,development,H2,12,23,0.304,0.2,0.104,125,,,,
draw,development,H3,12,23,0.350785340314136,0.0418848167539267,0.308900523560209,191,,,,
draw,assessment,H1,12,23,0.423076923076923,0.230769230769231,0.192307692307692,52,,,,
draw,assessment,H2,12,23,0.352941176470588,0.176470588235294,0.176470588235294,85,,,,
draw,assessment,H3,12,23,0.39047619047619,0.0571428571428571,0.333333333333333,210,,,,
draw,development,H1,12,24,0.490740740740741,0.212962962962963,0.277777777777778,108,,,,
draw,development,H2,12,24,0.304,0.24,0.064,125,,,,
draw,development,H3,12,24,0.350785340314136,0.0471204188481675,0.303664921465969,191,,,,
draw,assessment,H1,12,24,0.423076923076923,0.211538461538462,0.211538461538462,52,,,,
draw,assessment,H2,12,24,0.352941176470588,0.2,0.152941176470588,85,,,,
draw,assessment,H3,12,24,0.39047619047619,0.0285714285714286,0.361904761904762,210,,,,
summary,assessment,H1,12,-1,0.423076923076923,,0.176153846153846,52,0.246923076923077,100,0.153846153846154,0.307692307692308
summary,assessment,H2,12,-1,0.352941176470588,,0.165647058823529,85,0.187294117647059,100,0.134117647058824,0.242352941176471
summary,assessment,H3,6,-1,0.292887029288703,,0.255397489539749,239,0.037489539748954,100,0.0225941422594142,0.0543933054393305
summary,assessment,H3,12,-1,0.39047619047619,,0.335428571428571,210,0.055047619047619,100,0.0428571428571429,0.0666666666666667
summary,assessment,H4,6,-1,0.0376789751318764,,-0.0396081386586285,1327,0.0772871137905049,0,0.067972871137905,0.0845516201959307
summary,development,H1,12,-1,0.490740740740741,,0.253703703703704,108,0.237037037037037,100,0.188888888888889,0.277777777777778
summary,development,H2,12,-1,0.304,,0.07232,125,0.23168,100,0.1872,0.28
summary,development,H3,6,-1,0.300492610837438,,0.265221674876847,203,0.0352709359605911,100,0.0197044334975369,0.0522167487684729
summary,development,H3,12,-1,0.350785340314136,,0.298219895287958,191,0.052565445026178,100,0.0356020942408377,0.0732984293193717
summary,development,H4,6,-1,0.0421393841166937,,-0.0592706645056726,2468,0.101410048622366,0,0.0953808752025932,0.107941653160454
