contrast_id,scope_type,scope_value,feature_observed,features_zeroed,target_classes,probability_effect_original_minus_counterfactual,observed_outcome_rate,rows,unique_candidates,sessions,stocks,target_probability_available
C_recent_4_6_4_to_target_c,prefix_state,MATCHING_TARGET_PREFIX_ACTIVE,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.182744060748253,1,64,20,15,9,True
C_recent_4_6_4_to_target_c,prefix_state,NO_ACTIVE_PREFIX,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.00307134171356261,0,2,1,1,1,True
C_recent_4_6_4_to_target_c,target_class,NO_REGISTERED_COMPLETION,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.164111705029213,0,61,23,18,11,True
C_recent_4_6_4_to_target_c,target_class,OTHER_REGISTERED_COMPLETION,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",,,0,0,0,0,True
C_recent_4_6_4_to_target_c,target_class,loop_p_2-5-6-2,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",,,0,0,0,0,True
C_recent_4_6_4_to_target_c,target_class,loop_p_2-6-2,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",,,0,0,0,0,True
C_recent_4_6_4_to_target_c,target_class,loop_p_4-6-4,loop_p_4_6_4_completed_previous_6_bars,"[""prior_target_c_within_6"", ""loop_p_4_6_4_completed_previous_6_bars""]","[""loop_p_4-6-4""]",0.182744060748253,1,64,20,15,9,True
D_hidden_2_3_2_to_any_registered,pooled,POOLED_ASSESSMENT,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0094873640772138,0.0489678348535766,340,96,68,17,True
D_hidden_2_3_2_to_any_registered,opening_checkpoint,6,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00902383650685962,0,97,28,26,10,True
D_hidden_2_3_2_to_any_registered,opening_checkpoint,12,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0096851570062074,0.0698630136986301,243,68,57,17,True
D_hidden_2_3_2_to_any_registered,elapsed_bar_group,ELAPSED_0_2,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00897005076069814,0.064,61,38,32,14,True
D_hidden_2_3_2_to_any_registered,elapsed_bar_group,ELAPSED_3_4,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0108557246432765,0.0330123796423659,118,64,46,14,True
D_hidden_2_3_2_to_any_registered,elapsed_bar_group,ELAPSED_5_6,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00867104844231658,0.055045871559633,161,96,68,17,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-01,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0126355450937241,0,13,4,4,4,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-02,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00959864317025672,0,40,10,8,8,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-03,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0110057898826319,0.100840336134454,19,6,6,3,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-04,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0106522663338324,0.038961038961039,25,11,8,9,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-05,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0087701639951663,0,56,12,6,7,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-06,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0103510691662026,0.0947368421052632,63,16,11,9,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-07,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00775751385661851,0.103671706263499,75,22,13,13,True
D_hidden_2_3_2_to_any_registered,assessment_month,2025-08,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00976958507878269,0,49,15,12,9,True
D_hidden_2_3_2_to_any_registered,current_transition_half,HIGH,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00998833805062346,0.0452364633310487,238,93,65,17,True
D_hidden_2_3_2_to_any_registered,current_transition_half,LOW,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00831601627720628,0.0576923076923077,102,50,38,14,True
D_hidden_2_3_2_to_any_registered,prefix_state,CONFLICTING_PREFIX_ACTIVE,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.0148072051537341,0.0578158458244111,151,67,49,16,True
D_hidden_2_3_2_to_any_registered,prefix_state,MATCHING_TARGET_PREFIX_ACTIVE,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",,,0,0,0,0,True
D_hidden_2_3_2_to_any_registered,prefix_state,NO_ACTIVE_PREFIX,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00516296758855416,0.04177545691906,189,72,54,16,True
D_hidden_2_3_2_to_any_registered,target_class,NO_REGISTERED_COMPLETION,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.00930770472707396,0,323,91,65,17,True
D_hidden_2_3_2_to_any_registered,target_class,OTHER_REGISTERED_COMPLETION,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",-0.012976630475518,1,17,5,5,4,True
D_hidden_2_3_2_to_any_registered,target_class,loop_p_2-5-6-2,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",,,0,0,0,0,True
D_hidden_2_3_2_to_any_registered,target_class,loop_p_2-6-2,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",,,0,0,0,0,True
D_hidden_2_3_2_to_any_registered,target_class,loop_p_4-6-4,hidden_2_3_2_seen_since_opening,"[""hidden_2_3_2_seen_since_opening""]","[""OTHER_REGISTERED_COMPLETION"", ""loop_p_2-5-6-2"", ""loop_p_2-6-2"", ""loop_p_4-6-4""]",,,0,0,0,0,True
