year_month,lookback_bars,precursor_type,events,observed_prevalence,mean_null_prevalence,enrichment
2025-02,12,hidden_5_6_5,89,0.202247191011236,0.151011235955056,0.0512359550561798
2025-02,12,hidden_2_3_2,89,0,0.0476404494382022,-0.0476404494382022
2025-02,12,hidden_2_5_2,89,0.0112359550561798,0.0256179775280899,-0.0143820224719101
2025-02,12,hidden_4_7_4,89,0,0.0260674157303371,-0.0260674157303371
2025-02,12,hidden_other_unregistered_family,89,0.382022471910112,0.249887640449438,0.132134831460674
2025-02,12,any_hidden_unregistered_completion,89,0.460674157303371,0.408988764044944,0.0516853932584269
2025-02,12,active_prefix_immediately_before_completion,89,1,0.866516853932584,0.133483146067416
2025-02,12,active_prefix_any,89,1,0.997303370786517,0.00269662921348313
2025-02,12,matching_prefix_any,89,1,0.728988764044944,0.271011235955056
2025-02,12,other_prefix_any,89,1,0.983370786516854,0.0166292134831459
2025-02,12,any_regime_transition,89,0.98876404494382,0.846292134831461,0.142471910112359
2025-02,12,no_identified_structural_precursor,89,0,0.00134831460674157,-0.00134831460674157
2025-03,3,same_registered_identity,85,0.117647058823529,0.0277647058823529,0.0898823529411765
2025-03,3,same_registered_broad_family_different_identity,85,0,0.0291764705882353,-0.0291764705882353
2025-03,3,different_registered_broad_family,85,0.0117647058823529,0.000470588235294118,0.0112941176470588
2025-03,3,any_prior_registered_completion,85,0.129411764705882,0.0569411764705882,0.0724705882352941
2025-03,3,hidden_5_6_5,85,0.0117647058823529,0.0663529411764706,-0.0545882352941176
2025-03,3,hidden_2_3_2,85,0.0117647058823529,0.024,-0.0122352941176471
2025-03,3,hidden_2_5_2,85,0,0.00470588235294118,-0.00470588235294118
2025-03,3,hidden_4_7_4,85,0,0.00470588235294118,-0.00470588235294118
2025-03,3,hidden_other_unregistered_family,85,0.0705882352941176,0.132235294117647,-0.0616470588235294
2025-03,3,any_hidden_unregistered_completion,85,0.0823529411764706,0.205647058823529,-0.123294117647059
2025-03,3,active_prefix_immediately_before_completion,85,1,0.868705882352941,0.131294117647059
2025-03,3,active_prefix_any,85,1,0.945411764705882,0.0545882352941177
2025-03,3,matching_prefix_any,85,1,0.471058823529412,0.528941176470588
2025-03,3,other_prefix_any,85,0.988235294117647,0.944470588235294,0.043764705882353
2025-03,3,any_regime_transition,85,0.705882352941177,0.455529411764706,0.250352941176471
2025-03,3,no_identified_structural_precursor,85,0,0.0385882352941176,-0.0385882352941176
2025-03,6,same_registered_identity,85,0.141176470588235,0.0362352941176471,0.104941176470588
2025-03,6,same_registered_broad_family_different_identity,85,0.0235294117647059,0.0522352941176471,-0.0287058823529412
2025-03,6,different_registered_broad_family,85,0.0117647058823529,0.00141176470588235,0.0103529411764706
2025-03,6,any_prior_registered_completion,85,0.176470588235294,0.0884705882352941,0.088
2025-03,6,hidden_5_6_5,85,0.0588235294117647,0.120941176470588,-0.0621176470588235
2025-03,6,hidden_2_3_2,85,0.0117647058823529,0.0404705882352941,-0.0287058823529412
2025-03,6,hidden_2_5_2,85,0.0235294117647059,0.00894117647058824,0.0145882352941176
2025-03,6,hidden_4_7_4,85,0,0.0103529411764706,-0.0103529411764706
2025-03,6,hidden_other_unregistered_family,85,0.176470588235294,0.187294117647059,-0.0108235294117647
2025-03,6,any_hidden_unregistered_completion,85,0.235294117647059,0.321411764705882,-0.0861176470588235
2025-03,6,active_prefix_immediately_before_completion,85,1,0.868705882352941,0.131294117647059
2025-03,6,active_prefix_any,85,1,0.984,0.0159999999999999
2025-03,6,matching_prefix_any,85,1,0.545882352941176,0.454117647058824
2025-03,6,other_prefix_any,85,0.988235294117647,0.983058823529412,0.00517647058823523
2025-03,6,any_regime_transition,85,0.952941176470588,0.678117647058823,0.274823529411765
2025-03,6,no_identified_structural_precursor,85,0,0.0108235294117647,-0.0108235294117647
2025-03,12,same_registered_identity,85,0.152941176470588,0.0385882352941176,0.114352941176471
2025-03,12,same_registered_broad_family_different_identity,85,0.0352941176470588,0.0682352941176471,-0.0329411764705882
2025-03,12,different_registered_broad_family,85,0.0117647058823529,0.00188235294117647,0.00988235294117647
2025-03,12,any_prior_registered_completion,85,0.2,0.106352941176471,0.0936470588235294
2025-03,12,hidden_5_6_5,85,0.152941176470588,0.197176470588235,-0.044235294117647
2025-03,12,hidden_2_3_2,85,0.0235294117647059,0.0517647058823529,-0.0282352941176471
2025-03,12,hidden_2_5_2,85,0.0352941176470588,0.0169411764705882,0.0183529411764706
2025-03,12,hidden_4_7_4,85,0,0.0127058823529412,-0.0127058823529412
2025-03,12,hidden_other_unregistered_family,85,0.2,0.220235294117647,-0.0202352941176471
2025-03,12,any_hidden_unregistered_completion,85,0.352941176470588,0.415058823529412,-0.0621176470588235
2025-03,12,active_prefix_immediately_before_completion,85,1,0.868705882352941,0.131294117647059
2025-03,12,active_prefix_any,85,1,0.999058823529412,0.000941176470588223
2025-03,12,matching_prefix_any,85,1,0.637647058823529,0.362352941176471
2025-03,12,other_prefix_any,85,1,0.998588235294118,0.00141176470588233
2025-03,12,any_regime_transition,85,0.988235294117647,0.862588235294118,0.125647058823529
2025-03,12,no_identified_structural_precursor,85,0,0.000941176470588235,-0.000941176470588235
2025-04,3,same_registered_identity,63,0.0952380952380952,0.0279365079365079,0.0673015873015873
2025-04,3,same_registered_broad_family_different_identity,63,0,0.0336507936507936,-0.0336507936507936
2025-04,3,different_registered_broad_family,63,0,0,0
2025-04,3,any_prior_registered_completion,63,0.0952380952380952,0.0615873015873016,0.0336507936507936
2025-04,3,hidden_5_6_5,63,0,0.0463492063492064,-0.0463492063492064
2025-04,3,hidden_2_3_2,63,0.0476190476190476,0.026031746031746,0.0215873015873016
2025-04,3,hidden_2_5_2,63,0,0.00888888888888889,-0.00888888888888889
