record_type,draw,lookback_bars,precursor_type,observed_prevalence,null_prevalence,mean_null_prevalence,observed_minus_null_enrichment,null_percentile,null_90th_percentile
draw,4,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0344311377245509,,-0.0209580838323353,,
draw,5,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0254491017964072,,-0.0119760479041916,,
draw,6,3,same_registered_broad_family_different_identity,0.0134730538922156,0.029940119760479,,-0.0164670658682635,,
draw,7,3,same_registered_broad_family_different_identity,0.0134730538922156,0.031437125748503,,-0.0179640718562874,,
draw,8,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0449101796407186,,-0.031437125748503,,
draw,9,3,same_registered_broad_family_different_identity,0.0134730538922156,0.029940119760479,,-0.0164670658682635,,
draw,10,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0374251497005988,,-0.0239520958083832,,
draw,11,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0269461077844311,,-0.0134730538922156,,
draw,12,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0329341317365269,,-0.0194610778443114,,
draw,13,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0254491017964072,,-0.0119760479041916,,
draw,14,3,same_registered_broad_family_different_identity,0.0134730538922156,0.029940119760479,,-0.0164670658682635,,
draw,15,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0284431137724551,,-0.0149700598802395,,
draw,16,3,same_registered_broad_family_different_identity,0.0134730538922156,0.031437125748503,,-0.0179640718562874,,
draw,17,3,same_registered_broad_family_different_identity,0.0134730538922156,0.029940119760479,,-0.0164670658682635,,
draw,18,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0224550898203593,,-0.00898203592814371,,
draw,19,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0254491017964072,,-0.0119760479041916,,
draw,20,3,same_registered_broad_family_different_identity,0.0134730538922156,0.031437125748503,,-0.0179640718562874,,
draw,21,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0179640718562874,,-0.00449101796407186,,
draw,22,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0329341317365269,,-0.0194610778443114,,
draw,23,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0194610778443114,,-0.00598802395209581,,
draw,24,3,same_registered_broad_family_different_identity,0.0134730538922156,0.0329341317365269,,-0.0194610778443114,,
summary,-1,3,same_registered_broad_family_different_identity,0.0134730538922156,,0.0297005988023952,-0.0162275449101796,0,0.0353293413173653
draw,0,3,different_registered_broad_family,0.0359281437125748,0.0029940119760479,,0.0329341317365269,,
draw,1,3,different_registered_broad_family,0.0359281437125748,0.00748502994011976,,0.0284431137724551,,
draw,2,3,different_registered_broad_family,0.0359281437125748,0.0029940119760479,,0.0329341317365269,,
draw,3,3,different_registered_broad_family,0.0359281437125748,0.0029940119760479,,0.0329341317365269,,
draw,4,3,different_registered_broad_family,0.0359281437125748,0.00149700598802395,,0.0344311377245509,,
draw,5,3,different_registered_broad_family,0.0359281437125748,0.00748502994011976,,0.0284431137724551,,
draw,6,3,different_registered_broad_family,0.0359281437125748,0.0029940119760479,,0.0329341317365269,,
draw,7,3,different_registered_broad_family,0.0359281437125748,0.00149700598802395,,0.0344311377245509,,
draw,8,3,different_registered_broad_family,0.0359281437125748,0.00748502994011976,,0.0284431137724551,,
draw,9,3,different_registered_broad_family,0.0359281437125748,0.00149700598802395,,0.0344311377245509,,
draw,10,3,different_registered_broad_family,0.0359281437125748,0.0029940119760479,,0.0329341317365269,,
draw,11,3,different_registered_broad_family,0.0359281437125748,0,,0.0359281437125748,,
draw,12,3,different_registered_broad_family,0.0359281437125748,0.00449101796407186,,0.031437125748503,,
draw,13,3,different_registered_broad_family,0.0359281437125748,0.00748502994011976,,0.0284431137724551,,
draw,14,3,different_registered_broad_family,0.0359281437125748,0.00598802395209581,,0.029940119760479,,
draw,15,3,different_registered_broad_family,0.0359281437125748,0.00598802395209581,,0.029940119760479,,
draw,16,3,different_registered_broad_family,0.0359281437125748,0.00449101796407186,,0.031437125748503,,
draw,17,3,different_registered_broad_family,0.0359281437125748,0.00449101796407186,,0.031437125748503,,
draw,18,3,different_registered_broad_family,0.0359281437125748,0.00898203592814371,,0.0269461077844311,,
draw,19,3,different_registered_broad_family,0.0359281437125748,0.00149700598802395,,0.0344311377245509,,
draw,20,3,different_registered_broad_family,0.0359281437125748,0.00449101796407186,,0.031437125748503,,
draw,21,3,different_registered_broad_family,0.0359281437125748,0.00748502994011976,,0.0284431137724551,,
draw,22,3,different_registered_broad_family,0.0359281437125748,0.00598802395209581,,0.029940119760479,,
draw,23,3,different_registered_broad_family,0.0359281437125748,0.0029940119760479,,0.0329341317365269,,
draw,24,3,different_registered_broad_family,0.0359281437125748,0.00149700598802395,,0.0344311377245509,,
summary,-1,3,different_registered_broad_family,0.0359281437125748,,0.00431137724550898,0.0316167664670659,100,0.00748502994011976
draw,0,3,any_prior_registered_completion,0.236526946107784,0.0479041916167665,,0.188622754491018,,
draw,1,3,any_prior_registered_completion,0.236526946107784,0.0523952095808383,,0.184131736526946,,
draw,2,3,any_prior_registered_completion,0.236526946107784,0.0553892215568862,,0.181137724550898,,
draw,3,3,any_prior_registered_completion,0.236526946107784,0.061377245508982,,0.175149700598802,,
draw,4,3,any_prior_registered_completion,0.236526946107784,0.062874251497006,,0.173652694610778,,
draw,5,3,any_prior_registered_completion,0.236526946107784,0.0658682634730539,,0.170658682634731,,
draw,6,3,any_prior_registered_completion,0.236526946107784,0.0643712574850299,,0.172155688622754,,
draw,7,3,any_prior_registered_completion,0.236526946107784,0.0568862275449102,,0.179640718562874,,
draw,8,3,any_prior_registered_completion,0.236526946107784,0.0673652694610778,,0.169161676646707,,
draw,9,3,any_prior_registered_completion,0.236526946107784,0.0553892215568862,,0.181137724550898,,
draw,10,3,any_prior_registered_completion,0.236526946107784,0.0658682634730539,,0.170658682634731,,
draw,11,3,any_prior_registered_completion,0.236526946107784,0.0583832335329341,,0.17814371257485,,
draw,12,3,any_prior_registered_completion,0.236526946107784,0.0538922155688623,,0.182634730538922,,
draw,13,3,any_prior_registered_completion,0.236526946107784,0.0464071856287425,,0.190119760479042,,
draw,14,3,any_prior_registered_completion,0.236526946107784,0.0598802395209581,,0.176646706586826,,
draw,15,3,any_prior_registered_completion,0.236526946107784,0.0494011976047904,,0.187125748502994,,
draw,16,3,any_prior_registered_completion,0.236526946107784,0.0703592814371257,,0.166167664670659,,
draw,17,3,any_prior_registered_completion,0.236526946107784,0.0553892215568862,,0.181137724550898,,
draw,18,3,any_prior_registered_completion,0.236526946107784,0.0568862275449102,,0.179640718562874,,
draw,19,3,any_prior_registered_completion,0.236526946107784,0.0553892215568862,,0.181137724550898,,
draw,20,3,any_prior_registered_completion,0.236526946107784,0.061377245508982,,0.175149700598802,,
draw,21,3,any_prior_registered_completion,0.236526946107784,0.0583832335329341,,0.17814371257485,,
draw,22,3,any_prior_registered_completion,0.236526946107784,0.061377245508982,,0.175149700598802,,
draw,23,3,any_prior_registered_completion,0.236526946107784,0.0464071856287425,,0.190119760479042,,
draw,24,3,any_prior_registered_completion,0.236526946107784,0.0568862275449102,,0.179640718562874,,
summary,-1,3,any_prior_registered_completion,0.236526946107784,,0.0578443113772455,0.178682634730539,100,0.0658682634730539
draw,0,3,hidden_5_6_5,0.0164670658682635,0.0419161676646707,,-0.0254491017964072,,
draw,1,3,hidden_5_6_5,0.0164670658682635,0.062874251497006,,-0.0464071856287425,,
draw,2,3,hidden_5_6_5,0.0164670658682635,0.0344311377245509,,-0.0179640718562874,,
draw,3,3,hidden_5_6_5,0.0164670658682635,0.0329341317365269,,-0.0164670658682635,,
draw,4,3,hidden_5_6_5,0.0164670658682635,0.029940119760479,,-0.0134730538922156,,
draw,5,3,hidden_5_6_5,0.0164670658682635,0.0464071856287425,,-0.029940119760479,,
draw,6,3,hidden_5_6_5,0.0164670658682635,0.0269461077844311,,-0.0104790419161677,,
draw,7,3,hidden_5_6_5,0.0164670658682635,0.0284431137724551,,-0.0119760479041916,,
draw,8,3,hidden_5_6_5,0.0164670658682635,0.0434131736526946,,-0.0269461077844311,,
draw,9,3,hidden_5_6_5,0.0164670658682635,0.0389221556886228,,-0.0224550898203593,,
draw,10,3,hidden_5_6_5,0.0164670658682635,0.0359281437125748,,-0.0194610778443114,,
draw,11,3,hidden_5_6_5,0.0164670658682635,0.0449101796407186,,-0.0284431137724551,,
draw,12,3,hidden_5_6_5,0.0164670658682635,0.0329341317365269,,-0.0164670658682635,,
draw,13,3,hidden_5_6_5,0.0164670658682635,0.0344311377245509,,-0.0179640718562874,,
draw,14,3,hidden_5_6_5,0.0164670658682635,0.031437125748503,,-0.0149700598802395,,
