record_type,draw,metric,value,point_estimate,interval_level,lower,upper
draw,22,failed_minus_successful_hidden_event_rate,0.214581846476715,0.27584633339307,,,
draw,23,log_loss_improvement,0.000254821189638599,0.000208588741367755,,,
draw,23,brier_improvement,9.64971810009652e-05,8.13888969261878e-05,,,
draw,23,auc_improvement,-0.000448574840350879,8.45272794213203e-05,,,
draw,23,high_minus_low_completion_rate,0.0214285714285714,0.0372381587529028,,,
draw,23,failed_minus_successful_hidden_event_rate,0.295424605852933,0.27584633339307,,,
draw,24,log_loss_improvement,5.9875956934019e-05,0.000208588741367755,,,
draw,24,brier_improvement,2.54425490789634e-05,8.13888969261878e-05,,,
draw,24,auc_improvement,-0.000953140969026212,8.45272794213203e-05,,,
draw,24,high_minus_low_completion_rate,0.0313135490759081,0.0372381587529028,,,
draw,24,failed_minus_successful_hidden_event_rate,0.235433448098785,0.27584633339307,,,
interval,-1,log_loss_improvement,,0.000208588741367755,0.8,1.73715129485163e-05,0.000509109567560429
interval,-1,log_loss_improvement,,0.000208588741367755,0.9,-6.32897857749448e-05,0.000527889639782741
interval,-1,log_loss_improvement,,0.000208588741367755,0.95,-0.000136141443595772,0.000530344696805551
interval,-1,brier_improvement,,8.13888969261878e-05,0.8,1.41570445193471e-06,0.000205940786331554
interval,-1,brier_improvement,,8.13888969261878e-05,0.9,-3.44615672172588e-05,0.000209612197794956
interval,-1,brier_improvement,,8.13888969261878e-05,0.95,-6.12403793413096e-05,0.000215378338177308
interval,-1,auc_improvement,,8.45272794213203e-05,0.8,-0.00146504822834361,0.00185293997898544
interval,-1,auc_improvement,,8.45272794213203e-05,0.9,-0.00197989089810269,0.00264905934951704
interval,-1,auc_improvement,,8.45272794213203e-05,0.95,-0.00210618565996181,0.00284316760025038
interval,-1,high_minus_low_completion_rate,,0.0372381587529028,0.8,-0.00619915806853143,0.0810546866600077
interval,-1,high_minus_low_completion_rate,,0.0372381587529028,0.9,-0.0135920961418116,0.107168760424561
interval,-1,high_minus_low_completion_rate,,0.0372381587529028,0.95,-0.0159196505891539,0.119009843212318
interval,-1,failed_minus_successful_hidden_event_rate,,0.27584633339307,0.8,0.216511236211537,0.300130068028854
interval,-1,failed_minus_successful_hidden_event_rate,,0.27584633339307,0.9,0.214332944513434,0.330878769371961
interval,-1,failed_minus_successful_hidden_event_rate,,0.27584633339307,0.95,0.208060568495069,0.351750837678618
