period,lookback_bars,precursor_kind,precursor_identity,target_semantic_loop_id,occurrences,eligible_events,prevalence,sessions,stocks,months,maximum_stock_share,maximum_month_share,development_occurrences,development_matched_occurrences,development_matched_prevalence,development_mean_null_occurrences,development_mean_null_prevalence,development_enrichment,matched_assessment_occurrences,matched_assessment_prevalence,mean_null_occurrences,mean_null_prevalence,assessment_enrichment,same_direction_development_assessment,support_passed,p_value,q_value,q_le_0_10
assessment,6,hidden,unregistered_primitive_like__2-5-2,loop_p_0-2-0,3,812,0.00369458128078818,2,2,2,0.666666666666667,0.666666666666667,1,1,0.000911577028258888,2.08,0.00189608021877849,-0.000984503190519599,3,0.00449101796407186,0.72,0.00107784431137725,0.00341317365269461,False,False,0.0769230769230769,,False
assessment,6,hidden,unregistered_primitive_like__2-5-2,loop_p_1-2-1,2,812,0.00246305418719212,2,2,2,0.5,0.5,5,5,0.00455788514129444,3.24,0.0029535095715588,0.00160437556973564,2,0.0029940119760479,1.24,0.0018562874251497,0.0011377245508982,True,False,0.346153846153846,,False
assessment,6,hidden,unregistered_primitive_like__2-5-2,loop_p_2-5-6-2,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,2.12,0.00193254329990884,-0.00102096627164995,1,0.00149700598802395,1.04,0.00155688622754491,-5.9880239520958e-05,False,False,0.692307692307692,,False
assessment,6,hidden,unregistered_primitive_like__2-5-2,loop_p_2-6-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,1.48,0.00134913400182315,-0.00134913400182315,1,0.00149700598802395,1.6,0.00239520958083832,-0.000898203592814371,False,False,0.923076923076923,,False
assessment,6,hidden,unregistered_primitive_like__2-5-2,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,2,2,0.00182315405651778,0.84,0.000765724703737466,0.00105742935278031,1,0.00149700598802395,1.28,0.00191616766467066,-0.000419161676646706,False,False,0.769230769230769,,False
assessment,6,hidden,unregistered_primitive_like__4-7-4,loop_p_4-6-4,2,812,0.00246305418719212,1,1,1,1,1,2,2,0.00182315405651778,3.52,0.00320875113947129,-0.00138559708295351,0,0,3.28,0.00491017964071856,-0.00491017964071856,False,False,1,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_0-2-0,3,812,0.00369458128078818,3,3,2,0.333333333333333,0.666666666666667,6,5,0.00455788514129444,6.6,0.00601640838650866,-0.00145852324521422,2,0.0029940119760479,3.72,0.0055688622754491,-0.0025748502994012,False,False,1,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_2-4-2,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333,0,0,0,1.04,0.000948040109389243,-0.000948040109389243,2,0.0029940119760479,1.44,0.00215568862275449,0.000838323353293413,False,False,0.5,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_2-5-6-2,12,812,0.0147783251231527,11,9,7,0.166666666666667,0.25,26,22,0.0200546946216955,11.52,0.0105013673655424,0.00955332725615315,8,0.0119760479041916,5.56,0.00832335329341317,0.00365269461077844,True,False,0.230769230769231,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-2,10,812,0.0123152709359606,9,9,6,0.2,0.3,20,14,0.0127620783956244,12.96,0.0118140382862352,0.000948040109389243,8,0.0119760479041916,8.2,0.0122754491017964,-0.000299401197604788,False,False,0.769230769230769,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_2-6-5-2,2,812,0.00246305418719212,2,2,2,0.5,0.5,6,4,0.00364630811303555,2.92,0.00266180492251595,0.000984503190519599,2,0.0029940119760479,1.04,0.00155688622754491,0.00143712574850299,True,False,0.307692307692308,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_4-5-4,10,812,0.0123152709359606,8,6,5,0.4,0.4,6,6,0.00546946216955333,9.76,0.00889699179580675,-0.00342752962625342,10,0.0149700598802395,8.8,0.0131736526946108,0.00179640718562874,False,False,0.384615384615385,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_p_4-6-4,3,812,0.00369458128078818,3,2,3,0.666666666666667,0.333333333333333,6,6,0.00546946216955333,8.36,0.0076207839562443,-0.00215132178669097,2,0.0029940119760479,10.52,0.015748502994012,-0.0127544910179641,False,False,1,,False
assessment,6,hidden,unregistered_primitive_like__5-6-5,loop_r2_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.12,0.000109389243391067,-0.000109389243391067,1,0.00149700598802395,0.36,0.000538922155688623,0.000958083832335329,False,False,0.346153846153846,,False
assessment,6,registered,loop_p_0-1-0,loop_p_0-1-0,23,812,0.0283251231527094,13,9,7,0.304347826086957,0.521739130434783,77,70,0.0638103919781221,17.88,0.0162989972652689,0.0475113947128532,22,0.0329341317365269,4.68,0.00700598802395209,0.0259281437125749,True,True,0.0384615384615385,0.0384615384615385,True
assessment,6,registered,loop_p_0-1-0,loop_p_0-2-0,2,812,0.00246305418719212,1,1,1,1,1,4,4,0.00364630811303555,7.56,0.00689152233363719,-0.00324521422060164,2,0.0029940119760479,1.76,0.00263473053892216,0.000359281437125749,False,False,0.576923076923077,,False
assessment,6,registered,loop_p_0-1-0,loop_p_1-2-1,4,812,0.00492610837438424,3,2,3,0.75,0.5,4,2,0.00182315405651778,6.28,0.00572470373746582,-0.00390154968094804,4,0.00598802395209581,1.68,0.00251497005988024,0.00347305389221557,False,False,0.0769230769230769,,False
assessment,6,registered,loop_p_0-1-0,loop_r2_0-1-0,7,812,0.00862068965517241,4,4,2,0.428571428571429,0.714285714285714,24,24,0.0218778486782133,3.48,0.00317228805834093,0.0187055606198724,7,0.0104790419161677,0.32,0.000479041916167665,0.01,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_0-2-0,loop_p_0-1-0,2,812,0.00246305418719212,1,1,1,1,1,4,4,0.00364630811303555,7.52,0.00685505925250684,-0.00320875113947129,2,0.0029940119760479,1.96,0.00293413173652695,5.98802395209582e-05,False,False,0.5,,False
assessment,6,registered,loop_p_0-2-0,loop_p_0-2-0,14,812,0.0172413793103448,10,5,6,0.5,0.357142857142857,40,36,0.03281677301732,7.56,0.00689152233363719,0.0259252506836828,14,0.0209580838323353,2.64,0.00395209580838323,0.0170059880239521,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_0-4-0,loop_p_0-4-0,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.04,3.64630811303555e-05,-3.64630811303555e-05,1,0.00149700598802395,0.32,0.000479041916167665,0.00101796407185629,False,False,0.269230769230769,,False
assessment,6,registered,loop_p_1-2-1,loop_p_0-1-0,2,812,0.00246305418719212,2,2,1,0.5,1,7,6,0.00546946216955333,8.92,0.00813126709206928,-0.00266180492251595,2,0.0029940119760479,1.48,0.00221556886227545,0.000778443113772455,False,False,0.576923076923077,,False
assessment,6,registered,loop_p_1-2-1,loop_p_0-2-0,2,812,0.00246305418719212,2,2,2,0.5,0.5,3,3,0.00273473108477666,5.52,0.00503190519598906,-0.0022971741112124,2,0.0029940119760479,1.88,0.00281437125748503,0.000179640718562875,False,False,0.576923076923077,,False
assessment,6,registered,loop_p_1-2-1,loop_p_1-2-1,26,812,0.0320197044334975,20,13,7,0.192307692307692,0.461538461538462,57,55,0.0501367365542388,9.68,0.00882406563354603,0.0413126709206928,25,0.0374251497005988,3.16,0.00473053892215569,0.0326946107784431,True,True,0.0384615384615385,0.0384615384615385,True
assessment,6,registered,loop_p_1-2-1,loop_r2_1-2-1,2,812,0.00246305418719212,2,2,1,0.5,1,15,15,0.0136736554238833,0.76,0.000692798541476755,0.0129808568824066,2,0.0029940119760479,0.04,5.98802395209581e-05,0.00293413173652695,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_2-4-2,loop_p_2-4-2,4,812,0.00492610837438424,3,3,2,0.5,0.75,2,2,0.00182315405651778,0.16,0.000145852324521422,0.00167730173199635,4,0.00598802395209581,0.48,0.000718562874251497,0.00526946107784431,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_2-4-2,loop_r2_2-4-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0,0,0.00149700598802395,False,False,0.0384615384615385,,False
assessment,6,registered,loop_p_2-5-6-2,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0.68,0.000619872379216044,-0.000619872379216044,1,0.00149700598802395,1.52,0.00227544910179641,-0.000778443113772455,False,False,0.730769230769231,,False
assessment,6,registered,loop_p_2-5-6-2,loop_p_2-5-6-2,4,812,0.00492610837438424,4,4,3,0.25,0.5,6,4,0.00364630811303555,2.64,0.00240656335460346,0.00123974475843209,3,0.00449101796407186,1.4,0.00209580838323353,0.00239520958083832,True,False,0.192307692307692,,False
assessment,6,registered,loop_p_2-5-6-2,loop_p_2-6-2,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,1.32,0.00120328167730173,-0.00120328167730173,1,0.00149700598802395,0.52,0.000778443113772455,0.000718562874251497,False,False,0.461538461538462,,False
assessment,6,registered,loop_p_2-6-2,loop_p_0-2-0,1,812,0.00123152709359606,1,1,1,1,1,3,1,0.000911577028258888,0.64,0.000583409298085688,0.0003281677301732,0,0,0.32,0.000479041916167665,-0.000479041916167665,False,False,1,,False
assessment,6,registered,loop_p_2-6-2,loop_p_2-6-2,22,812,0.0270935960591133,14,10,7,0.227272727272727,0.363636363636364,36,23,0.0209662716499544,3.24,0.0029535095715588,0.0180127620783956,18,0.0269461077844311,2.08,0.00311377245508982,0.0238323353293413,True,True,0.0384615384615385,0.0384615384615385,True
assessment,6,registered,loop_p_2-6-2,loop_p_2-6-5-2,2,812,0.00246305418719212,2,2,2,0.5,0.5,5,4,0.00364630811303555,0.44,0.000401093892433911,0.00324521422060164,2,0.0029940119760479,0.24,0.000359281437125748,0.00263473053892216,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_2-6-5-2,loop_p_2-6-2,3,812,0.00369458128078818,2,2,2,0.666666666666667,0.666666666666667,1,1,0.000911577028258888,0.16,0.000145852324521422,0.000765724703737466,1,0.00149700598802395,0.24,0.000359281437125748,0.0011377245508982,True,False,0.269230769230769,,False
assessment,6,registered,loop_p_2-6-5-2,loop_p_2-6-5-2,4,812,0.00492610837438424,4,4,4,0.25,0.25,4,4,0.00364630811303555,0.88,0.000802187784867821,0.00284412032816773,4,0.00598802395209581,0.28,0.000419161676646707,0.0055688622754491,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_4-5-4,loop_p_4-5-4,22,812,0.0270935960591133,14,10,5,0.272727272727273,0.363636363636364,17,16,0.0145852324521422,2.56,0.00233363719234275,0.0122515952597995,22,0.0329341317365269,2.52,0.00377245508982036,0.0291616766467066,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_4-5-4,loop_r2_4-5-4,7,812,0.00862068965517241,3,3,2,0.428571428571429,0.571428571428571,2,2,0.00182315405651778,0,0,0.00182315405651778,7,0.0104790419161677,0.24,0.000359281437125748,0.0101197604790419,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_4-6-4,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,3,3,0.00273473108477666,1.12,0.00102096627164995,0.00171376481312671,1,0.00149700598802395,1.16,0.00173652694610778,-0.000239520958083832,False,False,0.692307692307692,,False
assessment,6,registered,loop_p_4-6-4,loop_p_4-6-4,47,812,0.0578817733990148,29,16,8,0.148936170212766,0.276595744680851,32,29,0.0264357338195077,3.88,0.00353691886964448,0.0228988149498633,44,0.0658682634730539,5.28,0.00790419161676647,0.0579640718562874,True,True,0.0384615384615385,0.0384615384615385,True
assessment,6,registered,loop_p_4-6-4,loop_r2_4-6-4,11,812,0.0135467980295567,9,8,6,0.181818181818182,0.545454545454545,6,6,0.00546946216955333,0.36,0.0003281677301732,0.00514129443938013,11,0.0164670658682635,0.44,0.000658682634730539,0.0158083832335329,True,False,0.0384615384615385,,False
assessment,6,registered,loop_p_6-7-6,loop_p_4-6-4,1,812,0.00123152709359606,1,1,1,1,1,1,1,0.000911577028258888,0.64,0.000583409298085688,0.0003281677301732,0,0,0.24,0.000359281437125748,-0.000359281437125748,False,False,1,,False
assessment,6,registered,loop_p_6-7-6,loop_p_6-7-6,11,812,0.0135467980295567,7,7,5,0.363636363636364,0.454545454545455,16,6,0.00546946216955333,0.6,0.000546946216955333,0.00492251595259799,7,0.0104790419161677,0.4,0.000598802395209581,0.00988023952095808,True,False,0.0384615384615385,,False
assessment,6,registered,loop_r2_0-1-0,loop_p_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,9,9,0.00820419325432999,2.44,0.00222424794895169,0.0059799453053783,1,0.00149700598802395,0.16,0.000239520958083832,0.00125748502994012,True,False,0.153846153846154,,False
assessment,6,registered,loop_r2_0-1-0,loop_r2_0-1-0,1,812,0.00123152709359606,1,1,1,1,1,9,9,0.00820419325432999,0.72,0.000656335460346399,0.00754785779398359,1,0.00149700598802395,0.04,5.98802395209581e-05,0.00143712574850299,True,False,0.0769230769230769,,False
assessment,6,registered,loop_r2_4-5-4,loop_p_4-5-4,4,812,0.00492610837438424,3,3,2,0.5,0.5,0,0,0,0.08,7.2926162260711e-05,-7.2926162260711e-05,4,0.00598802395209581,0.24,0.000359281437125748,0.00562874251497006,False,False,0.0384615384615385,,False
assessment,6,registered,loop_r2_4-5-4,loop_r2_4-5-4,4,812,0.00492610837438424,3,3,2,0.5,0.5,0,0,0,0,0,0,4,0.00598802395209581,0.24,0.000359281437125748,0.00562874251497006,False,False,0.0384615384615385,,False
assessment,6,registered,loop_r2_4-6-4,loop_p_4-5-4,1,812,0.00123152709359606,1,1,1,1,1,0,0,0,0,0,0,1,0.00149700598802395,0.12,0.000179640718562874,0.00131736526946108,False,False,0.153846153846154,,False
assessment,12,hidden,unregistered_primitive_like__2-3-2,loop_p_0-1-0,9,812,0.0110837438423645,8,5,6,0.222222222222222,0.333333333333333,19,19,0.0173199635369189,49.44,0.0450683682771194,-0.0277484047402005,9,0.0134730538922156,12.08,0.0180838323353293,-0.00461077844311377,False,False,0.807692307692308,,False
assessment,12,hidden,unregistered_primitive_like__2-3-2,loop_p_0-2-0,11,812,0.0135467980295567,5,5,3,0.363636363636364,0.454545454545455,25,25,0.0227894257064722,30.68,0.0279671832269827,-0.00517775752051048,11,0.0164670658682635,9.52,0.014251497005988,0.00221556886227545,False,False,0.384615384615385,,False
assessment,12,hidden,unregistered_primitive_like__2-3-2,loop_p_1-2-1,18,812,0.0221674876847291,14,10,5,0.166666666666667,0.388888888888889,33,31,0.0282588878760255,37.4,0.0340929808568824,-0.00583409298085688,16,0.0239520958083832,14.4,0.0215568862275449,0.00239520958083832,False,False,0.346153846153846,,False
assessment,12,hidden,unregistered_primitive_like__2-5-2,loop_p_0-1-0,5,812,0.0061576354679803,4,3,4,0.4,0.4,1,1,0.000911577028258888,6.12,0.00557885141294439,-0.00466727438468551,5,0.00748502994011976,0.72,0.00107784431137725,0.00640718562874251,False,False,0.0384615384615385,,False
