record_type,draw,metric,value,lower_90,upper_90,lower_95,upper_95
draw,33,A2_minus_A1_log_loss_improvement,1.84094912999e-05,,,,
draw,34,A2_minus_A1_log_loss_improvement,0.00533774488298,,,,
draw,35,A2_minus_A1_log_loss_improvement,0.000863916066931,,,,
draw,36,A2_minus_A1_log_loss_improvement,-0.000216284058465,,,,
draw,37,A2_minus_A1_log_loss_improvement,0.0100790647923,,,,
draw,38,A2_minus_A1_log_loss_improvement,0.00191879311874,,,,
draw,39,A2_minus_A1_log_loss_improvement,0.0119339387032,,,,
draw,40,A2_minus_A1_log_loss_improvement,0.00926735471544,,,,
draw,41,A2_minus_A1_log_loss_improvement,0.00533591749114,,,,
draw,42,A2_minus_A1_log_loss_improvement,0.0163056789896,,,,
draw,43,A2_minus_A1_log_loss_improvement,0.00601743381746,,,,
draw,44,A2_minus_A1_log_loss_improvement,0.00306584177492,,,,
draw,45,A2_minus_A1_log_loss_improvement,0.00306233628452,,,,
draw,46,A2_minus_A1_log_loss_improvement,0.0102052237583,,,,
draw,47,A2_minus_A1_log_loss_improvement,0.0125841702937,,,,
draw,48,A2_minus_A1_log_loss_improvement,-0.00164019970355,,,,
draw,49,A2_minus_A1_log_loss_improvement,0.00792264183998,,,,
draw,50,A2_minus_A1_log_loss_improvement,0.004531681237,,,,
draw,51,A2_minus_A1_log_loss_improvement,0.0106683044433,,,,
draw,52,A2_minus_A1_log_loss_improvement,0.0125374827439,,,,
draw,53,A2_minus_A1_log_loss_improvement,0.00105413584743,,,,
draw,54,A2_minus_A1_log_loss_improvement,0.00698322607775,,,,
draw,55,A2_minus_A1_log_loss_improvement,0.00634845746945,,,,
draw,56,A2_minus_A1_log_loss_improvement,0.00100652957162,,,,
draw,57,A2_minus_A1_log_loss_improvement,0.0077860628265,,,,
draw,58,A2_minus_A1_log_loss_improvement,0.00599889290541,,,,
draw,59,A2_minus_A1_log_loss_improvement,-0.00108842506711,,,,
draw,60,A2_minus_A1_log_loss_improvement,0.00151988465785,,,,
draw,61,A2_minus_A1_log_loss_improvement,0.00617115322955,,,,
draw,62,A2_minus_A1_log_loss_improvement,0.00857984270865,,,,
draw,63,A2_minus_A1_log_loss_improvement,3.14261690921e-05,,,,
draw,64,A2_minus_A1_log_loss_improvement,-0.00571989367664,,,,
draw,65,A2_minus_A1_log_loss_improvement,-0.00513531283575,,,,
draw,66,A2_minus_A1_log_loss_improvement,-0.00281877395831,,,,
draw,67,A2_minus_A1_log_loss_improvement,-0.00677719241534,,,,
draw,68,A2_minus_A1_log_loss_improvement,0.0066491296599,,,,
draw,69,A2_minus_A1_log_loss_improvement,0.00768708565798,,,,
draw,70,A2_minus_A1_log_loss_improvement,0.0142376345196,,,,
draw,71,A2_minus_A1_log_loss_improvement,0.0008915358453,,,,
draw,72,A2_minus_A1_log_loss_improvement,0.00423169803466,,,,
draw,73,A2_minus_A1_log_loss_improvement,0.00983755957295,,,,
draw,74,A2_minus_A1_log_loss_improvement,0.00508382585795,,,,
draw,75,A2_minus_A1_log_loss_improvement,0.00177007128714,,,,
draw,76,A2_minus_A1_log_loss_improvement,8.45390503854e-05,,,,
draw,77,A2_minus_A1_log_loss_improvement,0.00343743861976,,,,
draw,78,A2_minus_A1_log_loss_improvement,0.00551019760787,,,,
draw,79,A2_minus_A1_log_loss_improvement,0.00845501613678,,,,
draw,80,A2_minus_A1_log_loss_improvement,0.00791706017475,,,,
draw,81,A2_minus_A1_log_loss_improvement,0.00916929141431,,,,
draw,82,A2_minus_A1_log_loss_improvement,0.00851907586315,,,,
draw,83,A2_minus_A1_log_loss_improvement,0.00114158747941,,,,
draw,84,A2_minus_A1_log_loss_improvement,-0.000869100715924,,,,
draw,85,A2_minus_A1_log_loss_improvement,0.00723278371214,,,,
draw,86,A2_minus_A1_log_loss_improvement,0.00219033482169,,,,
draw,87,A2_minus_A1_log_loss_improvement,-0.0053516498413,,,,
draw,88,A2_minus_A1_log_loss_improvement,0.00666489600471,,,,
draw,89,A2_minus_A1_log_loss_improvement,0.00821843482291,,,,
draw,90,A2_minus_A1_log_loss_improvement,0.00813658681105,,,,
draw,91,A2_minus_A1_log_loss_improvement,0.00164928268083,,,,
draw,92,A2_minus_A1_log_loss_improvement,0.00136203573116,,,,
draw,93,A2_minus_A1_log_loss_improvement,0.0077260643378,,,,
draw,94,A2_minus_A1_log_loss_improvement,0.00788862778055,,,,
draw,95,A2_minus_A1_log_loss_improvement,0.00745580558709,,,,
draw,96,A2_minus_A1_log_loss_improvement,0.00716414706029,,,,
draw,97,A2_minus_A1_log_loss_improvement,0.0120282108541,,,,
draw,98,A2_minus_A1_log_loss_improvement,0.00211176991424,,,,
draw,99,A2_minus_A1_log_loss_improvement,0.0099826355055,,,,
draw,100,A2_minus_A1_log_loss_improvement,-0.000650827300327,,,,
draw,101,A2_minus_A1_log_loss_improvement,0.0126591389942,,,,
draw,102,A2_minus_A1_log_loss_improvement,0.00814811561077,,,,
draw,103,A2_minus_A1_log_loss_improvement,0.00405500036368,,,,
draw,104,A2_minus_A1_log_loss_improvement,0.00338024836523,,,,
draw,105,A2_minus_A1_log_loss_improvement,0.00195567380079,,,,
draw,106,A2_minus_A1_log_loss_improvement,0.00470477430996,,,,
draw,107,A2_minus_A1_log_loss_improvement,0.000823607663997,,,,
draw,108,A2_minus_A1_log_loss_improvement,0.00660148466837,,,,
draw,109,A2_minus_A1_log_loss_improvement,0.00516644481943,,,,
draw,110,A2_minus_A1_log_loss_improvement,0.0087953665471,,,,
draw,111,A2_minus_A1_log_loss_improvement,-0.00372850163513,,,,
draw,112,A2_minus_A1_log_loss_improvement,0.0161266916802,,,,
draw,113,A2_minus_A1_log_loss_improvement,-0.00330205941375,,,,
draw,114,A2_minus_A1_log_loss_improvement,0.00400441106894,,,,
draw,115,A2_minus_A1_log_loss_improvement,0.00575074121179,,,,
draw,116,A2_minus_A1_log_loss_improvement,0.000749711399858,,,,
draw,117,A2_minus_A1_log_loss_improvement,0.00821267068012,,,,
draw,118,A2_minus_A1_log_loss_improvement,-0.00548901774665,,,,
draw,119,A2_minus_A1_log_loss_improvement,-0.000357255988344,,,,
draw,120,A2_minus_A1_log_loss_improvement,0.00233838385407,,,,
draw,121,A2_minus_A1_log_loss_improvement,0.0105857226036,,,,
draw,122,A2_minus_A1_log_loss_improvement,0.00798276196569,,,,
draw,123,A2_minus_A1_log_loss_improvement,0.0225798644003,,,,
draw,124,A2_minus_A1_log_loss_improvement,0.00151765007164,,,,
draw,125,A2_minus_A1_log_loss_improvement,0.0013506786371,,,,
draw,126,A2_minus_A1_log_loss_improvement,0.0097646226855,,,,
draw,127,A2_minus_A1_log_loss_improvement,0.00616380816251,,,,
draw,128,A2_minus_A1_log_loss_improvement,0.00198360625425,,,,
draw,129,A2_minus_A1_log_loss_improvement,0.00668797742666,,,,
draw,130,A2_minus_A1_log_loss_improvement,0.00650216184719,,,,
draw,131,A2_minus_A1_log_loss_improvement,0.0108775547307,,,,
draw,132,A2_minus_A1_log_loss_improvement,0.00347816965467,,,,
