detector,period,month,rows,target_first_precision,control_precision,precision_lift,dynamic_mean_net_bps
H3_two_bar_reversal_confirmation_long,2025,2025-06,97,0.5257731958762887,0.4536082474226804,0.07216494845360824,-4.262693270744949
H3_two_bar_reversal_confirmation_long,2025,2025-07,99,0.36363636363636365,0.47474747474747475,-0.1111111111111111,-30.89237284498713
H3_two_bar_reversal_confirmation_long,2025,2025-08,106,0.4339622641509434,0.5660377358490566,-0.1320754716981132,-16.824950727311062
H3_two_bar_reversal_confirmation_long,2025,2025-09,116,0.5258620689655172,0.43103448275862066,0.09482758620689655,0.05406704840125602
H3_two_bar_reversal_confirmation_long,2025,2025-10,108,0.4722222222222222,0.48148148148148145,-0.009259259259259259,-15.35777983084475
H3_two_bar_reversal_confirmation_long,2025,2025-11,81,0.49382716049382713,0.37037037037037035,0.12345679012345678,-14.27746243242269
H3_two_bar_reversal_confirmation_long,2025,2025-12,103,0.5436893203883495,0.4174757281553398,0.1262135922330097,2.5697780720171592
H3_two_bar_reversal_confirmation_long,2026,2026-01,94,0.5,0.48936170212765956,0.010638297872340425,-8.156460532414123
H3_two_bar_reversal_confirmation_long,2026,2026-02,88,0.3977272727272727,0.5227272727272727,-0.125,-24.749409635688377
H3_two_bar_reversal_confirmation_long,2026,2026-03,112,0.42857142857142855,0.48214285714285715,-0.05357142857142857,-16.45042706428551
H3_two_bar_reversal_confirmation_long,2026,2026-04,102,0.5490196078431373,0.5784313725490197,-0.029411764705882353,8.885530410011109
H3_two_bar_reversal_confirmation_long,2026,2026-05,88,0.42045454545454547,0.5113636363636364,-0.09090909090909091,-23.07349227512373
H3_two_bar_reversal_confirmation_long,2026,2026-06,89,0.39325842696629215,0.43820224719101125,-0.0449438202247191,-33.18508859239212
H4_opening_range_failed_breakdown_long,2025,2025-01,40,0.45,0.425,0.025,-15.764871722016698
H4_opening_range_failed_breakdown_long,2025,2025-02,36,0.3888888888888889,0.4722222222222222,-0.08333333333333333,-18.507524562094137
H4_opening_range_failed_breakdown_long,2025,2025-03,47,0.3191489361702128,0.574468085106383,-0.2553191489361702,-31.881365676469155
H4_opening_range_failed_breakdown_long,2025,2025-04,37,0.2702702702702703,0.5405405405405406,-0.2702702702702703,-42.59830267068655
H4_opening_range_failed_breakdown_long,2025,2025-05,31,0.41935483870967744,0.45161290322580644,-0.03225806451612903,-21.816856180171104
H4_opening_range_failed_breakdown_long,2025,2025-06,37,0.5405405405405406,0.5675675675675675,-0.02702702702702703,-3.1591683977128784
H4_opening_range_failed_breakdown_long,2025,2025-07,35,0.4857142857142857,0.5428571428571428,-0.05714285714285714,-8.638490893467187
H4_opening_range_failed_breakdown_long,2025,2025-08,37,0.3783783783783784,0.40540540540540543,-0.02702702702702703,-21.453294785491845
H4_opening_range_failed_breakdown_long,2025,2025-09,35,0.3142857142857143,0.4857142857142857,-0.17142857142857143,-32.269244244799154
H4_opening_range_failed_breakdown_long,2025,2025-10,52,0.4423076923076923,0.4807692307692308,-0.038461538461538464,-24.678024700206283
H4_opening_range_failed_breakdown_long,2025,2025-11,42,0.40476190476190477,0.4523809523809524,-0.047619047619047616,-29.863050460688523
H4_opening_range_failed_breakdown_long,2025,2025-12,44,0.36363636363636365,0.4318181818181818,-0.06818181818181818,-19.366699774084154
H4_opening_range_failed_breakdown_long,2026,2026-01,20,0.5,0.75,-0.25,-5.414981476284879
H4_opening_range_failed_breakdown_long,2026,2026-02,37,0.4594594594594595,0.5945945945945946,-0.13513513513513514,-12.719595513494587
H4_opening_range_failed_breakdown_long,2026,2026-03,60,0.48333333333333334,0.5,-0.016666666666666666,-9.538431484017815
H4_opening_range_failed_breakdown_long,2026,2026-04,51,0.5686274509803921,0.5294117647058824,0.0392156862745098,-9.309645530455162
H4_opening_range_failed_breakdown_long,2026,2026-05,36,0.3611111111111111,0.4166666666666667,-0.05555555555555555,-25.602178071863484
H4_opening_range_failed_breakdown_long,2026,2026-06,35,0.45714285714285713,0.37142857142857144,0.08571428571428572,-8.417397110076362
H5_activity_activated_downside_expansion_long,2025,2025-01,54,0.3888888888888889,0.46296296296296297,-0.07407407407407407,-16.619624330658507
H5_activity_activated_downside_expansion_long,2025,2025-02,53,0.3584905660377358,0.37735849056603776,-0.018867924528301886,-19.92176658304523
H5_activity_activated_downside_expansion_long,2025,2025-03,73,0.410958904109589,0.4383561643835616,-0.0273972602739726,-16.369933056430245
H5_activity_activated_downside_expansion_long,2025,2025-04,69,0.21739130434782608,0.3188405797101449,-0.10144927536231885,-25.512010212418865
H5_activity_activated_downside_expansion_long,2025,2025-05,44,0.20454545454545456,0.36363636363636365,-0.1590909090909091,-28.448846188297566
H5_activity_activated_downside_expansion_long,2025,2025-06,35,0.22857142857142856,0.3142857142857143,-0.08571428571428572,-25.069195019559704
H5_activity_activated_downside_expansion_long,2025,2025-07,26,0.34615384615384615,0.46153846153846156,-0.11538461538461539,-17.314871191735264
H5_activity_activated_downside_expansion_long,2025,2025-08,16,0.375,0.5,-0.125,-17.22185061458831
H5_activity_activated_downside_expansion_long,2025,2025-09,20,0.35,0.5,-0.15,-19.720929096936782
H5_activity_activated_downside_expansion_long,2025,2025-10,82,0.21951219512195122,0.24390243902439024,-0.024390243902439025,-28.32474354493459
H5_activity_activated_downside_expansion_long,2025,2025-11,31,0.3225806451612903,0.3870967741935484,-0.06451612903225806,-20.77630558568007
H5_activity_activated_downside_expansion_long,2025,2025-12,16,0.4375,0.5,-0.0625,-14.769939443806104
H5_activity_activated_downside_expansion_long,2026,2026-01,21,0.5238095238095238,0.47619047619047616,0.047619047619047616,-11.519626381489095
H5_activity_activated_downside_expansion_long,2026,2026-02,26,0.5,0.4230769230769231,0.07692307692307693,-8.175644311450903
H5_activity_activated_downside_expansion_long,2026,2026-03,47,0.44680851063829785,0.46808510638297873,-0.02127659574468085,-11.96970807887755
H5_activity_activated_downside_expansion_long,2026,2026-04,50,0.26,0.34,-0.08,-22.7113323177491
H5_activity_activated_downside_expansion_long,2026,2026-05,24,0.375,0.4583333333333333,-0.08333333333333333,-17.261893434299576
H5_activity_activated_downside_expansion_long,2026,2026-06,43,0.5116279069767442,0.3023255813953488,0.20930232558139536,-7.640054591432967
