detector,period,hit_type,rows,share,mean_mfe_r,mean_mae_r,mean_dynamic_net_bps
H3_two_bar_reversal_confirmation_long,2025,no_touch_time_exit,30,0.02338269680436477,0.6439038046311194,0.7121023654979678,9.711162439207046
H3_two_bar_reversal_confirmation_long,2025,stop_first,652,0.5081839438815277,1.3099638053683138,2.8178438341380643,-94.20594549093084
H3_two_bar_reversal_confirmation_long,2025,stop_gap_or_open_first,7,0.005455962587685113,1.7678487379595513,4.816471747880223,-83.08597525782628
H3_two_bar_reversal_confirmation_long,2025,target_first,588,0.4583008573655495,3.1238014733194235,1.358518459859359,72.57104301329696
H3_two_bar_reversal_confirmation_long,2025,target_gap_or_open_first,1,0.000779423226812159,1.285714285714242,2.142857142857109,18.259991925716488
H3_two_bar_reversal_confirmation_long,2026,dual_touch_conservative_stop,1,0.0017452006980802793,8.823529411764811,1.2647058823529505,-87.51937984496027
H3_two_bar_reversal_confirmation_long,2026,no_touch_time_exit,21,0.03664921465968586,0.6907943140774869,0.7692715410104887,-16.820638255724436
H3_two_bar_reversal_confirmation_long,2026,stop_first,289,0.5043630017452007,1.3516527989456901,2.948122705907396,-89.21296948157537
H3_two_bar_reversal_confirmation_long,2026,stop_gap_or_open_first,4,0.006980802792321117,1.097589705331973,2.2919189159960367,-102.64551018335204
H3_two_bar_reversal_confirmation_long,2026,target_first,258,0.450261780104712,3.1970496462860933,1.5355851602215844,68.87272764272763
H4_opening_range_failed_breakdown_long,2025,dual_touch_conservative_stop,18,0.03805496828752643,5.789636979432149,6.347951959533409,-46.623798862893686
H4_opening_range_failed_breakdown_long,2025,no_touch_time_exit,2,0.004228329809725159,0.767431860465121,0.8302313953488385,-12.989396367448215
H4_opening_range_failed_breakdown_long,2025,stop_first,265,0.5602536997885835,2.719894166064875,3.9934009197083316,-68.06489579660243
H4_opening_range_failed_breakdown_long,2025,target_first,186,0.39323467230443976,4.709793104819328,2.5146387206033296,43.27745439896005
H4_opening_range_failed_breakdown_long,2025,target_gap_or_open_first,2,0.004228329809725159,1.7122278003729692,3.749999999999941,36.488149205997644
H4_opening_range_failed_breakdown_long,2026,dual_touch_conservative_stop,7,0.029288702928870293,5.4117276734685005,10.369442198991786,-40.16693377222594
H4_opening_range_failed_breakdown_long,2026,no_touch_time_exit,1,0.0041841004184100415,0.47331006731185093,0.5395998121529645,-12.709089197439063
H4_opening_range_failed_breakdown_long,2026,stop_first,116,0.48535564853556484,1.7630615693361018,4.720297244077742,-69.74220888253069
H4_opening_range_failed_breakdown_long,2026,stop_gap_or_open_first,1,0.0041841004184100415,0.0002650039750850098,10.925151377270856,-34.741387081602674
H4_opening_range_failed_breakdown_long,2026,target_first,114,0.4769874476987448,3.585246004380838,2.5902755416397993,48.915837359641635
H5_activity_activated_downside_expansion_long,2025,dual_touch_conservative_stop,175,0.3371868978805395,9.365272162280212,8.58222342870694,-39.02034327069922
H5_activity_activated_downside_expansion_long,2025,no_touch_time_exit,1,0.0019267822736030828,0.1930626974223609,0.9275411822297391,-76.56705408440101
H5_activity_activated_downside_expansion_long,2025,stop_first,183,0.35260115606936415,5.2123810662402965,9.30978130542109,-40.69570933309146
H5_activity_activated_downside_expansion_long,2025,stop_gap_or_open_first,1,0.0019267822736030828,1.66666666666668,9.222222222222245,-66.35566687539173
H5_activity_activated_downside_expansion_long,2025,target_first,159,0.3063583815028902,9.893086139629917,4.227747746120565,19.231516132616747
H5_activity_activated_downside_expansion_long,2026,dual_touch_conservative_stop,55,0.26066350710900477,8.416878391349119,9.182215054126443,-35.95153092885468
H5_activity_activated_downside_expansion_long,2026,stop_first,67,0.3175355450236967,5.303798266591111,7.610801110516902,-38.14272922222366
H5_activity_activated_downside_expansion_long,2026,target_first,89,0.4218009478672986,9.653458167720952,5.818512482805923,18.398510869859443
