detector,period,deleted_symbol,rows,target_first_precision,precision_lift,dynamic_mean_net_bps
H2_failed_breakdown_reclaim_long,2025,CIFR,2804,0.4607703281027104,-0.012838801711840228,-14.214403462453854
H2_failed_breakdown_reclaim_long,2025,HIMS,2787,0.45676354503049876,-0.017581628991747398,-14.90237444739379
H2_failed_breakdown_reclaim_long,2025,IONQ,2802,0.46216987865810133,-0.009992862241256246,-14.04930614066095
H2_failed_breakdown_reclaim_long,2025,IREN,2802,0.46074232690935046,-0.01034975017844397,-14.140380711204267
H2_failed_breakdown_reclaim_long,2025,MARA,2788,0.4569583931133429,-0.013988522238163558,-14.614955693465303
H2_failed_breakdown_reclaim_long,2025,MP,2806,0.4586600142551675,-0.01639344262295082,-14.542392772501065
H2_failed_breakdown_reclaim_long,2025,MRNA,2811,0.4585556741373177,-0.017075773745997867,-14.589923710164479
H2_failed_breakdown_reclaim_long,2025,MSTR,2796,0.459585121602289,-0.016452074391988557,-14.601001386697709
H2_failed_breakdown_reclaim_long,2025,NVTS,2811,0.45819992885094274,-0.016364283173247954,-14.570761437618067
H2_failed_breakdown_reclaim_long,2025,QBTS,2789,0.4585873072785945,-0.01613481534600215,-14.410359744374771
H2_failed_breakdown_reclaim_long,2025,RGTI,2792,0.457378223495702,-0.02148997134670487,-14.392849805761273
H2_failed_breakdown_reclaim_long,2025,RIOT,2799,0.4573061807788496,-0.015719899964272956,-14.525365044146268
H2_failed_breakdown_reclaim_long,2025,RIVN,2809,0.4595941616233535,-0.015307938768244928,-14.603850898398422
H2_failed_breakdown_reclaim_long,2025,SMCI,2795,0.457602862254025,-0.01932021466905188,-14.644016667632833
H2_failed_breakdown_reclaim_long,2025,SOFI,2825,0.4584070796460177,-0.011327433628318584,-14.6253409113011
H2_failed_breakdown_reclaim_long,2025,WULF,2787,0.4596340150699677,-0.016505202726946538,-14.198210828392538
H2_failed_breakdown_reclaim_long,2026,AAOI,1309,0.5026737967914439,0.03819709702062643,-9.540657813794175
H2_failed_breakdown_reclaim_long,2026,APLD,1319,0.5079605761940864,0.04700530705079606,-8.663465532127708
H2_failed_breakdown_reclaim_long,2026,ASTS,1313,0.5011424219345011,0.03808073115003808,-9.791625202593709
H2_failed_breakdown_reclaim_long,2026,CIFR,1305,0.5103448275862069,0.0421455938697318,-8.480069354177425
H2_failed_breakdown_reclaim_long,2026,HIMS,1304,0.5099693251533742,0.04524539877300614,-8.55153696662793
H2_failed_breakdown_reclaim_long,2026,IONQ,1299,0.5057736720554272,0.04080061585835258,-8.934606987003574
H2_failed_breakdown_reclaim_long,2026,IREN,1298,0.49922958397534667,0.03697996918335902,-9.343286193374443
H2_failed_breakdown_reclaim_long,2026,MARA,1304,0.5053680981595092,0.03144171779141104,-9.04258802610827
H2_failed_breakdown_reclaim_long,2026,MP,1316,0.5083586626139818,0.03951367781155015,-8.777904438695469
H2_failed_breakdown_reclaim_long,2026,MRNA,1311,0.5041952707856598,0.04271548436308162,-8.772134468324682
H2_failed_breakdown_reclaim_long,2026,MSTR,1300,0.5053846153846154,0.047692307692307694,-8.926589106179364
H2_failed_breakdown_reclaim_long,2026,NVTS,1310,0.5053435114503817,0.03740458015267176,-9.091494861316407
H2_failed_breakdown_reclaim_long,2026,QBTS,1304,0.5015337423312883,0.03680981595092025,-9.540719017058262
H2_failed_breakdown_reclaim_long,2026,RGTI,1311,0.5087719298245614,0.04271548436308162,-8.767848848835627
H2_failed_breakdown_reclaim_long,2026,RIOT,1307,0.5026778882938026,0.04055087987758225,-9.281357401294326
H2_failed_breakdown_reclaim_long,2026,RIVN,1319,0.5041698256254739,0.03639120545868082,-9.069756115915235
H2_failed_breakdown_reclaim_long,2026,SMCI,1310,0.5030534351145038,0.042748091603053436,-9.19568096712533
H2_failed_breakdown_reclaim_long,2026,SOFI,1314,0.5,0.0319634703196347,-9.23661329177975
H2_failed_breakdown_reclaim_long,2026,WULF,1305,0.503448275862069,0.038314176245210725,-9.271329295751563
H3_two_bar_reversal_confirmation_long,2025,AAL,1225,0.4636734693877551,-0.006530612244897959,-15.087633561129232
