run_id,period,session,episode_id,pair,loop,orientation,regime,component,source_artifact,source_hash,calendar_cells,payoff_available_cells,positive_label_available_cells,positive_cells,missing_payoff_cells
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_02|state_1,cycle_02,state_1,state_1,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,24,18,2,226
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_02|state_2,cycle_02,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,4,3,0,246
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_04|state_2,cycle_04,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,8,5,1,242
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_04|state_4,cycle_04,state_4,state_4,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,87,51,26,163
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_05|state_0,cycle_05,state_0,state_0,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,105,82,33,145
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_06|state_4,cycle_06,state_4,state_4,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,244,184,41,6
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_06|state_6,cycle_06,state_6,state_6,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,249,189,43,1
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_07|state_5,cycle_07,state_5,state_5,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,224,165,57,26
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_07|state_6,cycle_07,state_6,state_6,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,192,140,25,58
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_08|state_3,cycle_08,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,12,11,1,238
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_08|state_4,cycle_08,state_4,state_4,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,34,21,6,216
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_09|state_3,cycle_09,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,22,17,6,228
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_09|state_6,cycle_09,state_6,state_6,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,92,57,6,158
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_10|state_1,cycle_10,state_1,state_1,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,12,12,3,238
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_11|state_2,cycle_11,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,19,12,3,231
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_11|state_5,cycle_11,state_5,state_5,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,159,117,33,91
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_13|state_5,cycle_13,state_5,state_5,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,123,89,24,127
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_13|state_7,cycle_13,state_7,state_7,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,216,164,29,34
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_20|state_2,cycle_20,state_2,state_2,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,1,0,0,249
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,cycle_20|state_3,cycle_20,state_3,state_3,descriptive,v2_causal_feature_panel.parquet|v2_hindsight_episode_states.parquet,6873455f8ecdf57b04a3c6ffb253931de97d7d05f945253e8b89a2f4e1b271f2|eefe7a92b0818a29996f55a56db0d05d910119082686e288ed6d2af3307201e3,250,6,5,1,244
