scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
checkpoint,6,up_given_large_move,D3,4,0.29999999999999999,0.40000000000000002,14,0.35883450888180451,0.42857142857142855
checkpoint,6,up_given_large_move,D3,5,0.40000000000000002,0.5,141,0.4615368743248881,0.51063829787234039
checkpoint,6,up_given_large_move,D3,6,0.5,0.59999999999999998,283,0.55098195065053956,0.53356890459363959
checkpoint,6,up_given_large_move,D3,7,0.59999999999999998,0.69999999999999996,148,0.63344875809538204,0.57432432432432434
checkpoint,6,up_given_large_move,D3,8,0.69999999999999996,0.80000000000000004,37,0.72918872283502945,0.56756756756756754
checkpoint,6,up_given_large_move,D3,9,0.80000000000000004,0.90000000000000002,7,0.8234360397148216,0.14285714285714285
checkpoint,6,up_given_large_move,D3,10,0.90000000000000002,1,1,0.91215131183828801,1
checkpoint,12,large_remaining_move,P0,1,0,0.10000000000000001,0,,
checkpoint,12,large_remaining_move,P0,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,12,large_remaining_move,P0,3,0.20000000000000001,0.29999999999999999,3131,0.25116044080576405,0.21654423506866816
checkpoint,12,large_remaining_move,P0,4,0.29999999999999999,0.40000000000000002,0,,
checkpoint,12,large_remaining_move,P0,5,0.40000000000000002,0.5,0,,
checkpoint,12,large_remaining_move,P0,6,0.5,0.59999999999999998,0,,
checkpoint,12,large_remaining_move,P0,7,0.59999999999999998,0.69999999999999996,0,,
checkpoint,12,large_remaining_move,P0,8,0.69999999999999996,0.80000000000000004,0,,
checkpoint,12,large_remaining_move,P0,9,0.80000000000000004,0.90000000000000002,0,,
checkpoint,12,large_remaining_move,P0,10,0.90000000000000002,1,0,,
checkpoint,12,large_remaining_move,P1,1,0,0.10000000000000001,0,,
checkpoint,12,large_remaining_move,P1,2,0.10000000000000001,0.20000000000000001,945,0.17480020473724148,0.12169312169312169
checkpoint,12,large_remaining_move,P1,3,0.20000000000000001,0.29999999999999999,1386,0.241258896424,0.20202020202020202
checkpoint,12,large_remaining_move,P1,4,0.29999999999999999,0.40000000000000002,485,0.33892156697340481,0.28453608247422679
checkpoint,12,large_remaining_move,P1,5,0.40000000000000002,0.5,156,0.44253824088281007,0.40384615384615385
checkpoint,12,large_remaining_move,P1,6,0.5,0.59999999999999998,77,0.54513002224238605,0.48051948051948051
checkpoint,12,large_remaining_move,P1,7,0.59999999999999998,0.69999999999999996,32,0.65376065601286837,0.5625
checkpoint,12,large_remaining_move,P1,8,0.69999999999999996,0.80000000000000004,25,0.74941044494123343,0.52000000000000002
checkpoint,12,large_remaining_move,P1,9,0.80000000000000004,0.90000000000000002,16,0.84260776902541668,0.625
checkpoint,12,large_remaining_move,P1,10,0.90000000000000002,1,9,0.9412183924660984,0.44444444444444442
checkpoint,12,large_remaining_move,P2,1,0,0.10000000000000001,67,0.088560166191871278,0.1044776119402985
checkpoint,12,large_remaining_move,P2,2,0.10000000000000001,0.20000000000000001,1109,0.15629726995621632,0.12263300270513977
checkpoint,12,large_remaining_move,P2,3,0.20000000000000001,0.29999999999999999,1110,0.2447751786485553,0.19909909909909909
checkpoint,12,large_remaining_move,P2,4,0.29999999999999999,0.40000000000000002,478,0.34155446125478095,0.31380753138075312
checkpoint,12,large_remaining_move,P2,5,0.40000000000000002,0.5,201,0.4420848252130668,0.40298507462686567
checkpoint,12,large_remaining_move,P2,6,0.5,0.59999999999999998,94,0.54349515563915884,0.43617021276595747
checkpoint,12,large_remaining_move,P2,7,0.59999999999999998,0.69999999999999996,43,0.64242856989305885,0.58139534883720934
checkpoint,12,large_remaining_move,P2,8,0.69999999999999996,0.80000000000000004,16,0.74459407249414378,0.75
checkpoint,12,large_remaining_move,P2,9,0.80000000000000004,0.90000000000000002,10,0.83962912794048505,0.40000000000000002
