scope_type,scope_value,target,model,bin,lower_bound,upper_bound,row_count,mean_probability,observed_rate
checkpoint,12,large_remaining_move,P2,10,0.90000000000000002,1,3,0.94350692988223128,0.33333333333333331
checkpoint,12,large_remaining_move,P3,1,0,0.10000000000000001,65,0.087836300586285943,0.092307692307692313
checkpoint,12,large_remaining_move,P3,2,0.10000000000000001,0.20000000000000001,1160,0.15530510944911777,0.12586206896551724
checkpoint,12,large_remaining_move,P3,3,0.20000000000000001,0.29999999999999999,1067,0.24441033499632983,0.20524835988753515
checkpoint,12,large_remaining_move,P3,4,0.29999999999999999,0.40000000000000002,458,0.3440885113917988,0.31004366812227074
checkpoint,12,large_remaining_move,P3,5,0.40000000000000002,0.5,196,0.43937002520431861,0.38775510204081631
checkpoint,12,large_remaining_move,P3,6,0.5,0.59999999999999998,109,0.5414663148454435,0.42201834862385323
checkpoint,12,large_remaining_move,P3,7,0.59999999999999998,0.69999999999999996,44,0.64659590529683741,0.54545454545454541
checkpoint,12,large_remaining_move,P3,8,0.69999999999999996,0.80000000000000004,19,0.741493620002321,0.73684210526315785
checkpoint,12,large_remaining_move,P3,9,0.80000000000000004,0.90000000000000002,11,0.84647211214472007,0.36363636363636365
checkpoint,12,large_remaining_move,P3,10,0.90000000000000002,1,2,0.96949378044306644,0.5
checkpoint,12,up_given_large_move,D0,1,0,0.10000000000000001,0,,
checkpoint,12,up_given_large_move,D0,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,12,up_given_large_move,D0,3,0.20000000000000001,0.29999999999999999,0,,
checkpoint,12,up_given_large_move,D0,4,0.29999999999999999,0.40000000000000002,0,,
checkpoint,12,up_given_large_move,D0,5,0.40000000000000002,0.5,0,,
checkpoint,12,up_given_large_move,D0,6,0.5,0.59999999999999998,677,0.55624167342932151,0.55243722304283605
checkpoint,12,up_given_large_move,D0,7,0.59999999999999998,0.69999999999999996,1,0.60165330531600059,0
checkpoint,12,up_given_large_move,D0,8,0.69999999999999996,0.80000000000000004,0,,
checkpoint,12,up_given_large_move,D0,9,0.80000000000000004,0.90000000000000002,0,,
checkpoint,12,up_given_large_move,D0,10,0.90000000000000002,1,0,,
checkpoint,12,up_given_large_move,D1,1,0,0.10000000000000001,0,,
checkpoint,12,up_given_large_move,D1,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,12,up_given_large_move,D1,3,0.20000000000000001,0.29999999999999999,1,0.25642896376448182,0
checkpoint,12,up_given_large_move,D1,4,0.29999999999999999,0.40000000000000002,3,0.36884773739401711,0.33333333333333331
checkpoint,12,up_given_large_move,D1,5,0.40000000000000002,0.5,116,0.47651038009661639,0.5431034482758621
checkpoint,12,up_given_large_move,D1,6,0.5,0.59999999999999998,400,0.54986830636875605,0.5625
checkpoint,12,up_given_large_move,D1,7,0.59999999999999998,0.69999999999999996,139,0.63358598069648697,0.50359712230215825
checkpoint,12,up_given_large_move,D1,8,0.69999999999999996,0.80000000000000004,18,0.72961227589867539,0.77777777777777779
checkpoint,12,up_given_large_move,D1,9,0.80000000000000004,0.90000000000000002,1,0.89915770246028026,1
checkpoint,12,up_given_large_move,D1,10,0.90000000000000002,1,0,,
checkpoint,12,up_given_large_move,D2,1,0,0.10000000000000001,0,,
checkpoint,12,up_given_large_move,D2,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,12,up_given_large_move,D2,3,0.20000000000000001,0.29999999999999999,2,0.25169617832295543,0
checkpoint,12,up_given_large_move,D2,4,0.29999999999999999,0.40000000000000002,8,0.38273429806027587,0.625
checkpoint,12,up_given_large_move,D2,5,0.40000000000000002,0.5,162,0.46299218784900492,0.55555555555555558
checkpoint,12,up_given_large_move,D2,6,0.5,0.59999999999999998,294,0.55288661574246867,0.53061224489795922
checkpoint,12,up_given_large_move,D2,7,0.59999999999999998,0.69999999999999996,179,0.64017964760304347,0.5977653631284916
checkpoint,12,up_given_large_move,D2,8,0.69999999999999996,0.80000000000000004,26,0.73654071943630273,0.46153846153846156
checkpoint,12,up_given_large_move,D2,9,0.80000000000000004,0.90000000000000002,6,0.84169076569008316,0.5
checkpoint,12,up_given_large_move,D2,10,0.90000000000000002,1,1,0.95769648409015251,1
checkpoint,12,up_given_large_move,D3,1,0,0.10000000000000001,0,,
checkpoint,12,up_given_large_move,D3,2,0.10000000000000001,0.20000000000000001,0,,
checkpoint,12,up_given_large_move,D3,3,0.20000000000000001,0.29999999999999999,1,0.26888471831321481,0
checkpoint,12,up_given_large_move,D3,4,0.29999999999999999,0.40000000000000002,12,0.37499502955071962,0.66666666666666663
checkpoint,12,up_given_large_move,D3,5,0.40000000000000002,0.5,152,0.46338357441984995,0.54605263157894735
checkpoint,12,up_given_large_move,D3,6,0.5,0.59999999999999998,305,0.54953784423496899,0.53442622950819674
checkpoint,12,up_given_large_move,D3,7,0.59999999999999998,0.69999999999999996,171,0.6380189876014446,0.59649122807017541
checkpoint,12,up_given_large_move,D3,8,0.69999999999999996,0.80000000000000004,31,0.7395100964057244,0.4838709677419355
checkpoint,12,up_given_large_move,D3,9,0.80000000000000004,0.90000000000000002,5,0.85110894977058338,0.40000000000000002
checkpoint,12,up_given_large_move,D3,10,0.90000000000000002,1,1,0.9498883228494851,1
month,2025-01,large_remaining_move,P0,1,0,0.10000000000000001,0,,
month,2025-01,large_remaining_move,P0,2,0.10000000000000001,0.20000000000000001,0,,
month,2025-01,large_remaining_move,P0,3,0.20000000000000001,0.29999999999999999,800,0.25080219577932433,0.26000000000000001
month,2025-01,large_remaining_move,P0,4,0.29999999999999999,0.40000000000000002,0,,
month,2025-01,large_remaining_move,P0,5,0.40000000000000002,0.5,0,,
month,2025-01,large_remaining_move,P0,6,0.5,0.59999999999999998,0,,
month,2025-01,large_remaining_move,P0,7,0.59999999999999998,0.69999999999999996,0,,
month,2025-01,large_remaining_move,P0,8,0.69999999999999996,0.80000000000000004,0,,
month,2025-01,large_remaining_move,P0,9,0.80000000000000004,0.90000000000000002,0,,
month,2025-01,large_remaining_move,P0,10,0.90000000000000002,1,0,,
month,2025-01,large_remaining_move,P1,1,0,0.10000000000000001,0,,
month,2025-01,large_remaining_move,P1,2,0.10000000000000001,0.20000000000000001,157,0.17463760065776762,0.095541401273885357
month,2025-01,large_remaining_move,P1,3,0.20000000000000001,0.29999999999999999,336,0.24810387794344854,0.21428571428571427
month,2025-01,large_remaining_move,P1,4,0.29999999999999999,0.40000000000000002,166,0.34032573429089857,0.26506024096385544
month,2025-01,large_remaining_move,P1,5,0.40000000000000002,0.5,54,0.44067401119292376,0.3888888888888889
month,2025-01,large_remaining_move,P1,6,0.5,0.59999999999999998,36,0.54527248700506059,0.52777777777777779
month,2025-01,large_remaining_move,P1,7,0.59999999999999998,0.69999999999999996,15,0.64171632739550477,0.80000000000000004
month,2025-01,large_remaining_move,P1,8,0.69999999999999996,0.80000000000000004,16,0.74313158264584012,0.6875
month,2025-01,large_remaining_move,P1,9,0.80000000000000004,0.90000000000000002,11,0.86043483338976434,0.90909090909090906
month,2025-01,large_remaining_move,P1,10,0.90000000000000002,1,9,0.93694238478047553,0.44444444444444442
