scope_type,scope_value,target,model,brier_score,log_loss,auc,calibration_intercept,calibration_slope,expected_calibration_error,base_rate,row_count,session_count,stock_count
month,2025-02,large_remaining_move,P3,0.18101377417904746,0.54761208150595331,0.58429243790539476,-0.80642545972377444,0.43390708029329411,0.065733476201268737,0.22631578947368422,760,19,20
month,2025-02,up_given_large_move,D0,0.24614961320126147,0.68543299740085206,0.51257731958762887,0.30745969028846853,-0.23956414871622553,0.011739520392446967,0.56395348837209303,172,19,20
month,2025-02,up_given_large_move,D1,0.24323872664694088,0.67910466850510998,0.55271477663230251,0.069409979599354452,0.81049349766360612,0.07034533179166573,0.56395348837209303,172,19,20
month,2025-02,up_given_large_move,D2,0.24482899219943688,0.68243950663604069,0.54982817869415812,0.12147347251308296,0.59863545004775254,0.044727747788136492,0.56395348837209303,172,19,20
month,2025-02,up_given_large_move,D3,0.24378718662840057,0.68041273092633869,0.5663230240549828,0.10953316866082859,0.67970177692404787,0.041143527457380834,0.56395348837209303,172,19,20
month,2025-03,large_remaining_move,P0,0.16459371658838631,0.51203524380859677,0.5202048098757639,45.077764993861827,42.437318400819201,0.046744916543047549,0.20405727923627684,838,21,20
month,2025-03,large_remaining_move,P1,0.15864168791721459,0.49967545083999226,0.63418290854572712,-0.55660487384376844,0.78816958459343189,0.066970588460208438,0.20405727923627684,838,21,20
month,2025-03,large_remaining_move,P2,0.15798249052157495,0.4945418587133677,0.64576483687980568,-0.49286185577947755,0.82441030908738555,0.061411937116354155,0.20405727923627684,838,21,20
month,2025-03,large_remaining_move,P3,0.15798957893096618,0.49419937165907007,0.6457999070640118,-0.48534655548903999,0.83147993720990943,0.056125201130757287,0.20405727923627684,838,21,20
month,2025-03,up_given_large_move,D0,0.24614991977794709,0.68537849209059665,0.65850302696752894,-3.934405272759613,19.327966160812778,0.015121096076195939,0.53801169590643272,171,21,20
month,2025-03,up_given_large_move,D1,0.24641036905357977,0.68603060951986594,0.55668684645019251,-0.040485935951891198,0.83253805844449724,0.026530670361573222,0.53801169590643272,171,21,20
