symbol,con_id,original_opening_bars,recheck_complete,recheck_opening_bars,available_minutes_utc,checked_at_utc,broker_error
069540,852104920,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:04.818778+00:00,
071950,839403950,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.971166+00:00,
072950,852102702,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.292487+00:00,
073010,852104631,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:09.370024+00:00,
079940,852101109,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.245316+00:00,
080160,387124702,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:57.356191+00:00,
081180,852105436,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:10.727396+00:00,
083640,852100643,,False,3,2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:08.146962+00:00,
083650,850786714,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.486027+00:00,
085810,852106214,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:05.496891+00:00,
087600,852102727,,False,0,,2026-09-14T09:02:05.980595+00:00,IBKR historical data returned no bars for 087600
089890,852103437,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:13.236417+00:00,
092040,401779056,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:08.388249+00:00,
093370,52335146,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:05.080859+00:00,
096870,852106257,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:13.208980+00:00,
098120,852101062,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:12.968989+00:00,
100130,464661649,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:01:58.059385+00:00,
100590,852102110,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:00.756174+00:00,
101140,839405385,,True,5,2026-09-14T00:00:00+00:00;2026-09-14T00:01:00+00:00;2026-09-14T00:02:00+00:00;2026-09-14T00:03:00+00:00;2026-09-14T00:04:00+00:00,2026-09-14T09:02:06.970955+00:00,
