mode,max_lead_hours,split,accepted_events,covered_events,coverage_rate,exact_matches,source_total_r,source_mean_r,source_win_rate,covered_accepted_total_r,covered_accepted_mean_r,median_lead_min
same_future_loop_regime,24,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,24,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,120,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,120,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_future_loop_regime,120,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,1,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,1,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,1,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,4,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,4,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,4,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,24,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,24,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,24,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,120,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,120,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_source_loop,120,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_symbol_any_loop,1,train_pre_2026,72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_symbol_any_loop,1,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_symbol_any_loop,1,all,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_symbol_any_loop,4,train_pre_2026,72,2,0.027777777777777776,0,-0.7582892867499402,-0.3791446433749701,0.5,-1.8039613223738202,-0.9019806611869101,97.5
same_symbol_any_loop,4,forward_2026,29,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
same_symbol_any_loop,4,all,101,2,0.019801980198019802,0,-0.7582892867499402,-0.3791446433749701,0.5,-1.8039613223738202,-0.9019806611869101,97.5
same_symbol_any_loop,24,train_pre_2026,72,3,0.041666666666666664,0,0.1417107132500598,0.0472369044166866,0.6666666666666666,-2.17718536608966,-0.7257284553632201,130.0
same_symbol_any_loop,24,forward_2026,29,2,0.06896551724137931,0,0.97632678085964,0.48816339042982,1.0,0.53019376992888,0.26509688496444,1400.0
same_symbol_any_loop,24,all,101,5,0.04950495049504951,0,1.1180374941096998,0.22360749882193995,0.8,-1.6469915961607802,-0.329398319232156,1385.0
same_symbol_any_loop,120,train_pre_2026,72,7,0.09722222222222222,0,-0.25828928674994056,-0.036898469535705795,0.5714285714285714,-1.1684633626706402,-0.16692333752437719,1450.0
same_symbol_any_loop,120,forward_2026,29,2,0.06896551724137931,0,0.97632678085964,0.48816339042982,1.0,0.53019376992888,0.26509688496444,1400.0
same_symbol_any_loop,120,all,101,9,0.0891089108910891,0,0.7180374941096999,0.07978194378996666,0.6666666666666666,-0.6382695927417602,-0.07091884363797335,1400.0
