signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
short__return_3_bin__above_plus_one_scale__e4926633a8,SHORT,univariate,1,1574,240,20,-13.0908517173,-2.20869289558e-06,0.911579408256,0.999955450325,-0.159238182843,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_3_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]"
short__return_3_bin__below_minus_one_scale__7b9540dd98,SHORT,univariate,1,1581,240,20,-13.3915144031,-0.00267691877859,0.864543278622,0.999955450325,-0.154713759638,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_3_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
short__return_3_bin__minus_one_to_zero__618eec5ebc,SHORT,univariate,1,3215,252,20,-11.9677006995,-0.00308259150773,0.763335399795,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_3_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
short__return_3_bin__zero_to_plus_one__51815a58f3,SHORT,univariate,1,3410,251,20,-8.28642526698,0.00414845066537,0.589058148832,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_3_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
short__return_6_bin__above_plus_one_scale__3d8599078b,SHORT,univariate,1,2384,247,20,-28.6453945191,-0.022489054501,0.811499855752,0.999955450325,-0.176914261402,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]"
short__return_6_bin__below_minus_one_scale__bd16311728,SHORT,univariate,1,2455,247,20,-3.45066338907,0.00718432813131,0.85871672463,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""below_minus_one_scale""}]"
short__return_6_bin__minus_one_to_zero__bf6252c4b0,SHORT,univariate,1,2447,251,20,-9.44126591393,0.00340314879954,0.959063223317,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
short__return_6_bin__zero_to_plus_one__1b44ac73bc,SHORT,univariate,1,2494,252,20,-3.46634961445,0.0110861568788,0.819282415953,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
short__return_6_cross_sectional_rank_bin__bottom_20__0325321898,SHORT,univariate,1,1960,248,20,-12.1179558896,-0.00563519886482,0.943024229727,0.999955450325,-0.160834272359,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""bottom_20""}]"
short__return_6_cross_sectional_rank_bin__middle_60__ed9284c402,SHORT,univariate,1,5843,250,20,-9.5943477237,0.000159367806618,0.956553148749,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""middle_60""}]"
