neutral_veto_id,condition_count,conditions_json,rows,sessions,stocks,neutral_rate,base_neutral_rate,neutral_lift,mean_long_net_bps,mean_short_net_bps,raw_p_value,fdr_q_value,neutral_score,neutral_discovery_eligible,rejection_reasons_json
neutral_veto__0017c07abf9b,2,"[{""family"":""clock"",""feature"":""decision_clock"",""operator"":""=="",""value"":""clock_12""},{""family"":""loop"",""feature"":""top_loop_score_bin"",""operator"":""=="",""value"":""middle""}]",734,226,20,0.0994550408719,0.0975460122699,0.001909028602,-16.8699968041,-3.13000319589,0.535676489923,0.964508567062,0.000636342867332,False,"[""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__0017f0bf702c,3,"[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""2_3""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>4""}]",43,35,17,0.046511627907,0.0975460122699,-0.051034384363,-46.7870444159,26.7870444159,1,1,-0.00182873210634,False,"[""insufficient_rows"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__0019a134935e,3,"[{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":1.0},{""family"":""movement_permission"",""feature"":""range_to_cost_bin"",""operator"":""=="",""value"":""high""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>3>4""}]",0,0,0,,0.0975460122699,,,,1,1,,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""insufficient_months"",""insufficient_directional_outcomes"",""fdr_not_passed""]"
neutral_veto__001cec0757cc,3,"[{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""0>1""},{""family"":""loop"",""feature"":""top_loop_orientation"",""operator"":""=="",""value"":""bidirectional""}]",45,36,12,0.133333333333,0.0975460122699,0.0357873210634,-40.367061,20.367061,1,1,0.00219604015616,False,"[""insufficient_rows"",""insufficient_directional_outcomes"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__001f73e3f130,3,"[{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>6>3""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""above_plus_one_scale""},{""family"":""price_location"",""feature"":""typical_price_distance_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]",0,0,0,,0.0975460122699,,,,1,1,,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""insufficient_months"",""insufficient_directional_outcomes"",""fdr_not_passed""]"
neutral_veto__001f84b5d0fc,3,"[{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":4.0},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""state_history"",""feature"":""same_orientation_repeat_bin"",""operator"":""=="",""value"":""1""}]",217,127,19,0.0783410138249,0.0975460122699,-0.0192049984451,-59.9213098299,39.9213098299,0.649984630512,0.994787665169,-0.00960249922253,False,"[""neutral_lift_not_positive"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__00213ddfcbf1,3,"[{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""above_plus_one_scale""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""2>0""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""above_plus_one_scale""}]",6,6,3,0,0.0975460122699,-0.0975460122699,-1.83041839656,-18.1695816034,1,1,-0,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""stock_concentration"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__002292dad62b,3,"[{""family"":""clock"",""feature"":""decision_clock"",""operator"":""=="",""value"":""clock_36""},{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""above_plus_one_scale""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""0>1>0""}]",16,16,8,0.125,0.0975460122699,0.0274539877301,5.63327362175,-25.6332736217,1,1,0.000266220487079,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_directional_outcomes"",""directional_payoff_not_suppressed"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
neutral_veto__0022be71c487,3,"[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""high""},{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""}]",273,159,20,0.124542124542,0.0975460122699,0.0269961122722,-3.81928972475,-16.1807102753,0.158784604478,0.741666844086,0.0157477321588,False,"[""fdr_not_passed""]"
neutral_veto__00235612bf9f,3,"[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""},{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":1.0},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""middle""}]",2,2,2,0,0.0975460122699,-0.0975460122699,-16.6210280399,-3.37897196014,1,1,-0,False,"[""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""stock_concentration"",""insufficient_months"",""insufficient_directional_outcomes"",""neutral_lift_not_positive"",""neutral_chronology_not_consistent"",""fdr_not_passed""]"
