signature_id,rejection_reasons_json
long__close_location_bin__low__0d1e2f430c,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__compatibility_entropy_bin__diffuse__decision_clock__clock_36__8d4e981da8,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks""]"
long__close_location_bin__low__decision_clock__clock_36__f3708c34ae,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__departure_probability_bin__high__return_12_bin__zero_to_plus_one__c3d1000789,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__historical_activity_bin__middle__31652be9a8,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__historical_activity_bin__middle__state_motif_2__1gt3__00743a402d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__prior_completed_dwell_bin__1_2__ea8ec47f65,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__prior_completed_dwell_bin__missing__5bb4512249,"[""chronology_not_consistent"",""fdr_not_passed""]"
long__close_location_bin__low__prior_completed_dwell_bin__missing__state_motif_2__3gt1__904166ed5c,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]"
long__close_location_bin__low__state_age_bin__2_3__state_motif_2__3gt4__c89b21e887,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]"
long__close_location_bin__low__state_motif_2__3gt4__389fbdb21d,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]"
