dimension,subgroup,model_id,primary_log_loss,primary_brier_score,primary_auc,primary_average_precision,primary_accuracy,primary_balanced_accuracy,primary_matthews_correlation_coefficient,primary_up_base_rate,primary_predicted_up_rate,primary_calibration_intercept,primary_calibration_slope,primary_expected_calibration_error,primary_episodes,selective_horizon_minutes,selective_total_episodes,selective_actions,selective_abstentions,selective_action_coverage,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_winning_aligned_return,selective_mean_losing_aligned_return,selective_payoff_ratio,selective_mean_maximum_favourable_excursion,selective_mean_maximum_adverse_excursion,selective_favourable_adverse_excursion_ratio
prior_close_atm_iv,high_prior_close_atm_iv,QS,0.726841168459921,0.266184838811922,0.419673142152328,0.541001003630349,0.491379310344828,0.48427382053654,-0.0309552255493795,0.594827586206897,0.53448275862069,0.442110973636527,-0.922473739545658,0.165903086731995,116,10,116,37,79,0.318965517241379,23,14,0.621621621621622,0.378378378378378,0.381578947368421,-0.00139560363168075,-0.00248258319335186,0.378378378378378,-0.00317854464545689,0.0146763235220702,-0.0111785158122248,1.31290448290284,0.0127048443243133,0.0148742813421635,0.854148448053044
prior_close_atm_iv,high_prior_close_atm_iv,Q1,0.746821521603376,0.273818408992723,0.458526056120876,0.55556632006364,0.508620689655172,0.491982732038236,-0.0159828710014301,0.594827586206897,0.586206896551724,0.428166336801131,-0.405648654720919,0.143352101323307,116,10,116,37,79,0.318965517241379,23,14,0.621621621621622,0.405405405405405,0.386904761904762,-0.00319150875080552,-0.00248258319335186,0.405405405405405,-0.00320056659716152,0.0106966963197712,-0.0126607394807442,0.844871370747332,0.0115323141248855,0.0149511747795877,0.771331637473071
prior_close_atm_iv,low_prior_close_atm_iv,Q0,0.734748804278737,0.268204966226458,0.503584229390681,0.554955251280013,0.559701492537313,0.558915770609319,0.117555357752136,0.537313432835821,0.514925373134328,0.15135038638396,-0.210165850120059,0.149517229768682,134,10,137,37,100,0.27007299270073,19,18,0.513513513513513,0.432432432432432,0.421474358974359,-0.00109590733181463,-0.00078950414338748,0.432432432432432,-0.00186785360208487,0.00785344685767244,-0.00791446290475717,0.99229056376674,0.00706051557258228,0.0097783387630687,0.722056756639357
prior_close_atm_iv,low_prior_close_atm_iv,QS,0.704544402672796,0.25553486902979,0.500224014336917,0.578833406934515,0.492537313432836,0.498655913978495,-0.0027175518449975,0.537313432835821,0.417910447761194,0.15360282231364,0.0663034697659706,0.0830552002207855,134,10,137,34,103,0.248175182481752,14,20,0.411764705882353,0.529411764705882,0.546428571428571,-0.000267826038771309,0.000355585198761955,0.529411764705882,-0.000661705506014879,0.00662893087893715,-0.00802667757119333,0.825862359630278,0.00846202105324721,0.00964760520038883,0.877111042324386
prior_close_atm_iv,low_prior_close_atm_iv,Q1,0.729713310533349,0.265644849389217,0.516129032258065,0.559010988156098,0.537313432835821,0.538082437275986,0.0759609521658149,0.537313432835821,0.492537313432836,0.14849738653524,-0.038722938046952,0.0930848174396769,134,10,137,40,97,0.291970802919708,22,18,0.55,0.5,0.489583333333333,0.000337849659483986,-3.86607268013191e-05,0.5,-0.000184754587877685,0.00837703104088968,-0.0077013317219217,1.08773798394434,0.00966282320154975,0.00818640634676314,1.18034981312287
m1_probability,high_m1_probability,Q0,0.74502331200778,0.273337740560062,0.473563218390805,0.459931375573292,0.559322033898305,0.560344827586207,0.121530708241066,0.491525423728814,0.559322033898305,-0.00586069694620611,-0.298118025600774,0.193113616157055,118,10,118,32,86,0.271186440677966,21,11,0.65625,0.375,0.384313725490196,-0.00195810074671429,-0.00324347345737319,0.375,-0.00330222600956962,0.0148985835181511,-0.0120721113056335,1.23413238504507,0.0114495192859231,0.0149255090071248,0.767110808780963
m1_probability,high_m1_probability,QS,0.714160330139875,0.260164475286526,0.468390804597701,0.461384970148914,0.491525423728814,0.492528735632184,-0.0150466591155606,0.491525423728814,0.559322033898305,-0.0199161658732463,-0.451612777216551,0.0642460523649593,118,10,118,29,89,0.245762711864407,16,13,0.551724137931034,0.379310344827586,0.384803921568627,-0.00254670922786758,-0.00192914489936876,0.379310344827586,-0.00394556737021466,0.0109680742832582,-0.0108057435957778,1.01502262995985,0.012174054749023,0.0149244534555364,0.815711931113087
m1_probability,high_m1_probability,Q1,0.737410795484778,0.269716794527055,0.493103448275862,0.472236190028631,0.508474576271186,0.509770114942529,0.019768778356316,0.491525423728814,0.576271186440678,-0.0206708877369253,-0.133698430684267,0.0950532502165388,118,10,118,38,80,0.322033898305085,26,12,0.684210526315789,0.447368421052632,0.466386554621849,-0.00233464720842535,-0.00202647252348354,0.447368421052632,-0.00218916982275264,0.00944240066642136,-0.0118684478690156,0.795588502442028,0.012233704876541,0.0131135835160555,0.932903264890394
m1_probability,low_m1_probability,Q0,0.721897082953012,0.262242094530706,0.528645193016966,0.661721815234661,0.53030303030303,0.526186378165724,0.0506579600474765,0.628787878787879,0.522727272727273,0.527359292325295,0.0486347238450827,0.139451666138192,132,10,135,40,95,0.296296296296296,19,21,0.475,0.425,0.422619047619048,-0.00198563957858231,-0.000625333437037448,0.425,-0.00246740820401919,0.00739524391248475,-0.00891933607197971,0.829124931811582,0.00760509038568908,0.0108205546017491,0.702837392868917
m1_probability,low_m1_probability,QS,0.715542473810608,0.260755345972461,0.492254733218589,0.636028495125459,0.492424242424242,0.521145807720679,0.0418162126266922,0.628787878787879,0.393939393939394,0.521246681030356,-0.155615752293478,0.141317276925301,132,10,135,42,93,0.311111111111111,21,21,0.5,0.5,0.5,0.000312170188517806,8.51299019662105e-05,0.5,-0.000630837272328617,0.00972097466733389,-0.00909663429029828,1.06863421757006,0.00963667543067459,0.010608519911017,0.908390191233634
