row_type,draw,interval_level,bound,metric,value,q1_minus_q0_log_loss_improvement,q1_minus_q0_brier_improvement,q1_minus_q0_auc_improvement,q1_selective_action_coverage,q1_selective_accuracy,q1_selective_balanced_accuracy,mean_aligned_ten_minute_return,median_aligned_ten_minute_return,positive_aligned_return_rate,mean_remaining_fraction,quiet_absorption_score_monotonic_slope,iv_excess_subgroup_accuracy,largest_movement_quartile_accuracy
draw,11,,,,,-0.00786470408171869,-0.00306420561636345,-0.000759700794763951,0.305970149253731,0.5,0.5,0.000394716395927453,-8.22543473435974e-05,0.5,0.544451160814972,-0.000434612298200153,0.51219512195122,0.583333333333333
draw,12,,,,,-0.0179081761591408,-0.00743465946912109,-0.0159779614325068,0.286290322580645,0.394366197183099,0.375801282051282,-0.0025926259424198,-0.00248258319335186,0.394366197183099,0.574824647456064,-0.000349460789937379,0.346153846153846,0.3125
draw,13,,,,,-0.00772945472963205,-0.00296619132350201,-0.00627865961199292,0.309917355371901,0.426666666666667,0.406926406926407,-0.00069119009508096,-0.00078950414338748,0.426666666666667,0.504217595323112,-0.000248665305770812,0.432432432432432,0.5
draw,14,,,,,0.00197126150116511,0.000977115651647043,0.0106907406307536,0.327067669172932,0.551724137931034,0.522252747252747,0.000336620045736535,0.000801442992913361,0.551724137931034,0.604569458488592,-0.00017612460018098,0.583333333333333,0.476190476190476
draw,15,,,,,-0.0123304267941874,-0.00573037655726924,-0.0279595478881619,0.304,0.578947368421053,0.578947368421053,-0.000105438473481365,0.000748946442733682,0.578947368421053,0.561075206965027,6.09093070373548e-05,0.567567567567568,0.470588235294118
draw,16,,,,,-0.00192698614998932,-0.000674788375096547,0.00373831775700934,0.352459016393443,0.418604651162791,0.414130434782609,-0.00193082474407836,-0.00157036185361521,0.418604651162791,0.541661354691954,0.000298807026331648,0.418604651162791,0.45
draw,17,,,,,-0.0107092539494674,-0.00492486544950588,-0.0237913486005089,0.256916996047431,0.476923076923077,0.475378787878788,0.000282001212243687,-0.000402495477359719,0.476923076923077,0.560339258489507,-0.000228382986444026,0.555555555555556,0.571428571428571
draw,18,,,,,-0.00580128144483449,-0.00252877526774348,-0.0151211026361568,0.328,0.524390243902439,0.505128205128205,-0.000222912879659451,0.000404846516347296,0.524390243902439,0.543533605424126,0.000506458516094513,0.511627906976744,0.533333333333333
draw,19,,,,,0.00260944192389911,0.00145088380762581,0.00457875457875462,0.29136690647482,0.382716049382716,0.376684636118598,-0.00469488553074643,-0.00462197847524923,0.382716049382716,0.527397854097392,1.44308483893243e-05,0.255813953488372,0.157894736842105
draw,20,,,,,-0.00176245269592068,-0.000352619158389356,0.00785494920859908,0.308823529411765,0.476190476190476,0.465882352941176,-0.0021931450683468,-0.000358901856817441,0.476190476190476,0.546920538927349,-0.000695164225184263,0.439024390243902,0.285714285714286
draw,21,,,,,0.00499445290017186,0.0028376782348401,0.0180324370465215,0.278571428571429,0.512820512820513,0.510416666666667,0.000506643114747412,0.000467218337613263,0.512820512820513,0.556471424121164,0.000295961323513513,0.547619047619048,0.5
draw,22,,,,,-0.00311159119937321,-0.00111341939055676,0.00433824542074102,0.313253012048193,0.538461538461538,0.517379679144385,-0.000462789780982839,0.000696449892554003,0.538461538461538,0.539336206457189,0.00110740289400383,0.513513513513513,0.4
