row_type,group_id,permutation,seed,log_loss_deterioration,brier_deterioration,auc_deterioration,selective_accuracy_deterioration,mean_aligned_return_deterioration,median_aligned_return_deterioration
permutation,Group_C_compression_context,11,2026072611,-0.00393477659059316,-0.0023981723976137,-0.0218621901229746,-0.0216450216450216,-0.000778685200882934,-0.000217848966641206
permutation,Group_C_compression_context,12,2026072612,-0.00243188027928254,-0.00151569629572496,-0.0178931615589824,-0.0560928433268859,-0.0015781532863125,-0.00102749092606
permutation,Group_C_compression_context,13,2026072613,-0.00807490023019641,-0.00439800657366635,-0.0342898041512134,-0.0282131661442007,-0.000189456592376984,-0.000387008666027761
permutation,Group_C_compression_context,14,2026072614,-0.00343147009605527,-0.00190318945031137,-0.0171123690545903,0,-0.000377706934256522,-4.86892672546507e-05
permutation,Group_C_compression_context,15,2026072615,0.000413431492807148,-0.000202177112976543,-0.0106708308933567,-0.0128458498023716,-0.000533315811315597,-0.000387008666027761
permutation,Group_C_compression_context,16,2026072616,-0.00201370739438422,-0.00106288620931705,-0.00949964213676868,-0.0343434343434343,-0.0007909828229272,-0.000430602286570039
permutation,Group_C_compression_context,17,2026072617,-0.00310985698618693,-0.00178177594264844,-0.0156158500878392,0.0163432073544433,0.000279407991024362,0.000390428855113867
permutation,Group_C_compression_context,18,2026072618,-0.00112172599198479,-0.00146419674254977,-0.0234888411737912,-0.018572825024438,-0.000613623268768604,-0.000300931612134319
permutation,Group_C_compression_context,19,2026072619,0.00132609960877594,3.92782510161283e-05,-0.0107358969353892,-0.0278074866310161,-0.00123569669507207,-0.000430602286570039
permutation,Group_C_compression_context,20,2026072620,-0.00580066767893972,-0.00319689049288446,-0.0288893226625024,-0.0128458498023716,0.000359072046971196,-0.000174810439694485
permutation,quiet_absorption_score_25,1,2026072601,-0.000652447741542717,-0.000648267655506185,-0.00884898171644211,0.012987012987013,-0.000219470846786833,0.000780857710227733
permutation,quiet_absorption_score_25,2,2026072602,-0.00106900569328294,-0.000866341742071508,-0.0137289348688918,-0.00328587075575026,-6.14270957407462e-05,-4.86892672546507e-05
permutation,quiet_absorption_score_25,3,2026072603,0.000387513501374115,-5.24109081590507e-05,-0.00748259483375613,-0.00224466891133557,-0.000461702177056088,-4.86892672546507e-05
permutation,quiet_absorption_score_25,4,2026072604,-0.00174509613646823,-0.00112493954022735,-0.0128180102804345,0.00876232201533406,-5.87440884442655e-05,0
permutation,quiet_absorption_score_25,5,2026072605,-0.00123550620497093,-0.000898225310052847,-0.00949964213676868,-0.00115074798619103,-0.000137486415243168,0
permutation,quiet_absorption_score_25,6,2026072606,0.000391466010154273,-9.4164811188735e-05,-0.00520528336261294,0.00876232201533406,-0.000109040927871535,0.000780857710227733
permutation,quiet_absorption_score_25,7,2026072607,0.000715493778355891,8.56453354447506e-05,-0.00468475502635163,0.0058275058275058,8.90004538118625e-05,0.000390428855113867
permutation,quiet_absorption_score_25,8,2026072608,-0.00158939836162153,-0.000895421462893953,-0.0100201704730301,0.0115074798619103,-0.000393397015682482,0.000780857710227733
permutation,quiet_absorption_score_25,9,2026072609,0.000116860798502927,-6.79125642547018e-05,-0.00559567961480889,0.0208105147864184,0.000221272317837705,0.000780857710227733
permutation,quiet_absorption_score_25,10,2026072610,-0.00063138380436889,-0.000703383914792299,-0.0117118875658793,0.0186480186480186,0.000141078844898389,0.000793883039116559
permutation,quiet_absorption_score_25,11,2026072611,-0.00261069155128657,-0.00137714537900913,-0.0125577461123039,-0.00115074798619103,-0.000167117146819549,0
permutation,quiet_absorption_score_25,12,2026072612,-0.00220477304655986,-0.00122097437527441,-0.0110612271455527,-0.0145903479236812,-0.000727959024533293,-0.000300931612134319
permutation,quiet_absorption_score_25,13,2026072613,-0.0063949597141626,-0.00333171954047989,-0.0238792374259873,-0.0138089758342923,-0.000630012293520373,-0.000300931612134319
permutation,quiet_absorption_score_25,14,2026072614,-0.00429571292112363,-0.00223829728010488,-0.0146398594573491,0.0058275058275058,-0.000111791844693498,0.000390428855113867
permutation,quiet_absorption_score_25,15,2026072615,-0.00142708627276056,-0.000898071105240095,-0.0117769536079119,0,-0.00022633903368029,0
permutation,quiet_absorption_score_25,16,2026072616,-0.00336390405052744,-0.00169760817511816,-0.0109310950614874,0.00454545454545452,-0.000224098632335057,0.000390428855113867
permutation,quiet_absorption_score_25,17,2026072617,-0.00204351669762759,-0.00118595345921241,-0.010605764851324,0.0170454545454545,-0.000103682974691254,0.000793883039116559
permutation,quiet_absorption_score_25,18,2026072618,-0.00170618823293556,-0.0011537629278664,-0.0145097273732838,0.00332594235033257,-0.000125775220716744,-2.43446336273253e-05
permutation,quiet_absorption_score_25,19,2026072619,0.00152716892262583,0.000429356590661123,-0.00501008523651497,-0.0264672036823936,-0.000389253219079752,-0.000387008666027761
permutation,quiet_absorption_score_25,20,2026072620,-0.0023112820611414,-0.00129728502964771,-0.0121022838180753,-0.00115074798619103,7.49133179571209e-05,-4.86892672546507e-05
mean_over_20,Group_P_persistent_pressure,20,,0,0,0,0,0,0
mean_over_20,Group_A_absorption_response,20,,0.00419510883408105,0.00199139080532074,0.00660745656841705,-0.0211231768279158,-0.000765888915047097,-0.000202539645101427
mean_over_20,Group_C_compression_context,20,,9.0833802051149e-05,-0.000430560963986387,-0.0127399310299954,-0.0137959074413463,-0.000418393153994891,-0.000236288491538539
mean_over_20,quiet_absorption_score_25,20,,-0.00150712247396837,-0.000961844162749692,-0.0108334959984383,0.00271001111721278,-0.000181051651119493,0.000236159957939899
