stock,session,checkpoint,signal_timestamp,partition_predecessor,partition_direct,_merge,episode_identity_match,episode_identity
AAL,2025-04-15,6,2025-04-15 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-04-15|6|2025-04-15T14:00:00+00:00
AAL,2025-04-23,6,2025-04-23 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-04-23|6|2025-04-23T14:00:00+00:00
AAL,2025-05-08,6,2025-05-08 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-05-08|6|2025-05-08T14:00:00+00:00
AAL,2025-05-08,14,2025-05-08 14:40:00+00:00,assessment,assessment,both,True,AAL|2025-05-08|14|2025-05-08T14:40:00+00:00
AAL,2025-05-12,6,2025-05-12 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-05-12|6|2025-05-12T14:00:00+00:00
AAL,2025-05-12,14,2025-05-12 14:40:00+00:00,assessment,assessment,both,True,AAL|2025-05-12|14|2025-05-12T14:40:00+00:00
AAL,2025-07-28,6,2025-07-28 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-07-28|6|2025-07-28T14:00:00+00:00
AAL,2025-08-01,6,2025-08-01 14:00:00+00:00,assessment,assessment,both,True,AAL|2025-08-01|6|2025-08-01T14:00:00+00:00
AAL,2025-08-22,8,2025-08-22 14:10:00+00:00,assessment,assessment,both,True,AAL|2025-08-22|8|2025-08-22T14:10:00+00:00
AAL,2025-08-22,14,2025-08-22 14:40:00+00:00,assessment,assessment,both,True,AAL|2025-08-22|14|2025-08-22T14:40:00+00:00
AAOI,2024-01-29,6,2024-01-29 15:00:00+00:00,development,development,both,True,AAOI|2024-01-29|6|2024-01-29T15:00:00+00:00
AAOI,2024-02-09,6,2024-02-09 15:00:00+00:00,development,development,both,True,AAOI|2024-02-09|6|2024-02-09T15:00:00+00:00
AAOI,2024-02-12,6,2024-02-12 15:00:00+00:00,development,development,both,True,AAOI|2024-02-12|6|2024-02-12T15:00:00+00:00
AAOI,2024-03-22,6,2024-03-22 14:00:00+00:00,development,development,both,True,AAOI|2024-03-22|6|2024-03-22T14:00:00+00:00
AAOI,2024-04-18,8,2024-04-18 14:10:00+00:00,development,development,both,True,AAOI|2024-04-18|8|2024-04-18T14:10:00+00:00
AAOI,2024-04-22,14,2024-04-22 14:40:00+00:00,development,development,both,True,AAOI|2024-04-22|14|2024-04-22T14:40:00+00:00
AAOI,2024-05-16,10,2024-05-16 14:20:00+00:00,development,development,both,True,AAOI|2024-05-16|10|2024-05-16T14:20:00+00:00
AAOI,2024-06-27,6,2024-06-27 14:00:00+00:00,development,development,both,True,AAOI|2024-06-27|6|2024-06-27T14:00:00+00:00
AAOI,2024-08-08,6,2024-08-08 14:00:00+00:00,development,development,both,True,AAOI|2024-08-08|6|2024-08-08T14:00:00+00:00
AAOI,2024-08-09,6,2024-08-09 14:00:00+00:00,development,development,both,True,AAOI|2024-08-09|6|2024-08-09T14:00:00+00:00
AAOI,2024-08-09,22,2024-08-09 15:20:00+00:00,development,development,both,True,AAOI|2024-08-09|22|2024-08-09T15:20:00+00:00
AAOI,2024-08-12,6,2024-08-12 14:00:00+00:00,development,development,both,True,AAOI|2024-08-12|6|2024-08-12T14:00:00+00:00
AAOI,2024-08-14,6,2024-08-14 14:00:00+00:00,development,development,both,True,AAOI|2024-08-14|6|2024-08-14T14:00:00+00:00
AAOI,2024-08-20,6,2024-08-20 14:00:00+00:00,development,development,both,True,AAOI|2024-08-20|6|2024-08-20T14:00:00+00:00
AAOI,2024-08-22,6,2024-08-22 14:00:00+00:00,development,development,both,True,AAOI|2024-08-22|6|2024-08-22T14:00:00+00:00
AAOI,2024-09-09,6,2024-09-09 14:00:00+00:00,development,development,both,True,AAOI|2024-09-09|6|2024-09-09T14:00:00+00:00
AAOI,2024-09-12,6,2024-09-12 14:00:00+00:00,development,development,both,True,AAOI|2024-09-12|6|2024-09-12T14:00:00+00:00
AAOI,2024-10-11,6,2024-10-11 14:00:00+00:00,development,development,both,True,AAOI|2024-10-11|6|2024-10-11T14:00:00+00:00
AAOI,2024-12-11,6,2024-12-11 15:00:00+00:00,development,development,both,True,AAOI|2024-12-11|6|2024-12-11T15:00:00+00:00
AAOI,2024-12-12,6,2024-12-12 15:00:00+00:00,development,development,both,True,AAOI|2024-12-12|6|2024-12-12T15:00:00+00:00
AAOI,2024-12-13,6,2024-12-13 15:00:00+00:00,development,development,both,True,AAOI|2024-12-13|6|2024-12-13T15:00:00+00:00
AAOI,2025-01-06,6,2025-01-06 15:00:00+00:00,assessment,assessment,both,True,AAOI|2025-01-06|6|2025-01-06T15:00:00+00:00
AAOI,2025-03-11,6,2025-03-11 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-03-11|6|2025-03-11T14:00:00+00:00
AAOI,2025-04-15,6,2025-04-15 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-04-15|6|2025-04-15T14:00:00+00:00
AAOI,2025-05-09,6,2025-05-09 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-05-09|6|2025-05-09T14:00:00+00:00
AAOI,2025-05-12,6,2025-05-12 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-05-12|6|2025-05-12T14:00:00+00:00
AAOI,2025-07-22,6,2025-07-22 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-07-22|6|2025-07-22T14:00:00+00:00
AAOI,2025-08-12,6,2025-08-12 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-08-12|6|2025-08-12T14:00:00+00:00
AAOI,2025-08-15,6,2025-08-15 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-08-15|6|2025-08-15T14:00:00+00:00
AAOI,2025-08-18,18,2025-08-18 15:00:00+00:00,assessment,assessment,both,True,AAOI|2025-08-18|18|2025-08-18T15:00:00+00:00
AAOI,2025-08-22,6,2025-08-22 14:00:00+00:00,assessment,assessment,both,True,AAOI|2025-08-22|6|2025-08-22T14:00:00+00:00
APLD,2024-02-12,6,2024-02-12 15:00:00+00:00,development,development,both,True,APLD|2024-02-12|6|2024-02-12T15:00:00+00:00
APLD,2024-04-12,6,2024-04-12 14:00:00+00:00,development,development,both,True,APLD|2024-04-12|6|2024-04-12T14:00:00+00:00
APLD,2024-04-24,6,2024-04-24 14:00:00+00:00,development,development,both,True,APLD|2024-04-24|6|2024-04-24T14:00:00+00:00
APLD,2024-05-20,6,2024-05-20 14:00:00+00:00,development,development,both,True,APLD|2024-05-20|6|2024-05-20T14:00:00+00:00
APLD,2024-05-20,14,2024-05-20 14:40:00+00:00,development,development,both,True,APLD|2024-05-20|14|2024-05-20T14:40:00+00:00
APLD,2024-06-07,6,2024-06-07 14:00:00+00:00,development,development,both,True,APLD|2024-06-07|6|2024-06-07T14:00:00+00:00
APLD,2024-07-09,6,2024-07-09 14:00:00+00:00,development,development,both,True,APLD|2024-07-09|6|2024-07-09T14:00:00+00:00
APLD,2024-07-09,18,2024-07-09 15:00:00+00:00,development,development,both,True,APLD|2024-07-09|18|2024-07-09T15:00:00+00:00
APLD,2024-07-10,6,2024-07-10 14:00:00+00:00,development,development,both,True,APLD|2024-07-10|6|2024-07-10T14:00:00+00:00
APLD,2024-07-10,30,2024-07-10 16:00:00+00:00,development,development,both,True,APLD|2024-07-10|30|2024-07-10T16:00:00+00:00
APLD,2024-07-24,6,2024-07-24 14:00:00+00:00,development,development,both,True,APLD|2024-07-24|6|2024-07-24T14:00:00+00:00
APLD,2024-08-05,6,2024-08-05 14:00:00+00:00,development,development,both,True,APLD|2024-08-05|6|2024-08-05T14:00:00+00:00
APLD,2024-08-29,6,2024-08-29 14:00:00+00:00,development,development,both,True,APLD|2024-08-29|6|2024-08-29T14:00:00+00:00
APLD,2024-09-06,6,2024-09-06 14:00:00+00:00,development,development,both,True,APLD|2024-09-06|6|2024-09-06T14:00:00+00:00
APLD,2024-09-16,6,2024-09-16 14:00:00+00:00,development,development,both,True,APLD|2024-09-16|6|2024-09-16T14:00:00+00:00
APLD,2024-09-17,6,2024-09-17 14:00:00+00:00,development,development,both,True,APLD|2024-09-17|6|2024-09-17T14:00:00+00:00
APLD,2024-09-17,14,2024-09-17 14:40:00+00:00,development,development,both,True,APLD|2024-09-17|14|2024-09-17T14:40:00+00:00
APLD,2024-09-18,6,2024-09-18 14:00:00+00:00,development,development,both,True,APLD|2024-09-18|6|2024-09-18T14:00:00+00:00
APLD,2024-11-15,6,2024-11-15 15:00:00+00:00,development,development,both,True,APLD|2024-11-15|6|2024-11-15T15:00:00+00:00
APLD,2024-11-18,6,2024-11-18 15:00:00+00:00,development,development,both,True,APLD|2024-11-18|6|2024-11-18T15:00:00+00:00
APLD,2024-12-12,6,2024-12-12 15:00:00+00:00,development,development,both,True,APLD|2024-12-12|6|2024-12-12T15:00:00+00:00
APLD,2025-01-03,6,2025-01-03 15:00:00+00:00,assessment,assessment,both,True,APLD|2025-01-03|6|2025-01-03T15:00:00+00:00
APLD,2025-01-06,6,2025-01-06 15:00:00+00:00,assessment,assessment,both,True,APLD|2025-01-06|6|2025-01-06T15:00:00+00:00
APLD,2025-06-02,6,2025-06-02 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-06-02|6|2025-06-02T14:00:00+00:00
APLD,2025-07-14,6,2025-07-14 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-07-14|6|2025-07-14T14:00:00+00:00
APLD,2025-07-17,14,2025-07-17 14:40:00+00:00,assessment,assessment,both,True,APLD|2025-07-17|14|2025-07-17T14:40:00+00:00
APLD,2025-07-18,10,2025-07-18 14:20:00+00:00,assessment,assessment,both,True,APLD|2025-07-18|10|2025-07-18T14:20:00+00:00
APLD,2025-08-06,6,2025-08-06 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-08-06|6|2025-08-06T14:00:00+00:00
APLD,2025-08-11,6,2025-08-11 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-08-11|6|2025-08-11T14:00:00+00:00
APLD,2025-08-15,6,2025-08-15 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-08-15|6|2025-08-15T14:00:00+00:00
APLD,2025-08-18,6,2025-08-18 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-08-18|6|2025-08-18T14:00:00+00:00
APLD,2025-08-20,6,2025-08-20 14:00:00+00:00,assessment,assessment,both,True,APLD|2025-08-20|6|2025-08-20T14:00:00+00:00
APLD,2025-08-22,8,2025-08-22 14:10:00+00:00,assessment,assessment,both,True,APLD|2025-08-22|8|2025-08-22T14:10:00+00:00
ASTS,2024-02-09,6,2024-02-09 15:00:00+00:00,development,development,both,True,ASTS|2024-02-09|6|2024-02-09T15:00:00+00:00
ASTS,2024-02-12,6,2024-02-12 15:00:00+00:00,development,development,both,True,ASTS|2024-02-12|6|2024-02-12T15:00:00+00:00
ASTS,2024-03-13,10,2024-03-13 14:20:00+00:00,development,development,both,True,ASTS|2024-03-13|10|2024-03-13T14:20:00+00:00
ASTS,2024-04-18,6,2024-04-18 14:00:00+00:00,development,development,both,True,ASTS|2024-04-18|6|2024-04-18T14:00:00+00:00
ASTS,2024-05-24,6,2024-05-24 14:00:00+00:00,development,development,both,True,ASTS|2024-05-24|6|2024-05-24T14:00:00+00:00
ASTS,2024-05-24,24,2024-05-24 15:30:00+00:00,development,development,both,True,ASTS|2024-05-24|24|2024-05-24T15:30:00+00:00
ASTS,2024-05-28,6,2024-05-28 14:00:00+00:00,development,development,both,True,ASTS|2024-05-28|6|2024-05-28T14:00:00+00:00
ASTS,2024-05-29,6,2024-05-29 14:00:00+00:00,development,development,both,True,ASTS|2024-05-29|6|2024-05-29T14:00:00+00:00
ASTS,2024-06-06,6,2024-06-06 14:00:00+00:00,development,development,both,True,ASTS|2024-06-06|6|2024-06-06T14:00:00+00:00
ASTS,2024-06-07,6,2024-06-07 14:00:00+00:00,development,development,both,True,ASTS|2024-06-07|6|2024-06-07T14:00:00+00:00
ASTS,2024-06-10,6,2024-06-10 14:00:00+00:00,development,development,both,True,ASTS|2024-06-10|6|2024-06-10T14:00:00+00:00
ASTS,2024-06-10,20,2024-06-10 15:10:00+00:00,development,development,both,True,ASTS|2024-06-10|20|2024-06-10T15:10:00+00:00
ASTS,2024-06-25,6,2024-06-25 14:00:00+00:00,development,development,both,True,ASTS|2024-06-25|6|2024-06-25T14:00:00+00:00
ASTS,2024-06-26,6,2024-06-26 14:00:00+00:00,development,development,both,True,ASTS|2024-06-26|6|2024-06-26T14:00:00+00:00
ASTS,2024-06-27,6,2024-06-27 14:00:00+00:00,development,development,both,True,ASTS|2024-06-27|6|2024-06-27T14:00:00+00:00
ASTS,2024-07-01,6,2024-07-01 14:00:00+00:00,development,development,both,True,ASTS|2024-07-01|6|2024-07-01T14:00:00+00:00
ASTS,2024-07-15,6,2024-07-15 14:00:00+00:00,development,development,both,True,ASTS|2024-07-15|6|2024-07-15T14:00:00+00:00
ASTS,2024-07-17,6,2024-07-17 14:00:00+00:00,development,development,both,True,ASTS|2024-07-17|6|2024-07-17T14:00:00+00:00
ASTS,2024-08-30,6,2024-08-30 14:00:00+00:00,development,development,both,True,ASTS|2024-08-30|6|2024-08-30T14:00:00+00:00
ASTS,2024-08-30,14,2024-08-30 14:40:00+00:00,development,development,both,True,ASTS|2024-08-30|14|2024-08-30T14:40:00+00:00
ASTS,2024-09-03,6,2024-09-03 14:00:00+00:00,development,development,both,True,ASTS|2024-09-03|6|2024-09-03T14:00:00+00:00
ASTS,2024-09-04,6,2024-09-04 14:00:00+00:00,development,development,both,True,ASTS|2024-09-04|6|2024-09-04T14:00:00+00:00
ASTS,2024-09-04,14,2024-09-04 14:40:00+00:00,development,development,both,True,ASTS|2024-09-04|14|2024-09-04T14:40:00+00:00
ASTS,2024-09-05,6,2024-09-05 14:00:00+00:00,development,development,both,True,ASTS|2024-09-05|6|2024-09-05T14:00:00+00:00
ASTS,2024-09-05,14,2024-09-05 14:40:00+00:00,development,development,both,True,ASTS|2024-09-05|14|2024-09-05T14:40:00+00:00
ASTS,2024-09-12,6,2024-09-12 14:00:00+00:00,development,development,both,True,ASTS|2024-09-12|6|2024-09-12T14:00:00+00:00
ASTS,2024-09-12,14,2024-09-12 14:40:00+00:00,development,development,both,True,ASTS|2024-09-12|14|2024-09-12T14:40:00+00:00
ASTS,2024-09-13,6,2024-09-13 14:00:00+00:00,development,development,both,True,ASTS|2024-09-13|6|2024-09-13T14:00:00+00:00
ASTS,2024-10-14,6,2024-10-14 14:00:00+00:00,development,development,both,True,ASTS|2024-10-14|6|2024-10-14T14:00:00+00:00
ASTS,2024-10-22,10,2024-10-22 14:20:00+00:00,development,development,both,True,ASTS|2024-10-22|10|2024-10-22T14:20:00+00:00
ASTS,2024-10-24,6,2024-10-24 14:00:00+00:00,development,development,both,True,ASTS|2024-10-24|6|2024-10-24T14:00:00+00:00
ASTS,2024-11-22,6,2024-11-22 15:00:00+00:00,development,development,both,True,ASTS|2024-11-22|6|2024-11-22T15:00:00+00:00
ASTS,2024-11-26,6,2024-11-26 15:00:00+00:00,development,development,both,True,ASTS|2024-11-26|6|2024-11-26T15:00:00+00:00
ASTS,2025-01-31,6,2025-01-31 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-01-31|6|2025-01-31T15:00:00+00:00
ASTS,2025-02-03,6,2025-02-03 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-03|6|2025-02-03T15:00:00+00:00
ASTS,2025-02-05,6,2025-02-05 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-05|6|2025-02-05T15:00:00+00:00
ASTS,2025-02-06,6,2025-02-06 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-06|6|2025-02-06T15:00:00+00:00
ASTS,2025-02-07,6,2025-02-07 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-07|6|2025-02-07T15:00:00+00:00
ASTS,2025-02-14,6,2025-02-14 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-14|6|2025-02-14T15:00:00+00:00
ASTS,2025-02-18,6,2025-02-18 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-18|6|2025-02-18T15:00:00+00:00
ASTS,2025-02-19,6,2025-02-19 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-19|6|2025-02-19T15:00:00+00:00
ASTS,2025-02-20,6,2025-02-20 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-20|6|2025-02-20T15:00:00+00:00
ASTS,2025-02-26,6,2025-02-26 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-02-26|6|2025-02-26T15:00:00+00:00
ASTS,2025-03-04,6,2025-03-04 15:00:00+00:00,assessment,assessment,both,True,ASTS|2025-03-04|6|2025-03-04T15:00:00+00:00
ASTS,2025-04-03,6,2025-04-03 14:00:00+00:00,assessment,assessment,both,True,ASTS|2025-04-03|6|2025-04-03T14:00:00+00:00
ASTS,2025-05-13,6,2025-05-13 14:00:00+00:00,assessment,assessment,both,True,ASTS|2025-05-13|6|2025-05-13T14:00:00+00:00
ASTS,2025-06-09,6,2025-06-09 14:00:00+00:00,assessment,assessment,both,True,ASTS|2025-06-09|6|2025-06-09T14:00:00+00:00
ASTS,2025-06-09,22,2025-06-09 15:20:00+00:00,assessment,assessment,both,True,ASTS|2025-06-09|22|2025-06-09T15:20:00+00:00
ASTS,2025-07-11,6,2025-07-11 14:00:00+00:00,assessment,assessment,both,True,ASTS|2025-07-11|6|2025-07-11T14:00:00+00:00
ASTS,2025-07-17,6,2025-07-17 14:00:00+00:00,assessment,assessment,both,True,ASTS|2025-07-17|6|2025-07-17T14:00:00+00:00
ASTS,2025-07-23,6,2025-07-23 14:00:00+00:00,assessment,assessment,both,True,ASTS|2025-07-23|6|2025-07-23T14:00:00+00:00
CIFR,2024-02-09,6,2024-02-09 15:00:00+00:00,development,development,both,True,CIFR|2024-02-09|6|2024-02-09T15:00:00+00:00
CIFR,2024-02-12,6,2024-02-12 15:00:00+00:00,development,development,both,True,CIFR|2024-02-12|6|2024-02-12T15:00:00+00:00
CIFR,2024-02-12,14,2024-02-12 15:40:00+00:00,development,development,both,True,CIFR|2024-02-12|14|2024-02-12T15:40:00+00:00
CIFR,2024-02-13,12,2024-02-13 15:30:00+00:00,development,development,both,True,CIFR|2024-02-13|12|2024-02-13T15:30:00+00:00
CIFR,2024-05-22,6,2024-05-22 14:00:00+00:00,development,development,both,True,CIFR|2024-05-22|6|2024-05-22T14:00:00+00:00
CIFR,2024-06-13,6,2024-06-13 14:00:00+00:00,development,development,both,True,CIFR|2024-06-13|6|2024-06-13T14:00:00+00:00
CIFR,2024-06-26,6,2024-06-26 14:00:00+00:00,development,development,both,True,CIFR|2024-06-26|6|2024-06-26T14:00:00+00:00
CIFR,2024-07-19,6,2024-07-19 14:00:00+00:00,development,development,both,True,CIFR|2024-07-19|6|2024-07-19T14:00:00+00:00
CIFR,2024-09-24,6,2024-09-24 14:00:00+00:00,development,development,both,True,CIFR|2024-09-24|6|2024-09-24T14:00:00+00:00
CIFR,2024-10-04,6,2024-10-04 14:00:00+00:00,development,development,both,True,CIFR|2024-10-04|6|2024-10-04T14:00:00+00:00
CIFR,2024-10-16,10,2024-10-16 14:20:00+00:00,development,development,both,True,CIFR|2024-10-16|10|2024-10-16T14:20:00+00:00
CIFR,2024-10-17,6,2024-10-17 14:00:00+00:00,development,development,both,True,CIFR|2024-10-17|6|2024-10-17T14:00:00+00:00
CIFR,2024-11-06,6,2024-11-06 15:00:00+00:00,development,development,both,True,CIFR|2024-11-06|6|2024-11-06T15:00:00+00:00
CIFR,2024-11-21,6,2024-11-21 15:00:00+00:00,development,development,both,True,CIFR|2024-11-21|6|2024-11-21T15:00:00+00:00
CIFR,2024-12-04,6,2024-12-04 15:00:00+00:00,development,development,both,True,CIFR|2024-12-04|6|2024-12-04T15:00:00+00:00
CIFR,2025-01-06,6,2025-01-06 15:00:00+00:00,assessment,assessment,both,True,CIFR|2025-01-06|6|2025-01-06T15:00:00+00:00
CIFR,2025-02-06,6,2025-02-06 15:00:00+00:00,assessment,assessment,both,True,CIFR|2025-02-06|6|2025-02-06T15:00:00+00:00
CIFR,2025-02-06,14,2025-02-06 15:40:00+00:00,assessment,assessment,both,True,CIFR|2025-02-06|14|2025-02-06T15:40:00+00:00
CIFR,2025-02-07,6,2025-02-07 15:00:00+00:00,assessment,assessment,both,True,CIFR|2025-02-07|6|2025-02-07T15:00:00+00:00
CIFR,2025-02-07,14,2025-02-07 15:40:00+00:00,assessment,assessment,both,True,CIFR|2025-02-07|14|2025-02-07T15:40:00+00:00
CIFR,2025-05-09,6,2025-05-09 14:00:00+00:00,assessment,assessment,both,True,CIFR|2025-05-09|6|2025-05-09T14:00:00+00:00
CIFR,2025-05-09,14,2025-05-09 14:40:00+00:00,assessment,assessment,both,True,CIFR|2025-05-09|14|2025-05-09T14:40:00+00:00
CIFR,2025-05-12,6,2025-05-12 14:00:00+00:00,assessment,assessment,both,True,CIFR|2025-05-12|6|2025-05-12T14:00:00+00:00
CIFR,2025-05-13,6,2025-05-13 14:00:00+00:00,assessment,assessment,both,True,CIFR|2025-05-13|6|2025-05-13T14:00:00+00:00
CIFR,2025-05-16,6,2025-05-16 14:00:00+00:00,assessment,assessment,both,True,CIFR|2025-05-16|6|2025-05-16T14:00:00+00:00
CIFR,2025-08-14,6,2025-08-14 14:00:00+00:00,assessment,assessment,both,True,CIFR|2025-08-14|6|2025-08-14T14:00:00+00:00
CIFR,2025-08-22,10,2025-08-22 14:20:00+00:00,assessment,assessment,both,True,CIFR|2025-08-22|10|2025-08-22T14:20:00+00:00
HIMS,2024-02-06,6,2024-02-06 15:00:00+00:00,development,development,both,True,HIMS|2024-02-06|6|2024-02-06T15:00:00+00:00
HIMS,2024-02-07,6,2024-02-07 15:00:00+00:00,development,development,both,True,HIMS|2024-02-07|6|2024-02-07T15:00:00+00:00
HIMS,2024-05-13,6,2024-05-13 14:00:00+00:00,development,development,both,True,HIMS|2024-05-13|6|2024-05-13T14:00:00+00:00
HIMS,2024-05-17,6,2024-05-17 14:00:00+00:00,development,development,both,True,HIMS|2024-05-17|6|2024-05-17T14:00:00+00:00
HIMS,2024-06-03,6,2024-06-03 14:00:00+00:00,development,development,both,True,HIMS|2024-06-03|6|2024-06-03T14:00:00+00:00
HIMS,2024-06-07,6,2024-06-07 14:00:00+00:00,development,development,both,True,HIMS|2024-06-07|6|2024-06-07T14:00:00+00:00
HIMS,2024-06-10,6,2024-06-10 14:00:00+00:00,development,development,both,True,HIMS|2024-06-10|6|2024-06-10T14:00:00+00:00
HIMS,2024-06-10,14,2024-06-10 14:40:00+00:00,development,development,both,True,HIMS|2024-06-10|14|2024-06-10T14:40:00+00:00
HIMS,2024-06-14,6,2024-06-14 14:00:00+00:00,development,development,both,True,HIMS|2024-06-14|6|2024-06-14T14:00:00+00:00
HIMS,2024-06-17,6,2024-06-17 14:00:00+00:00,development,development,both,True,HIMS|2024-06-17|6|2024-06-17T14:00:00+00:00
HIMS,2024-06-25,6,2024-06-25 14:00:00+00:00,development,development,both,True,HIMS|2024-06-25|6|2024-06-25T14:00:00+00:00
HIMS,2024-07-26,6,2024-07-26 14:00:00+00:00,development,development,both,True,HIMS|2024-07-26|6|2024-07-26T14:00:00+00:00
HIMS,2024-08-08,6,2024-08-08 14:00:00+00:00,development,development,both,True,HIMS|2024-08-08|6|2024-08-08T14:00:00+00:00
HIMS,2024-08-08,16,2024-08-08 14:50:00+00:00,development,development,both,True,HIMS|2024-08-08|16|2024-08-08T14:50:00+00:00
HIMS,2024-08-12,6,2024-08-12 14:00:00+00:00,development,development,both,True,HIMS|2024-08-12|6|2024-08-12T14:00:00+00:00
HIMS,2024-08-19,6,2024-08-19 14:00:00+00:00,development,development,both,True,HIMS|2024-08-19|6|2024-08-19T14:00:00+00:00
HIMS,2024-08-28,6,2024-08-28 14:00:00+00:00,development,development,both,True,HIMS|2024-08-28|6|2024-08-28T14:00:00+00:00
HIMS,2024-10-03,6,2024-10-03 14:00:00+00:00,development,development,both,True,HIMS|2024-10-03|6|2024-10-03T14:00:00+00:00
HIMS,2024-10-03,22,2024-10-03 15:20:00+00:00,development,development,both,True,HIMS|2024-10-03|22|2024-10-03T15:20:00+00:00
HIMS,2024-12-06,6,2024-12-06 15:00:00+00:00,development,development,both,True,HIMS|2024-12-06|6|2024-12-06T15:00:00+00:00
HIMS,2024-12-06,14,2024-12-06 15:40:00+00:00,development,development,both,True,HIMS|2024-12-06|14|2024-12-06T15:40:00+00:00
HIMS,2024-12-09,6,2024-12-09 15:00:00+00:00,development,development,both,True,HIMS|2024-12-09|6|2024-12-09T15:00:00+00:00
HIMS,2024-12-12,6,2024-12-12 15:00:00+00:00,development,development,both,True,HIMS|2024-12-12|6|2024-12-12T15:00:00+00:00
HIMS,2024-12-16,6,2024-12-16 15:00:00+00:00,development,development,both,True,HIMS|2024-12-16|6|2024-12-16T15:00:00+00:00
HIMS,2024-12-17,6,2024-12-17 15:00:00+00:00,development,development,both,True,HIMS|2024-12-17|6|2024-12-17T15:00:00+00:00
