month_group,model_id,primary_log_loss,primary_brier_score,primary_auc,primary_average_precision,primary_accuracy,primary_balanced_accuracy,primary_matthews_correlation_coefficient,primary_up_base_rate,primary_predicted_up_rate,primary_calibration_intercept,primary_calibration_slope,primary_expected_calibration_error,primary_episodes,selective_horizon_minutes,selective_total_episodes,selective_actions,selective_abstentions,selective_action_coverage,selective_call_count,selective_put_count,selective_call_put_balance,selective_directional_accuracy,selective_balanced_accuracy,selective_mean_aligned_return,selective_median_aligned_return,selective_positive_aligned_return_rate,selective_trimmed_mean_aligned_return,selective_mean_winning_aligned_return,selective_mean_losing_aligned_return,selective_payoff_ratio,selective_mean_maximum_favourable_excursion,selective_mean_maximum_adverse_excursion,selective_favourable_adverse_excursion_ratio
2025-04,QS,0.705301454819617,0.256113784079847,0.509803921568627,0.572187070241868,0.5625,0.56078431372549,0.12156862745098,0.46875,0.46875,-0.129566477002904,0.148887912901715,0.163330897505114,32,10,32,11,21,0.34375,7,4,0.636363636363636,0.363636363636364,0.35,0.00177846664046917,-0.00607480815681348,0.363636363636364,-0.00157357996636514,0.0229348430417848,-0.0103108913031397,2.22433176410277,0.0150010201204604,0.0112952438608165,1.32808289093247
2025-04,Q1,0.732347977462942,0.266839252834728,0.494117647058824,0.552810985981276,0.53125,0.523529411764706,0.0485071250072666,0.46875,0.375,-0.122686268909622,0.0129805913999596,0.244116031730291,32,10,32,16,16,0.5,6,10,0.375,0.5625,0.579365079365079,0.00172119158908447,0.00518731078107056,0.5625,0.00148142483157504,0.0128006867550957,-0.0125238736243586,1.02210283647375,0.0133143008196065,0.0105470387971887,1.26237336143633
2025-05,Q0,0.699706753437411,0.252062010839134,0.574675324675325,0.696813746016945,0.611111111111111,0.590909090909091,0.181818181818182,0.611111111111111,0.611111111111111,0.432003323612584,0.185653580965872,0.239061833528423,36,10,37,11,26,0.297297297297297,7,4,0.636363636363636,0.454545454545455,0.277777777777778,-0.0057223925993552,-0.000740814876132829,0.454545454545455,-0.00601679248753862,0.00616819156536347,-0.0156312127366208,0.394607358321767,0.0103105389663816,0.0158309035102424,0.651291883606696
2025-05,QS,0.691419139324506,0.248525041229875,0.603896103896104,0.700501734892215,0.583333333333333,0.581168831168831,0.158523402349676,0.611111111111111,0.527777777777778,0.459766434692076,0.62381277165619,0.112492594536021,36,10,37,11,26,0.297297297297297,5,6,0.454545454545455,0.545454545454545,0.583333333333333,-0.00655577978137764,0.000426712189107612,0.545454545454545,-0.00703537682112161,0.0061077506422741,-0.0217520162897597,0.280790091406352,0.00951922046747255,0.0161600029333614,0.589060565565905
2025-05,Q1,0.700391179505642,0.2512363166695,0.613636363636364,0.687367479312104,0.611111111111111,0.577922077922078,0.161164592805076,0.611111111111111,0.666666666666667,0.430031971403359,0.203302364774053,0.194654009202984,36,10,37,10,27,0.27027027027027,7,3,0.7,0.5,0.3125,-0.0044406385825837,-2.21824917894134e-05,0.5,-0.00445139995259718,0.00616819156536347,-0.0150494687305309,0.409861083856738,0.0108336371839523,0.0153113277722776,0.707557002572138
2025-06,Q0,0.689547167347666,0.247467105337596,0.530769230769231,0.606283572966375,0.608695652173913,0.584615384615385,0.182323224636244,0.565217391304348,0.695652173913043,0.209804748477928,0.454100493536689,0.189558701967185,23,10,23,9,14,0.391304347826087,6,3,0.666666666666667,0.666666666666667,0.65,0.00779236765925972,0.000571706250022069,0.666666666666667,0.00779236765925972,0.0148684893696784,-0.00635987576157772,2.33785846250398,0.0167753175181493,0.00603842960454875,2.77809275204806
2025-06,QS,0.656086331391871,0.231805159445874,0.630769230769231,0.678497191464565,0.565217391304348,0.557692307692308,0.115384615384615,0.565217391304348,0.565217391304348,0.174889609293403,2.30011934800611,0.156669727106234,23,10,23,8,15,0.347826086956522,5,3,0.625,0.75,0.8,0.00257430294465608,0.00277813233536103,0.75,0.00257430294465608,0.00512031421651473,-0.00506373087091991,1.01117424030566,0.0103471991391414,0.00645651319680619,1.60259861998885
2025-06,Q1,0.714732210952321,0.26018211604296,0.476923076923077,0.610749613461828,0.478260869565217,0.457692307692308,-0.0880704845927979,0.565217391304348,0.652173913043478,0.260221572647363,0.0176178568569961,0.227821730177189,23,10,23,9,14,0.391304347826087,6,3,0.666666666666667,0.555555555555556,0.575,0.000386666366624615,0.000571706250022069,0.555555555555556,0.000386666366624616,0.00518285851699994,-0.00560857382134454,0.924095622540537,0.0126236112155503,0.00642054728304655,1.96612697625995
2025-07,Q0,0.715471182643922,0.258047024708576,0.557692307692308,0.69473762423211,0.567567567567568,0.578525641025641,0.15000499816734,0.648648648648649,0.486486486486487,0.60944829738517,0.147215604129571,0.16773955931333,37,10,38,13,25,0.342105263157895,8,5,0.615384615384615,0.538461538461538,0.5125,0.00193902617874396,0.00355438783890002,0.538461538461538,0.00135119174387993,0.00926047861697031,-0.00660266833252012,1.40253578562468,0.00756490300064657,0.00893654271200734,0.84651338268458
2025-07,QS,0.702791589737868,0.254769844889706,0.480769230769231,0.666790318867435,0.486486486486487,0.498397435897436,-0.00307031719243172,0.648648648648649,0.459459459459459,0.618701316932975,-0.24686798274798,0.143738244365202,37,10,38,8,30,0.210526315789474,6,2,0.75,0.5,0.5,0.00323585233163189,0.00122426052543918,0.5,0.00323585233163189,0.0113212348882826,-0.00484953022501886,2.33450135641512,0.00788916037622057,0.00889390251062919,0.887030228495551
2025-07,Q1,0.697543935747756,0.250192557740382,0.605769230769231,0.720696310415364,0.567567567567568,0.613782051282051,0.224002629213519,0.648648648648649,0.378378378378378,0.643448974433634,0.54262011505763,0.182702845146792,37,10,38,13,25,0.342105263157895,7,6,0.538461538461538,0.692307692307692,0.708333333333333,0.00633426476945617,0.00533152446583531,0.692307692307692,0.00618137666577022,0.0119222624082142,-0.00623872991774936,1.9110079399807,0.0123593597562137,0.0081822487716318,1.51050892012281
2025-08,Q0,0.72003797514828,0.262839045608063,0.448979591836735,0.650771136464241,0.457142857142857,0.44047619047619,-0.117851130197758,0.6,0.571428571428571,0.419632151294789,-0.203425172666173,0.134918663549379,35,10,36,9,27,0.25,6,3,0.666666666666667,0.555555555555556,0.5,-0.000742049057807061,0.000857505199650841,0.555555555555556,-0.000742049057807061,0.00441800497677884,-0.00719211660103943,0.614284392461091,0.00714466516074327,0.0106517403407259,0.670750969531835
2025-08,QS,0.740733190578921,0.273006339294315,0.41156462585034,0.582892943744855,0.457142857142857,0.488095238095238,-0.0245736593591495,0.6,0.342857142857143,0.364590708286394,-1.15219212163973,0.165216454977862,35,10,36,10,26,0.277777777777778,4,6,0.4,0.4,0.416666666666667,0.00124816848161608,-0.00243779166765909,0.4,-0.00273225806980715,0.0160657798874512,-0.008630239122274,1.86156833661615,0.0131846206869409,0.0154491301848355,0.853421553783179
2025-08,Q1,0.710569712380442,0.258358965546258,0.472789115646258,0.646088089246612,0.485714285714286,0.476190476190476,-0.0468292905790847,0.6,0.542857142857143,0.408528130079222,-0.0574951311843411,0.119697302712648,35,10,36,5,31,0.138888888888889,3,2,0.6,0.4,0.25,-0.0015448895852048,-0.00162750252583809,0.4,-0.0015448895852048,0.00402045896179625,-0.00525512194987217,0.765055311779025,0.00862951023202342,0.0107812952882375,0.80041497809992
