scope,target,model,bin,probability_lower,probability_upper,row_count,mean_predicted_probability,observed_rate
pooled,large_remaining_move,M3,1,0,0.1,332,0.0699281169664,0.105421686747
pooled,large_remaining_move,M3,2,0.1,0.2,1490,0.160010000998,0.124832214765
pooled,large_remaining_move,M3,3,0.2,0.3,2664,0.247687388796,0.189189189189
pooled,large_remaining_move,M3,4,0.3,0.4,1055,0.339224487443,0.244549763033
pooled,large_remaining_move,M3,5,0.4,0.5,397,0.44525748623,0.377833753149
pooled,large_remaining_move,M3,6,0.5,0.6,187,0.542431029442,0.454545454545
pooled,large_remaining_move,M3,7,0.6,0.7,77,0.64624801749,0.61038961039
pooled,large_remaining_move,M3,8,0.7,0.8,47,0.742446709682,0.63829787234
pooled,large_remaining_move,M3,9,0.8,0.9,25,0.848747365379,0.6
pooled,large_remaining_move,M3,10,0.9,1,14,0.947856502368,0.428571428571
pooled,up_given_large_move,M0,1,0,0.1,0,,
pooled,up_given_large_move,M0,2,0.1,0.2,0,,
pooled,up_given_large_move,M0,3,0.2,0.3,0,,
pooled,up_given_large_move,M0,4,0.3,0.4,0,,
pooled,up_given_large_move,M0,5,0.4,0.5,0,,
pooled,up_given_large_move,M0,6,0.5,0.6,1316,0.551256597783,0.543313069909
pooled,up_given_large_move,M0,7,0.6,0.7,0,,
pooled,up_given_large_move,M0,8,0.7,0.8,0,,
pooled,up_given_large_move,M0,9,0.8,0.9,0,,
pooled,up_given_large_move,M0,10,0.9,1,0,,
pooled,up_given_large_move,M1,1,0,0.1,0,,
pooled,up_given_large_move,M1,2,0.1,0.2,0,,
pooled,up_given_large_move,M1,3,0.2,0.3,2,0.267160109371,0
pooled,up_given_large_move,M1,4,0.3,0.4,15,0.362972056061,0.333333333333
pooled,up_given_large_move,M1,5,0.4,0.5,246,0.471378494849,0.520325203252
pooled,up_given_large_move,M1,6,0.5,0.6,692,0.551340796509,0.552023121387
pooled,up_given_large_move,M1,7,0.6,0.7,330,0.634062822388,0.530303030303
pooled,up_given_large_move,M1,8,0.7,0.8,29,0.728237107667,0.793103448276
pooled,up_given_large_move,M1,9,0.8,0.9,2,0.894780513581,1
pooled,up_given_large_move,M1,10,0.9,1,0,,
pooled,up_given_large_move,M2,1,0,0.1,0,,
pooled,up_given_large_move,M2,2,0.1,0.2,1,0.190987848342,1
pooled,up_given_large_move,M2,3,0.2,0.3,8,0.276455400632,0.25
pooled,up_given_large_move,M2,4,0.3,0.4,50,0.365137055377,0.48
pooled,up_given_large_move,M2,5,0.4,0.5,276,0.460630727134,0.474637681159
pooled,up_given_large_move,M2,6,0.5,0.6,484,0.549930392517,0.535123966942
pooled,up_given_large_move,M2,7,0.6,0.7,391,0.642923004649,0.595907928389
pooled,up_given_large_move,M2,8,0.7,0.8,85,0.738017173106,0.588235294118
pooled,up_given_large_move,M2,9,0.8,0.9,18,0.851380324322,0.666666666667
pooled,up_given_large_move,M2,10,0.9,1,3,0.935283900985,1
pooled,up_given_large_move,M3,1,0,0.1,0,,
pooled,up_given_large_move,M3,2,0.1,0.2,13,0.148883071364,0.461538461538
pooled,up_given_large_move,M3,3,0.2,0.3,25,0.267486010845,0.4
pooled,up_given_large_move,M3,4,0.3,0.4,61,0.358002217088,0.540983606557
pooled,up_given_large_move,M3,5,0.4,0.5,255,0.45867000383,0.474509803922
pooled,up_given_large_move,M3,6,0.5,0.6,498,0.554634967978,0.532128514056
pooled,up_given_large_move,M3,7,0.6,0.7,344,0.641964405889,0.616279069767
pooled,up_given_large_move,M3,8,0.7,0.8,96,0.73565420989,0.5625
pooled,up_given_large_move,M3,9,0.8,0.9,18,0.832846857709,0.5
pooled,up_given_large_move,M3,10,0.9,1,6,0.933613933676,0.833333333333
pooled,remaining_direction_up,M0,1,0,0.1,0,,
pooled,remaining_direction_up,M0,2,0.1,0.2,0,,
pooled,remaining_direction_up,M0,3,0.2,0.3,0,,
pooled,remaining_direction_up,M0,4,0.3,0.4,0,,
pooled,remaining_direction_up,M0,5,0.4,0.5,3144,0.498871667328,0.500318066158
pooled,remaining_direction_up,M0,6,0.5,0.6,3144,0.500145622772,0.5
pooled,remaining_direction_up,M0,7,0.6,0.7,0,,
pooled,remaining_direction_up,M0,8,0.7,0.8,0,,
pooled,remaining_direction_up,M0,9,0.8,0.9,0,,
pooled,remaining_direction_up,M0,10,0.9,1,0,,
pooled,remaining_direction_up,M1,1,0,0.1,0,,
pooled,remaining_direction_up,M1,2,0.1,0.2,0,,
pooled,remaining_direction_up,M1,3,0.2,0.3,2,0.298143148352,0.5
pooled,remaining_direction_up,M1,4,0.3,0.4,8,0.372592785025,0.625
pooled,remaining_direction_up,M1,5,0.4,0.5,3304,0.483257317128,0.493644067797
pooled,remaining_direction_up,M1,6,0.5,0.6,2924,0.520017109813,0.507181942544
pooled,remaining_direction_up,M1,7,0.6,0.7,48,0.626990342434,0.479166666667
pooled,remaining_direction_up,M1,8,0.7,0.8,0,,
pooled,remaining_direction_up,M1,9,0.8,0.9,0,,
pooled,remaining_direction_up,M1,10,0.9,1,2,0.913685908954,1
pooled,remaining_direction_up,M2,1,0,0.1,0,,
pooled,remaining_direction_up,M2,2,0.1,0.2,0,,
pooled,remaining_direction_up,M2,3,0.2,0.3,0,,
pooled,remaining_direction_up,M2,4,0.3,0.4,28,0.387151304335,0.392857142857
pooled,remaining_direction_up,M2,5,0.4,0.5,3396,0.469775793137,0.482626619552
pooled,remaining_direction_up,M2,6,0.5,0.6,2668,0.531518128037,0.518740629685
pooled,remaining_direction_up,M2,7,0.6,0.7,190,0.625744549553,0.557894736842
pooled,remaining_direction_up,M2,8,0.7,0.8,4,0.706541086963,0.75
pooled,remaining_direction_up,M2,9,0.8,0.9,2,0.897135503028,1
pooled,remaining_direction_up,M2,10,0.9,1,0,,
pooled,remaining_direction_up,M3,1,0,0.1,0,,
pooled,remaining_direction_up,M3,2,0.1,0.2,0,,
pooled,remaining_direction_up,M3,3,0.2,0.3,6,0.275906998912,0.5
pooled,remaining_direction_up,M3,4,0.3,0.4,147,0.3691780251,0.503401360544
pooled,remaining_direction_up,M3,5,0.4,0.5,3327,0.466854869077,0.483618875864
pooled,remaining_direction_up,M3,6,0.5,0.6,2463,0.530501357201,0.519285424279
pooled,remaining_direction_up,M3,7,0.6,0.7,292,0.637213938347,0.503424657534
pooled,remaining_direction_up,M3,8,0.7,0.8,50,0.727919767016,0.6
pooled,remaining_direction_up,M3,9,0.8,0.9,3,0.862614017668,1
pooled,remaining_direction_up,M3,10,0.9,1,0,,
