period,analysis_level,subgroup_type,subgroup,quantity,estimate_type,n,sessions,estimate,lower_95,upper_95,status
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_15m,mean,5,5,0.011792496834406904,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,future_absolute_15m,median,5,5,0.009351767889361288,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,mean,5,5,0.6044083299588412,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,post_share_of_local_range_v1,median,5,5,0.5811117574516663,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_10m,mean,366,126,0.009972083621657492,0.00881606981535505,0.01116525746612039,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_10m,median,366,126,0.007377520761478951,0.006259802328137854,0.008382111807882201,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_15m,mean,366,126,0.011437382030486274,0.010138839413308655,0.012699215022079316,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,future_absolute_15m,median,366,126,0.008538236582790836,0.007100715489203016,0.010082810793083045,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,post_share_of_local_range_v1,mean,366,126,0.41944704186971565,0.40674517726413034,0.4332752457429862,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,post_share_of_local_range_v1,median,366,126,0.4175657660531348,0.40217170951547,0.43303217860488213,descriptive_support_available
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_10m,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_10m,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_15m,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,future_absolute_15m,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,post_share_of_local_range_v1,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,post_share_of_local_range_v1,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_10m,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_10m,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_15m,mean,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,future_absolute_15m,median,0,0,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,post_share_of_local_range_v1,mean,0,0,,,,blocked_insufficient_support
