period,analysis_level,exclusion_dimension,excluded,subgroup_type,subgroup,quantity,n,sessions,mean,median,status
assessment,high_tail_checkpoint,month,2025-04,movement_consumed_bucket,HIGH,future_absolute_15m,768,111,0.011678541049515087,0.008811804573845266,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-04,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,768,111,0.4115067326305566,0.4053995343146859,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,FIRST_ENTRY,future_absolute_10m,325,110,0.010050108513614792,0.007696692630057314,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,FIRST_ENTRY,future_absolute_15m,325,110,0.0116007630520624,0.009104769756165065,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,FIRST_ENTRY,post_share_of_local_range_v1,325,110,0.42637715500876416,0.4229567664210402,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,PERSISTENT,future_absolute_10m,397,69,0.009724897827210902,0.007750428437416725,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,PERSISTENT,future_absolute_15m,397,69,0.012620115296299517,0.009689220679751354,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,PERSISTENT,post_share_of_local_range_v1,397,69,0.4088284856322888,0.40045554004096073,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,RE_ENTRY,future_absolute_10m,54,34,0.008214734207444811,0.005391867159404729,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,RE_ENTRY,future_absolute_15m,54,34,0.008636591330120933,0.006379304845957848,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,phase,RE_ENTRY,post_share_of_local_range_v1,54,34,0.40577251704967304,0.41384812623420364,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,19,16,0.005982839580530953,0.0041713225536299465,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-05,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,19,16,0.007863635680949034,0.004391274906354764,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-05,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,19,16,0.5324251788231441,0.5291233580830964,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-05,movement_consumed_bucket,HIGH,future_absolute_10m,757,110,0.009850715190884369,0.007640705327911892,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,movement_consumed_bucket,HIGH,future_absolute_15m,757,110,0.012017702270065635,0.009072392872407424,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-05,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,757,110,0.4130424328889162,0.40673384081595965,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,FIRST_ENTRY,future_absolute_10m,324,110,0.010207455102418427,0.007788186049154932,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,FIRST_ENTRY,future_absolute_15m,324,110,0.01182168550289497,0.009079083775440176,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,FIRST_ENTRY,post_share_of_local_range_v1,324,110,0.42169760760584973,0.4177383865819707,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,PERSISTENT,future_absolute_10m,416,70,0.009854149635561445,0.007921087825776522,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,PERSISTENT,future_absolute_15m,416,70,0.012591913821715902,0.009924925983270617,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,PERSISTENT,post_share_of_local_range_v1,416,70,0.4112310105167803,0.40263048780281296,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,RE_ENTRY,future_absolute_10m,60,39,0.008132492483435411,0.00528775622172032,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,RE_ENTRY,future_absolute_15m,60,39,0.008347006183685841,0.006727217224715973,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,phase,RE_ENTRY,post_share_of_local_range_v1,60,39,0.39820291992623713,0.4067468576870581,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,18,15,0.006022923688904895,0.004172831496079089,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-06,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,18,15,0.007432533667526846,0.004363072830575274,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-06,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,18,15,0.5408176080970614,0.5475831781463021,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-06,movement_consumed_bucket,HIGH,future_absolute_10m,782,110,0.009956622281563897,0.007764515004150171,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,movement_consumed_bucket,HIGH,future_absolute_15m,782,110,0.012065852963909787,0.00921870537988077,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-06,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,782,110,0.4115851451267302,0.40614452120387257,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,FIRST_ENTRY,future_absolute_10m,310,107,0.010002460522476159,0.007281484290675199,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,FIRST_ENTRY,future_absolute_15m,310,107,0.01157787756508418,0.009003049497445464,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,FIRST_ENTRY,post_share_of_local_range_v1,310,107,0.4243388414350558,0.4236059727213342,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,PERSISTENT,future_absolute_10m,372,63,0.010316917226667624,0.00848448854782028,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,PERSISTENT,future_absolute_15m,372,63,0.012942932956903793,0.009956728765317342,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,PERSISTENT,post_share_of_local_range_v1,372,63,0.41396390231466285,0.4046808650319198,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,RE_ENTRY,future_absolute_10m,55,35,0.008669025389908257,0.005512126740500805,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,RE_ENTRY,future_absolute_15m,55,35,0.008671096422919515,0.006841466881649569,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,phase,RE_ENTRY,post_share_of_local_range_v1,55,35,0.41036489201193993,0.42320011465827456,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,18,15,0.006263956039692782,0.004517899362386725,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-07,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,18,15,0.008079808071582591,0.0060409185573909036,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-07,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,18,15,0.5475323239689238,0.5475831781463021,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-07,movement_consumed_bucket,HIGH,future_absolute_10m,719,107,0.010156747090429,0.007851940573075693,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,movement_consumed_bucket,HIGH,future_absolute_15m,719,107,0.012149355859689003,0.00925963549036415,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-07,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,719,107,0.4148179412171599,0.4082736541119463,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,FIRST_ENTRY,future_absolute_10m,320,111,0.010030066459827396,0.007668698978984603,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,FIRST_ENTRY,future_absolute_15m,320,111,0.011258955050344827,0.009106052465577216,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,FIRST_ENTRY,post_share_of_local_range_v1,320,111,0.42259309258113376,0.4208040250071556,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,PERSISTENT,future_absolute_10m,400,71,0.00986987534024339,0.00800820397647974,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,PERSISTENT,future_absolute_15m,400,71,0.012424036607703016,0.009623896503486839,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,PERSISTENT,post_share_of_local_range_v1,400,71,0.41380542530030445,0.40463229094769193,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,RE_ENTRY,future_absolute_10m,63,42,0.008231709773664933,0.005512126740500805,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,RE_ENTRY,future_absolute_15m,63,42,0.008244421547251354,0.006145642124133318,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,phase,RE_ENTRY,post_share_of_local_range_v1,63,42,0.4020951210537288,0.4117187671173877,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,17,15,0.006177563721178777,0.004174340438528232,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-08,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,17,15,0.007526777055887573,0.004390878826520883,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-08,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,17,15,0.5391900253809893,0.5291233580830964,blocked_insufficient_support
assessment,high_tail_checkpoint,month,2025-08,movement_consumed_bucket,HIGH,future_absolute_10m,766,111,0.009884008532275423,0.007722332177403455,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,movement_consumed_bucket,HIGH,future_absolute_15m,766,111,0.011702250139318925,0.009055413673542359,descriptive_support_available
assessment,high_tail_checkpoint,month,2025-08,movement_consumed_bucket,HIGH,post_share_of_local_range_v1,766,111,0.41373070749476853,0.40881195465095,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,FIRST_ENTRY,future_absolute_10m,343,125,0.010401777909127496,0.007722562889909601,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,FIRST_ENTRY,future_absolute_15m,343,125,0.011970671364241925,0.009310993396491827,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,FIRST_ENTRY,post_share_of_local_range_v1,343,125,0.42271079877674567,0.42003100692290546,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,PERSISTENT,future_absolute_10m,417,78,0.01035089009406242,0.008471952605845682,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,PERSISTENT,future_absolute_15m,417,78,0.013033086046103572,0.0102754410093024,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,PERSISTENT,post_share_of_local_range_v1,417,78,0.41254133269302634,0.4039587941182495,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,RE_ENTRY,future_absolute_10m,60,40,0.008522825674768716,0.005547499292584137,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,RE_ENTRY,future_absolute_15m,60,40,0.00867300247910588,0.006727217224715973,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,phase,RE_ENTRY,post_share_of_local_range_v1,60,40,0.401815789847261,0.4103964945452278,descriptive_support_available
assessment,high_tail_checkpoint,stock,AAL,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_10m,14,13,0.006423516513263514,0.004172831496079089,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,AAL,movement_consumed_bucket,LOW_OR_EQUAL,future_absolute_15m,14,13,0.008679137773492924,0.0060409185573909036,blocked_insufficient_support
assessment,high_tail_checkpoint,stock,AAL,movement_consumed_bucket,LOW_OR_EQUAL,post_share_of_local_range_v1,14,13,0.5392479687349214,0.5371255167044132,blocked_insufficient_support
