period,analysis_level,subgroup_type,subgroup,rows,sessions,up_count,down_count,up_rate,recent_momentum_valid,recent_momentum_continuation_rate,recent_momentum_reversal_rate,A1_CALL_count,A1_PUT_count,A1_ABSTAIN_count,A1_UNKNOWN_count,A1_acted_count,A1_accuracy,A1_mean_aligned_10m_return,A1_median_aligned_10m_return,A1_CALL_accuracy,A1_CALL_mean_aligned_10m_return,A1_CALL_median_aligned_10m_return,A1_PUT_accuracy,A1_PUT_mean_aligned_10m_return,A1_PUT_median_aligned_10m_return,status,interpretation
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,3,3,1,2,,3,,,0,1,2,0,1,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,62,42,28,33,0.45901639344262296,60,0.5,0.5,6,20,36,0,25,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,fresh_high_tail_episode,overall,ALL,417,126,216,195,0.5255474452554745,411,0.5085158150851582,0.49148418491484186,66,74,277,0,139,0.5251798561151079,0.0017732888661518354,0.0005717062500220685,0.6,0.0036696052762951498,0.002786144418020906,0.4594594594594595,0.0001076055329178437,-0.0019838005077533584,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,phase,FIRST_ENTRY,371,126,195,170,0.5342465753424658,365,0.5041095890410959,0.4958904109589041,63,56,252,0,118,0.5254237288135594,0.0016573361303546968,0.0005075334852533129,0.6129032258064516,0.003866931241518799,0.0032976274625628422,0.42857142857142855,-0.0007890013141484158,-0.00217373896971651,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,phase,PERSISTENT,0,0,0,0,,0,,,0,0,0,0,0,,,,,,,,,,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,phase,RE_ENTRY,46,33,21,25,0.45652173913043476,46,0.5434782608695652,0.45652173913043476,3,18,25,0,21,0.5238095238095238,0.002424832810154804,0.0008563455389022192,0.3333333333333333,-0.0004084646716602763,-0.0004767580770522911,0.5555555555555556,0.002897049057123984,0.0013267987337263667,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,8,8,4,4,0.5,8,0.875,0.125,1,2,5,0,3,0.3333333333333333,-0.004165921252265787,-0.002671246130689552,1.0,0.00910016391269139,0.00910016391269139,0.0,-0.010798963834744374,-0.010798963834744374,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,movement_consumed_bucket,HIGH,409,126,212,191,0.5260545905707196,403,0.5012406947890818,0.4987593052109181,65,72,272,0,136,0.5294117647058824,0.0019043008540581066,0.0007140258944621439,0.59375,0.003584752797601458,0.002743512013761047,0.4722222222222222,0.00041056579313068314,-0.0016708149149832078,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,5,5,3,2,,5,,,1,1,3,0,2,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,366,126,192,168,0.5333333333333333,360,0.49722222222222223,0.5027777777777778,62,55,249,0,116,0.5258620689655172,0.0017706222500686382,0.0005075334852533129,0.6065573770491803,0.0037811405419913794,0.0031018015905655578,0.43636363636363634,-0.0004592253100638562,-0.002131656071151239,descriptive_support_available,frozen_A1_descriptive_comparison_only
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,0,0,0,0,,0,,,0,0,0,0,0,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,0,0,0,0,,0,,,0,0,0,0,0,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,3,3,1,2,,3,,,0,1,2,0,1,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,43,31,20,23,0.46511627906976744,43,0.5348837209302325,0.46511627906976744,3,17,23,0,20,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,high_tail_checkpoint,overall,ALL,1146,67,513,624,0.45118733509234826,1137,0.46262093227792433,0.5373790677220757,204,298,644,0,500,0.504,-0.0004445720365247011,0.00019696730453141103,0.458128078817734,-0.0016574806130855377,-0.0010869716480647275,0.5353535353535354,0.00038445301748826175,0.0009960004020817107,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,phase,FIRST_ENTRY,455,67,200,249,0.44543429844098,449,0.41870824053452116,0.5812917594654788,98,86,271,0,183,0.5027322404371585,5.180395901071989e-06,0.00018627433122634147,0.4329896907216495,-0.0022163987399306997,-0.0013688572078865275,0.5813953488372093,0.002510915002595048,0.0014622487058314482,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,phase,PERSISTENT,594,57,264,327,0.4467005076142132,591,0.5025380710659898,0.49746192893401014,84,187,323,0,270,0.5037037037037037,-0.0008476149460579297,0.00016482682484058876,0.47619047619047616,-0.001323194338184526,-0.0005748545089326749,0.5161290322580645,-0.0006328371560652733,0.00045418809791222147,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,phase,RE_ENTRY,97,43,49,48,0.5051546391752577,97,0.422680412371134,0.5773195876288659,22,25,50,0,47,0.5106382978723404,0.00011961712177434868,0.0003244120271379794,0.5,-0.00046952555798118533,-0.00036328439405065096,0.52,0.000638062679959219,0.0003244120271379794,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,movement_consumed_bucket,LOW_OR_EQUAL,35,22,14,21,0.4,35,0.5428571428571428,0.45714285714285713,11,6,18,0,17,0.5294117647058824,0.002468224019989336,0.00012199337184469692,0.5454545454545454,0.0018347122824757497,0.00012199337184469692,0.5,0.00362966220543091,-4.6527154427326704e-05,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,movement_consumed_bucket,HIGH,1111,67,499,603,0.4528130671506352,1102,0.46007259528130673,0.5399274047186933,193,292,626,0,483,0.5031055900621118,-0.0005470928087001431,0.00020766027783648063,0.453125,-0.0018575541643937367,-0.0012672949238924439,0.5360824742268041,0.0003175414878399597,0.0011593226302481342,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,5,4,2,3,,5,,,3,0,2,0,3,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,450,67,198,246,0.44594594594594594,444,0.4189189189189189,0.581081081081081,95,86,269,0,180,0.5055555555555555,-2.036211486030815e-05,0.0005066716860921705,0.43617021276595747,-0.0023362113925322284,-0.0019004990352361009,0.5813953488372093,0.002510915002595048,0.0014622487058314482,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,25,16,10,15,,25,,,8,4,13,0,12,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,569,57,254,312,0.44876325088339225,566,0.49823321554770317,0.5017667844522968,76,183,310,0,258,0.5,-0.0009745194941347369,-0.00010325209283310987,0.4605263157894737,-0.0016673285051313396,-0.0007150041961750044,0.5164835164835165,-0.0006852146323998919,0.00045418809791222147,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,5,4,2,3,,5,,,0,2,3,0,2,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,92,43,47,45,0.5108695652173914,92,0.42391304347826086,0.5760869565217391,22,23,47,0,45,0.5111111111111111,-0.00020343592090114624,0.0003244120271379794,0.5,-0.00046952555798118533,-0.00036328439405065096,0.5217391304347826,5.108460152323898e-05,0.0003244120271379794,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,overall,ALL,525,67,237,282,0.45664739884393063,519,0.4277456647398844,0.5722543352601156,113,107,305,0,219,0.5114155251141552,0.0001249671608640796,0.0003964321161928768,0.45535714285714285,-0.0019092394953410818,-0.0013415530750589412,0.5700934579439252,0.0022542302028732203,0.0013849033773099702,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,phase,FIRST_ENTRY,455,67,200,249,0.44543429844098,449,0.41870824053452116,0.5812917594654788,98,86,271,0,183,0.5027322404371585,5.180395901071989e-06,0.00018627433122634147,0.4329896907216495,-0.0022163987399306997,-0.0013688572078865275,0.5813953488372093,0.002510915002595048,0.0014622487058314482,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,phase,PERSISTENT,0,0,0,0,,0,,,0,0,0,0,0,,,,,,,,,,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,phase,RE_ENTRY,70,35,37,33,0.5285714285714286,70,0.4857142857142857,0.5142857142857142,15,21,34,0,36,0.5555555555555556,0.0007338832160927014,0.0009550259477845307,0.6,7.705695300511944e-05,0.0015136197793761848,0.5238095238095238,0.0012030448325838314,0.0003244120271379794,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,movement_consumed_bucket,LOW_OR_EQUAL,9,8,4,5,0.4444444444444444,9,0.4444444444444444,0.5555555555555556,3,2,4,0,5,0.4,0.003877962857739517,-0.0003790032547927324,0.3333333333333333,0.0015377310415838697,-0.0003790032547927324,0.5,0.007388310581972989,0.007388310581972989,blocked_insufficient_support,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,movement_consumed_bucket,HIGH,516,67,233,277,0.4568627450980392,510,0.42745098039215684,0.5725490196078431,110,105,301,0,214,0.514018691588785,3.728034551652271e-05,0.0006117505785754381,0.45871559633027525,-0.0020041102440637865,-0.0013688572078865275,0.5714285714285714,0.0021564381956522727,0.0013849033773099702,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|LOW_OR_EQUAL,5,4,2,3,,5,,,3,0,2,0,3,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket,FIRST_ENTRY|HIGH,450,67,198,246,0.44594594594594594,444,0.4189189189189189,0.581081081081081,95,86,269,0,180,0.5055555555555555,-2.036211486030815e-05,0.0005066716860921705,0.43617021276595747,-0.0023362113925322284,-0.0019004990352361009,0.5813953488372093,0.002510915002595048,0.0014622487058314482,descriptive_support_available,frozen_A1_descriptive_comparison_only
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|LOW_OR_EQUAL,0,0,0,0,,0,,,0,0,0,0,0,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket,PERSISTENT|HIGH,0,0,0,0,,0,,,0,0,0,0,0,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|LOW_OR_EQUAL,4,4,2,2,,4,,,0,2,2,0,2,,,,,,,,,,blocked_insufficient_support,blocked_insufficient_support
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket,RE_ENTRY|HIGH,66,35,35,31,0.5303030303030303,66,0.48484848484848486,0.5151515151515151,15,19,32,0,34,0.5588235294117647,0.00034244631221739077,0.0009550259477845307,0.6,7.705695300511944e-05,0.0015136197793761848,0.5263157894736842,0.0005519642273849726,0.0003244120271379794,descriptive_support_available,frozen_A1_descriptive_comparison_only
