period,analysis_level,comparison,group_a,group_b,quantity,estimate_type,n_a,n_b,sessions_a,sessions_b,estimate_a_minus_b,lower_95,upper_95,status
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,mean,371,46,126,33,0.017765096443137618,-0.012735982053295678,0.05874536490332725,descriptive_support_available
assessment,fresh_high_tail_episode,FIRST_ENTRY_minus_RE_ENTRY,FIRST_ENTRY,RE_ENTRY,post_share_of_local_range_v1,median,371,46,126,33,0.0029004404872401968,-0.04187807918741838,0.05607296186938956,descriptive_support_available
assessment,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,mean,0,46,0,33,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_10m,median,0,46,0,33,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,mean,0,46,0,33,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,future_absolute_15m,median,0,46,0,33,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,mean,0,46,0,33,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,PERSISTENT_minus_RE_ENTRY,PERSISTENT,RE_ENTRY,post_share_of_local_range_v1,median,0,46,0,33,,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_10m,mean,8,409,8,126,-0.0032307751101332324,,,blocked_insufficient_support
assessment,fresh_high_tail_episode,LOW_OR_EQUAL_minus_HIGH,LOW_OR_EQUAL,HIGH,future_absolute_10m,median,8,409,8,126,-0.0030140584922566504,,,blocked_insufficient_support
