period,analysis_level,dimension,value,count,share
assessment,fresh_high_tail_episode,time_of_day,15:00:00+0000,84,0.2014388489208633
assessment,fresh_high_tail_episode,time_of_day,15:10:00+0000,5,0.011990407673860911
assessment,fresh_high_tail_episode,time_of_day,15:20:00+0000,2,0.004796163069544364
assessment,fresh_high_tail_episode,time_of_day,15:30:00+0000,1,0.002398081534772182
assessment,fresh_high_tail_episode,time_of_day,15:40:00+0000,10,0.023980815347721823
assessment,fresh_high_tail_episode,time_of_day,16:00:00+0000,1,0.002398081534772182
assessment,fresh_high_tail_episode,time_of_day,16:10:00+0000,3,0.007194244604316547
assessment,fresh_high_tail_episode,time_of_day,16:20:00+0000,2,0.004796163069544364
assessment,fresh_high_tail_episode,time_of_day,17:00:00+0000,1,0.002398081534772182
stress,high_tail_checkpoint,m1c_tail_phase_v1,FIRST_ENTRY,455,0.3970331588132635
stress,high_tail_checkpoint,m1c_tail_phase_v1,PERSISTENT,594,0.518324607329843
stress,high_tail_checkpoint,m1c_tail_phase_v1,RE_ENTRY,97,0.08464223385689354
stress,high_tail_checkpoint,movement_consumed_bucket_v1,HIGH,1111,0.9694589877835951
stress,high_tail_checkpoint,movement_consumed_bucket_v1,LOW_OR_EQUAL,35,0.030541012216404886
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|HIGH,450,0.39267015706806285
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|LOW_OR_EQUAL,5,0.004363001745200698
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,PERSISTENT|HIGH,569,0.4965095986038394
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,PERSISTENT|LOW_OR_EQUAL,25,0.02181500872600349
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,RE_ENTRY|HIGH,92,0.08027923211169284
stress,high_tail_checkpoint,phase_x_movement_consumed_bucket_v1,RE_ENTRY|LOW_OR_EQUAL,5,0.004363001745200698
stress,high_tail_checkpoint,stock,AAL,47,0.04101221640488656
stress,high_tail_checkpoint,stock,AAOI,27,0.02356020942408377
stress,high_tail_checkpoint,stock,APLD,13,0.011343804537521814
stress,high_tail_checkpoint,stock,ASTS,36,0.031413612565445025
stress,high_tail_checkpoint,stock,CIFR,121,0.1055846422338569
stress,high_tail_checkpoint,stock,HIMS,24,0.020942408376963352
stress,high_tail_checkpoint,stock,IONQ,38,0.03315881326352531
stress,high_tail_checkpoint,stock,IREN,109,0.09511343804537521
stress,high_tail_checkpoint,stock,MARA,25,0.02181500872600349
stress,high_tail_checkpoint,stock,MP,201,0.17539267015706805
stress,high_tail_checkpoint,stock,MRNA,17,0.014834205933682374
stress,high_tail_checkpoint,stock,MSTR,12,0.010471204188481676
stress,high_tail_checkpoint,stock,NVTS,172,0.15008726003490402
stress,high_tail_checkpoint,stock,QBTS,52,0.04537521815008726
stress,high_tail_checkpoint,stock,RGTI,21,0.01832460732984293
stress,high_tail_checkpoint,stock,RIOT,33,0.028795811518324606
stress,high_tail_checkpoint,stock,RIVN,51,0.04450261780104712
stress,high_tail_checkpoint,stock,SMCI,3,0.002617801047120419
stress,high_tail_checkpoint,stock,SOFI,55,0.04799301919720768
stress,high_tail_checkpoint,stock,WULF,89,0.07766143106457242
stress,high_tail_checkpoint,month,2025-09,243,0.21204188481675393
stress,high_tail_checkpoint,month,2025-10,322,0.28097731239092494
stress,high_tail_checkpoint,month,2025-11,419,0.3656195462478185
stress,high_tail_checkpoint,month,2025-12,162,0.14136125654450263
stress,high_tail_checkpoint,session,2025-09-03,10,0.008726003490401396
stress,high_tail_checkpoint,session,2025-09-04,9,0.007853403141361256
stress,high_tail_checkpoint,session,2025-09-05,9,0.007853403141361256
stress,high_tail_checkpoint,session,2025-09-09,24,0.020942408376963352
stress,high_tail_checkpoint,session,2025-09-10,31,0.027050610820244327
stress,high_tail_checkpoint,session,2025-09-11,19,0.016579406631762654
stress,high_tail_checkpoint,session,2025-09-12,36,0.031413612565445025
stress,high_tail_checkpoint,session,2025-09-16,7,0.006108202443280977
stress,high_tail_checkpoint,session,2025-09-17,7,0.006108202443280977
stress,high_tail_checkpoint,session,2025-09-18,6,0.005235602094240838
stress,high_tail_checkpoint,session,2025-09-19,8,0.006980802792321117
stress,high_tail_checkpoint,session,2025-09-23,3,0.002617801047120419
stress,high_tail_checkpoint,session,2025-09-24,29,0.02530541012216405
stress,high_tail_checkpoint,session,2025-09-25,30,0.02617801047120419
stress,high_tail_checkpoint,session,2025-09-26,13,0.011343804537521814
stress,high_tail_checkpoint,session,2025-09-30,2,0.0017452006980802793
stress,high_tail_checkpoint,session,2025-10-01,7,0.006108202443280977
stress,high_tail_checkpoint,session,2025-10-02,26,0.02268760907504363
stress,high_tail_checkpoint,session,2025-10-03,18,0.015706806282722512
stress,high_tail_checkpoint,session,2025-10-07,28,0.02443280977312391
stress,high_tail_checkpoint,session,2025-10-08,25,0.02181500872600349
stress,high_tail_checkpoint,session,2025-10-09,17,0.014834205933682374
stress,high_tail_checkpoint,session,2025-10-10,38,0.03315881326352531
stress,high_tail_checkpoint,session,2025-10-14,34,0.029668411867364748
stress,high_tail_checkpoint,session,2025-10-15,14,0.012216404886561954
stress,high_tail_checkpoint,session,2025-10-16,23,0.02006980802792321
stress,high_tail_checkpoint,session,2025-10-17,14,0.012216404886561954
stress,high_tail_checkpoint,session,2025-10-21,9,0.007853403141361256
stress,high_tail_checkpoint,session,2025-10-22,20,0.017452006980802792
stress,high_tail_checkpoint,session,2025-10-23,12,0.010471204188481676
stress,high_tail_checkpoint,session,2025-10-24,8,0.006980802792321117
stress,high_tail_checkpoint,session,2025-10-28,14,0.012216404886561954
stress,high_tail_checkpoint,session,2025-10-29,4,0.0034904013961605585
stress,high_tail_checkpoint,session,2025-10-30,6,0.005235602094240838
stress,high_tail_checkpoint,session,2025-10-31,5,0.004363001745200698
stress,high_tail_checkpoint,session,2025-11-04,13,0.011343804537521814
stress,high_tail_checkpoint,session,2025-11-05,21,0.01832460732984293
stress,high_tail_checkpoint,session,2025-11-06,26,0.02268760907504363
stress,high_tail_checkpoint,session,2025-11-07,19,0.016579406631762654
stress,high_tail_checkpoint,session,2025-11-11,24,0.020942408376963352
stress,high_tail_checkpoint,session,2025-11-12,23,0.02006980802792321
stress,high_tail_checkpoint,session,2025-11-13,31,0.027050610820244327
stress,high_tail_checkpoint,session,2025-11-14,54,0.04712041884816754
stress,high_tail_checkpoint,session,2025-11-18,21,0.01832460732984293
stress,high_tail_checkpoint,session,2025-11-19,21,0.01832460732984293
stress,high_tail_checkpoint,session,2025-11-20,55,0.04799301919720768
stress,high_tail_checkpoint,session,2025-11-21,64,0.055846422338568937
stress,high_tail_checkpoint,session,2025-11-25,24,0.020942408376963352
stress,high_tail_checkpoint,session,2025-11-26,10,0.008726003490401396
stress,high_tail_checkpoint,session,2025-11-28,13,0.011343804537521814
stress,high_tail_checkpoint,session,2025-12-02,8,0.006980802792321117
stress,high_tail_checkpoint,session,2025-12-03,9,0.007853403141361256
stress,high_tail_checkpoint,session,2025-12-04,7,0.006108202443280977
stress,high_tail_checkpoint,session,2025-12-05,11,0.009598603839441536
stress,high_tail_checkpoint,session,2025-12-09,3,0.002617801047120419
stress,high_tail_checkpoint,session,2025-12-10,4,0.0034904013961605585
stress,high_tail_checkpoint,session,2025-12-11,15,0.013089005235602094
stress,high_tail_checkpoint,session,2025-12-12,15,0.013089005235602094
stress,high_tail_checkpoint,session,2025-12-16,7,0.006108202443280977
stress,high_tail_checkpoint,session,2025-12-17,21,0.01832460732984293
stress,high_tail_checkpoint,session,2025-12-18,13,0.011343804537521814
stress,high_tail_checkpoint,session,2025-12-19,10,0.008726003490401396
stress,high_tail_checkpoint,session,2025-12-23,12,0.010471204188481676
stress,high_tail_checkpoint,session,2025-12-24,13,0.011343804537521814
stress,high_tail_checkpoint,session,2025-12-26,5,0.004363001745200698
stress,high_tail_checkpoint,session,2025-12-30,8,0.006980802792321117
stress,high_tail_checkpoint,session,2025-12-31,1,0.0008726003490401396
stress,high_tail_checkpoint,checkpoint,6,442,0.3856893542757417
stress,high_tail_checkpoint,checkpoint,8,158,0.13787085514834205
stress,high_tail_checkpoint,checkpoint,10,155,0.13525305410122165
stress,high_tail_checkpoint,checkpoint,12,56,0.04886561954624782
stress,high_tail_checkpoint,checkpoint,14,88,0.07678883071553229
stress,high_tail_checkpoint,checkpoint,16,53,0.0462478184991274
stress,high_tail_checkpoint,checkpoint,18,41,0.03577661431064572
stress,high_tail_checkpoint,checkpoint,20,45,0.03926701570680628
stress,high_tail_checkpoint,checkpoint,22,34,0.029668411867364748
stress,high_tail_checkpoint,checkpoint,24,20,0.017452006980802792
stress,high_tail_checkpoint,checkpoint,26,14,0.012216404886561954
stress,high_tail_checkpoint,checkpoint,28,14,0.012216404886561954
stress,high_tail_checkpoint,checkpoint,30,16,0.013961605584642234
stress,high_tail_checkpoint,checkpoint,32,5,0.004363001745200698
stress,high_tail_checkpoint,checkpoint,34,5,0.004363001745200698
stress,high_tail_checkpoint,time_of_day,14:00:00+0000,212,0.1849912739965096
stress,high_tail_checkpoint,time_of_day,14:10:00+0000,73,0.0636998254799302
stress,high_tail_checkpoint,time_of_day,14:20:00+0000,71,0.06195462478184991
stress,high_tail_checkpoint,time_of_day,14:30:00+0000,28,0.02443280977312391
stress,high_tail_checkpoint,time_of_day,14:40:00+0000,42,0.03664921465968586
stress,high_tail_checkpoint,time_of_day,14:50:00+0000,29,0.02530541012216405
stress,high_tail_checkpoint,time_of_day,15:00:00+0000,249,0.21727748691099477
stress,high_tail_checkpoint,time_of_day,15:10:00+0000,113,0.09860383944153578
stress,high_tail_checkpoint,time_of_day,15:20:00+0000,104,0.09075043630017451
stress,high_tail_checkpoint,time_of_day,15:30:00+0000,40,0.034904013961605584
stress,high_tail_checkpoint,time_of_day,15:40:00+0000,55,0.04799301919720768
stress,high_tail_checkpoint,time_of_day,15:50:00+0000,33,0.028795811518324606
stress,high_tail_checkpoint,time_of_day,16:00:00+0000,31,0.027050610820244327
stress,high_tail_checkpoint,time_of_day,16:10:00+0000,19,0.016579406631762654
stress,high_tail_checkpoint,time_of_day,16:20:00+0000,16,0.013961605584642234
stress,high_tail_checkpoint,time_of_day,16:30:00+0000,8,0.006980802792321117
stress,high_tail_checkpoint,time_of_day,16:40:00+0000,5,0.004363001745200698
stress,high_tail_checkpoint,time_of_day,16:50:00+0000,5,0.004363001745200698
stress,high_tail_checkpoint,time_of_day,17:00:00+0000,7,0.006108202443280977
stress,high_tail_checkpoint,time_of_day,17:10:00+0000,3,0.002617801047120419
stress,high_tail_checkpoint,time_of_day,17:20:00+0000,3,0.002617801047120419
stress,fresh_high_tail_episode,m1c_tail_phase_v1,FIRST_ENTRY,455,0.8666666666666667
stress,fresh_high_tail_episode,m1c_tail_phase_v1,RE_ENTRY,70,0.13333333333333333
stress,fresh_high_tail_episode,movement_consumed_bucket_v1,HIGH,516,0.9828571428571429
stress,fresh_high_tail_episode,movement_consumed_bucket_v1,LOW_OR_EQUAL,9,0.017142857142857144
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|HIGH,450,0.8571428571428571
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|LOW_OR_EQUAL,5,0.009523809523809525
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,RE_ENTRY|HIGH,66,0.12571428571428572
stress,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,RE_ENTRY|LOW_OR_EQUAL,4,0.007619047619047619
stress,fresh_high_tail_episode,stock,AAL,31,0.05904761904761905
stress,fresh_high_tail_episode,stock,AAOI,15,0.02857142857142857
stress,fresh_high_tail_episode,stock,APLD,12,0.022857142857142857
stress,fresh_high_tail_episode,stock,ASTS,20,0.0380952380952381
stress,fresh_high_tail_episode,stock,CIFR,47,0.08952380952380952
stress,fresh_high_tail_episode,stock,HIMS,16,0.030476190476190476
stress,fresh_high_tail_episode,stock,IONQ,23,0.04380952380952381
stress,fresh_high_tail_episode,stock,IREN,51,0.09714285714285714
stress,fresh_high_tail_episode,stock,MARA,22,0.0419047619047619
stress,fresh_high_tail_episode,stock,MP,56,0.10666666666666667
stress,fresh_high_tail_episode,stock,MRNA,12,0.022857142857142857
stress,fresh_high_tail_episode,stock,MSTR,9,0.017142857142857144
stress,fresh_high_tail_episode,stock,NVTS,53,0.10095238095238095
stress,fresh_high_tail_episode,stock,QBTS,31,0.05904761904761905
stress,fresh_high_tail_episode,stock,RGTI,12,0.022857142857142857
stress,fresh_high_tail_episode,stock,RIOT,17,0.03238095238095238
stress,fresh_high_tail_episode,stock,RIVN,28,0.05333333333333334
stress,fresh_high_tail_episode,stock,SMCI,3,0.005714285714285714
stress,fresh_high_tail_episode,stock,SOFI,27,0.05142857142857143
stress,fresh_high_tail_episode,stock,WULF,40,0.0761904761904762
stress,fresh_high_tail_episode,month,2025-09,116,0.22095238095238096
stress,fresh_high_tail_episode,month,2025-10,131,0.24952380952380954
stress,fresh_high_tail_episode,month,2025-11,171,0.32571428571428573
stress,fresh_high_tail_episode,month,2025-12,107,0.2038095238095238
stress,fresh_high_tail_episode,session,2025-09-03,7,0.013333333333333334
stress,fresh_high_tail_episode,session,2025-09-04,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-09-05,7,0.013333333333333334
stress,fresh_high_tail_episode,session,2025-09-09,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-09-10,12,0.022857142857142857
stress,fresh_high_tail_episode,session,2025-09-11,9,0.017142857142857144
stress,fresh_high_tail_episode,session,2025-09-12,12,0.022857142857142857
stress,fresh_high_tail_episode,session,2025-09-16,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-09-17,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-09-18,4,0.007619047619047619
stress,fresh_high_tail_episode,session,2025-09-19,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-09-23,3,0.005714285714285714
stress,fresh_high_tail_episode,session,2025-09-24,10,0.01904761904761905
stress,fresh_high_tail_episode,session,2025-09-25,12,0.022857142857142857
stress,fresh_high_tail_episode,session,2025-09-26,7,0.013333333333333334
stress,fresh_high_tail_episode,session,2025-09-30,2,0.0038095238095238095
stress,fresh_high_tail_episode,session,2025-10-01,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-10-02,11,0.02095238095238095
stress,fresh_high_tail_episode,session,2025-10-03,12,0.022857142857142857
stress,fresh_high_tail_episode,session,2025-10-07,12,0.022857142857142857
stress,fresh_high_tail_episode,session,2025-10-08,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-10-09,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-10-10,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-10-14,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-10-15,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-10-16,9,0.017142857142857144
stress,fresh_high_tail_episode,session,2025-10-17,9,0.017142857142857144
stress,fresh_high_tail_episode,session,2025-10-21,3,0.005714285714285714
stress,fresh_high_tail_episode,session,2025-10-22,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-10-23,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-10-24,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-10-28,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-10-29,4,0.007619047619047619
stress,fresh_high_tail_episode,session,2025-10-30,3,0.005714285714285714
stress,fresh_high_tail_episode,session,2025-10-31,4,0.007619047619047619
stress,fresh_high_tail_episode,session,2025-11-04,9,0.017142857142857144
stress,fresh_high_tail_episode,session,2025-11-05,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-11-06,15,0.02857142857142857
stress,fresh_high_tail_episode,session,2025-11-07,10,0.01904761904761905
stress,fresh_high_tail_episode,session,2025-11-11,9,0.017142857142857144
stress,fresh_high_tail_episode,session,2025-11-12,15,0.02857142857142857
stress,fresh_high_tail_episode,session,2025-11-13,14,0.02666666666666667
stress,fresh_high_tail_episode,session,2025-11-14,18,0.03428571428571429
stress,fresh_high_tail_episode,session,2025-11-18,10,0.01904761904761905
stress,fresh_high_tail_episode,session,2025-11-19,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-11-20,13,0.024761904761904763
stress,fresh_high_tail_episode,session,2025-11-21,18,0.03428571428571429
stress,fresh_high_tail_episode,session,2025-11-25,11,0.02095238095238095
stress,fresh_high_tail_episode,session,2025-11-26,4,0.007619047619047619
stress,fresh_high_tail_episode,session,2025-11-28,9,0.017142857142857144
stress,fresh_high_tail_episode,session,2025-12-02,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-12-03,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-12-04,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-12-05,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-12-09,3,0.005714285714285714
stress,fresh_high_tail_episode,session,2025-12-10,4,0.007619047619047619
stress,fresh_high_tail_episode,session,2025-12-11,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-12-12,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-12-16,4,0.007619047619047619
stress,fresh_high_tail_episode,session,2025-12-17,14,0.02666666666666667
stress,fresh_high_tail_episode,session,2025-12-18,10,0.01904761904761905
stress,fresh_high_tail_episode,session,2025-12-19,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-12-23,8,0.015238095238095238
stress,fresh_high_tail_episode,session,2025-12-24,6,0.011428571428571429
stress,fresh_high_tail_episode,session,2025-12-26,5,0.009523809523809525
stress,fresh_high_tail_episode,session,2025-12-30,3,0.005714285714285714
stress,fresh_high_tail_episode,session,2025-12-31,1,0.0019047619047619048
stress,fresh_high_tail_episode,checkpoint,6,442,0.8419047619047619
stress,fresh_high_tail_episode,checkpoint,8,4,0.007619047619047619
stress,fresh_high_tail_episode,checkpoint,10,4,0.007619047619047619
stress,fresh_high_tail_episode,checkpoint,12,1,0.0019047619047619048
stress,fresh_high_tail_episode,checkpoint,14,34,0.06476190476190476
stress,fresh_high_tail_episode,checkpoint,16,6,0.011428571428571429
stress,fresh_high_tail_episode,checkpoint,18,4,0.007619047619047619
stress,fresh_high_tail_episode,checkpoint,20,14,0.02666666666666667
stress,fresh_high_tail_episode,checkpoint,22,5,0.009523809523809525
stress,fresh_high_tail_episode,checkpoint,24,1,0.0019047619047619048
stress,fresh_high_tail_episode,checkpoint,28,3,0.005714285714285714
stress,fresh_high_tail_episode,checkpoint,30,4,0.007619047619047619
stress,fresh_high_tail_episode,checkpoint,32,2,0.0038095238095238095
stress,fresh_high_tail_episode,checkpoint,34,1,0.0019047619047619048
stress,fresh_high_tail_episode,time_of_day,14:00:00+0000,212,0.4038095238095238
stress,fresh_high_tail_episode,time_of_day,14:20:00+0000,2,0.0038095238095238095
stress,fresh_high_tail_episode,time_of_day,14:30:00+0000,1,0.0019047619047619048
stress,fresh_high_tail_episode,time_of_day,14:40:00+0000,15,0.02857142857142857
stress,fresh_high_tail_episode,time_of_day,14:50:00+0000,2,0.0038095238095238095
stress,fresh_high_tail_episode,time_of_day,15:00:00+0000,230,0.4380952380952381
stress,fresh_high_tail_episode,time_of_day,15:10:00+0000,14,0.02666666666666667
stress,fresh_high_tail_episode,time_of_day,15:20:00+0000,3,0.005714285714285714
stress,fresh_high_tail_episode,time_of_day,15:40:00+0000,19,0.03619047619047619
stress,fresh_high_tail_episode,time_of_day,15:50:00+0000,6,0.011428571428571429
stress,fresh_high_tail_episode,time_of_day,16:00:00+0000,6,0.011428571428571429
stress,fresh_high_tail_episode,time_of_day,16:10:00+0000,4,0.007619047619047619
stress,fresh_high_tail_episode,time_of_day,16:20:00+0000,4,0.007619047619047619
stress,fresh_high_tail_episode,time_of_day,16:30:00+0000,1,0.0019047619047619048
stress,fresh_high_tail_episode,time_of_day,16:50:00+0000,1,0.0019047619047619048
stress,fresh_high_tail_episode,time_of_day,17:00:00+0000,2,0.0038095238095238095
stress,fresh_high_tail_episode,time_of_day,17:10:00+0000,2,0.0038095238095238095
stress,fresh_high_tail_episode,time_of_day,17:20:00+0000,1,0.0019047619047619048
