period,analysis_level,dimension,value,count,share
assessment,high_tail_checkpoint,session,2025-07-30,9,0.01002227171492205
assessment,high_tail_checkpoint,session,2025-07-31,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-08-01,21,0.02338530066815145
assessment,high_tail_checkpoint,session,2025-08-04,6,0.0066815144766146995
assessment,high_tail_checkpoint,session,2025-08-05,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-08-06,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-08-07,7,0.0077951002227171495
assessment,high_tail_checkpoint,session,2025-08-08,3,0.0033407572383073497
assessment,high_tail_checkpoint,session,2025-08-11,8,0.008908685968819599
assessment,high_tail_checkpoint,session,2025-08-12,2,0.0022271714922048997
assessment,high_tail_checkpoint,session,2025-08-13,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-08-14,14,0.015590200445434299
assessment,high_tail_checkpoint,session,2025-08-15,7,0.0077951002227171495
assessment,high_tail_checkpoint,session,2025-08-18,15,0.01670378619153675
assessment,high_tail_checkpoint,session,2025-08-19,1,0.0011135857461024498
assessment,high_tail_checkpoint,session,2025-08-20,4,0.004454342984409799
assessment,high_tail_checkpoint,session,2025-08-22,20,0.022271714922048998
assessment,high_tail_checkpoint,checkpoint,6,360,0.40089086859688194
assessment,high_tail_checkpoint,checkpoint,8,134,0.1492204899777283
assessment,high_tail_checkpoint,checkpoint,10,141,0.15701559020044542
assessment,high_tail_checkpoint,checkpoint,12,41,0.045657015590200446
assessment,high_tail_checkpoint,checkpoint,14,67,0.07461024498886415
assessment,high_tail_checkpoint,checkpoint,16,38,0.042316258351893093
assessment,high_tail_checkpoint,checkpoint,18,23,0.025612472160356347
assessment,high_tail_checkpoint,checkpoint,20,30,0.0334075723830735
assessment,high_tail_checkpoint,checkpoint,22,25,0.02783964365256125
assessment,high_tail_checkpoint,checkpoint,24,12,0.013363028953229399
assessment,high_tail_checkpoint,checkpoint,26,6,0.0066815144766146995
assessment,high_tail_checkpoint,checkpoint,28,6,0.0066815144766146995
assessment,high_tail_checkpoint,checkpoint,30,6,0.0066815144766146995
assessment,high_tail_checkpoint,checkpoint,32,5,0.005567928730512249
assessment,high_tail_checkpoint,checkpoint,34,4,0.004454342984409799
assessment,high_tail_checkpoint,time_of_day,14:00:00+0000,277,0.30846325167037864
assessment,high_tail_checkpoint,time_of_day,14:10:00+0000,96,0.10690423162583519
assessment,high_tail_checkpoint,time_of_day,14:20:00+0000,97,0.10801781737193764
assessment,high_tail_checkpoint,time_of_day,14:30:00+0000,28,0.031180400890868598
assessment,high_tail_checkpoint,time_of_day,14:40:00+0000,45,0.05011135857461024
assessment,high_tail_checkpoint,time_of_day,14:50:00+0000,26,0.028953229398663696
assessment,high_tail_checkpoint,time_of_day,15:00:00+0000,99,0.11024498886414254
assessment,high_tail_checkpoint,time_of_day,15:10:00+0000,58,0.0645879732739421
assessment,high_tail_checkpoint,time_of_day,15:20:00+0000,61,0.06792873051224944
assessment,high_tail_checkpoint,time_of_day,15:30:00+0000,24,0.026726057906458798
assessment,high_tail_checkpoint,time_of_day,15:40:00+0000,27,0.030066815144766147
assessment,high_tail_checkpoint,time_of_day,15:50:00+0000,17,0.01893095768374165
assessment,high_tail_checkpoint,time_of_day,16:00:00+0000,12,0.013363028953229399
assessment,high_tail_checkpoint,time_of_day,16:10:00+0000,15,0.01670378619153675
assessment,high_tail_checkpoint,time_of_day,16:20:00+0000,12,0.013363028953229399
assessment,high_tail_checkpoint,time_of_day,16:30:00+0000,1,0.0011135857461024498
assessment,high_tail_checkpoint,time_of_day,16:40:00+0000,1,0.0011135857461024498
assessment,high_tail_checkpoint,time_of_day,16:50:00+0000,1,0.0011135857461024498
assessment,high_tail_checkpoint,time_of_day,17:00:00+0000,1,0.0011135857461024498
assessment,fresh_high_tail_episode,m1c_tail_phase_v1,FIRST_ENTRY,371,0.8896882494004796
assessment,fresh_high_tail_episode,m1c_tail_phase_v1,RE_ENTRY,46,0.11031175059952038
assessment,fresh_high_tail_episode,movement_consumed_bucket_v1,HIGH,409,0.9808153477218226
assessment,fresh_high_tail_episode,movement_consumed_bucket_v1,LOW_OR_EQUAL,8,0.019184652278177457
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|HIGH,366,0.8776978417266187
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,FIRST_ENTRY|LOW_OR_EQUAL,5,0.011990407673860911
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,RE_ENTRY|HIGH,43,0.10311750599520383
assessment,fresh_high_tail_episode,phase_x_movement_consumed_bucket_v1,RE_ENTRY|LOW_OR_EQUAL,3,0.007194244604316547
assessment,fresh_high_tail_episode,stock,AAL,33,0.07913669064748201
assessment,fresh_high_tail_episode,stock,AAOI,15,0.03597122302158273
assessment,fresh_high_tail_episode,stock,APLD,14,0.03357314148681055
assessment,fresh_high_tail_episode,stock,ASTS,26,0.06235011990407674
assessment,fresh_high_tail_episode,stock,CIFR,24,0.05755395683453238
assessment,fresh_high_tail_episode,stock,HIMS,16,0.03836930455635491
assessment,fresh_high_tail_episode,stock,IONQ,39,0.09352517985611511
assessment,fresh_high_tail_episode,stock,IREN,28,0.0671462829736211
assessment,fresh_high_tail_episode,stock,MARA,35,0.08393285371702638
assessment,fresh_high_tail_episode,stock,MP,18,0.04316546762589928
assessment,fresh_high_tail_episode,stock,MRNA,7,0.016786570743405275
assessment,fresh_high_tail_episode,stock,MSTR,14,0.03357314148681055
assessment,fresh_high_tail_episode,stock,NVTS,15,0.03597122302158273
assessment,fresh_high_tail_episode,stock,QBTS,20,0.047961630695443645
assessment,fresh_high_tail_episode,stock,RGTI,18,0.04316546762589928
assessment,fresh_high_tail_episode,stock,RIOT,26,0.06235011990407674
assessment,fresh_high_tail_episode,stock,RIVN,9,0.02158273381294964
assessment,fresh_high_tail_episode,stock,SMCI,14,0.03357314148681055
assessment,fresh_high_tail_episode,stock,SOFI,21,0.050359712230215826
assessment,fresh_high_tail_episode,stock,WULF,25,0.05995203836930456
assessment,fresh_high_tail_episode,month,2025-01,51,0.1223021582733813
assessment,fresh_high_tail_episode,month,2025-02,37,0.08872901678657075
assessment,fresh_high_tail_episode,month,2025-03,45,0.1079136690647482
assessment,fresh_high_tail_episode,month,2025-04,57,0.1366906474820144
assessment,fresh_high_tail_episode,month,2025-05,56,0.1342925659472422
assessment,fresh_high_tail_episode,month,2025-06,50,0.11990407673860912
assessment,fresh_high_tail_episode,month,2025-07,69,0.16546762589928057
assessment,fresh_high_tail_episode,month,2025-08,52,0.12470023980815348
assessment,fresh_high_tail_episode,session,2025-01-02,8,0.019184652278177457
assessment,fresh_high_tail_episode,session,2025-01-03,5,0.011990407673860911
assessment,fresh_high_tail_episode,session,2025-01-06,10,0.023980815347721823
assessment,fresh_high_tail_episode,session,2025-01-07,4,0.009592326139088728
assessment,fresh_high_tail_episode,session,2025-01-08,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-10,4,0.009592326139088728
assessment,fresh_high_tail_episode,session,2025-01-13,3,0.007194244604316547
assessment,fresh_high_tail_episode,session,2025-01-14,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-15,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-16,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-21,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-22,2,0.004796163069544364
assessment,fresh_high_tail_episode,session,2025-01-23,3,0.007194244604316547
assessment,fresh_high_tail_episode,session,2025-01-24,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-27,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-01-30,2,0.004796163069544364
assessment,fresh_high_tail_episode,session,2025-01-31,3,0.007194244604316547
assessment,fresh_high_tail_episode,session,2025-02-03,5,0.011990407673860911
assessment,fresh_high_tail_episode,session,2025-02-05,2,0.004796163069544364
assessment,fresh_high_tail_episode,session,2025-02-06,7,0.016786570743405275
assessment,fresh_high_tail_episode,session,2025-02-07,3,0.007194244604316547
assessment,fresh_high_tail_episode,session,2025-02-13,3,0.007194244604316547
assessment,fresh_high_tail_episode,session,2025-02-14,3,0.007194244604316547
assessment,fresh_high_tail_episode,session,2025-02-18,6,0.014388489208633094
assessment,fresh_high_tail_episode,session,2025-02-19,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-02-20,2,0.004796163069544364
assessment,fresh_high_tail_episode,session,2025-02-24,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-02-25,1,0.002398081534772182
assessment,fresh_high_tail_episode,session,2025-02-27,1,0.002398081534772182
