model_name,target_lead_sessions,probability_bin,forecasts,mean_predicted_probability,observed_positive_rate,mean_target_payoff_bps
hierarchical_payoff_history_change_point,1,"(0.2, 0.3]",197,0.254215086671,0.426395939086,-10.8763900898
hierarchical_payoff_history_change_point,1,"(0.3, 0.4]",387,0.360602768478,0.444444444444,-6.45248690107
hierarchical_payoff_history_change_point,1,"(0.4, 0.5]",776,0.451607765466,0.469072164948,-15.7291773175
hierarchical_payoff_history_change_point,1,"(0.5, 0.6]",702,0.546568438674,0.48433048433,11.9673810858
hierarchical_payoff_history_change_point,1,"(0.6, 0.7]",335,0.643878057862,0.49552238806,5.76541821173
hierarchical_payoff_history_change_point,1,"(0.7, 0.8]",159,0.744485209695,0.427672955975,-21.3094474925
hierarchical_payoff_history_change_point,1,"(0.8, 0.9]",83,0.840185933872,0.457831325301,-12.4578147108
hierarchical_payoff_history_change_point,1,"(0.9, 1.0]",11,0.90892304521,0.363636363636,-22.5696594334
hierarchical_payoff_history_change_point,2,"(-0.001, 0.1]",17,0.0679752013101,0.529411764706,-0.705564065085
hierarchical_payoff_history_change_point,2,"(0.1, 0.2]",117,0.160909032973,0.470085470085,-14.7479418697
hierarchical_payoff_history_change_point,2,"(0.2, 0.3]",200,0.256190110938,0.46,3.45974084211
hierarchical_payoff_history_change_point,2,"(0.3, 0.4]",389,0.360143691177,0.439588688946,-9.24797767304
hierarchical_payoff_history_change_point,2,"(0.4, 0.5]",750,0.451283243013,0.454666666667,-5.49425846273
hierarchical_payoff_history_change_point,2,"(0.5, 0.6]",722,0.545405399997,0.497229916898,1.15502082365
hierarchical_payoff_history_change_point,2,"(0.6, 0.7]",320,0.642545981201,0.478125,0.375543411437
hierarchical_payoff_history_change_point,2,"(0.7, 0.8]",162,0.746567402929,0.456790123457,-13.0861402597
hierarchical_payoff_history_change_point,2,"(0.8, 0.9]",80,0.842150976785,0.375,-36.3592692367
hierarchical_payoff_history_change_point,2,"(0.9, 1.0]",12,0.911502539846,0.583333333333,54.1962960307
hierarchical_payoff_history_change_point,3,"(-0.001, 0.1]",18,0.07003627742,0.555555555556,-1.69223463055
hierarchical_payoff_history_change_point,3,"(0.1, 0.2]",113,0.160694287569,0.433628318584,-17.1088779893
hierarchical_payoff_history_change_point,3,"(0.2, 0.3]",190,0.256608839194,0.431578947368,-14.1818501418
hierarchical_payoff_history_change_point,3,"(0.3, 0.4]",363,0.357954083477,0.418732782369,-16.1531976706
hierarchical_payoff_history_change_point,3,"(0.4, 0.5]",775,0.451415128695,0.477419354839,-4.77842339508
hierarchical_payoff_history_change_point,3,"(0.5, 0.6]",702,0.546161725084,0.485754985755,8.25264694822
hierarchical_payoff_history_change_point,3,"(0.6, 0.7]",345,0.643832998976,0.478260869565,-5.54153292287
hierarchical_payoff_history_change_point,3,"(0.7, 0.8]",156,0.745583970702,0.512820512821,8.97178442269
hierarchical_payoff_history_change_point,3,"(0.8, 0.9]",78,0.840719374203,0.358974358974,-44.4064837369
hierarchical_payoff_history_change_point,3,"(0.9, 1.0]",12,0.909270807435,0.75,75.3774867029
hierarchical_payoff_history_change_point,5,"(-0.001, 0.1]",17,0.0709232794629,0.411764705882,-20.5210013405
hierarchical_payoff_history_change_point,5,"(0.1, 0.2]",122,0.159186923059,0.426229508197,-22.0623447189
hierarchical_payoff_history_change_point,5,"(0.2, 0.3]",184,0.254883803339,0.483695652174,10.0763021549
hierarchical_payoff_history_change_point,5,"(0.3, 0.4]",375,0.360387719594,0.456,-7.50426982001
hierarchical_payoff_history_change_point,5,"(0.4, 0.5]",739,0.45077839179,0.476319350474,-0.144143596699
hierarchical_payoff_history_change_point,5,"(0.5, 0.6]",693,0.544924110952,0.46176046176,-7.16496526899
hierarchical_payoff_history_change_point,5,"(0.6, 0.7]",351,0.642787814031,0.464387464387,-7.58484916395
hierarchical_payoff_history_change_point,5,"(0.7, 0.8]",151,0.746438252085,0.456953642384,-14.6106531459
hierarchical_payoff_history_change_point,5,"(0.8, 0.9]",77,0.840797343358,0.506493506494,13.9784946683
hierarchical_payoff_history_change_point,5,"(0.9, 1.0]",13,0.9106903261,0.307692307692,-80.3871598748
payoff_only_change_point,0,"(-0.001, 0.1]",137,0.0499088593872,0.510948905109,-2.26352217013
payoff_only_change_point,0,"(0.1, 0.2]",127,0.149680454999,0.543307086614,12.8751473839
payoff_only_change_point,0,"(0.2, 0.3]",152,0.253742524022,0.480263157895,9.57982555754
payoff_only_change_point,0,"(0.3, 0.4]",267,0.357079405816,0.385767790262,-23.9482379267
payoff_only_change_point,0,"(0.4, 0.5]",752,0.454484225694,0.481382978723,-3.0597462864
payoff_only_change_point,0,"(0.5, 0.6]",722,0.5455921291,0.491689750693,5.68314511486
payoff_only_change_point,0,"(0.6, 0.7]",297,0.639699909239,0.447811447811,-12.0288922229
payoff_only_change_point,0,"(0.7, 0.8]",138,0.747119009562,0.434782608696,-14.3558938951
payoff_only_change_point,0,"(0.8, 0.9]",88,0.849845198785,0.386363636364,-32.8903450062
payoff_only_change_point,0,"(0.9, 1.0]",121,0.956323578054,0.446280991736,-3.30920349411
payoff_only_change_point,1,"(-0.001, 0.1]",140,0.0498556010499,0.45,-11.7108948451
payoff_only_change_point,1,"(0.1, 0.2]",127,0.150288418425,0.543307086614,19.240569947
payoff_only_change_point,1,"(0.2, 0.3]",142,0.254768883958,0.521126760563,4.12762422235
payoff_only_change_point,1,"(0.3, 0.4]",267,0.355667861732,0.419475655431,-6.68763505483
payoff_only_change_point,1,"(0.4, 0.5]",766,0.453113761861,0.483028720627,-7.2969136194
payoff_only_change_point,1,"(0.5, 0.6]",705,0.545295507664,0.483687943262,10.0563333122
payoff_only_change_point,1,"(0.6, 0.7]",293,0.639356133881,0.453924914676,-20.3057951002
payoff_only_change_point,1,"(0.7, 0.8]",134,0.746540091917,0.410447761194,-17.076867698
payoff_only_change_point,1,"(0.8, 0.9]",90,0.847901081908,0.377777777778,-35.5762030363
payoff_only_change_point,1,"(0.9, 1.0]",123,0.955975874592,0.439024390244,0.18363582822
payoff_only_change_point,2,"(-0.001, 0.1]",136,0.0494835886304,0.419117647059,-20.648774235
payoff_only_change_point,2,"(0.1, 0.2]",118,0.149595059786,0.525423728814,12.0865573287
payoff_only_change_point,2,"(0.2, 0.3]",151,0.254283694393,0.516556291391,15.596581803
payoff_only_change_point,2,"(0.3, 0.4]",273,0.356304475512,0.43956043956,-9.1569115867
payoff_only_change_point,2,"(0.4, 0.5]",753,0.454474301548,0.460823373174,-4.67917390598
payoff_only_change_point,2,"(0.5, 0.6]",694,0.545931396006,0.484149855908,1.02603711812
payoff_only_change_point,2,"(0.6, 0.7]",290,0.638114140055,0.434482758621,-20.9080801202
payoff_only_change_point,2,"(0.7, 0.8]",133,0.747293912838,0.533834586466,17.0247923739
payoff_only_change_point,2,"(0.8, 0.9]",93,0.849103325121,0.440860215054,-19.3330651949
payoff_only_change_point,2,"(0.9, 1.0]",128,0.954951573125,0.4140625,-17.600100922
payoff_only_change_point,3,"(-0.001, 0.1]",133,0.0488515283197,0.526315789474,16.1210964196
payoff_only_change_point,3,"(0.1, 0.2]",124,0.149094517007,0.379032258065,-31.963934443
payoff_only_change_point,3,"(0.2, 0.3]",146,0.253508441915,0.5,-7.16212644016
payoff_only_change_point,3,"(0.3, 0.4]",258,0.357131299733,0.418604651163,-12.0411875942
payoff_only_change_point,3,"(0.4, 0.5]",744,0.454195336093,0.463709677419,-3.40102460069
payoff_only_change_point,3,"(0.5, 0.6]",703,0.545420721674,0.482219061166,0.577019480993
payoff_only_change_point,3,"(0.6, 0.7]",287,0.638767032819,0.484320557491,-4.22439161694
payoff_only_change_point,3,"(0.7, 0.8]",134,0.746212899637,0.507462686567,2.57705957354
payoff_only_change_point,3,"(0.8, 0.9]",95,0.847722711401,0.431578947368,-24.4744433896
payoff_only_change_point,3,"(0.9, 1.0]",128,0.954972914674,0.4375,-1.67710174112
payoff_only_change_point,5,"(-0.001, 0.1]",131,0.0487001586807,0.480916030534,-0.79736044068
payoff_only_change_point,5,"(0.1, 0.2]",123,0.151135024767,0.463414634146,-3.18902378035
payoff_only_change_point,5,"(0.2, 0.3]",157,0.252597453404,0.433121019108,-8.44194007664
payoff_only_change_point,5,"(0.3, 0.4]",256,0.358317942669,0.4765625,15.1837851031
payoff_only_change_point,5,"(0.4, 0.5]",714,0.454060525087,0.46918767507,-7.1564361242
payoff_only_change_point,5,"(0.5, 0.6]",695,0.544663735374,0.471942446043,-3.14747973254
payoff_only_change_point,5,"(0.6, 0.7]",294,0.638200642807,0.462585034014,-6.33210904673
payoff_only_change_point,5,"(0.7, 0.8]",129,0.746656243311,0.426356589147,-43.3220216653
payoff_only_change_point,5,"(0.8, 0.9]",94,0.845467598678,0.372340425532,-47.22995568
payoff_only_change_point,5,"(0.9, 1.0]",129,0.955907086969,0.519379844961,24.9029679013
