dimension,dimension_value,model_name,target_lead_sessions,observable_targets,active_targets,active_net_payoff_bps,active_mean_net_payoff_bps,active_median_net_payoff_bps,active_positive_rate
loop,cycle_05,hierarchical_change_point,3,183,0,0,,,
loop,cycle_06,hierarchical_change_point,3,735,14,-606.519114689,-43.3227939064,-28.1843015286,0.5
loop,cycle_07,hierarchical_change_point,3,615,30,-227.036056647,-7.56786855491,-9.36438124728,0.5
loop,cycle_08,hierarchical_change_point,3,59,1,226.656820139,226.656820139,226.656820139,1
loop,cycle_09,hierarchical_change_point,3,158,0,0,,,
loop,cycle_10,hierarchical_change_point,3,23,0,0,,,
loop,cycle_11,hierarchical_change_point,3,249,5,-330.423352732,-66.0846705464,-19.9108125974,0.2
loop,cycle_13,hierarchical_change_point,3,492,19,-1141.46513148,-60.077112183,-73.3203292487,0.315789473684
loop,cycle_20,hierarchical_change_point,3,7,0,0,,,
loop,cycle_01,hierarchical_change_point,5,50,0,0,,,
loop,cycle_02,hierarchical_change_point,5,30,0,0,,,
loop,cycle_04,hierarchical_change_point,5,149,13,247.564502163,19.0434232433,15.0178708012,0.538461538462
loop,cycle_05,hierarchical_change_point,5,182,0,0,,,
loop,cycle_06,hierarchical_change_point,5,727,13,-684.783521728,-52.6756555175,-7.9590098138,0.461538461538
loop,cycle_07,hierarchical_change_point,5,608,28,-2087.23750796,-74.5441967129,-56.3019829715,0.392857142857
loop,cycle_08,hierarchical_change_point,5,59,0,0,,,
loop,cycle_09,hierarchical_change_point,5,157,2,444.857958607,222.428979303,222.428979303,1
loop,cycle_10,hierarchical_change_point,5,23,0,0,,,
loop,cycle_11,hierarchical_change_point,5,245,6,-621.950197056,-103.658366176,-123.861313872,0.166666666667
loop,cycle_13,hierarchical_change_point,5,485,18,-970.567494368,-53.9204163538,-85.9983122052,0.444444444444
loop,cycle_20,hierarchical_change_point,5,7,0,0,,,
loop,cycle_01,hierarchical_payoff_history_change_point,0,52,2,22.1559559343,11.0779779672,11.0779779672,1
loop,cycle_02,hierarchical_payoff_history_change_point,0,31,1,-342.298882143,-342.298882143,-342.298882143,0
loop,cycle_04,hierarchical_payoff_history_change_point,0,157,26,706.811296179,27.185049853,-34.8973633839,0.423076923077
loop,cycle_05,hierarchical_payoff_history_change_point,0,184,1,-437.149452749,-437.149452749,-437.149452749,0
loop,cycle_06,hierarchical_payoff_history_change_point,0,747,17,-28.1579360363,-1.65634917861,-44.1321688132,0.411764705882
loop,cycle_07,hierarchical_payoff_history_change_point,0,624,41,-3073.59060852,-74.9656245981,-54.7575862095,0.317073170732
loop,cycle_08,hierarchical_payoff_history_change_point,0,61,0,0,,,
loop,cycle_09,hierarchical_payoff_history_change_point,0,163,2,213.881232609,106.940616304,106.940616304,1
loop,cycle_10,hierarchical_payoff_history_change_point,0,24,0,0,,,
loop,cycle_11,hierarchical_payoff_history_change_point,0,254,4,-71.0569813801,-17.764245345,-19.7292962024,0.25
loop,cycle_13,hierarchical_payoff_history_change_point,0,497,26,-2758.33469796,-106.089796075,-86.761359126,0.307692307692
loop,cycle_20,hierarchical_payoff_history_change_point,0,7,0,0,,,
loop,cycle_01,hierarchical_payoff_history_change_point,1,51,4,-195.733555775,-48.9333889437,-66.9661321319,0.25
loop,cycle_02,hierarchical_payoff_history_change_point,1,31,1,9.00252525252,9.00252525252,9.00252525252,1
loop,cycle_04,hierarchical_payoff_history_change_point,1,155,21,808.751542748,38.5119782261,13.9227077548,0.52380952381
loop,cycle_05,hierarchical_payoff_history_change_point,1,184,5,-330.978255168,-66.1956510336,-124.702294056,0.2
loop,cycle_06,hierarchical_payoff_history_change_point,1,743,17,6.22356859673,0.366092270396,12.1102120135,0.647058823529
loop,cycle_07,hierarchical_payoff_history_change_point,1,622,40,-1026.13759446,-25.6534398614,3.39408820232,0.55
loop,cycle_08,hierarchical_payoff_history_change_point,1,60,1,-396.805425318,-396.805425318,-396.805425318,0
loop,cycle_09,hierarchical_payoff_history_change_point,1,161,2,-392.675081053,-196.337540526,-196.337540526,0
loop,cycle_10,hierarchical_payoff_history_change_point,1,23,0,0,,,
loop,cycle_11,hierarchical_payoff_history_change_point,1,253,5,582.834582605,116.566916521,10.4617821782,0.6
loop,cycle_13,hierarchical_payoff_history_change_point,1,497,26,-514.231737231,-19.7781437396,5.29618582585,0.538461538462
loop,cycle_20,hierarchical_payoff_history_change_point,1,7,0,0,,,
loop,cycle_01,hierarchical_payoff_history_change_point,2,50,4,-4.39094322315,-1.09773580579,9.46298751749,0.5
loop,cycle_02,hierarchical_payoff_history_change_point,2,31,1,-155.978997973,-155.978997973,-155.978997973,0
loop,cycle_04,hierarchical_payoff_history_change_point,2,152,19,-818.461252351,-43.0769080185,-61.0958116528,0.315789473684
loop,cycle_05,hierarchical_payoff_history_change_point,2,184,4,17.9693100517,4.49232751294,-35.4778598501,0.5
loop,cycle_06,hierarchical_payoff_history_change_point,2,739,17,655.861262267,38.580074251,25.3113148598,0.588235294118
loop,cycle_07,hierarchical_payoff_history_change_point,2,618,39,-1016.22771871,-26.0571209926,0,0.487179487179
loop,cycle_08,hierarchical_payoff_history_change_point,2,60,0,0,,,
loop,cycle_09,hierarchical_payoff_history_change_point,2,159,2,-263.442403466,-131.721201733,-131.721201733,0
loop,cycle_10,hierarchical_payoff_history_change_point,2,23,0,0,,,
loop,cycle_11,hierarchical_payoff_history_change_point,2,252,4,379.746928671,94.9367321677,48.659699127,0.75
loop,cycle_13,hierarchical_payoff_history_change_point,2,494,22,-593.800459938,-26.9909299972,-18.3507343841,0.454545454545
loop,cycle_20,hierarchical_payoff_history_change_point,2,7,0,0,,,
loop,cycle_01,hierarchical_payoff_history_change_point,3,50,4,224.829609159,56.2074022899,17.7133519641,0.75
loop,cycle_02,hierarchical_payoff_history_change_point,3,30,1,-10,-10,-10,0
loop,cycle_04,hierarchical_payoff_history_change_point,3,151,22,1878.05783185,85.3662650839,70.6850251494,0.636363636364
loop,cycle_05,hierarchical_payoff_history_change_point,3,183,3,-303.466081269,-101.155360423,-121.801251495,0
loop,cycle_06,hierarchical_payoff_history_change_point,3,735,17,-560.127655413,-32.9486856126,17.507499435,0.529411764706
loop,cycle_07,hierarchical_payoff_history_change_point,3,615,38,-711.007959911,-18.7107357871,-16.2165125273,0.473684210526
loop,cycle_08,hierarchical_payoff_history_change_point,3,59,1,226.656820139,226.656820139,226.656820139,1
loop,cycle_09,hierarchical_payoff_history_change_point,3,158,0,0,,,
loop,cycle_10,hierarchical_payoff_history_change_point,3,23,0,0,,,
loop,cycle_11,hierarchical_payoff_history_change_point,3,249,6,-157.38291534,-26.23048589,-18.2011463567,0.333333333333
loop,cycle_13,hierarchical_payoff_history_change_point,3,492,23,-699.517086285,-30.4137863602,-45.8434324063,0.391304347826
loop,cycle_20,hierarchical_payoff_history_change_point,3,7,0,0,,,
loop,cycle_01,hierarchical_payoff_history_change_point,5,50,6,503.43022953,83.905038255,53.2508905033,1
loop,cycle_02,hierarchical_payoff_history_change_point,5,30,0,0,,,
loop,cycle_04,hierarchical_payoff_history_change_point,5,149,23,954.791945579,41.512693286,15.0178708012,0.521739130435
loop,cycle_05,hierarchical_payoff_history_change_point,5,182,4,-22.8847387525,-5.72118468812,-17.1894002993,0.5
loop,cycle_06,hierarchical_payoff_history_change_point,5,727,16,-1420.57461292,-88.7859133072,-82.2464693435,0.375
loop,cycle_07,hierarchical_payoff_history_change_point,5,608,36,-1680.2149032,-46.6726361999,-31.0892192194,0.416666666667
loop,cycle_08,hierarchical_payoff_history_change_point,5,59,1,175.957959767,175.957959767,175.957959767,1
loop,cycle_09,hierarchical_payoff_history_change_point,5,157,2,444.857958607,222.428979303,222.428979303,1
loop,cycle_10,hierarchical_payoff_history_change_point,5,23,0,0,,,
loop,cycle_11,hierarchical_payoff_history_change_point,5,245,7,-454.610278106,-64.9443254437,-103.167701863,0.285714285714
loop,cycle_13,hierarchical_payoff_history_change_point,5,485,23,-950.246187045,-41.3150516106,-79.8602794411,0.478260869565
loop,cycle_20,hierarchical_payoff_history_change_point,5,7,0,0,,,
loop,cycle_01,payoff_only_change_point,0,52,2,-43.2882840125,-21.6441420062,-21.6441420062,0.5
loop,cycle_02,payoff_only_change_point,0,31,0,0,,,
loop,cycle_04,payoff_only_change_point,0,157,21,537.622371252,25.6010652977,-26.1258116535,0.380952380952
loop,cycle_05,payoff_only_change_point,0,184,0,0,,,
loop,cycle_06,payoff_only_change_point,0,747,25,876.510562666,35.0604225067,41.5474515055,0.56
loop,cycle_07,payoff_only_change_point,0,624,37,-1288.05243589,-34.8122279972,-43.74211566,0.405405405405
loop,cycle_08,payoff_only_change_point,0,61,0,0,,,
loop,cycle_09,payoff_only_change_point,0,163,0,0,,,
loop,cycle_10,payoff_only_change_point,0,24,0,0,,,
loop,cycle_11,payoff_only_change_point,0,254,2,-53.4368769322,-26.7184384661,-26.7184384661,0.5
loop,cycle_13,payoff_only_change_point,0,497,16,-1715.27317021,-107.204573138,-87.865238416,0.25
loop,cycle_20,payoff_only_change_point,0,7,0,0,,,
loop,cycle_01,payoff_only_change_point,1,51,2,-43.2882840125,-21.6441420062,-21.6441420062,0.5
loop,cycle_02,payoff_only_change_point,1,31,0,0,,,
loop,cycle_04,payoff_only_change_point,1,155,19,1281.01219005,67.4216942133,-0.0341929108766,0.473684210526
loop,cycle_05,payoff_only_change_point,1,184,0,0,,,
loop,cycle_06,payoff_only_change_point,1,743,25,464.92567695,18.597027078,25.3113148598,0.52
loop,cycle_07,payoff_only_change_point,1,622,37,-2035.70723771,-55.0191145326,-10.6970254431,0.405405405405
loop,cycle_08,payoff_only_change_point,1,60,0,0,,,
loop,cycle_09,payoff_only_change_point,1,161,0,0,,,
loop,cycle_10,payoff_only_change_point,1,23,0,0,,,
loop,cycle_11,payoff_only_change_point,1,253,2,-99.4842875646,-49.7421437823,-49.7421437823,0.5
loop,cycle_13,payoff_only_change_point,1,497,16,-1219.47760665,-76.2173504153,-46.0376582321,0.3125
loop,cycle_20,payoff_only_change_point,1,7,0,0,,,
loop,cycle_01,payoff_only_change_point,2,50,2,-43.2882840125,-21.6441420062,-21.6441420062,0.5
loop,cycle_02,payoff_only_change_point,2,31,0,0,,,
loop,cycle_04,payoff_only_change_point,2,152,18,80.2328385419,4.45737991899,-57.3050678599,0.333333333333
loop,cycle_05,payoff_only_change_point,2,184,0,0,,,
loop,cycle_06,payoff_only_change_point,2,739,24,-89.4628966446,-3.72762069352,6.04695752016,0.5
loop,cycle_07,payoff_only_change_point,2,618,37,-1722.29346592,-46.5484720518,-10.6970254431,0.432432432432
loop,cycle_08,payoff_only_change_point,2,60,0,0,,,
loop,cycle_09,payoff_only_change_point,2,159,0,0,,,
loop,cycle_10,payoff_only_change_point,2,23,0,0,,,
loop,cycle_11,payoff_only_change_point,2,252,2,197.263018875,98.6315094374,98.6315094374,1
loop,cycle_13,payoff_only_change_point,2,494,14,-786.057545201,-56.1469675143,-26.2109348596,0.357142857143
loop,cycle_20,payoff_only_change_point,2,7,0,0,,,
loop,cycle_01,payoff_only_change_point,3,50,1,-114.369365094,-114.369365094,-114.369365094,0
loop,cycle_02,payoff_only_change_point,3,30,0,0,,,
loop,cycle_04,payoff_only_change_point,3,151,15,590.37108116,39.3580720774,2.0792,0.533333333333
loop,cycle_05,payoff_only_change_point,3,183,0,0,,,
loop,cycle_06,payoff_only_change_point,3,735,23,-505.062615357,-21.959244146,17.507499435,0.521739130435
loop,cycle_07,payoff_only_change_point,3,615,35,-37.1336368362,-1.06096105246,-2.03414227832,0.485714285714
loop,cycle_08,payoff_only_change_point,3,59,0,0,,,
loop,cycle_09,payoff_only_change_point,3,158,0,0,,,
loop,cycle_10,payoff_only_change_point,3,23,0,0,,,
loop,cycle_11,payoff_only_change_point,3,249,2,192.854687686,96.427343843,96.427343843,1
loop,cycle_13,payoff_only_change_point,3,492,17,-1388.67202216,-81.6865895389,-73.3203292487,0.352941176471
loop,cycle_20,payoff_only_change_point,3,7,0,0,,,
loop,cycle_01,payoff_only_change_point,5,50,0,0,,,
loop,cycle_02,payoff_only_change_point,5,30,0,0,,,
loop,cycle_04,payoff_only_change_point,5,149,18,1041.75150601,57.8750836671,23.143715868,0.5
loop,cycle_05,payoff_only_change_point,5,182,0,0,,,
loop,cycle_06,payoff_only_change_point,5,727,22,146.168808853,6.64403676605,42.4412233969,0.590909090909
loop,cycle_07,payoff_only_change_point,5,608,33,-1494.1998907,-45.2787845666,-26.8607778526,0.393939393939
loop,cycle_08,payoff_only_change_point,5,59,0,0,,,
loop,cycle_09,payoff_only_change_point,5,157,0,0,,,
loop,cycle_10,payoff_only_change_point,5,23,0,0,,,
loop,cycle_11,payoff_only_change_point,5,245,2,-145.279249395,-72.6396246976,-72.6396246976,0.5
loop,cycle_13,payoff_only_change_point,5,485,15,-226.728960883,-15.1152640589,29.31981063,0.533333333333
loop,cycle_20,payoff_only_change_point,5,7,0,0,,,
loop,cycle_01,v1_60_session_selector,0,52,9,-521.041598642,-57.8935109602,-5.99198461045,0.444444444444
loop,cycle_02,v1_60_session_selector,0,31,0,0,,,
loop,cycle_04,v1_60_session_selector,0,157,125,1893.28706513,15.146296521,2.0792,0.504
loop,cycle_05,v1_60_session_selector,0,184,112,326.408076277,2.9143578239,-4.92633606914,0.5
loop,cycle_06,v1_60_session_selector,0,747,298,-815.572797464,-2.736821468,-15.038598129,0.46644295302
loop,cycle_07,v1_60_session_selector,0,624,298,-1271.79506579,-4.26776867716,0.842697285696,0.5
loop,cycle_08,v1_60_session_selector,0,61,1,-331.884258319,-331.884258319,-331.884258319,0
loop,cycle_09,v1_60_session_selector,0,163,117,-1531.60318804,-13.0906255388,-10,0.461538461538
loop,cycle_10,v1_60_session_selector,0,24,0,0,,,
loop,cycle_11,v1_60_session_selector,0,254,107,1710.94254338,15.9901172279,-9.31029726188,0.476635514019
loop,cycle_13,v1_60_session_selector,0,497,240,-1702.97199636,-7.0957166515,-17.9927917464,0.4625
loop,cycle_20,v1_60_session_selector,0,7,0,0,,,
loop,cycle_01,v1_60_session_selector,1,51,8,-406.672233548,-50.8340291935,-2.99299030392,0.5
loop,cycle_02,v1_60_session_selector,1,31,0,0,,,
loop,cycle_04,v1_60_session_selector,1,155,122,2024.47184684,16.5940315314,3.96432156435,0.508196721311
loop,cycle_05,v1_60_session_selector,1,184,108,-1445.43555926,-13.3836625858,-16.063301805,0.462962962963
loop,cycle_06,v1_60_session_selector,1,743,296,-658.81507375,-2.22572660051,-14.6479267574,0.472972972973
loop,cycle_07,v1_60_session_selector,1,622,297,-2710.45851309,-9.12612293969,-2.03414227832,0.484848484848
loop,cycle_08,v1_60_session_selector,1,60,1,-331.884258319,-331.884258319,-331.884258319,0
loop,cycle_09,v1_60_session_selector,1,161,114,-1170.27235821,-10.2655470019,-10,0.464912280702
loop,cycle_10,v1_60_session_selector,1,23,0,0,,,
loop,cycle_11,v1_60_session_selector,1,253,104,1400.16272878,13.4631031613,-15.8409333638,0.451923076923
loop,cycle_13,v1_60_session_selector,1,497,243,-2220.23958805,-9.13678842817,-18.1285980561,0.460905349794
loop,cycle_20,v1_60_session_selector,1,7,0,0,,,
loop,cycle_01,v1_60_session_selector,2,50,8,-406.672233548,-50.8340291935,-2.99299030392,0.5
loop,cycle_02,v1_60_session_selector,2,31,0,0,,,
loop,cycle_04,v1_60_session_selector,2,152,119,2835.32484082,23.8262591665,8.9073795491,0.521008403361
loop,cycle_05,v1_60_session_selector,2,184,109,-1701.72855183,-15.6121885489,-16.0562171371,0.45871559633
loop,cycle_06,v1_60_session_selector,2,739,294,310.037093115,1.05454793577,-9.3559968299,0.482993197279
loop,cycle_07,v1_60_session_selector,2,618,295,-3971.09518659,-13.4613396155,-7.78153534017,0.471186440678
loop,cycle_08,v1_60_session_selector,2,60,2,-465.555680111,-232.777840056,-232.777840056,0
loop,cycle_09,v1_60_session_selector,2,159,107,-1441.29709443,-13.4700663031,-10,0.448598130841
loop,cycle_10,v1_60_session_selector,2,23,0,0,,,
loop,cycle_11,v1_60_session_selector,2,252,104,1076.06893848,10.3468167162,-9.65514863094,0.471153846154
loop,cycle_13,v1_60_session_selector,2,494,239,-1693.50161587,-7.08578081956,-18.8444833315,0.464435146444
loop,cycle_20,v1_60_session_selector,2,7,0,0,,,
loop,cycle_01,v1_60_session_selector,3,50,8,-406.672233548,-50.8340291935,-2.99299030392,0.5
loop,cycle_02,v1_60_session_selector,3,30,0,0,,,
loop,cycle_04,v1_60_session_selector,3,151,118,3503.72892257,29.6926179879,14.470289278,0.533898305085
loop,cycle_05,v1_60_session_selector,3,183,107,-785.004720627,-7.33649271614,-10,0.476635514019
loop,cycle_06,v1_60_session_selector,3,735,292,879.098762912,3.01061220175,-7.70375309657,0.486301369863
loop,cycle_07,v1_60_session_selector,3,615,293,-4982.39525404,-17.0047619592,-9.55038619879,0.460750853242
loop,cycle_08,v1_60_session_selector,3,59,1,-133.671421792,-133.671421792,-133.671421792,0
loop,cycle_09,v1_60_session_selector,3,158,105,-2368.83479615,-22.5603313919,-16.5855306484,0.438095238095
loop,cycle_10,v1_60_session_selector,3,23,0,0,,,
loop,cycle_11,v1_60_session_selector,3,249,106,1871.56782426,17.6563002289,-6.91781598626,0.490566037736
loop,cycle_13,v1_60_session_selector,3,492,235,-2261.84004577,-9.62485125862,-18.8444833315,0.463829787234
loop,cycle_20,v1_60_session_selector,3,7,0,0,,,
loop,cycle_01,v1_60_session_selector,5,50,7,-163.760897402,-23.3944139146,0.00600400260288,0.571428571429
loop,cycle_02,v1_60_session_selector,5,30,0,0,,,
loop,cycle_04,v1_60_session_selector,5,149,116,3829.10860551,33.0095569441,14.470289278,0.534482758621
loop,cycle_05,v1_60_session_selector,5,182,109,-524.344441429,-4.81049946265,-10,0.45871559633
loop,cycle_06,v1_60_session_selector,5,727,290,950.505997699,3.27760688862,-7.03448174687,0.489655172414
loop,cycle_07,v1_60_session_selector,5,608,292,-3462.04033021,-11.8563025007,-6.48897951864,0.47602739726
