symbol,signal_date,required_options_date,previous_close_underlying_price,price_source,source_available,inferred_split_on_signal_date,split_boundary_ambiguous,provider_moneyness_check
APLD,2024-06-20,2024-06-18,5.159999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-06-21,2024-06-20,6.039999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-06-24,2024-06-21,5.519999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-06-25,2024-06-24,6.079999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-06-26,2024-06-25,6.329999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-06-27,2024-06-26,6.03,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-06-28,2024-06-27,6.239999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-01,2024-06-28,5.949999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-02,2024-07-01,6.5,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-03,2024-07-02,6.34,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-05,2024-07-03,6.769999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-08,2024-07-05,6.94,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-09,2024-07-08,7.139999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-10,2024-07-09,5.469999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-11,2024-07-10,5.86,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-12,2024-07-11,5.88,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-15,2024-07-12,6.199999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-16,2024-07-15,6.76,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-17,2024-07-16,6.809999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-18,2024-07-17,6.199999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-19,2024-07-18,5.679999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-22,2024-07-19,5.719999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-23,2024-07-22,5.309999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-24,2024-07-23,5.05,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-25,2024-07-24,4.57,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-26,2024-07-25,4.445,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-29,2024-07-26,4.44,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-30,2024-07-29,4.26,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-07-31,2024-07-30,3.98,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-01,2024-07-31,4.86,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-02,2024-08-01,4.489999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-05,2024-08-02,4.239999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-06,2024-08-05,3.97,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-07,2024-08-06,4.21,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-08,2024-08-07,3.9,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-09,2024-08-08,4.139999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-12,2024-08-09,3.9,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-13,2024-08-12,3.98,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-14,2024-08-13,3.95,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-15,2024-08-14,3.839999,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-16,2024-08-15,4.0,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-19,2024-08-16,4.01,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-20,2024-08-19,4.11,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-21,2024-08-20,4.03,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-22,2024-08-21,4.19,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-23,2024-08-22,4.09,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-26,2024-08-23,4.55,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-27,2024-08-26,4.92,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
APLD,2024-08-28,2024-08-27,4.73,repository_unadjusted_eodhd_5m_close,True,False,False,pending_options_download
