model,scope,group,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
B1,subgroup,daily_stock_regime=2,0.1521523180946042,0.02424178898269708,0.6016764745216328,0.01601947814027612,0.1092094795619436,-2.399731109628298,1.0309406692954692,0.011723755954169301,0.8703455500246537,0.01200608077041846,1.0240814306739945,0.016281644493887516,1.388773747725216,1060,45,18,11
B0,subgroup,daily_stock_regime=3,0.1652801932366633,0.030352817558430653,0.6677166181039249,0.04195527231268771,0.0933093300607995,0.5776264481346692,2.1974507951013824,0.02210306387818711,0.8683349530273332,0.057823604783674806,2.61609001821414,0.04586721952808079,2.0751521047426307,5135,139,20,80
B1,subgroup,daily_stock_regime=3,0.16436864800462603,0.03016117877838501,0.6585064019623785,0.041454421166393626,0.09211640453419898,0.36015580165999606,2.0711806637044146,0.02210306387818711,0.8694317254183336,0.046902003092432414,2.121968399988143,0.044074915902329204,1.9940636350341228,5135,139,20,80
B0,subgroup,front_options_regime=0,0.16682611974622166,0.0304495882736364,0.6617464268345994,0.03791330418895163,0.09707511816546739,0.11803332286011906,2.0087924123861525,0.021337618057815703,0.865999030315389,0.05051753255035339,2.3675338275093667,0.04362727920625148,2.0446180584937106,7994,151,20,124
B1,subgroup,front_options_regime=0,0.16483799006810887,0.030016187898993404,0.656335062847391,0.03701322504502638,0.09480264372969614,0.0294508671568559,1.9386674309831728,0.021337618057815703,0.8681306993749497,0.04021593818294698,1.884743558253747,0.04342015755755553,2.034911180803111,7994,151,20,124
B0,subgroup,front_options_regime=1,0.14129564438697892,0.021321338036997983,0.6760435123988893,0.06360041406636434,0.10368930765624479,1.104945929090715,2.8567116137119037,0.010467861450973634,0.8782377387896859,0.0424521362150864,4.055473643199381,0.023912572016136866,2.2843798733993292,573,36,8,5
B1,subgroup,front_options_regime=1,0.13176365907270737,0.019421316999871832,0.7042397342597411,0.07041056875246049,0.09453713056909725,1.7314942659234465,3.0403104225431825,0.010467861450973634,0.8872036529188287,0.06568965044832373,6.275364911542063,0.030834627485002764,2.9456472680133516,573,36,8,5
B0,subgroup,front_options_regime=2,0.13847270362504327,0.019963055913314518,0.7385973619312267,0.02492222676811601,0.107830924197646,1.2574441847112272,3.1101750300507165,0.008067480243132748,0.8782876592423067,0.02383507979451156,2.954463980844652,0.02302816818938331,2.8544437042762505,1698,81,18,13
B1,subgroup,front_options_regime=2,0.14428859572855018,0.021222544232413827,0.7780034135516771,0.028954733093518502,0.11355007345359938,1.697607121269782,3.462541931449272,0.008067480243132748,0.8727511412919026,0.03022363009916801,3.746353159636822,0.026230809685021048,3.251425339076523,1698,81,18,13
B0,subgroup,mismatch_compression_vs_front_iv=high,0.16788863844983662,0.03114579551682363,0.6615146922978606,0.040343891718182805,0.09397275656435869,0.31452155820299516,2.0598024112051827,0.022754853522560504,0.866572466616861,0.05400892506011884,2.373512314925306,0.04497684824359669,1.9765826309979975,5949,141,20,97
B1,subgroup,mismatch_compression_vs_front_iv=high,0.16644149437580616,0.030833337228143236,0.6522985878405193,0.038253450546412424,0.09212452748690625,0.11356026470098722,1.935178826654544,0.022754853522560504,0.8682653352905223,0.03659647801534923,1.6082932803353502,0.044116867743869186,1.9387893532309106,5949,141,20,97
B0,subgroup,mismatch_compression_vs_front_iv=low,0.15093531464698534,0.024186287199618475,0.7059698345069578,0.03057099386653897,0.10650579803152484,0.5815112930800359,2.5468599295460814,0.012744761965857828,0.8715826073571896,0.03749064156434667,2.941650982951351,0.032715121755812586,2.5669464712996377,4316,126,20,45
B1,subgroup,mismatch_compression_vs_front_iv=low,0.15033204891683952,0.024069477543004574,0.7058801824883794,0.030593139499304235,0.10593906674099471,0.5208753062315589,2.5096398377681317,0.012744761965857828,0.8721511657596988,0.04142326372326284,3.250218704298469,0.034491748767929764,2.70634703577284,4316,126,20,45
B0,subgroup,mismatch_complacent_broad_conflict=high,0.1583016879293281,0.027524626444409072,0.6705075095471942,0.03509985673296922,0.09798274152148924,0.3579237070896122,2.1960676000167765,0.018106592384082777,0.8706228983913293,0.04792696711065089,2.646934668545515,0.04132992200158836,2.2825897399623822,9846,154,20,130
B1,subgroup,mismatch_complacent_broad_conflict=high,0.15694168110476034,0.02722395912348235,0.6632712950209946,0.03372510629338494,0.09638241854742619,0.21786428527630797,2.1036204645483383,0.018106592384082777,0.872112762945595,0.037170113121801955,2.0528497208827443,0.04226286192004349,2.3341146154698946,9846,154,20,130
B0,subgroup,mismatch_complacent_broad_conflict=low,0.22277190113846537,0.04598184246233959,0.6024561089018842,0.04180328005980938,0.12871599470007677,1.558153017288519,3.050834102760152,0.030383678864475728,0.8205614979513435,0.041366037605585514,1.3614558589200416,0.03523272061738606,1.1595936349426001,419,82,19,12
B1,subgroup,mismatch_complacent_broad_conflict=low,0.22813963193282713,0.04745524029149404,0.6174229676900329,0.04470517972201436,0.13438790185988148,1.481557311942869,3.0869939723741284,0.030383678864475728,0.8153019088025695,0.04414786454280519,1.4530124788286385,0.031383515148889034,1.0329070185632558,419,82,19,12
