# schema_version=1
# source=NASDAQ_TRADER_SYMBOL_DIRECTORY
# source_urls=https://www.nasdaqtrader.com/dynamic/SymDir/nasdaqlisted.txt,https://www.nasdaqtrader.com/dynamic/SymDir/otherlisted.txt
# retrieved_at=2026-09-02T11:33:17.375137+00:00
# nasdaq_source_updated_at=0902202607:00
# other_source_updated_at=0902202607:00
# universes=US_ALL,NASDAQ,NYSE
symbol,primary_exchange
ACGLO,NASDAQ
ACH,NYSE
ACHC,NASDAQ
ACHR,NYSE
ACHR.W,NYSE
ACHV,NASDAQ
ACI,NYSE
ACIC,NASDAQ
ACIU,NASDAQ
ACIW,NASDAQ
ACLS,NASDAQ
ACM,NYSE
ACMR,NASDAQ
ACN,NYSE
ACNB,NASDAQ
ACNT,NASDAQ
ACOG,NASDAQ
ACON,NASDAQ
ACONW,NASDAQ
ACP,NYSE
ACP$A,NYSE
ACR,NYSE
ACR$C,NYSE
ACR$D,NYSE
ACRE,NYSE
ACRS,NASDAQ
ACRV,NASDAQ
ACT,NASDAQ
ACTG,NASDAQ
ACTU,NASDAQ
ACU,AMEX
ACV,NYSE
ACVA,NYSE
ACXP,NASDAQ
AD,NYSE
ADAC,NASDAQ
ADACU,NASDAQ
ADACW,NASDAQ
ADAG,NASDAQ
ADAM,NASDAQ
ADAMG,NASDAQ
ADAMH,NASDAQ
ADAMI,NASDAQ
ADAMK,NASDAQ
ADAML,NASDAQ
ADAMM,NASDAQ
ADAMN,NASDAQ
ADAMO,NASDAQ
ADAMZ,NASDAQ
ADBE,NASDAQ
ADBT,NASDAQ
ADC,NYSE
ADC$A,NYSE
ADCT,NYSE
ADEA,NASDAQ
ADGM,NASDAQ
ADI,NASDAQ
ADIG,NYSE
ADIL,NASDAQ
ADM,NYSE
ADMA,NASDAQ
ADNT,NYSE
ADP,NASDAQ
ADPT,NASDAQ
ADSE,NASDAQ
ADSEW,NASDAQ
ADSK,NASDAQ
ADT,NYSE
ADTN,NASDAQ
ADUR,NASDAQ
ADUS,NASDAQ
ADV,NASDAQ
ADVB,NASDAQ
ADX,NYSE
ADXN,NASDAQ
AEAQ,NASDAQ
AEAQU,NASDAQ
AEAQW,NASDAQ
AEBI,NASDAQ
AEC,NASDAQ
AEE,NYSE
AEF,AMEX
AEFC,NYSE
AEG,NYSE
AEHL,NASDAQ
AEHR,NASDAQ
AEI,NASDAQ
AEIS,NASDAQ
AEM,NYSE
AEMD,NASDAQ
AENT,NASDAQ
AENTW,NASDAQ
AEO,NYSE
AEON,AMEX
AEP,NASDAQ
AER,NYSE
AERO,NYSE
AERT,NASDAQ
AERTW,NASDAQ
AES,NYSE
AESI,NYSE
AESP,NASDAQ
AESPR,NASDAQ
AESPU,NASDAQ
AESPW,NASDAQ
AEVA,NASDAQ
AEXA,NYSE
AEYE,NASDAQ
AFB,NYSE
AFCG,NASDAQ
AFG,NYSE
AFGB,NYSE
AFGC,NYSE
AFGD,NYSE
AFGE,NYSE
AFJK,NASDAQ
AFJKR,NASDAQ
AFJKU,NASDAQ
AFL,NYSE
AFRI,NASDAQ
AFRIW,NASDAQ
AFRM,NASDAQ
AFYA,NASDAQ
AG,NYSE
AGBK,NYSE
AGCC,NASDAQ
AGCO,NYSE
AGD,NYSE
AGEN,NASDAQ
AGI,NYSE
AGIG,AMEX
AGIO,NASDAQ
AGL,NYSE
AGM,NYSE
AGM$D,NYSE
AGM$E,NYSE
AGM$F,NYSE
AGM$G,NYSE
AGM$H,NYSE
AGM$I,NYSE
AGM.A,NYSE
AGMB,NASDAQ
AGMH,NASDAQ
AGNC,NASDAQ
AGNCL,NASDAQ
AGNCM,NASDAQ
AGNCN,NASDAQ
AGNCO,NASDAQ
AGNCP,NASDAQ
AGNCZ,NASDAQ
AGNT,NASDAQ
AGO,NYSE
AGPU,NASDAQ
AGRO,NYSE
AGRZ,NASDAQ
AGX,NYSE
AGYS,NASDAQ
AHCO,NASDAQ
AHG,NASDAQ
AHL$D,NYSE
AHL$E,NYSE
AHL$F,NYSE
AHMA,NASDAQ
AHR,NYSE
AHRT,NYSE
AHRT$A,NYSE
AHT,NYSE
AHT$D,NYSE
AHT$F,NYSE
AHT$G,NYSE
AHT$H,NYSE
AHT$I,NYSE
AI,NYSE
AIAI,NASDAQ
AIB,AMEX
AIBZ,NASDAQ
AIDX,NASDAQ
AIFA,NASDAQ
AIFC,NASDAQ
AIFF,NASDAQ
AIFU,NASDAQ
AIG,NYSE
AII,NYSE
AIIA,NYSE
AIIA.R,NYSE
AIIA.U,NYSE
AIIO,NASDAQ
AIIOW,NASDAQ
AIIR,NASDAQ
AIM,AMEX
AIMD,NASDAQ
AIMDW,NASDAQ
AIN,NYSE
AIO,NYSE
AIOS,NASDAQ
AIOT,NASDAQ
AIP,NASDAQ
AIR,NYSE
AIRE,NASDAQ
AIRG,NASDAQ
AIRI,AMEX
AIRJ,NASDAQ
AIRJW,NASDAQ
AIRO,NASDAQ
AIRS,NASDAQ
AIRT,NASDAQ
AIRTP,NASDAQ
AISP,NASDAQ
AISPW,NASDAQ
AIT,NYSE
AIV,NYSE
AIXC,NASDAQ
AIXI,NASDAQ
AIZ,NYSE
AIZN,NYSE
AJG,NYSE
AKA,NYSE
AKAM,NASDAQ
AKAN,NASDAQ
AKBA,NASDAQ
AKO.A,NYSE
AKO.B,NYSE
AKR,NYSE
AKTS,NASDAQ
AKTX,NASDAQ
ALAB,NASDAQ
ALAR,NASDAQ
ALB,NYSE
ALB$A,NYSE
ALC,NYSE
ALCO,NASDAQ
ALDF,NASDAQ
ALDFU,NASDAQ
ALDFW,NASDAQ
ALDX,NASDAQ
ALEC,NASDAQ
ALF,NASDAQ
ALFUU,NASDAQ
ALFUW,NASDAQ
ALG,NYSE
ALGM,NASDAQ
ALGN,NASDAQ
ALGS,NASDAQ
ALGT,NASDAQ
ALH,NYSE
ALHC,NASDAQ
ALIS,NASDAQ
ALISR,NASDAQ
ALISU,NASDAQ
ALIT,NYSE
ALK,NYSE
ALKS,NASDAQ
ALKT,NASDAQ
ALL,NYSE
ALL$B,NYSE
ALL$H,NYSE
ALL$I,NYSE
ALL$J,NYSE
ALLE,NYSE
ALLO,NASDAQ
ALLR,NASDAQ
ALLT,NASDAQ
ALLY,NYSE
ALM,NASDAQ
ALMR,NASDAQ
ALMS,NASDAQ
ALMU,NASDAQ
ALNT,NASDAQ
ALNY,NASDAQ
ALOV,NASDAQ
ALOVU,NASDAQ
ALOVW,NASDAQ
ALOY,NASDAQ
ALP,NASDAQ
ALPS,NASDAQ
ALPX,NASDAQ
ALPXR,NASDAQ
ALPXU,NASDAQ
ALPXW,NASDAQ
ALRM,NASDAQ
ALRS,NASDAQ
ALSN,NYSE
ALT,NASDAQ
ALTG,NYSE
ALTG$A,NYSE
ALTI,NASDAQ
ALTO,NASDAQ
ALUB,NYSE
ALUB.U,NYSE
ALUB.W,NYSE
ALV,NYSE
ALVO,NASDAQ
ALVOW,NASDAQ
ALX,NYSE
ALXO,NASDAQ
ALZN,NASDAQ
AM,NYSE
AMACU,NASDAQ
AMAL,NASDAQ
AMAN,NASDAQ
AMAT,NASDAQ
AMBA,NASDAQ
AMBO,AMEX
AMBP,NYSE
AMBQ,NYSE
AMBR,NASDAQ
AMC,NYSE
AMCI,NASDAQ
AMCR,NYSE
AMCX,NASDAQ
AMD,NASDAQ
AME,NYSE
AMG,NYSE
AMGN,NASDAQ
AMH,NYSE
AMH$G,NYSE
AMH$H,NYSE
AMIX,NASDAQ
AMKR,NASDAQ
AMLX,NASDAQ
AMN,NYSE
AMOD,NASDAQ
AMODW,NASDAQ
AMP,NYSE
AMPG,NASDAQ
AMPGZ,NASDAQ
AMPH,NASDAQ
AMPL,NASDAQ
AMPX,NYSE
AMPX.W,NYSE
AMPY,NYSE
AMR,NYSE
AMRC,NYSE
AMRN,NASDAQ
AMRX,NASDAQ
AMRZ,NYSE
AMS,AMEX
AMSC,NASDAQ
AMSF,NASDAQ
AMSS,NASDAQ
AMST,NASDAQ
AMT,NYSE
AMTB,NYSE
AMTD,NYSE
AMTM,NYSE
AMTX,NASDAQ
AMUB,ARCA
AMWL,NYSE
AMX,NYSE
AMZE,AMEX
AMZN,NASDAQ
AN,NYSE
ANAB,NASDAQ
ANDE,NASDAQ
ANDG,NYSE
ANET,NYSE
ANF,NYSE
ANG$D,NYSE
ANGH,NASDAQ
ANGHW,NASDAQ
ANGI,NASDAQ
ANGO,NASDAQ
ANGX,NYSE
ANIK,NASDAQ
ANIP,NASDAQ
ANIX,NASDAQ
ANL,NASDAQ
ANNA,NASDAQ
ANNAW,NASDAQ
ANNX,NASDAQ
ANPA,NASDAQ
ANRO,NYSE
ANTA,NASDAQ
ANTX,NASDAQ
ANVS,NYSE
ANY,NASDAQ
AOD,NYSE
AOMD,NYSE
AOMN,NYSE
AOMR,NYSE
AON,NYSE
AORT,NYSE
AOS,NYSE
AOSL,NASDAQ
AOUT,NASDAQ
AP,NYSE
APA,NASDAQ
APAC,NASDAQ
APACR,NASDAQ
APACU,NASDAQ
APAM,NYSE
APC,NASDAQ
APD,NYSE
APEI,NASDAQ
APG,NYSE
APGE,NASDAQ
APH,NYSE
API,NASDAQ
APLD,NASDAQ
APLE,NYSE
APLM,NASDAQ
APLMW,NASDAQ
APMC,NASDAQ
APMCR,NASDAQ
APMCU,NASDAQ
APMD,NASDAQ
APO,NYSE
APOG,NASDAQ
APOS,NYSE
APP,NASDAQ
APPF,NASDAQ
APPN,NASDAQ
APPS,NASDAQ
APRE,NASDAQ
APT,AMEX
APTV,NYSE
APUR,NASDAQ
APURR,NASDAQ
APUS,AMEX
APVO,NASDAQ
APWC,NASDAQ
APXT,NASDAQ
APXTU,NASDAQ
APXTW,NASDAQ
APYX,NASDAQ
AQB,NASDAQ
AQMS,NASDAQ
AQN,NYSE
AQNB,NYSE
AQST,NASDAQ
AR,NYSE
ARAI,NASDAQ
ARAY,NASDAQ
ARBB,NASDAQ
ARBE,NASDAQ
ARBEW,NASDAQ
ARBK,NASDAQ
ARCB,NASDAQ
ARCC,NASDAQ
ARCI,NASDAQ
ARCIU,NASDAQ
ARCIW,NASDAQ
ARCL,NASDAQ
ARCLR,NASDAQ
ARCLU,NASDAQ
ARCLW,NASDAQ
ARCO,NYSE
ARCT,NASDAQ
ARDC,NYSE
ARDT,NYSE
ARDX,NASDAQ
ARE,NYSE
AREC,NASDAQ
ARES,NYSE
ARES$B,NYSE
ARGX,NASDAQ
ARHS,NASDAQ
ARI,NYSE
ARIS,NYSE
ARKO,NASDAQ
ARKR,NASDAQ
ARL,NYSE
ARLO,NYSE
ARLP,NASDAQ
ARM,NASDAQ
ARMK,NYSE
ARMP,AMEX
AROC,NYSE
AROW,NASDAQ
ARQ,NASDAQ
ARQQ,NASDAQ
ARQQW,NASDAQ
ARQT,NASDAQ
ARR,NYSE
ARR$C,NYSE
ARRY,NASDAQ
ARTC,NASDAQ
ARTCU,NASDAQ
ARTCW,NASDAQ
ARTL,NASDAQ
ARTNA,NASDAQ
ARTV,NASDAQ
ARTW,NASDAQ
ARVN,NASDAQ
ARW,NYSE
ARWR,NASDAQ
ARX,NYSE
ARXS,NASDAQ
AS,NYSE
ASA,NYSE
ASAN,NYSE
ASB,NYSE
ASB$E,NYSE
ASB$F,NYSE
ASBA,NYSE
ASBP,NASDAQ
ASBPW,NASDAQ
ASC,NYSE
ASG,NYSE
ASGI,NYSE
ASH,NYSE
ASIC,NYSE
ASIX,NYSE
ASLE,NASDAQ
ASM,AMEX
ASMB,NASDAQ
ASML,NASDAQ
ASND,NASDAQ
ASO,NASDAQ
ASPC,NASDAQ
ASPCR,NASDAQ
ASPCU,NASDAQ
ASPI,NASDAQ
ASPN,NYSE
ASPS,NASDAQ
ASPSW,NASDAQ
ASPSZ,NASDAQ
ASR,NYSE
ASRV,NASDAQ
ASST,NASDAQ
ASTC,NASDAQ
ASTE,NASDAQ
ASTH,NASDAQ
ASTI,NASDAQ
ASTL,NASDAQ
ASTLW,NASDAQ
ASTS,NASDAQ
ASUR,NASDAQ
ASX,NYSE
ASYS,NASDAQ
ATAI,NASDAQ
ATAT,NASDAQ
ATCH,AMEX
ATCX,NASDAQ
ATEC,NASDAQ
ATEN,NYSE
ATER,NASDAQ
ATEX,NASDAQ
ATGL,NASDAQ
ATH$A,NYSE
ATH$B,NYSE
ATH$D,NYSE
ATH$E,NYSE
ATHE,NASDAQ
ATHM,NYSE
ATHR,NASDAQ
ATHS,NYSE
ATI,NYSE
ATII,NASDAQ
ATIIU,NASDAQ
ATIIW,NASDAQ
ATKR,NYSE
ATLC,NASDAQ
ATLCL,NASDAQ
ATLCP,NASDAQ
ATLCZ,NASDAQ
ATLO,NASDAQ
ATLQ,NASDAQ
ATLQR,NASDAQ
ATLQU,NASDAQ
ATLQW,NASDAQ
ATLX,NASDAQ
ATMP,BATS
ATMU,NYSE
ATNI,NASDAQ
ATNM,AMEX
ATO,NYSE
ATOM,NASDAQ
ATOS,NASDAQ
ATPC,NASDAQ
ATR,NYSE
ATRA,NASDAQ
ATRC,NASDAQ
ATRO,NASDAQ
ATS,NYSE
ATTO,NASDAQ
ATXG,NASDAQ
ATYR,NASDAQ
AU,NYSE
AUB,NYSE
AUB$A,NYSE
AUBN,NASDAQ
AUC,NASDAQ
AUDC,NASDAQ
AUGO,NASDAQ
AUID,NASDAQ
AUNA,NYSE
AUPH,NASDAQ
AUR,NASDAQ
AURA,NASDAQ
AURE,NASDAQ
AUROW,NASDAQ
AUST,AMEX
AUTL,NASDAQ
AUUD,NASDAQ
AVA,NYSE
AVAH,NASDAQ
AVAL,NYSE
AVAT,NASDAQ
AVAV,NASDAQ
AVBC,NYSE
AVBH,NASDAQ
AVBP,NASDAQ
AVD,NYSE
AVEX,NYSE
AVGO,NASDAQ
AVIR,NASDAQ
AVK,NYSE
AVLN,NASDAQ
AVNT,NYSE
AVNW,NASDAQ
AVO,NASDAQ
AVPT,NASDAQ
AVR,NASDAQ
AVT,NASDAQ
AVTR,NYSE
AVTX,NASDAQ
AVX,NASDAQ
AVXL,NASDAQ
AVY,NYSE
AWF,NYSE
AWI,NYSE
AWK,NYSE
AWP,NYSE
AWR,NYSE
AWRE,NASDAQ
AWX,AMEX
AX,NYSE
AXG,NASDAQ
AXGN,NASDAQ
AXIL,AMEX
AXIN,NASDAQ
AXINR,NASDAQ
AXINU,NASDAQ
AXON,NASDAQ
AXP,NYSE
AXR,NYSE
AXS,NYSE
AXS$E,NYSE
AXSM,NASDAQ
AXTA,NYSE
AXTI,NASDAQ
AYA,NASDAQ
AYI,NYSE
AYTU,NASDAQ
AZ,NASDAQ
AZI,NASDAQ
AZIO,NASDAQ
AZN,NYSE
AZO,NYSE
AZTA,NASDAQ
AZTR,AMEX
AZUL,NYSE
AZZ,NYSE
B,NYSE
BA,NYSE
BA$A,NYSE
BABA,NYSE
BAC,NYSE
BAC$B,NYSE
BAC$E,NYSE
BAC$K,NYSE
BAC$L,NYSE
BAC$M,NYSE
BAC$N,NYSE
BAC$O,NYSE
BAC$P,NYSE
BAC$Q,NYSE
BAC$S,NYSE
BACC,NASDAQ
BACCR,NASDAQ
BACCU,NASDAQ
BAER,NASDAQ
BAERW,NASDAQ
BAFN,NASDAQ
BAH,NYSE
BAK,NYSE
BALL,NYSE
BALY,NYSE
BAM,NYSE
BANC,NYSE
BANC$F,NYSE
BAND,NASDAQ
BANF,NASDAQ
BANFP,NASDAQ
BANL,NASDAQ
BANR,NASDAQ
BANX,NASDAQ
BAOS,NASDAQ
BAP,NYSE
BAR,ARCA
BARK,NYSE
BATL,AMEX
BATRA,NASDAQ
BATRK,NASDAQ
BAX,NYSE
BB,NYSE
BBAI,NYSE
BBAI.W,NYSE
BBAR,NYSE
BBBYW,NASDAQ
BBCP,NASDAQ
BBD,NYSE
BBDC,NYSE
BBDO,NYSE
BBGI,NASDAQ
BBIO,NASDAQ
BBLG,NASDAQ
BBLGW,NASDAQ
BBN,NYSE
BBNX,NASDAQ
BBOT,NASDAQ
BBSI,NASDAQ
BBT,NYSE
BBUC,NYSE
BBVA,NYSE
BBW,NYSE
BBWI,NYSE
BBY,NYSE
BC,NYSE
BC$C,NYSE
BCAL,NASDAQ
BCAT,NYSE
BCAX,NASDAQ
BCBP,NASDAQ
BCC,NYSE
BCCQ,NASDAQ
BCCQU,NASDAQ
BCCQW,NASDAQ
BCDA,NASDAQ
BCE,NYSE
BCG,NASDAQ
BCGWW,NASDAQ
BCH,NYSE
BCHT,AMEX
BCIC,NASDAQ
BCML,NASDAQ
BCO,NYSE
BCPC,NASDAQ
BCRX,NASDAQ
BCS,NYSE
BCSF,NYSE
BCSS,NYSE
BCSS.U,NYSE
BCSS.W,NYSE
BCTX,NASDAQ
BCTXL,NASDAQ
BCTXZ,NASDAQ
BCV,AMEX
BCV$A,AMEX
BCX,NYSE
BCYC,NASDAQ
BDC,NYSE
BDCI,NASDAQ
BDCIU,NASDAQ
BDCIW,NASDAQ
BDCZ,ARCA
BDJ,NYSE
BDL,AMEX
BDMD,NASDAQ
BDMDW,NASDAQ
BDN,NYSE
BDRX,NASDAQ
BDSX,NASDAQ
BDTX,NASDAQ
BDX,NYSE
BE,NYSE
BEAG,NASDAQ
BEAGR,NASDAQ
BEAGU,NASDAQ
BEAM,NASDAQ
BEAT,NASDAQ
BEATW,NASDAQ
BEBE,NYSE
BEBE.U,NYSE
BEBE.W,NYSE
BEEM,NASDAQ
BEEP,NASDAQ
BEKE,NYSE
BELFA,NASDAQ
BELFB,NASDAQ
BEN,NYSE
BENF,NASDAQ
BENFW,NASDAQ
BEP,NYSE
BEP$A,NYSE
BEPC,NYSE
BEPH,NYSE
BEPI,NYSE
BEPJ,NYSE
BESS,AMEX
BESS.W,AMEX
BETA,NYSE
BETR,NASDAQ
BETRW,NASDAQ
BF.A,NYSE
BF.B,NYSE
BFAM,NYSE
BFC,NASDAQ
BFH,NYSE
BFH$A,NYSE
BFH$B,NYSE
BFLY,NYSE
BFRG,NASDAQ
BFRGW,NASDAQ
BFRI,NASDAQ
BFRIW,NASDAQ
BFS,NYSE
BFS$D,NYSE
BFS$E,NYSE
BFST,NASDAQ
BG,NYSE
BGB,NYSE
BGC,NASDAQ
BGDE,NASDAQ
BGH,NYSE
BGIN,NASDAQ
BGL,NASDAQ
BGLC,NASDAQ
BGLWW,NASDAQ
BGM,NASDAQ
BGMS,NASDAQ
BGR,NYSE
BGS,NYSE
BGSF,NYSE
BGSI,NYSE
BGT,NYSE
BGX,NYSE
BGY,NYSE
BH,NYSE
BH.A,NYSE
BHAV,NASDAQ
BHAVR,NASDAQ
BHAVU,NASDAQ
BHB,AMEX
BHC,NYSE
BHE,NYSE
BHF,NASDAQ
BHFAL,NASDAQ
BHFAM,NASDAQ
BHFAN,NASDAQ
BHFAO,NASDAQ
BHFAP,NASDAQ
BHK,NYSE
BHM,AMEX
BHP,NYSE
BHR,NYSE
BHR$B,NYSE
BHR$D,NYSE
BHRB,NASDAQ
BHST,NASDAQ
BHV,NYSE
BHVN,NYSE
BIAF,NASDAQ
BIAFW,NASDAQ
BID,NASDAQ
BIDU,NASDAQ
BIDWR,NASDAQ
BIDWU,NASDAQ
BIIB,NASDAQ
BIII,NYSE
BIII.U,NYSE
BIII.W,NYSE
BILI,NASDAQ
BILL,NYSE
BIO,NYSE
BIO.B,NYSE
BIOA,NASDAQ
BIOT,NASDAQ
BIOTW,NASDAQ
BIOX,NASDAQ
BIP,NYSE
BIP$A,NYSE
BIP$B,NYSE
BIPC,NYSE
BIPH,NYSE
BIPI,NYSE
BIPJ,NYSE
BIRD,NASDAQ
BIRK,NYSE
BIT,NYSE
BIVI,NASDAQ
BIVIW,NASDAQ
BIXI,NASDAQ
BIXIU,NASDAQ
BIXIW,NASDAQ
BIYA,NASDAQ
BJ,NYSE
BJDX,NASDAQ
BJRI,NASDAQ
BKD,NYSE
BKE,NYSE
BKH,NYSE
BKHA,NASDAQ
BKHAR,NASDAQ
BKHAU,NASDAQ
BKKT,NYSE
BKKT.W,NYSE
BKNG,NASDAQ
BKR,NASDAQ
BKSY,NYSE
BKT,NYSE
BKTI,AMEX
BKU,NYSE
BKV,NYSE
BKYI,NASDAQ
BL,NASDAQ
BLBD,NASDAQ
BLCO,NYSE
BLDP,NASDAQ
BLDR,NYSE
BLFS,NASDAQ
BLIN,NASDAQ
BLIV,NASDAQ
BLK,NYSE
BLKB,NASDAQ
BLLN,NASDAQ
BLMN,NASDAQ
BLND,NYSE
BLNE,NASDAQ
BLNK,NASDAQ
BLRK,NASDAQ
BLRKU,NASDAQ
BLRKW,NASDAQ
BLRX,NASDAQ
BLSH,NYSE
BLSM,NASDAQ
BLTE,NASDAQ
BLUW,NASDAQ
BLUWU,NASDAQ
BLUWW,NASDAQ
BLW,NYSE
BLX,NYSE
BLZE,NASDAQ
BLZR,NASDAQ
BLZRU,NASDAQ
BLZRW,NASDAQ
BMA,NYSE
BMBL,NASDAQ
BME,NYSE
BMEA,NASDAQ
BMEZ,NYSE
BMGL,NASDAQ
BMHL,NASDAQ
BMI,NYSE
BML$G,NYSE
BML$H,NYSE
BML$J,NYSE
BML$L,NYSE
BMM,NASDAQ
BMN,NYSE
BMNP,NYSE
BMNR,NYSE
BMO,NYSE
BMR,NASDAQ
BMRA,NASDAQ
BMRC,NASDAQ
BMRN,NASDAQ
BMY,NYSE
BN,NYSE
BNAI,NASDAQ
BNAIW,NASDAQ
BNC,NASDAQ
BNCWW,NASDAQ
BNCWZ,NASDAQ
BNED,NYSE
BNGO,NASDAQ
BNH,NYSE
BNJ,NYSE
BNKK,NASDAQ
BNL,NYSE
BNR,NASDAQ
BNS,NYSE
BNT,NYSE
BNTC,NASDAQ
BNTX,NASDAQ
BNY,NYSE
BNY$K,NYSE
BOBS,NYSE
BOC,NYSE
BODI,NASDAQ
BOE,NYSE
BOF,NASDAQ
BOH,NYSE
BOH$A,NYSE
BOH$B,NYSE
BOKF,NASDAQ
BOLD,NASDAQ
BOLT,NASDAQ
BON,NASDAQ
BOOM,NASDAQ
BOOT,NYSE
BORR,NYSE
BOSC,NASDAQ
BOT,NASDAQ
BOTJ,NASDAQ
BOW,NYSE
BOX,NYSE
BOXL,NASDAQ
BP,NYSE
BPAC,NASDAQ
BPACR,NASDAQ
BPACU,NASDAQ
BPOP,NASDAQ
BPOPM,NASDAQ
BPRE,NYSE
BPRN,NASDAQ
BPYPM,NASDAQ
BPYPN,NASDAQ
BPYPO,NASDAQ
BPYPP,NASDAQ
BQ,AMEX
BR,NYSE
BRAG,NASDAQ
BRAI,NASDAQ
BRBI,NASDAQ
BRBR,NYSE
BRBS,AMEX
BRC,NYSE
BRCB,NASDAQ
BRCC,NYSE
BREZ,NASDAQ
BREZR,NASDAQ
BRFH,NASDAQ
BRIA,AMEX
BRID,NASDAQ
BRK.A,NYSE
BRK.B,NYSE
BRKH,NASDAQ
BRKHU,NASDAQ
BRKHW,NASDAQ
BRKR,NASDAQ
BRKRP,NASDAQ
BRLS,NASDAQ
BRLSW,NASDAQ
BRLT,NASDAQ
BRN,AMEX
BRNS,NASDAQ
BRNX,NASDAQ
BRO,NYSE
BROS,NYSE
BRR,NASDAQ
BRRWW,NASDAQ
BRSL,NYSE
BRSP,NYSE
BRT,NYSE
BRTMU,NASDAQ
BRTX,NASDAQ
BRUN,NASDAQ
BRVE,NASDAQ
BRW,NYSE
BRX,NYSE
BRZE,NASDAQ
BSAA,NASDAQ
BSAAR,NASDAQ
BSAAU,NASDAQ
BSAC,NYSE
BSBK,NASDAQ
BSBR,NYSE
BSEM,NASDAQ
BSET,NASDAQ
BSIN,NASDAQ
BSL,NYSE
BSM,NYSE
BSP,NASDAQ
BSRR,NASDAQ
BST,NYSE
BSTZ,NYSE
BSVN,NASDAQ
BSX,NYSE
BSY,NASDAQ
BTAI,NASDAQ
BTBD,NASDAQ
BTBDW,NASDAQ
BTBT,NASDAQ
BTCS,NASDAQ
BTCT,NASDAQ
BTDR,NASDAQ
BTE,NYSE
BTG,AMEX
BTGO,NYSE
BTI,NYSE
BTLN,NASDAQ
BTMD,NASDAQ
BTO,NYSE
BTOC,NASDAQ
BTOG,NASDAQ
BTQ,NASDAQ
BTSG,NASDAQ
BTSGU,NASDAQ
BTT,NYSE
BTTC,NASDAQ
BTU,NYSE
BTX,NYSE
BTZ,NYSE
BUD,NYSE
BUDA,AMEX
BUI,NYSE
BULL,NASDAQ
BULLW,NASDAQ
BUR,NYSE
BURL,NYSE
BUSE,NASDAQ
BUSEP,NASDAQ
BUUU,NASDAQ
BV,NYSE
BVC,NASDAQ
BVFL,NASDAQ
BVN,NYSE
BVS,NASDAQ
BW,NYSE
BW$A,NYSE
BWA,NYSE
BWAY,NASDAQ
BWB,NASDAQ
BWBBP,NASDAQ
BWEN,NASDAQ
BWFG,NASDAQ
BWG,NYSE
BWIN,NASDAQ
BWIV,NYSE
BWIV.U,NYSE
BWIV.W,NYSE
BWLP,NYSE
BWMN,NASDAQ
BWMX,NYSE
BWXT,NYSE
BX,NYSE
BXBL,NASDAQ
BXC,NYSE
BXDC,NYSE
BXMT,NYSE
BXP,NYSE
BXSL,NYSE
BY,NYSE
BYAH,NASDAQ
BYD,NYSE
BYFC,NASDAQ
BYND,NASDAQ
BYRN,NASDAQ
BYSI,NASDAQ
BZ,NASDAQ
BZAI,NASDAQ
BZAIW,NASDAQ
BZFD,NASDAQ
BZFDW,NASDAQ
BZH,NYSE
BZUN,NASDAQ
C,NYSE
C$N,NYSE
C$R,NYSE
CAAP,NYSE
CAAS,NASDAQ
CABA,NASDAQ
CABO,NYSE
CABR,NASDAQ
CAC,NASDAQ
CACC,NASDAQ
CACI,NYSE
CADL,NASDAQ
CAE,NASDAQ
CAES,NASDAQ
CAF,NYSE
