strategy,period,scope,group_type,group_value,status,blocker,trades,sessions,stocks,months,total_entry_debit,mean_net_pnl,median_net_pnl,trimmed_mean_net_pnl,mean_return_on_debit,median_return_on_debit,win_rate,full_loss_rate,maximum_gain,maximum_loss,return_p05,return_p25,return_p75,return_p95,matched_control_excess,maximum_stock_share,maximum_month_share,top_5pct_positive_pnl_contribution
S1,development,subgroup,previous_close_iv_group,low,not_supported,,93,78,17,12,52799.5,-33.9247311827957,-22,-24.72,-0.136178373322479,-0.168168168168168,0.129032258064516,0,2087,-1213,-0.381865736704446,-0.288,-0.0758017492711371,0.153606865111289,,0.129032258064516,0.139784946236559,0.986730556579432
S1,development,subgroup,previous_close_iv_group,very_low,not_supported,,105,72,19,11,72577.5,-4.91428571428571,-23,-24.0470588235294,-0.112900483290635,-0.169312169312169,0.171428571428571,0,4779,-1093,-0.414329016257922,-0.284463894967177,-0.0884676145339651,0.284859146884781,,0.104761904761905,0.238095238095238,0.97807626987803
S1,development,subgroup,recent_registered_completion_prior_6,False,not_supported,,166,107,18,12,107047,-7.07831325301204,-23,-24.3582089552239,-0.138899184877166,-0.166910511106006,0.156626506024096,0,4779,-1143,-0.412648112427666,-0.285401688027509,-0.0939466080287858,0.251357505692766,,0.120481927710843,0.168674698795181,0.981184668989547
S1,development,subgroup,recent_registered_completion_prior_6,True,not_supported,,32,29,14,11,18330,-78,-19.5,-24.6538461538462,-0.045683586715552,-0.185903191826633,0.125,0,352,-1213,-0.370371892336141,-0.283899787725396,-0.0635386119257086,0.466169560776302,,0.15625,0.3125,0.996551724137931
S1,assessment,overall,overall,all,not_supported,,196,84,15,8,81747,-22.8775510204082,-18,-20.0126582278481,-0.0804246096062541,-0.129107006725188,0.188775510204082,0,1737,-788,-0.335395644034519,-0.213814341888907,-0.0295929737169823,0.331255249047096,,0.127551020408163,0.193877551020408,0.905527456647399
S1,assessment,subgroup,entry_dte_bin,10-12,not_supported,,68,34,14,8,34519,-62.0147058823529,-17,-22.4285714285714,-0.0981982825483625,-0.10073716415235,0.132352941176471,0,30,-703,-0.246531259917486,-0.187414556490489,-0.0310321894988035,0.109552926537635,,0.147058823529412,0.220588235294118,0.785714285714285
S1,assessment,subgroup,entry_dte_bin,13-14,not_supported,,8,2,6,2,2246,-33.25,-33.5,-33.25,-0.152395906864065,-0.142683496961197,0.25,0,6.00000000000001,-81,-0.409184276866577,-0.220815858552334,-0.00412371134020616,0.0287822878228782,,0.25,0.625,1
S1,assessment,subgroup,entry_dte_bin,7-9,not_supported,,120,48,15,8,44982,-0.00833333333333807,-18.5,-16.7291666666667,-0.065554775121872,-0.153846153846154,0.216666666666667,0,1737,-788,-0.38402357549297,-0.231721902244044,-0.031970421922575,0.55921930499821,,0.133333333333333,0.241666666666667,0.828830495928942
S1,assessment,subgroup,previous_close_atm_iv_quartile,Q1,not_supported,,153,72,13,8,71132.5,-26.4444444444444,-20,-22.7886178861789,-0.0949699755481403,-0.143790849673203,0.163398692810458,0,1737,-788,-0.324224592059617,-0.223255813953488,-0.0443764345830146,0.230393374741202,,0.143790849673203,0.228758169934641,0.942508012820513
S1,assessment,subgroup,previous_close_atm_iv_quartile,Q2,not_supported,,43,31,13,8,10614.5,-10.1860465116279,-11,-10.3428571428571,-0.0286701679990777,-0.0807174887892377,0.27906976744186,0,178,-318,-0.339765115267508,-0.184969924621203,0.0184735534256301,0.357937075579508,,0.255813953488372,0.209302325581395,0.733455882352941
