scope,period,horizon_bars,direction,events,sessions,stocks,mean_bps,median_bps,trimmed_mean_10pct_bps,positive_rate,standard_error_bps,raw_opening_pressure_return_after_20bps,cohort_relative_return_after_20bps,excess_vs_matched_control_bps,matched_control_coverage,maximum_stock_share,maximum_month_share,hidden_family_class,assessment_events,rough_screen_positive,q_value
unregistered_primitive_like__5-6-5,development,6,opposite_opening_pressure_direction,967,215,20,-16.0362267912681,-16.4726631393308,-14.2174543656979,0.47052740434333,5.98144647784029,-23.9637732087319,-18.2822307543108,-1.69426271416552,0.996897621509824,0.124095139607032,0.125644374139882,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,development,6,opposite_opening_pressure_direction,447,157,20,-24.2324404831007,-20,-23.2574801390642,0.357941834451902,4.2425685212881,-15.7675595168993,-18.7556479682394,3.08886927982192,0.993288590604027,0.125279642058166,0.229799754659072,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,development,6,opposite_opening_pressure_direction,125,92,20,-20.7966203559308,-20,-17.0872480227758,0.448,9.28564862766492,-19.2033796440692,-18.3330335862744,-0.420435625915967,1,0.104,0.190492944226724,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,development,6,opposite_opening_pressure_direction,99,66,17,-31.7217968641338,-4.29564131510072,-12.1799226806057,0.494949494949495,22.2003675741256,-8.27820313586617,4.59654121202768,8.40785868714134,1,0.272727272727273,0.233943662798447,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,development,6,opposite_opening_pressure_direction,1038,227,20,-23.4178014754667,-20,-20.8978892110478,0.396917148362235,3.97918700166642,-16.5821985245333,-16.4322492056979,-1.24340611348961,0.991329479768786,0.081888246628131,0.156607024491079,,,,
unregistered_primitive_like__5-6-5,development,12,opening_pressure_direction,967,215,20,-27.9395284213852,-30.3285123966934,-30.4878925257605,0.432264736297828,8.10246671060907,-27.9395284213852,-22.3330094921741,-9.86101935058151,0.996897621509824,0.124095139607032,0.132146349522404,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,development,12,opening_pressure_direction,447,157,20,-15.3847490410914,-14.4485017455809,-16.2688227720247,0.449664429530201,5.57772656660122,-15.3847490410914,-16.1670160555112,-0.665065362470725,0.993288590604027,0.125279642058166,0.187536017246309,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,development,12,opening_pressure_direction,125,92,20,-24.7319956993813,-29.8565795958616,-26.9729340374042,0.4,12.6828051722398,-24.7319956993813,-14.3240804304057,-12.8743217053225,1,0.104,0.201289787329661,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,development,12,opening_pressure_direction,99,66,17,1.02262934892009,-41.3132200397403,-21.2541727737346,0.414141414141414,26.9459987391782,1.02262934892009,3.49819587605147,9.57228403557446,1,0.272727272727273,0.199679426992255,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,development,12,opening_pressure_direction,1038,227,20,-8.70823382167528,-20,-10.7679501412881,0.441233140655106,5.11932346965982,-8.70823382167528,-12.0367932673102,2.29969700374845,0.991329479768786,0.081888246628131,0.161302057835527,,,,
unregistered_primitive_like__5-6-5,development,12,completion_momentum_direction,967,215,20,-13.1448500124707,-14.7112075811329,-9.92387185924089,0.467425025853154,8.10349149985666,-27.9395284213852,-22.3330094921741,-9.86101935058151,0.996897621509824,0.124095139607032,0.132146349522404,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,development,12,completion_momentum_direction,447,157,20,-16.4960029123391,-17.2483265314538,-15.5652526691076,0.445190156599553,5.57953972789331,-15.3847490410914,-16.1670160555112,-0.665065362470725,0.993288590604027,0.125279642058166,0.187536017246309,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,development,12,completion_momentum_direction,125,92,20,-35.0134461730387,-20,-31.1023112225102,0.416,12.6180963398245,-24.7319956993813,-14.3240804304057,-12.8743217053225,1,0.104,0.201289787329661,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,development,12,completion_momentum_direction,99,66,17,-32.9521518429552,-6.32725615314465,-26.498919142889,0.474747474747475,26.9978653382257,1.02262934892009,3.49819587605147,9.57228403557446,1,0.272727272727273,0.199679426992255,unregistered_primitive_like__4-7-4,74,False,1
OTHER_UNREGISTERED_FAMILY,development,12,completion_momentum_direction,1038,227,20,-14.6266002005402,-23.1490408293033,-17.2384290661334,0.419075144508671,5.12860451018975,-8.70823382167528,-12.0367932673102,2.29969700374845,0.991329479768786,0.081888246628131,0.161302057835527,,,,
unregistered_primitive_like__5-6-5,development,12,opposite_opening_pressure_direction,967,215,20,-12.0604715786149,-9.67148760330659,-9.51210747423946,0.480868665977249,8.10246671060907,-27.9395284213852,-22.3330094921741,-9.86101935058151,0.996897621509824,0.124095139607032,0.132146349522404,unregistered_primitive_like__5-6-5,597,False,1
unregistered_primitive_like__2-3-2,development,12,opposite_opening_pressure_direction,447,157,20,-24.6152509589086,-25.5514982544191,-23.7311772279753,0.413870246085011,5.57772656660122,-15.3847490410914,-16.1670160555112,-0.665065362470725,0.993288590604027,0.125279642058166,0.187536017246309,unregistered_primitive_like__2-3-2,211,False,1
unregistered_primitive_like__2-5-2,development,12,opposite_opening_pressure_direction,125,92,20,-15.2680043006187,-10.1434204041384,-13.0270659625958,0.464,12.6828051722398,-24.7319956993813,-14.3240804304057,-12.8743217053225,1,0.104,0.201289787329661,unregistered_primitive_like__2-5-2,75,False,1
unregistered_primitive_like__4-7-4,development,12,opposite_opening_pressure_direction,99,66,17,-41.0226293489201,1.31322003974034,-18.7458272262655,0.505050505050505,26.9459987391782,1.02262934892009,3.49819587605147,9.57228403557446,1,0.272727272727273,0.199679426992255,unregistered_primitive_like__4-7-4,74,False,1
