draw,metric,value
20,transition_count_repeat,1
20,transition_count_composite,0
21,registered_completion_rate_6,0.0689655172413793
21,registered_completion_rate_12,0.156739811912226
21,mean_bars_to_registered,6.78666666666667
21,transition_count_primitive,150
21,transition_count_repeat,1
21,transition_count_composite,0
22,registered_completion_rate_6,0.0595611285266458
22,registered_completion_rate_12,0.137931034482759
22,mean_bars_to_registered,7.03787878787879
22,transition_count_primitive,132
22,transition_count_repeat,1
22,transition_count_composite,0
23,registered_completion_rate_6,0.0846394984326019
23,registered_completion_rate_12,0.169278996865204
23,mean_bars_to_registered,6.67901234567901
23,transition_count_primitive,162
23,transition_count_repeat,0
23,transition_count_composite,0
24,registered_completion_rate_6,0.0794148380355277
24,registered_completion_rate_12,0.156739811912226
24,mean_bars_to_registered,6.50666666666667
24,transition_count_primitive,150
24,transition_count_repeat,1
24,transition_count_composite,0
25,registered_completion_rate_6,0.0679205851619645
25,registered_completion_rate_12,0.134796238244514
25,mean_bars_to_registered,6.53488372093023
25,transition_count_primitive,129
25,transition_count_repeat,2
25,transition_count_composite,0
26,registered_completion_rate_6,0.0762800417972832
26,registered_completion_rate_12,0.142110762800418
26,mean_bars_to_registered,6.22058823529412
26,transition_count_primitive,136
26,transition_count_repeat,1
26,transition_count_composite,0
27,registered_completion_rate_6,0.0741901776384535
27,registered_completion_rate_12,0.151515151515152
27,mean_bars_to_registered,6.55862068965517
27,transition_count_primitive,145
27,transition_count_repeat,2
27,transition_count_composite,0
28,registered_completion_rate_6,0.077324973876698
28,registered_completion_rate_12,0.158829676071055
28,mean_bars_to_registered,6.60526315789474
28,transition_count_primitive,152
28,transition_count_repeat,1
28,transition_count_composite,0
29,registered_completion_rate_6,0.0794148380355277
29,registered_completion_rate_12,0.152560083594566
29,mean_bars_to_registered,6.46575342465753
29,transition_count_primitive,146
29,transition_count_repeat,0
29,transition_count_composite,0
30,registered_completion_rate_6,0.0679205851619645
30,registered_completion_rate_12,0.149425287356322
30,mean_bars_to_registered,6.74125874125874
30,transition_count_primitive,143
30,transition_count_repeat,0
30,transition_count_composite,0
31,registered_completion_rate_6,0.0668756530825496
31,registered_completion_rate_12,0.155694879832811
31,mean_bars_to_registered,7.06040268456376
31,transition_count_primitive,149
31,transition_count_repeat,1
31,transition_count_composite,0
32,registered_completion_rate_6,0.0762800417972832
32,registered_completion_rate_12,0.172413793103448
32,mean_bars_to_registered,6.84242424242424
32,transition_count_primitive,165
32,transition_count_repeat,2
32,transition_count_composite,0
33,registered_completion_rate_6,0.0700104493207941
33,registered_completion_rate_12,0.153605015673981
33,mean_bars_to_registered,6.50340136054422
33,transition_count_primitive,147
33,transition_count_repeat,0
33,transition_count_composite,0
34,registered_completion_rate_6,0.0846394984326019
34,registered_completion_rate_12,0.168234064785789
34,mean_bars_to_registered,6.50931677018634
34,transition_count_primitive,161
34,transition_count_repeat,1
34,transition_count_composite,0
35,registered_completion_rate_6,0.0721003134796238
35,registered_completion_rate_12,0.149425287356322
35,mean_bars_to_registered,6.56643356643357
35,transition_count_primitive,143
35,transition_count_repeat,2
35,transition_count_composite,0
36,registered_completion_rate_6,0.0741901776384535
36,registered_completion_rate_12,0.148380355276907
36,mean_bars_to_registered,6.52816901408451
36,transition_count_primitive,142
36,transition_count_repeat,1
36,transition_count_composite,0
37,registered_completion_rate_6,0.0804597701149425
37,registered_completion_rate_12,0.154649947753396
37,mean_bars_to_registered,6.27027027027027
37,transition_count_primitive,148
37,transition_count_repeat,0
37,transition_count_composite,0
38,registered_completion_rate_6,0.0658307210031348
38,registered_completion_rate_12,0.16405433646813
38,mean_bars_to_registered,7.12738853503185
38,transition_count_primitive,157
38,transition_count_repeat,1
38,transition_count_composite,0
39,registered_completion_rate_6,0.0929989550679206
39,registered_completion_rate_12,0.171368861024033
39,mean_bars_to_registered,6.1219512195122
39,transition_count_primitive,164
39,transition_count_repeat,2
39,transition_count_composite,0
40,registered_completion_rate_6,0.0762800417972832
40,registered_completion_rate_12,0.158829676071055
40,mean_bars_to_registered,6.70394736842105
40,transition_count_primitive,152
40,transition_count_repeat,2
40,transition_count_composite,0
41,registered_completion_rate_6,0.0856844305120167
41,registered_completion_rate_12,0.150470219435737
41,mean_bars_to_registered,6.06944444444444
41,transition_count_primitive,144
41,transition_count_repeat,3
41,transition_count_composite,0
42,registered_completion_rate_6,0.0794148380355277
42,registered_completion_rate_12,0.148380355276907
42,mean_bars_to_registered,6.34507042253521
42,transition_count_primitive,142
42,transition_count_repeat,1
42,transition_count_composite,0
43,registered_completion_rate_6,0.0721003134796238
43,registered_completion_rate_12,0.158829676071055
43,mean_bars_to_registered,6.78289473684211
43,transition_count_primitive,152
43,transition_count_repeat,0
43,transition_count_composite,0
44,registered_completion_rate_6,0.0731452455590387
44,registered_completion_rate_12,0.152560083594566
44,mean_bars_to_registered,6.55479452054795
44,transition_count_primitive,146
44,transition_count_repeat,1
44,transition_count_composite,0
45,registered_completion_rate_6,0.0804597701149425
45,registered_completion_rate_12,0.156739811912226
45,mean_bars_to_registered,6.74
45,transition_count_primitive,150
45,transition_count_repeat,1
45,transition_count_composite,0
46,registered_completion_rate_6,0.0700104493207941
46,registered_completion_rate_12,0.157784743991641
46,mean_bars_to_registered,6.63576158940397
46,transition_count_primitive,151
46,transition_count_repeat,0
46,transition_count_composite,0
47,registered_completion_rate_6,0.0700104493207941
47,registered_completion_rate_12,0.176593521421108
47,mean_bars_to_registered,7.27218934911243
47,transition_count_primitive,169
47,transition_count_repeat,2
47,transition_count_composite,0
48,registered_completion_rate_6,0.0668756530825496
48,registered_completion_rate_12,0.145245559038662
48,mean_bars_to_registered,6.88489208633094
48,transition_count_primitive,139
48,transition_count_repeat,4
48,transition_count_composite,0
49,registered_completion_rate_6,0.0731452455590387
49,registered_completion_rate_12,0.152560083594566
49,mean_bars_to_registered,6.58904109589041
49,transition_count_primitive,146
49,transition_count_repeat,0
49,transition_count_composite,0
50,registered_completion_rate_6,0.083594566353187
50,registered_completion_rate_12,0.16405433646813
50,mean_bars_to_registered,6.40127388535032
50,transition_count_primitive,157
50,transition_count_repeat,1
50,transition_count_composite,0
