row_type,scope,metric,draw,value,draws,p_value_one_sided,interval_80_lower,interval_80_upper,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,25,-22.2397790893411,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,26,-19.6029449388015,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,27,-23.0243840566558,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,28,-8.861009271941,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,29,-28.4171310755539,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,30,-27.5837997301492,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,31,-14.0123828181327,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,32,-23.1012843553512,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,33,-18.9856534611141,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,34,-15.5728303561022,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,35,-21.371371777337,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,36,-14.6160811009111,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,37,-20.6025369661146,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,38,-19.8246050048628,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,39,-7.20338253260039,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,40,-23.4833040782578,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,41,-18.1484426906682,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,42,-21.1913625663834,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,43,-16.4905257370555,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,44,-22.2575700667139,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,45,-18.4918376005944,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,46,-17.6686628842917,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,47,-19.1099727841291,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,48,-17.8301518195016,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,49,-20.1594923356605,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,cohort_relative_net_return_20bps,50,-22.5072890325504,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,1,7.75355630283302,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,2,16.2147309619563,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,3,21.1769727392919,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,4,-10.5089773392901,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,5,19.6642265514511,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,6,6.93909967524838,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,7,6.6513491535877,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,8,-15.5185218690485,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,9,4.92860060293399,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,10,12.8344582737061,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,11,11.3181957835247,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,12,12.4422749643542,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,13,-3.83765785942826,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,14,4.45444860540502,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,15,7.34256784079361,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,16,-0.719958712548519,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,17,9.23635507642093,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,18,5.59866799670929,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,19,-1.20136338645371,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,20,1.35931771032904,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,21,2.73563570142863,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,22,29.084360821367,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,23,8.89845565476912,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,24,10.5016449590716,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,25,7.95732568248919,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,26,14.7461207227825,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,27,-4.8116103964883,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,28,22.0415209250631,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,29,-0.232075947560522,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,30,-6.15124195786042,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,31,8.40822854403349,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,32,8.23188835724952,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,33,0.362260850200647,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,34,12.2796864397339,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,35,3.72917282958807,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,36,10.5316874516748,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,37,12.9975544014995,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,38,7.36538457607259,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,39,5.48534561814425,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,40,3.22156474060096,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,41,4.83664409915161,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,42,14.2078309716636,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,43,18.9973463975342,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,44,14.5278114503695,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,45,-0.702694468034882,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,46,-2.92196211394276,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,47,10.994015175166,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,48,14.1011704704493,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,49,14.3590334996048,,,,,,,,
draw,FOUR_FROZEN_FAMILIES_POOLED,matched_control_excess,50,8.34120572604826,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,1,-2.42702800023753,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,2,-17.2321222487483,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,3,12.3237011102639,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,4,-32.6399004012038,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,5,14.0925572638536,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,6,-26.2627795225885,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,7,-16.0149371025226,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,8,-28.1033792460028,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,9,-21.3315312510341,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,10,10.6242361876844,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,11,-3.56813754223685,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,12,3.25842933276109,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,13,-48.9731624672967,,,,,,,,
draw,unregistered_primitive_like__5-6-5,primary_net_return_20bps,14,-15.9251789719036,,,,,,,,
