record_type,comparison,draw,statistic,value,interval_level,lower,upper,point_estimate,draws,seed
draw,broad_conflict,12,broad_conflict_completion_rate,0.0417455309979171,,,,0.0451870844089313,15,20260722
draw,broad_conflict,12,broad_conflict_minus_pooled_rate,0.0240364700076303,,,,0.026822305555198,15,20260722
draw,broad_conflict,12,broad_conflict_minus_low_route_support_rate,0.0351995060352001,,,,0.0387298622684408,15,20260722
draw,advance,13,log_loss_improvement,0.000945228132342532,,,,0.00115219615419193,15,20260722
draw,advance,13,brier_improvement,7.28641753495081e-05,,,,9.52697949101015e-05,15,20260722
draw,advance,13,auc_improvement,0.0543854210487661,,,,0.046491150518817,15,20260722
draw,advance,13,average_precision_improvement,0.0138882046090384,,,,0.0138055017414699,15,20260722
draw,advance,13,top_decile_precision_improvement,0.0152982029021421,,,,0.0202479761771207,15,20260722
draw,broad_conflict,13,broad_conflict_completion_rate,0.044020007477668,,,,0.0451870844089313,15,20260722
draw,broad_conflict,13,broad_conflict_minus_pooled_rate,0.0265357211796724,,,,0.026822305555198,15,20260722
draw,broad_conflict,13,broad_conflict_minus_low_route_support_rate,0.0354656001348692,,,,0.0387298622684408,15,20260722
draw,advance,14,log_loss_improvement,0.00120268159767967,,,,0.00115219615419193,15,20260722
draw,advance,14,brier_improvement,0.000106701897484768,,,,9.52697949101015e-05,15,20260722
draw,advance,14,auc_improvement,0.0493989298872449,,,,0.046491150518817,15,20260722
draw,advance,14,average_precision_improvement,0.0149772683817541,,,,0.0138055017414699,15,20260722
draw,advance,14,top_decile_precision_improvement,0.0194681276760295,,,,0.0202479761771207,15,20260722
draw,broad_conflict,14,broad_conflict_completion_rate,0.0485809436048917,,,,0.0451870844089313,15,20260722
draw,broad_conflict,14,broad_conflict_minus_pooled_rate,0.0291265854275346,,,,0.026822305555198,15,20260722
draw,broad_conflict,14,broad_conflict_minus_low_route_support_rate,0.0415065950646445,,,,0.0387298622684408,15,20260722
interval,advance,,auc_improvement,,0.8,0.0387329325805025,0.0574408205980316,0.046491150518817,15,20260722
interval,advance,,auc_improvement,,0.9,0.0365247039974146,0.0587855306066414,0.046491150518817,15,20260722
interval,advance,,auc_improvement,,0.95,0.0358691116259287,0.0599465284445657,0.046491150518817,15,20260722
interval,advance,,average_precision_improvement,,0.8,0.0120807843434219,0.0175521307534056,0.0138055017414699,15,20260722
interval,advance,,average_precision_improvement,,0.9,0.0107896240466452,0.0181423475813737,0.0138055017414699,15,20260722
interval,advance,,average_precision_improvement,,0.95,0.0099496155666813,0.0182813321883458,0.0138055017414699,15,20260722
interval,advance,,brier_improvement,,0.8,6.86616355979157e-05,0.000125768214289704,9.52697949101015e-05,15,20260722
interval,advance,,brier_improvement,,0.9,6.24035994558497e-05,0.000135957486718394,9.52697949101015e-05,15,20260722
interval,advance,,brier_improvement,,0.95,5.83711993191223e-05,0.000144865213275794,9.52697949101015e-05,15,20260722
interval,advance,,log_loss_improvement,,0.8,0.000946558022544722,0.0014358556474018,0.00115219615419193,15,20260722
interval,advance,,log_loss_improvement,,0.9,0.000944555407205781,0.00147596800762574,0.00115219615419193,15,20260722
interval,advance,,log_loss_improvement,,0.95,0.000943770561212905,0.00151471104269336,0.00115219615419193,15,20260722
interval,advance,,top_decile_precision_improvement,,0.8,0.0167246260480274,0.0253455978407299,0.0202479761771207,15,20260722
interval,advance,,top_decile_precision_improvement,,0.9,0.0160395882733855,0.027429272994359,0.0202479761771207,15,20260722
interval,advance,,top_decile_precision_improvement,,0.95,0.0156688955877638,0.0280350946083606,0.0202479761771207,15,20260722
interval,broad_conflict,,broad_conflict_completion_rate,,0.8,0.0401061703431286,0.0490384978316222,0.0451870844089313,15,20260722
interval,broad_conflict,,broad_conflict_completion_rate,,0.9,0.03972583131657,0.0506759601985682,0.0451870844089313,15,20260722
interval,broad_conflict,,broad_conflict_completion_rate,,0.95,0.0393273242225945,0.0522304574503259,0.0451870844089313,15,20260722
interval,broad_conflict,,broad_conflict_minus_low_route_support_rate,,0.8,0.0343405146863584,0.0428276674107116,0.0387298622684408,15,20260722
interval,broad_conflict,,broad_conflict_minus_low_route_support_rate,,0.9,0.0337132492466422,0.0452297085360451,0.0387298622684408,15,20260722
interval,broad_conflict,,broad_conflict_minus_low_route_support_rate,,0.95,0.0331171027189127,0.0472366323289839,0.0387298622684408,15,20260722
interval,broad_conflict,,broad_conflict_minus_pooled_rate,,0.8,0.0230197015528221,0.0302552290528031,0.026822305555198,15,20260722
interval,broad_conflict,,broad_conflict_minus_pooled_rate,,0.9,0.0226501394350297,0.0318512547729106,0.026822305555198,15,20260722
interval,broad_conflict,,broad_conflict_minus_pooled_rate,,0.95,0.0223059264073572,0.0330165638940276,0.026822305555198,15,20260722
