subgroup_dimension,subgroup_value,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,rows,positive_outcomes,model,unique_stock_sessions,sessions,stocks,top_decile_probability_boundary,top_decile_precision,top_decile_lift,top_decile_rows,top_quintile_probability_boundary,top_quintile_precision,top_quintile_lift,top_quintile_rows
recent_registered_completion_group,recent_registered_completion_within_6,0.0887036660967548,0.0126789454844531,0.706035786967395,0.0352649126751319,0.0490819707587104,4.7343436795759,3.44140573046244,0.0104143595859209,0.931527677171588,803,8,A0,402,144,20,0.0839237492254204,0.0244096781681334,2.34384821906213,30,0.0764193507417965,0.0357349895753462,3.43131896690565,84
recent_registered_completion_group,recent_registered_completion_within_6,0.0880782280631812,0.0127627768183889,0.70375004700893,0.0324227305201241,0.0488991223105757,1.38517646794362,2.20804508337076,0.0104143595859209,0.931817274263222,803,8,A1,402,144,20,0.0902583421816768,0.0310378951241508,2.98029800758085,57,0.0792588938970522,0.0281191226562185,2.70003377780736,143
route_resolution_state,BROAD_CONFLICT,0.187595915655867,0.043565570799195,0.648011947079215,0.0734089529389721,0.0289087757268661,3.77880002683065,2.73717839177451,0.0451870844089313,0.888008302383621,6261,221,A0,1811,159,20,0.0839237492254204,0.0776865512809452,1.71922026608095,1400,0.0764193507417965,0.0658365128853524,1.45697634061868,2527
route_resolution_state,BROAD_CONFLICT,0.195043239445875,0.0446358426715272,0.641812089823596,0.0714699388107849,0.0434613689570797,2.9840571819362,2.61964224131225,0.0451870844089313,0.874801322256652,6261,221,A1,1811,159,20,0.0902583421816768,0.068872593878005,1.52416547291978,2664,0.0792588938970522,0.0546628525944409,1.20970080963304,4515
route_resolution_state,LOW_ROUTE_SUPPORT,0.0849424051703067,0.0100557852119608,0.582095915220325,0.0102776839126448,0.0593093754321674,-1.03839726150431,1.51496307607716,0.00645722214049052,0.928682866223647,10496,40,A0,2409,160,20,0.0839237492254204,0.0126900819611633,1.96525404966156,1017,0.0764193507417965,0.0103627564378136,1.6048319559634,2104
route_resolution_state,LOW_ROUTE_SUPPORT,0.0724015947319228,0.00859230861396007,0.595849092574637,0.0130570962132579,0.046151216678502,0.61236984099973,1.96716391835123,0.00645722214049052,0.941660459152527,10496,40,A1,2409,160,20,0.0902583421816768,0,0,5,0.0792588938970522,0.0117580207490417,1.82091005903484,94
route_resolution_state,NARROWING,0.0940689222591256,0.0136440656339665,0.583356819444986,0.023906131347935,0.0516884934681489,-0.255746012800577,1.57766269980743,0.0110225216378167,0.927748208500198,743,7,A0,585,141,20,0.0839237492254204,0.0219519443467136,1.99155375403389,47,0.0764193507417965,0.0147286892561878,1.33623591226673,105
route_resolution_state,NARROWING,0.095738384897035,0.0138268550048049,0.540206104906137,0.0286812395708406,0.0533594787674993,-1.0658682989172,1.28596483395212,0.0110225216378167,0.926096423836361,743,7,A1,585,141,20,0.0902583421816768,0.0406559810272089,3.68844647015471,27,0.0792588938970522,0.010973471082825,0.995549969725318,82
route_resolution_state,OTHER,0.106142225463032,0.0177741703082637,0.723626265549776,0.0380076651510463,0.0471186374890314,5.78728497165709,3.75219494335122,0.0159664346904962,0.923268085319515,17077,183,A0,2830,160,20,0.0839237492254204,0.0389087642345796,2.43690999204346,1009,0.0764193507417965,0.0418579038057186,2.62161870305547,2263
route_resolution_state,OTHER,0.108245985888314,0.0180262622642589,0.740083480757501,0.0438730481228831,0.0501585682224636,5.77916793744247,3.83323748088316,0.0159664346904962,0.920393851538832,17077,183,A1,2830,160,20,0.0902583421816768,0.0641312058442324,4.0166265723935,850,0.0792588938970522,0.0448350874167504,2.80808385127068,2605
