period,session,symbol,eligible_advance_rows,eligible_stocks_in_session,total_weight,expected_total_weight,absolute_weight_difference,record_type,minimum_stock_session_weight,maximum_stock_session_weight
assessment,2025-01-03,HIMS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,IONQ,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,IREN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,MARA,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,MP,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,MRNA,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,MSTR,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,NVTS,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,RIOT,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,RIVN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-03,SMCI,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,SOFI,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-03,WULF,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,AAL,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-06,AAOI,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,APLD,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,ASTS,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,CIFR,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-06,HIMS,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,IONQ,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,IREN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,MARA,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-06,MP,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,MRNA,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-06,MSTR,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-06,NVTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,RIOT,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-06,RIVN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,SMCI,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,SOFI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-06,WULF,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-07,AAL,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,AAOI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,APLD,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,ASTS,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,CIFR,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-07,HIMS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,IONQ,2,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,IREN,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-07,MARA,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-07,MP,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,MRNA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,MSTR,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,NVTS,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,RGTI,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,RIOT,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,RIVN,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,SMCI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,SOFI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-07,WULF,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,AAL,3,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,AAOI,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,APLD,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,ASTS,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,CIFR,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,HIMS,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,IONQ,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,IREN,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,MARA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,MP,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,MRNA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,MSTR,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,NVTS,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,RIOT,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,RIVN,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,SMCI,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-08,SOFI,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-08,WULF,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,AAL,1,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,AAOI,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,APLD,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,ASTS,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,CIFR,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,HIMS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,IONQ,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,IREN,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,MARA,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,MP,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,MRNA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,MSTR,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,NVTS,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,RIOT,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,RIVN,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,SMCI,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-10,SOFI,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-10,WULF,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,AAL,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,AAOI,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,APLD,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,ASTS,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,CIFR,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,HIMS,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,IONQ,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,IREN,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,MARA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,MP,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,MRNA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,MSTR,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,NVTS,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,RIOT,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-13,RIVN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,SMCI,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,SOFI,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-13,WULF,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,AAL,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,AAOI,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,APLD,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,ASTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,CIFR,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-14,HIMS,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,IONQ,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,IREN,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,MARA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,MP,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,MRNA,2,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,MSTR,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,NVTS,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,RIOT,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,RIVN,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,SMCI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,SOFI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-14,WULF,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-15,AAL,10,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,AAOI,13,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,APLD,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,ASTS,14,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,CIFR,11,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,HIMS,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,IONQ,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,IREN,9,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,MARA,12,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,MP,9,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,MRNA,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,NVTS,10,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,QBTS,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,RGTI,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,RIOT,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,RIVN,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,SMCI,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
assessment,2025-01-15,SOFI,13,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-15,WULF,10,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-16,AAL,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,AAOI,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,APLD,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,ASTS,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,CIFR,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,HIMS,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,IONQ,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,IREN,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,MARA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,MP,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,MRNA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,MSTR,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,NVTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,RIOT,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,RIVN,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,SMCI,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-16,SOFI,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-16,WULF,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,AAL,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,AAOI,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,APLD,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,ASTS,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-17,CIFR,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,HIMS,1,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,IONQ,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-17,IREN,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-17,MARA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,MP,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,MRNA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,MSTR,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,NVTS,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,RIOT,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,RIVN,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-17,SMCI,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,SOFI,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-17,WULF,2,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,AAL,3,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,AAOI,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-21,APLD,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,ASTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,CIFR,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-21,HIMS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,IONQ,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,IREN,1,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,MARA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,MP,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,MRNA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,MSTR,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,NVTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,RIOT,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,RIVN,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-21,SMCI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,SOFI,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-21,WULF,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,AAL,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,AAOI,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-22,APLD,1,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,ASTS,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,CIFR,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,HIMS,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,IONQ,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,IREN,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,MARA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,MP,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,MRNA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,MSTR,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,NVTS,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,RIOT,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,RIVN,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,SMCI,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-22,SOFI,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-22,WULF,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,AAL,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,AAOI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,APLD,3,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,ASTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,CIFR,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,HIMS,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-23,IONQ,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,IREN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,MARA,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,MP,14,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-23,MRNA,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,MSTR,2,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,NVTS,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,RIOT,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,RIVN,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,SMCI,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,SOFI,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-23,WULF,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-24,AAL,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-24,AAOI,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,APLD,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,ASTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,CIFR,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,HIMS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,IONQ,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-24,IREN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,MARA,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,MP,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,MRNA,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,MSTR,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-24,NVTS,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,RIOT,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-24,RIVN,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,SMCI,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-24,SOFI,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-24,WULF,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-27,AAL,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,AAOI,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,APLD,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,ASTS,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,CIFR,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,HIMS,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,IONQ,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-27,IREN,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,MARA,9,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,MP,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,MRNA,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,MSTR,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,NVTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,QBTS,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,RGTI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,RIOT,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,RIVN,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,SMCI,10,20,0.05,0.05,0,stock_session,,
assessment,2025-01-27,SOFI,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-27,WULF,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-28,AAL,8,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,AAOI,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,APLD,1,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,ASTS,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,CIFR,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-28,HIMS,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,IONQ,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,IREN,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,MARA,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,MP,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-28,MRNA,4,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,MSTR,7,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-28,NVTS,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,QBTS,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,RGTI,5,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,RIOT,11,20,0.05,0.05,6.93889390390723e-18,stock_session,,
assessment,2025-01-28,RIVN,13,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,SMCI,15,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,SOFI,12,20,0.05,0.05,0,stock_session,,
assessment,2025-01-28,WULF,6,20,0.05,0.05,0,stock_session,,
assessment,2025-01-29,AAL,1,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-29,AAOI,11,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-29,APLD,9,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-29,ASTS,6,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-29,CIFR,4,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-29,HIMS,12,19,0.0526315789473684,0.0526315789473684,0,stock_session,,
assessment,2025-01-29,IONQ,15,19,0.0526315789473684,0.0526315789473684,6.93889390390723e-18,stock_session,,
