policy_type,model,deleted_symbol,base_rows,selected_rows,selected_mean_net_bps,selector_mean_net_per_opportunity_bps
conservative_uncertainty_aware,context_plus_loop_mixture,RGTI,1590,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,RIOT,1554,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,RIVN,1558,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,SMCI,1569,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,SOFI,1549,0,,0.0
conservative_uncertainty_aware,context_plus_loop_mixture,WULF,1559,0,,0.0
conservative_uncertainty_aware,prediction_only,AAL,1547,0,,0.0
conservative_uncertainty_aware,prediction_only,AAOI,1567,0,,0.0
conservative_uncertainty_aware,prediction_only,APLD,1568,0,,0.0
conservative_uncertainty_aware,prediction_only,ASTS,1553,0,,0.0
conservative_uncertainty_aware,prediction_only,CIFR,1568,0,,0.0
conservative_uncertainty_aware,prediction_only,HIMS,1570,0,,0.0
conservative_uncertainty_aware,prediction_only,IONQ,1582,0,,0.0
conservative_uncertainty_aware,prediction_only,IREN,1570,0,,0.0
conservative_uncertainty_aware,prediction_only,MARA,1553,0,,0.0
conservative_uncertainty_aware,prediction_only,MP,1533,0,,0.0
conservative_uncertainty_aware,prediction_only,MRNA,1547,0,,0.0
conservative_uncertainty_aware,prediction_only,MSTR,1545,0,,0.0
conservative_uncertainty_aware,prediction_only,NVTS,1573,0,,0.0
conservative_uncertainty_aware,prediction_only,QBTS,1600,0,,0.0
conservative_uncertainty_aware,prediction_only,RGTI,1590,0,,0.0
conservative_uncertainty_aware,prediction_only,RIOT,1554,0,,0.0
conservative_uncertainty_aware,prediction_only,RIVN,1558,0,,0.0
conservative_uncertainty_aware,prediction_only,SMCI,1569,0,,0.0
conservative_uncertainty_aware,prediction_only,SOFI,1549,0,,0.0
conservative_uncertainty_aware,prediction_only,WULF,1559,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,AAL,1547,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,AAOI,1567,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,APLD,1568,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,ASTS,1553,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,CIFR,1568,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,HIMS,1570,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,IONQ,1582,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,IREN,1570,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,MARA,1553,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,MP,1533,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,MRNA,1547,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,MSTR,1545,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,NVTS,1573,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,QBTS,1600,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,RGTI,1590,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,RIOT,1554,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,RIVN,1558,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,SMCI,1569,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,SOFI,1549,0,,0.0
conservative_uncertainty_aware,sequential_confirmation,WULF,1559,0,,0.0
