period,group_type,group_value,episode_count,unique_shock_event_count,session_count,stock_count,material_up_count,material_up_rate,material_down_count,material_down_rate,no_material_move_count,no_material_move_rate,mean_signed_15m_return,median_signed_15m_return,mean_absolute_15m_movement,median_absolute_15m_movement,mean_iv_residual,median_iv_residual,exceed_iv_rate,mean_post_entry_remaining_range_share,tail_phase_composition_json,checkpoint_distribution_json,time_of_day_distribution_json,stock_distribution_json,session_distribution_json,shock_event_distribution_json,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share
assessment,shock_sign_x_response_class,NEGATIVE_SHOCK_ONSET|AMPLIFYING,1,1,1,1,0,0.0,0,0.0,1,1.0,-0.006841466881649569,-0.006841466881649569,0.006841466881649569,0.006841466881649569,-0.0005006609094672116,-0.0005006609094672116,0.0,0.4647800365315603,"{""RE_ENTRY"":{""count"":1,""rate"":1.0}}","{""22"":{""count"":1,""rate"":1.0}}","{""16:20:00+0000"":{""count"":1,""rate"":1.0}}","{""RIVN"":{""count"":1,""rate"":1.0}}","{""2025-01-07"":{""count"":1,""rate"":1.0}}","{""market-shock-v1-fc8a67cf44f242d0d6eff366"":{""count"":1,""rate"":1.0}}",1.0,1.0,1.0,1.0
assessment,shock_sign_x_response_class,NEGATIVE_SHOCK_ONSET|RESISTING,2,2,2,2,0,0.0,0,0.0,2,1.0,-0.001957882315141551,-0.001957882315141551,0.0073017531752226,0.0073017531752226,-0.0035458377235210925,-0.0035458377235210925,0.0,0.324606143458236,"{""RE_ENTRY"":{""count"":2,""rate"":1.0}}","{""14"":{""count"":1,""rate"":0.5},""20"":{""count"":1,""rate"":0.5}}","{""14:40:00+0000"":{""count"":1,""rate"":0.5},""16:10:00+0000"":{""count"":1,""rate"":0.5}}","{""CIFR"":{""count"":1,""rate"":0.5},""IONQ"":{""count"":1,""rate"":0.5}}","{""2025-01-02"":{""count"":1,""rate"":0.5},""2025-05-12"":{""count"":1,""rate"":0.5}}","{""market-shock-v1-8210618121317d2922634b07"":{""count"":1,""rate"":0.5},""market-shock-v1-b3c675a93bccd5bf41bc7c1b"":{""count"":1,""rate"":0.5}}",0.5,0.5,0.5,0.5
assessment,shock_sign_x_response_class,NEGATIVE_SHOCK_ONSET|NEUTRAL_EXACT,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,shock_sign_x_response_class,NEGATIVE_SHOCK_ONSET|NOT_SHOCK_ONSET,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,shock_sign_x_response_class,NEGATIVE_SHOCK_ONSET|UNKNOWN_INCOMPLETE,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,shock_sign_x_response_class,POSITIVE_SHOCK_ONSET|AMPLIFYING,6,6,6,4,2,0.3333333333333333,2,0.3333333333333333,2,0.3333333333333333,-0.0014962753330041267,0.0016868118484891972,0.017973852301660882,0.010033021427438095,0.008823751622462829,0.0011201504484117221,0.6666666666666666,0.3759218976891517,"{""FIRST_ENTRY"":{""count"":1,""rate"":0.16666666666666666},""RE_ENTRY"":{""count"":5,""rate"":0.8333333333333334}}","{""14"":{""count"":1,""rate"":0.16666666666666666},""20"":{""count"":2,""rate"":0.3333333333333333},""24"":{""count"":1,""rate"":0.16666666666666666},""30"":{""count"":1,""rate"":0.16666666666666666},""8"":{""count"":1,""rate"":0.16666666666666666}}","{""14:10:00+0000"":{""count"":1,""rate"":0.16666666666666666},""14:40:00+0000"":{""count"":1,""rate"":0.16666666666666666},""15:10:00+0000"":{""count"":2,""rate"":0.3333333333333333},""15:30:00+0000"":{""count"":1,""rate"":0.16666666666666666},""17:00:00+0000"":{""count"":1,""rate"":0.16666666666666666}}","{""MARA"":{""count"":2,""rate"":0.3333333333333333},""MRNA"":{""count"":1,""rate"":0.16666666666666666},""QBTS"":{""count"":1,""rate"":0.16666666666666666},""RGTI"":{""count"":2,""rate"":0.3333333333333333}}","{""2025-03-05"":{""count"":1,""rate"":0.16666666666666666},""2025-04-04"":{""count"":1,""rate"":0.16666666666666666},""2025-04-11"":{""count"":1,""rate"":0.16666666666666666},""2025-04-25"":{""count"":1,""rate"":0.16666666666666666},""2025-05-14"":{""count"":1,""rate"":0.16666666666666666},""2025-05-21"":{""count"":1,""rate"":0.16666666666666666}}","{""market-shock-v1-08442c4d2099371281d0af32"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-188da2aef2ba4991464caa81"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-6b0d7ac8a9fe5d54328070c2"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-74d2429f8aad0c31cbadc160"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-7e8cf0c1e40ccd5938041fd5"":{""count"":1,""rate"":0.16666666666666666},""market-shock-v1-da5fd2bda08d5e277e5bfdab"":{""count"":1,""rate"":0.16666666666666666}}",0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333
assessment,shock_sign_x_response_class,POSITIVE_SHOCK_ONSET|RESISTING,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,shock_sign_x_response_class,POSITIVE_SHOCK_ONSET|NEUTRAL_EXACT,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,shock_sign_x_response_class,POSITIVE_SHOCK_ONSET|NOT_SHOCK_ONSET,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
assessment,shock_sign_x_response_class,POSITIVE_SHOCK_ONSET|UNKNOWN_INCOMPLETE,0,0,0,0,0,,0,,0,,,,,,,,,,{},{},{},{},{},{},,,,
