partition,session,checkpoint,market_proxy_v1,market_shock_state_v1,market_shock_event_id_v1,shock_sign_v1,market_return_w0_v1,market_range_w0_v1,market_return_w1_v1,market_range_w1_v1,fresh_high_m1c_episode_count,represented_stock_count,amplifying_episode_count,resisting_episode_count,neutral_exact_episode_count
development,2024-02-13,12,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-35fb9bdb4a8f70d5735c41e5,1.0,0.0029760555504325177,0.003813322658139313,-0.0007754433815378047,0.001040720032239487,0,0,0,0,0
development,2024-02-13,30,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-6b662b70606252f3be38723f,-1.0,-0.0014018592538225598,0.0019099137714890266,0.0005076915519671732,0.0013001058193516288,0,0,0,0,0
development,2024-02-14,12,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-95034606093191b0cade9301,1.0,0.0018626787163763363,0.002793362554743222,-8.107724817073832e-05,0.0011548654465419821,0,0,0,0,0
development,2024-02-14,20,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-2d33e81c4452ec682aaf749a,-1.0,-0.00137611426475876,0.0025588649293205447,-0.001787347038975253,0.002023027313217166,0,0,0,0,0
development,2024-02-14,24,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-d210d42dbe7ffce28ae03a68,1.0,0.0015019386178023472,0.001989282656783721,-0.0005279317862728376,0.0019932133441183096,0,0,0,0,0
development,2024-02-14,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-fd602041bc495c0db9cdacc0,-1.0,-0.002111403447769356,0.0030489687623760477,-0.00032536830660518393,0.0017046761377578963,0,0,0,0,0
development,2024-02-14,34,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-de060ac94fd9f72ebd8d62cb,1.0,0.0017073703369341936,0.0024805372244107783,-0.0021540476923259436,0.0028564777939669855,0,0,0,0,0
development,2024-02-15,20,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-40c182fe3ac2093e7cc1447c,-1.0,-0.00193248984372502,0.002415581521680292,-8.039334029652056e-05,0.0008045579532465205,0,0,0,0,0
development,2024-02-20,30,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-31354ea8d3677e19457a3d62,-1.0,-0.0014599175101635995,0.0017437219249376334,-0.0008911252857605821,0.0015396664596990428,0,0,0,0,0
development,2024-02-20,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-aa190a9759c3054228ef29a6,-1.0,-0.0020323581000502525,0.0022323175221077404,-0.00028049976438843273,0.0006890181704469397,0,0,0,0,0
development,2024-02-21,22,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-a3aa09da050bdf9b90e11e92,1.0,0.0015023045022201681,0.0020300453334214834,-0.000121886107826529,0.0006639236144477433,0,0,0,0,0
development,2024-02-21,32,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-f10c9160de460be8948e4ed9,-1.0,-0.0014159067223326932,0.0020312824949834155,0.0004950525598333266,0.0009686245723721093,0,0,0,0,0
development,2024-02-22,16,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-4dc5ed976a0d44631e8dc861,-1.0,-0.0021187228915484505,0.002287020997071555,0.0015562963730759954,0.0017160255872466785,0,0,0,0,0
development,2024-02-22,22,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-42ce8057c6fd10964c4c728c,1.0,0.0015962094498166498,0.002013783613614906,0.0005624265184724586,0.0007081167679767784,0,0,0,0,0
development,2024-02-23,20,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-19f9c109f388f0313006c846,-1.0,-0.0022015459700871374,0.0028464154709602826,-0.0011880367473636475,0.0017027069433037413,0,0,0,0,0
development,2024-02-23,24,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-c51bcb79abc55af4373ee524,1.0,0.0015684296569670416,0.0019486816689984138,-0.002599436014399905,0.003254777793886978,0,0,0,0,0
development,2024-02-29,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-bc245252c2fba12be95f60b1,-1.0,-0.002910113418088387,0.0040799367120873,0.0005734020363488261,0.0008305104073210944,0,0,0,0,0
development,2024-02-29,26,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-44e6ac4906707c742b4edd56,-1.0,-0.0037326930303073535,0.003811702271590304,9.91329345241859e-05,0.0005949150107730412,0,0,0,0,0
development,2024-02-29,30,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-cf58f346f1f3d6c23327a1ab,1.0,0.0013907021465562313,0.002065837279287897,-0.002343254216632125,0.0037362498845193914,0,0,0,0,0
development,2024-03-01,8,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-e3e9978c0d8c2cb8485c58cb,1.0,0.002120693983230749,0.003221388232185796,-0.00061302591840215,0.00096474785793197,0,0,0,0,0
development,2024-03-01,10,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-e06243273ad105c464168453,1.0,0.0024492190629800663,0.002763698301012707,-3.953171064366521e-05,0.003221388232185796,0,0,0,0,0
development,2024-03-05,10,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-6c1b92dcf81be0c2c9f566af,-1.0,-0.004023151096144799,0.004107466337148364,0.0021163823099040126,0.0027608007104635225,0,0,0,0,0
development,2024-03-05,12,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-b83817ed6690e0067e9f84cb,-1.0,-0.0015337984705618213,0.002552255686313635,-0.0010601867375058596,0.003738549830687914,0,0,0,0,0
development,2024-03-05,28,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-458b697277ec01b164acff1a,-1.0,-0.001504052156128536,0.0023944479860257173,0.00039413411252476943,0.0014632910680780857,0,0,0,0,0
development,2024-03-05,32,VTI,POSITIVE_SHOCK_ONSET,market-shock-v1-49ee3f51b507b8f85f9a4196,1.0,0.0016746306445769414,0.0018237694337777683,-0.0012689033346631436,0.0017016987659454253,0,0,0,0,0
development,2024-03-06,8,VTI,NEGATIVE_SHOCK_ONSET,market-shock-v1-66988ff789fa2b814c5894ad,-1.0,-0.002441267994685814,0.00351334380134737,0.00011244485505091668,0.001065125637177102,0,0,0,0,0
