period,arm,policy,evaluation_scope,eligible_episode_count,acted_episode_count,abstention_count,unique_shock_event_count,session_count,stock_count,call_count,put_count,material_up_count,material_down_count,no_material_move_count,material_direction_accuracy,accuracy_counting_no_move_as_failure,material_following_prediction_rate,material_opposing_prediction_rate,material_following_minus_opposing_rate,mean_aligned_return,median_aligned_return,positive_session_rate,positive_month_rate,maximum_stock_share,maximum_session_share,maximum_shock_event_share,maximum_checkpoint_share,checkpoint,support_status,support_checks_json
assessment,continuation,continuation_v1,checkpoint_16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,16,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,16,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,18,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,18,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_20,2,2,0,2,2,1,2,0,1,0,1,1.0,0.5,1.0,0.0,1.0,0.020210611666489575,0.020210611666489575,1.0,1.0,1.0,0.5,0.5,1.0,20,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_20,1,1,0,1,1,1,1,0,0,0,1,,0.0,,,,0.005343870860081049,0.005343870860081049,1.0,1.0,1.0,1.0,1.0,1.0,20,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_22,1,1,0,1,1,1,0,1,0,0,1,,0.0,,,,0.006841466881649569,0.006841466881649569,1.0,1.0,1.0,1.0,1.0,1.0,22,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,22,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_24,1,1,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,1.0,-1.0,-0.011054535281885072,-0.011054535281885072,0.0,0.0,1.0,1.0,1.0,1.0,24,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_24,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,24,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,26,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,26,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_28,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,28,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_28,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,28,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_30,1,1,0,1,1,1,1,0,1,0,0,1.0,1.0,1.0,0.0,1.0,0.009011507572991117,0.009011507572991117,1.0,1.0,1.0,1.0,1.0,1.0,30,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_30,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,30,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_32,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,32,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_32,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,32,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,continuation,continuation_v1,checkpoint_34,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,34,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
assessment,resistance,resistance_v1,checkpoint_34,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,34,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,6,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,6,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_8,1,1,0,1,1,1,1,0,0,0,1,,0.0,,,,0.006514633795690698,0.006514633795690698,1.0,1.0,1.0,1.0,1.0,1.0,8,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,8,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_10,1,1,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,1.0,-1.0,-0.021843027922452348,-0.021843027922452348,0.0,0.0,1.0,1.0,1.0,1.0,10,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,10,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,12,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,12,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_14,14,14,0,10,10,8,5,9,2,3,9,0.6,0.21428571428571427,0.6,0.4,0.2,0.0002923830253888618,0.002423082068995987,0.8,0.75,0.2857142857142857,0.21428571428571427,0.21428571428571427,1.0,14,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":true,""minimum_negative_actions"":true,""minimum_positive_actions"":false,""minimum_sessions"":true,""minimum_stock_episodes"":false,""minimum_stocks"":true}"
stress,resistance,resistance_v1,checkpoint_14,1,1,0,1,1,1,1,0,0,1,0,0.0,0.0,0.0,1.0,-1.0,-0.029542681309103216,-0.029542681309103216,0.0,0.0,1.0,1.0,1.0,1.0,14,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_16,2,2,0,2,2,2,0,2,0,0,2,,0.0,,,,0.0003754321756771007,0.0003754321756771007,0.5,1.0,0.5,0.5,0.5,1.0,16,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,16,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_18,1,1,0,1,1,1,0,1,0,0,1,,0.0,,,,-0.006535970979785449,-0.006535970979785449,0.0,0.0,1.0,1.0,1.0,1.0,18,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,18,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_20,4,4,0,2,2,4,0,4,3,1,0,0.25,0.25,0.25,0.75,-0.5,-0.006725275852741894,-0.015580062196297168,0.5,0.0,0.25,0.75,0.75,1.0,20,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":true,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_20,2,2,0,1,1,2,2,0,1,0,1,1.0,0.5,1.0,0.0,1.0,0.008785202780316208,0.008785202780316208,1.0,1.0,0.5,1.0,1.0,1.0,20,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,22,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_22,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,22,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_24,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,24,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_24,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,24,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,26,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,26,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_28,1,1,0,1,1,1,0,1,0,0,1,,0.0,,,,-0.009962962191173453,-0.009962962191173453,0.0,0.0,1.0,1.0,1.0,1.0,28,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_28,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,28,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_30,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,30,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,resistance,resistance_v1,checkpoint_30,1,1,0,1,1,1,1,0,0,0,1,,0.0,,,,0.00026711177264199227,0.00026711177264199227,1.0,1.0,1.0,1.0,1.0,1.0,30,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
stress,continuation,continuation_v1,checkpoint_32,1,1,0,1,1,1,1,0,0,0,1,,0.0,,,,-0.0039433624750645204,-0.0039433624750645204,0.0,0.0,1.0,1.0,1.0,1.0,32,blocked_insufficient_support,"{""maximum_single_checkpoint_share"":false,""maximum_single_session_share"":false,""maximum_single_shock_event_share"":false,""maximum_single_stock_share"":false,""minimum_market_shock_events"":false,""minimum_negative_actions"":false,""minimum_positive_actions"":false,""minimum_sessions"":false,""minimum_stock_episodes"":false,""minimum_stocks"":false}"
