period,horizon,selector,score_sessions,accepted_signals,filled_trades,active_signal_fraction,individualized_decision_fraction,mean_net_trade_bps,median_net_trade_bps,win_rate,profit_factor,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,12,loop_current_regime,190,2483,2351,0.3804197946989428,0.971349777845871,-9.197680865926277,-18.61698406602107,0.4564015312632922,0.9082090948152247,-0.10498960297715954,-0.1368051861267452,0.11955135801481499,-1.1711624932983105,-0.17300307760251554,-0.0005556113751183717
2025,12,loop_previous_regime,190,2397,2271,0.3672437567029263,0.903937490424391,-2.1918258755265767,-12.356902356901447,0.47512109202994274,0.9772372861330808,-0.028095814140375985,-0.037092011480444276,0.11193939747144831,-0.2823675929837797,-0.12115027435937498,-0.00012542880247645813
2025,12,loop_regime_path,190,2529,2392,0.3874674429293703,0.8958173739849854,-4.899795927704447,-14.208754277078564,0.4698996655518395,0.9494892715354404,-0.06080236535415051,-0.0798319156366698,0.11589279871299828,-0.6605142604368426,-0.1313300746742876,-0.00030376526282488854
2025,12,loop_direction,190,2764,2606,0.42347173280220624,0.9472958480159338,-3.868767768681844,-13.12633027622966,0.4716039907904835,0.9598232903717184,-0.051795535506904966,-0.06810978341978391,0.1155484818393932,-0.5534127796433584,-0.15402927375694098,-0.00025375399412027265
2025,12,loop_volatility,190,2345,2219,0.35927685000766046,0.9641489198713038,-5.404075361018645,-14.934539554843909,0.46597566471383506,0.9454342257932635,-0.0621117049776545,-0.08153294025834446,0.11679318395042151,-0.6704614095830145,-0.15240675657395775,-0.0003107354077027298
2025,12,loop_range,190,2266,2144,0.34717328022062205,0.9707369388693121,-1.373796551421397,-12.170119537572845,0.47388059701492535,0.9858994875429616,-0.018192942819268865,-0.02405766806124443,0.1138523592884232,-0.15777659064318983,-0.1362514934367155,-7.128268684607506e-05
2025,12,loop_session,190,2636,2484,0.40386088555232114,0.9644553393595833,1.9989545268504403,-10.0,0.48027375201288247,1.0209528141590187,0.02079542986775107,0.02767445541072,0.11582603487174342,0.29276411954866605,-0.11335536419042658,0.0001345623298414248
2025,12,loop_volume,190,2527,2394,0.3871610234410909,0.9506664623870078,-0.10315960150702733,-13.387902991415226,0.47076023391812866,0.9989263354615265,-0.005180199563516563,-0.00686476675493064,0.1163601502268814,-0.0017915817305192625,-0.11366529611995924,-8.272568226466568e-07
2025,12,loop_joint_all,190,2786,2637,0.42684234717328023,0.610694040140953,0.861719483308399,-11.752277505255861,0.47554038680318544,1.0090001780329168,0.007097102980843095,0.009423882190871202,0.1137233541767857,0.13866504854985218,-0.11161960494606582,6.25772001118096e-05
2025,24,unfiltered,190,5262,5067,1.0,0.0,-2.3030188722635607,-6.713329275714877,0.48865206236431813,0.9803217082719847,-0.0801007396383967,-0.1048245832086726,0.21962078338568652,-0.39483833947388686,-0.2539796416992236,-0.00034410597391253437
