archetype,diagnostic,excluded_stock,value
R1,leave_one_stock_out_median_return,AAOI,-0.00031530823627516245
R1,leave_one_stock_out_accuracy,APLD,0.5151515151515151
R1,leave_one_stock_out_mean_return,APLD,-8.207840199463804e-05
R1,leave_one_stock_out_median_return,APLD,0.00042918405169586286
R1,leave_one_stock_out_accuracy,ASTS,0.53125
R1,leave_one_stock_out_mean_return,ASTS,-0.0001282609465715806
R1,leave_one_stock_out_median_return,ASTS,0.0008563455389022192
R1,leave_one_stock_out_accuracy,CIFR,0.5217391304347826
R1,leave_one_stock_out_mean_return,CIFR,3.677955610958371e-05
R1,leave_one_stock_out_median_return,CIFR,0.0005717062500220685
R1,leave_one_stock_out_accuracy,HIMS,0.5098039215686274
R1,leave_one_stock_out_mean_return,HIMS,-0.00014472528247138684
R1,leave_one_stock_out_median_return,HIMS,0.0002866618533696571
R1,leave_one_stock_out_accuracy,IONQ,0.5333333333333333
R1,leave_one_stock_out_mean_return,IONQ,0.0005902985726959846
R1,leave_one_stock_out_median_return,IONQ,0.0010007005338037805
R1,leave_one_stock_out_accuracy,IREN,0.4895833333333333
R1,leave_one_stock_out_mean_return,IREN,-0.0008219263301875935
R1,leave_one_stock_out_median_return,IREN,-0.00031530823627516245
R1,leave_one_stock_out_accuracy,MARA,0.5053763440860215
R1,leave_one_stock_out_mean_return,MARA,-0.0001524748284994999
R1,leave_one_stock_out_median_return,MARA,0.00014333092668482856
R1,leave_one_stock_out_accuracy,MP,0.5098039215686274
R1,leave_one_stock_out_mean_return,MP,-0.00014472528247138684
R1,leave_one_stock_out_median_return,MP,0.0002866618533696571
R1,leave_one_stock_out_accuracy,MRNA,0.5154639175257731
R1,leave_one_stock_out_mean_return,MRNA,-3.549612488044004e-05
R1,leave_one_stock_out_median_return,MRNA,0.00042918405169586286
R1,leave_one_stock_out_accuracy,MSTR,0.504950495049505
R1,leave_one_stock_out_mean_return,MSTR,-0.00019343350385540414
R1,leave_one_stock_out_median_return,MSTR,0.00014333092668482856
R1,leave_one_stock_out_accuracy,NVTS,0.4948453608247423
R1,leave_one_stock_out_mean_return,NVTS,-0.0004374459293325211
R1,leave_one_stock_out_median_return,NVTS,-0.00031530823627516245
R1,leave_one_stock_out_accuracy,QBTS,0.5204081632653061
R1,leave_one_stock_out_mean_return,QBTS,5.319040250124539e-05
R1,leave_one_stock_out_median_return,QBTS,0.0005717062500220685
R1,leave_one_stock_out_accuracy,RGTI,0.5050505050505051
R1,leave_one_stock_out_mean_return,RGTI,-0.0003688658687430815
R1,leave_one_stock_out_median_return,RGTI,0.00014333092668482856
R1,leave_one_stock_out_accuracy,RIOT,0.5
R1,leave_one_stock_out_mean_return,RIOT,-0.0003487752376964375
R1,leave_one_stock_out_median_return,RIOT,0.0
R1,leave_one_stock_out_accuracy,RIVN,0.5154639175257731
R1,leave_one_stock_out_mean_return,RIVN,1.760623834384609e-05
R1,leave_one_stock_out_median_return,RIVN,0.00042918405169586286
R1,leave_one_stock_out_accuracy,SMCI,0.52
R1,leave_one_stock_out_mean_return,SMCI,3.882351168578359e-05
R1,leave_one_stock_out_median_return,SMCI,0.0005717062500220685
R1,leave_one_stock_out_accuracy,SOFI,0.5
R1,leave_one_stock_out_mean_return,SOFI,-0.00029135825566902374
R1,leave_one_stock_out_median_return,SOFI,0.0
R1,leave_one_stock_out_accuracy,WULF,0.5104166666666666
R1,leave_one_stock_out_mean_return,WULF,0.00021339557095935525
R1,leave_one_stock_out_median_return,WULF,0.0002866618533696571
