archetype,stock,eligible_episodes,actions,call_count,put_count,accuracy,mean_aligned_return,median_aligned_return,positive_return_rate,remaining_movement_fraction,contribution_to_positive_aligned_returns,contribution_to_negative_aligned_returns
A1,IREN,28,7,6,1,0.7142857142857143,0.007567771663177845,0.005312097484889884,0.7142857142857143,0.691568626926638,0.06785590928144208,0.006902366898797965
A1,MARA,35,9,7,2,0.5555555555555556,0.002362473708203353,0.005538623852278856,0.5555555555555556,0.4853602643775635,0.06185878018373805,0.051744579352266694
A1,MP,18,4,1,3,0.5,0.0032374577784059235,0.0038641577231482045,0.5,0.6305640415730435,0.029883623944203436,0.020494108464482623
A1,MRNA,7,6,0,6,0.5,-0.0018541933408917903,-0.002833463282676907,0.5,0.5003459356009207,0.020144996266588864,0.04720194437577007
A1,MSTR,14,8,3,5,0.625,0.008487462788216465,0.008840570661983772,0.625,0.5865038944161314,0.09971144020034048,0.02686387365428668
A1,NVTS,15,9,8,1,0.5555555555555556,0.000891814132108152,0.0017972519285505144,0.5555555555555556,0.5049918647687305,0.042627616610289014,0.04679921875651045
A1,QBTS,20,2,1,1,0.5,0.00344606386291379,0.00344606386291379,0.5,0.5605809668051158,0.019004660505109485,0.015292301129337611
A1,RGTI,18,11,5,6,0.7272727272727273,0.007748015213054223,0.002786144418020906,0.7272727272727273,0.6151416403073365,0.1436034581421575,0.05980970565143705
A1,RIOT,26,7,7,0,0.7142857142857143,0.005897099904995782,0.0034934533345601267,0.7142857142857143,0.7214313746109351,0.09131571065810204,0.059750728692884315
A1,RIVN,9,5,1,4,0.2,-0.005031324017764446,-0.005960090758350604,0.2,0.41362827698132626,0.003354817010012154,0.04704699792569612
A1,SMCI,14,5,2,3,0.4,-0.00037524403763906054,-0.002131656071151239,0.4,0.4175268076122336,0.02071589145861398,0.03245706380109127
A1,SOFI,21,10,3,7,0.3,0.0010662557969042226,-0.0021943070129396675,0.3,0.6324423030637529,0.07373447171163651,0.08636621880169068
A1,WULF,25,8,7,1,0.625,0.005942185759182391,0.006443768910239063,0.625,0.6827290046331231,0.10372955956281926,0.06678714836965771
R1,AAL,33,9,4,5,0.5555555555555556,-0.0001557998889572297,0.0011060362023005287,0.5555555555555556,0.550707176930774,0.04224227650148348,0.043853967667644204
R1,AAOI,15,4,3,1,1.0,0.008634450263381667,0.004417284098170519,1.0,0.40752651566002507,0.07436966027208325,-0.0
R1,APLD,14,3,0,3,0.3333333333333333,-0.0022329546316963455,-0.007511063222783207,0.3333333333333333,0.6914390504882583,0.02799935552429225,0.041104518030846096
R1,ASTS,26,6,6,0,0.16666666666666666,-0.00041089871285158547,-0.0026967664143613982,0.16666666666666666,0.4442407579591869,0.07276269144271356,0.07564335176681317
R1,CIFR,24,10,0,10,0.4,-0.0018327202812744136,-0.00528775622172032,0.4,0.5317147457054677,0.09843433042804912,0.13360934501895172
R1,HIMS,16,0,0,0,,,,,,0.0,-0.0
R1,IONQ,39,12,0,12,0.3333333333333333,-0.005718656184157286,-0.004019957602324938,0.3333333333333333,0.48934923879123815,0.03497363955153154,0.17705702330872017
R1,IREN,28,6,5,1,0.8333333333333334,0.010803358322273955,0.007726691635472252,0.8333333333333334,0.6991561864018615,0.144921831887333,0.005179452327969352
R1,MARA,35,9,9,0,0.5555555555555556,-6.378557951109531e-05,0.005309304091572512,0.5555555555555556,0.4840290655460182,0.06967992571360958,0.06871056539496963
R1,MP,18,0,0,0,,,,,,0.0,-0.0
R1,MRNA,7,5,0,5,0.4,-0.0022856167712539412,-0.005969850376272778,0.4,0.5920544968360517,0.03583643400465479,0.05856450857797901
R1,MSTR,14,1,1,0,1.0,0.004823513298698382,0.004823513298698382,1.0,0.6178116829835616,0.010386389243082541,-0.0
R1,NVTS,15,6,4,2,0.6666666666666666,0.004587591841783619,0.004759907409230058,0.6666666666666666,0.5264989179050577,0.10233713081468462,0.04172744703615238
R1,QBTS,20,4,1,3,0.25,-0.005043138485544029,-0.008950572131288068,0.25,0.6832672386900736,0.03442321983956559,0.07543897085414704
R1,RGTI,18,3,0,3,0.6666666666666666,0.007326627593251774,0.008833935865174653,0.6666666666666666,0.8276044191412358,0.05829157565444107,0.010621727508603688
R1,RIOT,26,8,8,0,0.625,0.00227836793582609,0.002032579792291098,0.625,0.6752019916854732,0.1006236354031959,0.05946707256854802
R1,RIVN,9,5,0,5,0.4,-0.003326423090449948,-0.00031530823627516245,0.4,0.3593285616826091,0.011676813282488683,0.04601350715437947
R1,SMCI,14,2,2,0,0.0,-0.009413939387408483,-0.009413939387408483,0.0,0.49130459173439256,0.0,0.03928089935197157
R1,SOFI,21,4,1,3,0.75,0.0034844408041701273,0.0028436526430407343,0.75,0.3819755667345097,0.03444851209017376,0.004298585810369807
R1,WULF,25,6,3,3,0.5,-0.005934345746268384,-0.0028730387877266973,0.5,0.5585345002898484,0.04659257834661729,0.11942905762193465
