stock,session,checkpoint,M1C_probability,m1_probability,episode_impact
ASTS,2025-02-06,14,0.530849563958573,,M1C_only
ASTS,2025-02-07,6,0.5289644900281185,0.5334031270958042,shared
ASTS,2025-02-14,6,0.5450702345972629,0.5145931705025028,shared
ASTS,2025-02-18,6,0.5427344609421996,0.49974508182449767,shared
ASTS,2025-02-19,6,0.534019558520959,0.5411473194661517,shared
ASTS,2025-02-20,6,0.5900432048171437,0.5033650338939054,shared
ASTS,2025-02-24,6,0.5057145838287662,,M1C_only
ASTS,2025-02-26,6,,0.4999437165821469,archived_M1_only
ASTS,2025-03-04,6,0.6775515293967214,0.6635571484702326,shared
ASTS,2025-03-26,6,0.5109185876670442,,M1C_only
ASTS,2025-04-03,6,0.5351666468510544,0.5311819636433571,shared
ASTS,2025-05-13,6,0.6561833243793548,0.5869568383755692,shared
ASTS,2025-05-14,6,0.5223690922012169,,M1C_only
ASTS,2025-05-19,6,0.5512966448627123,,M1C_only
ASTS,2025-06-09,6,0.7632319473682442,0.7124385785237436,shared
ASTS,2025-06-09,22,,0.5084097630536181,archived_M1_only
ASTS,2025-06-10,6,0.4916861722874016,,M1C_only
ASTS,2025-06-30,6,0.5475104052294043,,M1C_only
ASTS,2025-07-11,6,,0.4962884819380252,archived_M1_only
ASTS,2025-07-17,6,0.6191437487604842,0.5932776613298466,shared
ASTS,2025-07-22,6,0.6234804206601209,,M1C_only
ASTS,2025-07-23,6,0.5208688230714777,0.5209561644020415,shared
CIFR,2024-02-08,6,0.5024802222900321,,M1C_only
CIFR,2024-02-09,6,0.6580365419352823,0.5661080086538287,shared
CIFR,2024-02-12,6,0.609004104540228,0.6332206016437708,shared
CIFR,2024-02-12,14,,0.5636056860608953,archived_M1_only
CIFR,2024-02-13,6,0.7211215979009856,,M1C_only
CIFR,2024-02-13,12,,0.5121531757183875,archived_M1_only
CIFR,2024-02-20,6,0.5619383442209236,,M1C_only
CIFR,2024-04-29,6,0.5178247195176757,,M1C_only
CIFR,2024-05-16,6,0.5653612958117356,,M1C_only
CIFR,2024-05-22,6,0.7688546569759106,0.6670320251900732,shared
CIFR,2024-06-11,6,0.5422417214311611,,M1C_only
CIFR,2024-06-12,6,0.5120518737147808,,M1C_only
CIFR,2024-06-13,6,0.693235566711241,0.6424818284350625,shared
CIFR,2024-06-26,6,0.49894149781996244,0.5036012548319474,shared
CIFR,2024-07-19,6,,0.49731382148837605,archived_M1_only
CIFR,2024-07-22,6,0.554387591409965,,M1C_only
CIFR,2024-08-29,6,0.49230755505515955,,M1C_only
CIFR,2024-09-10,16,0.5072182871584574,,M1C_only
CIFR,2024-09-24,6,0.5382861301366476,0.5435001070583988,shared
CIFR,2024-10-04,6,0.5477745057482646,0.5074437176457065,shared
CIFR,2024-10-16,10,0.5199422035418106,0.5218994506017423,shared
CIFR,2024-10-17,6,0.5417315038247672,0.49708938630839866,shared
CIFR,2024-11-06,6,0.6545942995051517,0.6256867219155255,shared
CIFR,2024-11-20,6,0.5055391813259585,,M1C_only
CIFR,2024-11-21,6,0.6513560610390075,0.5198411194491277,shared
CIFR,2024-12-02,6,0.5699521564035848,,M1C_only
CIFR,2024-12-04,6,0.5159484002846891,0.531364419467977,shared
CIFR,2024-12-12,6,0.499692121532208,,M1C_only
CIFR,2024-12-27,6,0.511467655175958,,M1C_only
CIFR,2025-01-06,6,0.5469088385443829,0.5066210853963242,shared
CIFR,2025-01-07,6,0.5178125718239801,,M1C_only
CIFR,2025-01-10,10,0.49339374798174873,,M1C_only
CIFR,2025-01-15,6,0.5169647042876858,,M1C_only
CIFR,2025-02-06,6,0.698698243845869,0.5859539781695042,shared
CIFR,2025-02-06,14,0.5893983709341736,0.5539911862885818,shared
CIFR,2025-02-07,6,0.7039557397264742,0.6070958884907388,shared
CIFR,2025-02-07,14,,0.5654325743406665,archived_M1_only
CIFR,2025-02-18,6,0.5215863467638091,,M1C_only
CIFR,2025-03-26,6,0.48971833288207384,,M1C_only
CIFR,2025-05-09,6,0.5740190352875258,0.5166460215174109,shared
CIFR,2025-05-09,14,0.5438652460529585,0.5119160735936857,shared
CIFR,2025-05-12,6,0.5709094328022729,0.5506121870805416,shared
CIFR,2025-05-12,14,0.5190912523904386,,M1C_only
CIFR,2025-05-13,6,0.5565979423784335,0.5195851508671706,shared
CIFR,2025-05-14,6,0.4988668044847143,,M1C_only
CIFR,2025-05-16,6,0.6848952013582246,0.6442082397228687,shared
CIFR,2025-05-16,14,0.5326859718076928,,M1C_only
CIFR,2025-05-16,20,0.4996209439236751,,M1C_only
CIFR,2025-06-20,6,0.4968663176002931,,M1C_only
CIFR,2025-07-28,6,0.5248398576220586,,M1C_only
CIFR,2025-08-07,6,0.5381424321746165,,M1C_only
CIFR,2025-08-08,6,0.5479785981098032,,M1C_only
CIFR,2025-08-14,6,0.640593076445208,0.5518309221304827,shared
CIFR,2025-08-22,8,0.515530555545509,,M1C_only
CIFR,2025-08-22,10,,0.5021985619166154,archived_M1_only
HIMS,2024-02-06,6,0.5486120612345783,0.5444129033519977,shared
HIMS,2024-02-07,6,0.5533088772633131,0.5062507152043079,shared
HIMS,2024-04-01,6,0.494172397062947,,M1C_only
HIMS,2024-05-02,6,0.49658067107246767,,M1C_only
HIMS,2024-05-13,6,0.567733233509378,0.5091733909127346,shared
HIMS,2024-05-15,6,0.5256405851687557,,M1C_only
HIMS,2024-05-17,6,0.5083210253558362,0.5180303938035857,shared
HIMS,2024-06-03,6,0.5568285981236392,0.5320897658391743,shared
HIMS,2024-06-04,10,0.4962062093221926,,M1C_only
HIMS,2024-06-05,6,0.5142299385128233,,M1C_only
HIMS,2024-06-07,6,0.5507032017967234,0.548084089519562,shared
HIMS,2024-06-10,6,0.6364826051329897,0.5983069900982144,shared
HIMS,2024-06-10,14,0.5368813780930556,0.5566850927287197,shared
HIMS,2024-06-14,6,0.5708215734357285,0.5127294420881566,shared
HIMS,2024-06-17,6,0.7983224347864748,0.7066049790070271,shared
HIMS,2024-06-17,28,0.4890167554762671,,M1C_only
HIMS,2024-06-25,6,0.5157331065761394,0.5255870102681259,shared
HIMS,2024-07-24,6,0.514125882846298,,M1C_only
HIMS,2024-07-26,6,0.5883796614773372,0.5357469545498844,shared
HIMS,2024-07-26,14,0.5529670466929982,,M1C_only
HIMS,2024-08-07,6,0.4961507772456172,,M1C_only
HIMS,2024-08-08,6,0.6866590024308508,0.5467934150511937,shared
HIMS,2024-08-08,16,0.6528154212541905,0.5354790913456698,shared
HIMS,2024-08-09,6,0.49977321627324356,,M1C_only
HIMS,2024-08-12,6,0.5560044647991811,0.5355920354931001,shared
HIMS,2024-08-14,6,0.5315562833435226,,M1C_only
HIMS,2024-08-15,6,0.5110064089750052,,M1C_only
HIMS,2024-08-19,6,0.6293964300417352,0.593331845419205,shared
HIMS,2024-08-28,6,0.540226401829075,0.5180841053341464,shared
HIMS,2024-09-27,6,0.5654287607688737,,M1C_only
HIMS,2024-10-01,6,0.5176352256270756,,M1C_only
HIMS,2024-10-03,6,0.7895884718626894,0.6504531206877346,shared
HIMS,2024-10-03,22,,0.5277779414318148,archived_M1_only
HIMS,2024-10-04,6,0.49900602696837554,,M1C_only
HIMS,2024-10-10,6,0.5615660440499208,,M1C_only
HIMS,2024-10-23,6,0.5257357446363655,,M1C_only
HIMS,2024-12-06,6,0.6093036477063534,0.542887730256382,shared
HIMS,2024-12-06,14,0.5233428601034685,0.538402440878348,shared
HIMS,2024-12-06,20,0.5119608566387156,,M1C_only
HIMS,2024-12-09,6,0.6051325651875835,0.5451223163940525,shared
HIMS,2024-12-09,14,0.537134013294719,,M1C_only
HIMS,2024-12-11,6,0.5696981351384804,,M1C_only
HIMS,2024-12-12,6,0.5757057173891593,0.5459189394244004,shared
HIMS,2024-12-16,6,0.5973028540601448,0.5806021600441886,shared
HIMS,2024-12-17,6,0.6487653963518133,0.5731158072729802,shared
HIMS,2024-12-18,6,0.4918539647292465,,M1C_only
HIMS,2025-01-16,6,0.5565491465589901,,M1C_only
HIMS,2025-01-22,6,0.5275862941041654,0.5024669718769961,shared
HIMS,2025-01-24,6,0.4987940901721729,,M1C_only
HIMS,2025-02-14,6,0.6278432900307458,0.5992844291363356,shared
HIMS,2025-02-14,14,,0.5219990121987145,archived_M1_only
HIMS,2025-03-17,6,0.5840632773070423,0.5476491967972726,shared
HIMS,2025-03-18,6,0.5134463880707849,,M1C_only
HIMS,2025-03-26,6,0.6414612838734587,0.5266999356000582,shared
HIMS,2025-03-27,6,0.5218802140649732,,M1C_only
HIMS,2025-04-15,6,0.5307757340678464,0.5260399365796569,shared
HIMS,2025-04-23,6,0.6614765352060072,0.606344265913722,shared
HIMS,2025-06-09,6,0.505552819248306,,M1C_only
HIMS,2025-06-10,6,0.6555935189722689,,M1C_only
HIMS,2025-06-11,6,0.5255959967856095,0.4977652678277512,shared
HIMS,2025-07-17,6,0.5290785623826351,,M1C_only
HIMS,2025-07-18,6,0.6453492305193401,0.5413129886766123,shared
HIMS,2025-07-21,6,0.5905431240876831,0.5455112808259953,shared
IONQ,2024-01-25,6,0.5925192300578878,0.5499645387002323,shared
IONQ,2024-02-12,6,0.4971795222426823,0.4973905640727086,shared
IONQ,2024-03-04,6,0.5268337693864206,,M1C_only
IONQ,2024-03-05,6,0.4991926427930168,,M1C_only
IONQ,2024-03-06,6,0.5727755854194203,,M1C_only
IONQ,2024-05-14,6,0.527525842352765,,M1C_only
IONQ,2024-06-17,6,0.48865463398786746,,M1C_only
IONQ,2024-07-08,6,0.6073242045987767,0.5687093660283825,shared
IONQ,2024-07-11,6,0.5075151783928555,0.4958943688435292,shared
IONQ,2024-07-12,6,0.5006346315852672,,M1C_only
IONQ,2024-07-15,6,0.5524576768431373,0.5235510710939093,shared
IONQ,2024-07-19,6,0.5530674114377717,,M1C_only
IONQ,2024-08-08,6,0.4928790805396415,,M1C_only
IONQ,2024-08-22,6,0.527406485663509,,M1C_only
IONQ,2024-08-23,10,0.49795688681803424,,M1C_only
IONQ,2024-08-26,6,0.5113928778275587,,M1C_only
IONQ,2024-08-27,6,0.5125588198971972,,M1C_only
IONQ,2024-10-03,6,0.5438788315172075,,M1C_only
IONQ,2024-10-03,8,,0.5324976810406721,archived_M1_only
IONQ,2024-10-03,14,0.5073850151679389,,M1C_only
IONQ,2024-10-04,6,0.5315981989257066,,M1C_only
IONQ,2024-10-07,6,0.5631365112633986,0.5061542351629541,shared
IONQ,2024-10-08,6,0.5814463114766772,0.5706044686588848,shared
IONQ,2024-10-08,14,0.5304527863343397,,M1C_only
IONQ,2024-10-09,10,0.4957650188408904,,M1C_only
IONQ,2024-10-10,6,0.5636068722540001,0.5123033578313252,shared
IONQ,2024-11-07,6,0.7451431604756478,0.7019844003442376,shared
IONQ,2024-12-31,6,0.5685786824840997,0.5082115253595597,shared
IONQ,2025-01-02,6,0.6154608370655769,0.5661602794446234,shared
IONQ,2025-01-02,14,0.48973123376896066,,M1C_only
IONQ,2025-01-02,20,0.5120668831332225,,M1C_only
IONQ,2025-01-30,6,0.5844233143388379,0.5887378996427632,shared
IONQ,2025-01-30,14,0.5450354916224068,0.5308104345800151,shared
IONQ,2025-01-31,6,0.7376248930931161,0.7093739686055964,shared
IONQ,2025-02-03,6,0.6592696911592015,0.6370409490732837,shared
IONQ,2025-02-03,20,0.5121712074983972,,M1C_only
IONQ,2025-02-03,26,,0.5533577226700678,archived_M1_only
IONQ,2025-02-05,6,0.5877480654998569,0.541870898865702,shared
IONQ,2025-02-05,14,,0.5100288755051516,archived_M1_only
IONQ,2025-02-06,6,0.6798327202753978,0.617992234384178,shared
IONQ,2025-02-06,14,0.5083094530214793,,M1C_only
IONQ,2025-02-07,6,0.699995540272694,0.6804460687797774,shared
IONQ,2025-02-13,6,0.5068899456714746,,M1C_only
IONQ,2025-02-18,6,0.5647463483804768,,M1C_only
IONQ,2025-02-28,6,0.5496803094426701,0.509184048046772,shared
IONQ,2025-03-27,6,0.5143978813653318,0.5330032489608733,shared
IONQ,2025-03-28,6,0.5504864208476787,,M1C_only
IONQ,2025-03-31,6,,0.5042975875555201,archived_M1_only
IONQ,2025-04-01,6,0.5805149865919251,0.5002043355965627,shared
IONQ,2025-04-02,6,0.6070858912176851,0.5809717739850766,shared
IONQ,2025-04-03,6,0.48989062502038344,,M1C_only
IONQ,2025-04-14,6,0.5172388754387894,,M1C_only
IONQ,2025-04-16,6,0.4917873228840065,,M1C_only
IONQ,2025-04-17,6,0.5066731706321574,0.5173477207892878,shared
