archetype,metric,interval_level_percent,lower,median,upper,draws,seed,unit,models_refit
A1,median_aligned_return,95,-0.001470090350319143,0.0005717062500220685,0.002764474935618229,100,20260726,whole_session,False
A1,positive_return_rate,80,0.46652777777777776,0.5286436970194148,0.5822139303482587,100,20260726,whole_session,False
A1,positive_return_rate,90,0.45584685598377284,0.5286436970194148,0.5958844541077807,100,20260726,whole_session,False
A1,positive_return_rate,95,0.43068802521008404,0.5286436970194148,0.610675,100,20260726,whole_session,False
A1,remaining_movement_fraction,80,0.5230621305699985,0.5499384780623315,0.5758474964442022,100,20260726,whole_session,False
A1,remaining_movement_fraction,90,0.5180372441250418,0.5499384780623315,0.579475109712033,100,20260726,whole_session,False
A1,remaining_movement_fraction,95,0.5080267986712185,0.5499384780623315,0.5900342327082908,100,20260726,whole_session,False
A1,iv_excess_subgroup_accuracy,80,0.4909022931206381,0.5773504273504273,0.638015607580825,100,20260726,whole_session,False
A1,iv_excess_subgroup_accuracy,90,0.47453166815343445,0.5773504273504273,0.6559949918986596,100,20260726,whole_session,False
A1,iv_excess_subgroup_accuracy,95,0.4690587138863001,0.5773504273504273,0.6690639269406392,100,20260726,whole_session,False
A1,largest_movement_quartile_accuracy,80,0.5749468085106383,0.6666666666666666,0.7508620689655173,100,20260726,whole_session,False
A1,largest_movement_quartile_accuracy,90,0.5555555555555556,0.6666666666666666,0.7693406593406594,100,20260726,whole_session,False
A1,largest_movement_quartile_accuracy,95,0.5417832167832167,0.6666666666666666,0.8,100,20260726,whole_session,False
R1,log_loss_improvement_vs_B0,80,-0.012236563560398327,-0.0036129826518651598,0.005685124419497835,100,20260726,whole_session,False
R1,log_loss_improvement_vs_B0,90,-0.014023316775522548,-0.0036129826518651598,0.008791368929729164,100,20260726,whole_session,False
R1,log_loss_improvement_vs_B0,95,-0.016151929494795696,-0.0036129826518651598,0.010576284560054914,100,20260726,whole_session,False
R1,brier_improvement_vs_B0,80,-0.0056671916219740385,-0.0015607840958524188,0.0030776646423673966,100,20260726,whole_session,False
R1,brier_improvement_vs_B0,90,-0.006498306947126048,-0.0015607840958524188,0.004426194801642113,100,20260726,whole_session,False
R1,brier_improvement_vs_B0,95,-0.007518174837868305,-0.0015607840958524188,0.005304287851372614,100,20260726,whole_session,False
R1,auc_improvement_vs_B0,80,-0.02178246794942657,0.008852736595083482,0.04342961951030943,100,20260726,whole_session,False
R1,auc_improvement_vs_B0,90,-0.02732130255302874,0.008852736595083482,0.0548438316687486,100,20260726,whole_session,False
R1,auc_improvement_vs_B0,95,-0.031215168359541686,0.008852736595083482,0.06156959595959585,100,20260726,whole_session,False
R1,action_coverage,80,0.20843614344407577,0.24333752255736013,0.27736372993699737,100,20260726,whole_session,False
R1,action_coverage,90,0.20135383100608664,0.24333752255736013,0.29088225177711535,100,20260726,whole_session,False
R1,action_coverage,95,0.182466553244142,0.24333752255736013,0.30037781210294223,100,20260726,whole_session,False
R1,directional_accuracy,80,0.4444444444444444,0.5192307692307693,0.5833333333333334,100,20260726,whole_session,False
R1,directional_accuracy,90,0.4337831382851684,0.5192307692307693,0.6019582965578111,100,20260726,whole_session,False
R1,directional_accuracy,95,0.42197467166979363,0.5192307692307693,0.6184440559440559,100,20260726,whole_session,False
R1,balanced_accuracy,80,0.4579591445909415,0.5261813976165487,0.5850809822361547,100,20260726,whole_session,False
R1,balanced_accuracy,90,0.4402944913611542,0.5261813976165487,0.6016305724417426,100,20260726,whole_session,False
R1,balanced_accuracy,95,0.42765679442508714,0.5261813976165487,0.6341145285110801,100,20260726,whole_session,False
R1,mean_aligned_return,80,-0.0021697628821386056,6.645670016775892e-06,0.002064938743340051,100,20260726,whole_session,False
R1,mean_aligned_return,90,-0.002543959132411613,6.645670016775892e-06,0.002765856912245225,100,20260726,whole_session,False
R1,mean_aligned_return,95,-0.0028912143132325315,6.645670016775892e-06,0.002860052606496275,100,20260726,whole_session,False
R1,median_aligned_return,80,-0.0019582632844158086,0.0005715036961359382,0.0015915729972620835,100,20260726,whole_session,False
R1,median_aligned_return,90,-0.0023809773709389443,0.0005715036961359382,0.0019451409428516144,100,20260726,whole_session,False
R1,median_aligned_return,95,-0.0024744661374440746,0.0005715036961359382,0.002441268088833823,100,20260726,whole_session,False
