diagnostic_type,period,regime,rows,posterior_mass,hard_top_regime_rows,stocks,sessions,months,maximum_stock_share,maximum_month_share,entropy_mean,entropy_q10,entropy_q50,entropy_q90,margin_mean,margin_q10,margin_q50,margin_q90,mahalanobis_mean,mahalanobis_q90,mean_daily_compression,mean_daily_directional_efficiency,mean_daily_trend_persistence,mean_daily_extension,mean_daily_rejection,mean_daily_volatility_acceleration,mean_daily_relative_strength,mean_daily_activity_acceleration,group,posterior_mass_regime_0,posterior_mass_regime_1,posterior_mass_regime_2,posterior_mass_regime_3,development_mean,assessment_mean,mean_difference
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMCI,0.16722437016778516,0.17279484046474375,0.22997491614561527,0.4300058732218558,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOFI,0.23142599794872443,0.23103881569096324,0.07120723425410944,0.46632795210620287,,,
support_by_stock,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,WULF,0.24231348071474818,0.3129532239665688,0.10300404467901396,0.3417292506396691,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,0.08916478990531986,0.18813429753719058,0.19624223004399274,0.5264586825134968,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,0.22350804771319308,0.3327821341173511,0.1019419113368735,0.34176790683258224,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03,0.15242734697717308,0.27773159218152443,0.16506915893699345,0.40477190190430906,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04,0.07053642805156143,0.18325523241524405,0.2801422814019434,0.466066058131251,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05,0.16972004364263596,0.2849506285088515,0.09146518211822591,0.45386414573028666,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06,0.18726716936014776,0.20532831371842827,0.1829448211332016,0.4244596957882223,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07,0.1655135419738857,0.3113620417658202,0.11880216478344052,0.4043222514768536,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08,0.056640697895016474,0.17995304344310917,0.23614748322615875,0.5272587754357158,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,0.13572227928529507,0.20559180911895342,0.18038728391260705,0.47829862768314446,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10,0.3030257890689188,0.2910052016439995,0.06901831299341768,0.33695069629366403,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11,0.2882463279265092,0.3553618339051406,0.1147461539329905,0.24164568423535968,,,
support_by_month,development,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12,0.22605716958012687,0.2647762791913787,0.08206436481083686,0.42710218641765746,,,
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_compression,,,,,-0.07768502816124202,-0.059120268815829,0.018564759345413025
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_directional_efficiency,,,,,0.06555076817194297,0.03952164548194413,-0.026029122689998838
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_trend_persistence,,,,,0.30396699753240314,0.24784977535306751,-0.056117222179335624
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_extension,,,,,0.10329747640050435,0.10024678332393111,-0.003050693076573241
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_rejection,,,,,-0.034023378688655556,-0.001889287295549336,0.03213409139310622
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_volatility_acceleration,,,,,0.039170895450238316,0.005335481399510739,-0.033835414050727576
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_relative_strength,,,,,0.08542247450281078,0.06297143771051258,-0.022451036792298193
development_assessment_dimension_drift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily_activity_acceleration,,,,,0.19184351220084517,0.12047119752769105,-0.07137231467315412
