slice_type,slice_value,timing,source_opportunities,gross_payoff_bps,total_costs_bps,trade_count,net_payoff_bps,mean_net_payoff_bps,median_net_payoff_bps,positive_rate,profit_factor,maximum_drawdown_bps,population,run_id,contract_hash,data_snapshot_hash,model_version
orientation,state_4,T0_full_source,228,8735.29450604,2280,228,6455.29450604,28.3126952019,12.2246102342,0.526315789474,1.36473465484,-3260.7385074,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_4,T1_available_unpaired_context,228,3800.99909898,960,96,2840.99909898,29.5937406143,24.9188477984,0.53125,1.39348904812,-1852.92143736,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,T0_full_source,1435,31566.4691573,14350,1435,17216.4691573,11.9975394824,-10,0.48850174216,1.09842678416,-10846.9077168,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_5,T1_available_unpaired_context,1435,11188.7709356,7120,712,4068.77093559,5.71456592077,-8.90859288682,0.490168539326,1.04891273469,-7820.73779135,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,T0_full_source,1196,33148.4796902,11960,1196,21188.4796902,17.7161201423,-10,0.482441471572,1.15637358226,-9940.17127718,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,T1_available_unpaired_context,1196,11312.2338317,5500,550,5812.23383167,10.5676978758,-23.0874751751,0.472727272727,1.09730920726,-6021.61234435,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,T0_full_source,467,7153.28397312,4670,467,2483.28397312,5.31752456772,11.1458773784,0.522483940043,1.04347789628,-6687.19598805,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,T1_available_unpaired_context,467,3677.5362029,2580,258,1097.5362029,4.25401629029,20.9027300344,0.542635658915,1.03577976852,-5447.96715302,named,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
all,all,T0_full_source,641,-14949.5154474,6410,641,-21359.5154474,-33.322176985,-29.2307692308,0.436817472699,0.706032035978,-22972.5491029,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
all,all,T1_available_unpaired_context,641,-7641.60551278,3020,302,-10661.6055128,-35.3033295125,-15.2251889362,0.466887417219,0.689295993547,-12261.1009579,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2023,T0_full_source,339,-7795.41024371,3390,339,-11185.4102437,-32.9953104534,-43.7815315315,0.40412979351,0.706320284206,-11636.207728,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2023,T1_available_unpaired_context,339,0,0,0,0,,,,,0,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,T0_full_source,302,-7154.10520366,3020,302,-10174.1052037,-33.6890900783,-10,0.473509933775,0.705714482205,-11908.2676091,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
period,2025,T1_available_unpaired_context,302,-7641.60551278,3020,302,-10661.6055128,-35.3033295125,-15.2251889362,0.466887417219,0.689295993547,-12261.1009579,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,T0_full_source,14,513.394759538,140,14,373.394759538,26.6710542527,36.9641328404,0.5,1.21522916867,-1130.27003436,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_04,T1_available_unpaired_context,14,-205.536381679,60,6,-265.536381679,-44.2560636132,-44.991883162,0.5,0.703388858114,-396.222810475,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,T0_full_source,627,-15462.9102069,6270,627,-21732.9102069,-34.661738767,-29.2307692308,0.435406698565,0.693576655383,-23280.5239931,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
loop_id,cycle_07,T1_available_unpaired_context,627,-7436.06913111,2960,296,-10396.0691311,-35.1218551727,-15.2251889362,0.466216216216,0.688918472722,-12127.1969416,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_2,T0_full_source,14,513.394759538,140,14,373.394759538,26.6710542527,36.9641328404,0.5,1.21522916867,-1130.27003436,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_2,T1_available_unpaired_context,14,-205.536381679,60,6,-265.536381679,-44.2560636132,-44.991883162,0.5,0.703388858114,-396.222810475,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_6,T0_full_source,627,-15462.9102069,6270,627,-21732.9102069,-34.661738767,-29.2307692308,0.435406698565,0.693576655383,-23280.5239931,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
orientation,state_6,T1_available_unpaired_context,627,-7436.06913111,2960,296,-10396.0691311,-35.1218551727,-15.2251889362,0.466216216216,0.688918472722,-12127.1969416,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,T0_full_source,163,-938.338582425,1630,163,-2568.33858243,-15.7566784198,-22.154259007,0.460122699387,0.850977594796,-5504.6816961,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,long,T1_available_unpaired_context,163,1979.59148448,750,75,1229.59148448,16.3945531264,33.4708147307,0.573333333333,1.18300863915,-1677.88673073,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,T0_full_source,478,-14011.1768649,4780,478,-18791.1768649,-39.3120854915,-31.5951579473,0.428870292887,0.660960550212,-19526.5970724,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
direction_label,short,T1_available_unpaired_context,478,-9621.19699726,2270,227,-11891.1969973,-52.3841277412,-28.8582813473,0.431718061674,0.569090620859,-12527.0268836,control,fixed-latency-d66f96ac8f08d9c8293d14e7,35fa576fd87acc85220105807beafdc3103db87fbf3c0a7dd0044afe4877ff84,08752c75f98f2c61114496ebf78eab2c055adeb138a72c88bb1d1981cf72a96a,fixed_one_bar_entry_latency_v1.0.0
