diagnostic_type,target,model,feature,value,feature_2,checkpoint,quintile,row_count,movement_rate,mean_absolute_future_movement_bps,direction_rate_among_large_moves,threshold_q20,threshold_q40,threshold_q60,threshold_q80,original_brier,permuted_brier,permutation
standardised_model_coefficient,direction,D3,tension,-0.10895454553091594,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,signed_pressure,-0.033895492648899871,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,pressure_magnitude,-0.19701126984016548,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,exhaustion_magnitude,-0.040754247770599647,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,signed_exhaustion,0.084905668778054055,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,independence,0.13331252946405112,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,signed_independence,-0.1811937801613942,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,active_conviction,0.01787561536020095,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,active_frustration,0.11777865341881137,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,pressurised_tension,-0.091754432963652502,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,pressurised_exhaustion,0.013064430513506845,,,,,,,,,,,,,,
standardised_model_coefficient,direction,D3,independent_pressure,-0.20632997393459707,,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,1,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.10247088617272644,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.24189300682273099,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,-0.46117971944342051,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.105896301329898,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.33721603646263953,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,-0.27925534971695709,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.050552948044219635,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.64005658786008079,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,arousal,0.12491019017739781,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,0.10247088617272644,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,1,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,-0.68969797439873803,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,-0.48571010855837637,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,-0.02794004542891743,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,0.80975179272906828,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,0.10398735522677695,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,-0.022127797963765308,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,0.23100136867179036,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,conviction,0.023328704421802154,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,0.24189300682273099,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,-0.68969797439873803,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,1,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,0.67034104807173212,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,-0.089588598151698368,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,-0.67036692865869663,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,-0.19108768198800377,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,0.054738696806756457,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,-0.17131574171631933,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,frustration,-0.1118577411863988,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.46117971944342051,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.48571010855837637,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,0.67034104807173212,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,1,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.21073173272573797,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.72484195231395165,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,0.029984031547377405,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.0071429151379503236,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.63080854697029098,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,tension,-0.23137470013643011,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,0.105896301329898,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,-0.02794004542891743,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,-0.089588598151698368,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,-0.21073173272573797,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,1,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,0.14141164006180718,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,0.062624650323061956,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,0.036021878745530977,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,0.19644954327566921,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_pressure,0.73181714103534612,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,0.33721603646263953,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,0.80975179272906828,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,-0.67036692865869663,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,-0.72484195231395165,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,0.14141164006180718,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,1,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,-0.0050595116752899429,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,0.0039457582038804045,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,0.49082858196766865,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,pressure_magnitude,0.16531659437784155,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,-0.27925534971695709,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,0.10398735522677695,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,-0.19108768198800377,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,0.029984031547377405,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,0.062624650323061956,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,-0.0050595116752899429,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,1,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,0.015563592829479408,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,-0.08408567121689306,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,exhaustion_magnitude,0.041756800552296282,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.050552948044219635,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,-0.022127797963765308,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.054738696806756457,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,-0.0071429151379503236,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.036021878745530977,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.0039457582038804045,pressure_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.015563592829479408,exhaustion_magnitude,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,1,signed_exhaustion,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.010074656655304983,independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,signed_exhaustion,0.036232622503942193,signed_independence,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,0.64005658786008079,arousal,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,0.23100136867179036,conviction,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,-0.17131574171631933,frustration,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,-0.63080854697029098,tension,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,0.19644954327566921,signed_pressure,,,,,,,,,,,,,
assessment_dimension_correlation,,,independence,0.49082858196766865,pressure_magnitude,,,,,,,,,,,,,
