record_type,draw,metric,value,interval_90_lower,interval_90_upper,interval_95_lower,interval_95_upper
draw,118,D2_minus_D1_brier_improvement,-0.003857351405087861,,,,
draw,119,D2_minus_D1_brier_improvement,-0.0022272031641280832,,,,
draw,120,D2_minus_D1_brier_improvement,-0.0044863331590735411,,,,
draw,121,D2_minus_D1_brier_improvement,-0.0016461817567840209,,,,
draw,122,D2_minus_D1_brier_improvement,-0.0045320130633689226,,,,
draw,123,D2_minus_D1_brier_improvement,-0.0007212155859430136,,,,
draw,124,D2_minus_D1_brier_improvement,-0.0015989105795545244,,,,
draw,125,D2_minus_D1_brier_improvement,-0.0068734635847603198,,,,
draw,126,D2_minus_D1_brier_improvement,-0.00075644395874710502,,,,
draw,127,D2_minus_D1_brier_improvement,-0.0023014723817583738,,,,
draw,128,D2_minus_D1_brier_improvement,-0.0070082065138656613,,,,
draw,129,D2_minus_D1_brier_improvement,-0.0041037273580905864,,,,
draw,130,D2_minus_D1_brier_improvement,-0.0051347690263563173,,,,
draw,131,D2_minus_D1_brier_improvement,-0.0049635555169063317,,,,
draw,132,D2_minus_D1_brier_improvement,-0.0055097416226637386,,,,
draw,133,D2_minus_D1_brier_improvement,-0.0061689136754953799,,,,
draw,134,D2_minus_D1_brier_improvement,-0.0035586660599275233,,,,
draw,135,D2_minus_D1_brier_improvement,-0.0020973830711265018,,,,
draw,136,D2_minus_D1_brier_improvement,-0.0057542855251573322,,,,
draw,137,D2_minus_D1_brier_improvement,-0.0074804483450990333,,,,
draw,138,D2_minus_D1_brier_improvement,-0.0052018135961732492,,,,
draw,139,D2_minus_D1_brier_improvement,-0.0073171310805968948,,,,
draw,140,D2_minus_D1_brier_improvement,-0.0032116873119389377,,,,
draw,141,D2_minus_D1_brier_improvement,-0.0072401511287110421,,,,
draw,142,D2_minus_D1_brier_improvement,-0.0056813446437904702,,,,
draw,143,D2_minus_D1_brier_improvement,-0.0073130722730085362,,,,
draw,144,D2_minus_D1_brier_improvement,-0.007005934495233318,,,,
draw,145,D2_minus_D1_brier_improvement,-0.00030731286089322185,,,,
draw,146,D2_minus_D1_brier_improvement,-0.0054996513623284393,,,,
draw,147,D2_minus_D1_brier_improvement,-0.002656168830694472,,,,
draw,148,D2_minus_D1_brier_improvement,-0.0048220806362067326,,,,
draw,149,D2_minus_D1_brier_improvement,-0.0021755775517373899,,,,
draw,150,D2_minus_D1_brier_improvement,-0.0015038890977429054,,,,
draw,151,D2_minus_D1_brier_improvement,-0.0030786874608993153,,,,
draw,152,D2_minus_D1_brier_improvement,-0.0053671703988230346,,,,
draw,153,D2_minus_D1_brier_improvement,-0.0015002023585377888,,,,
draw,154,D2_minus_D1_brier_improvement,0.00012948556797870436,,,,
draw,155,D2_minus_D1_brier_improvement,-0.0029881539594390216,,,,
draw,156,D2_minus_D1_brier_improvement,-0.0038198953612039177,,,,
draw,157,D2_minus_D1_brier_improvement,-0.0021758744730216995,,,,
draw,158,D2_minus_D1_brier_improvement,-0.0015110059366983952,,,,
draw,159,D2_minus_D1_brier_improvement,-0.0017723224180203889,,,,
draw,160,D2_minus_D1_brier_improvement,-0.0032962772355599468,,,,
draw,161,D2_minus_D1_brier_improvement,-0.0027057990295598355,,,,
draw,162,D2_minus_D1_brier_improvement,-0.0065022355071869264,,,,
draw,163,D2_minus_D1_brier_improvement,-0.0019915313220656983,,,,
draw,164,D2_minus_D1_brier_improvement,-0.0023485524148166292,,,,
