stage,model,scope_type,scope_value,bin,mean_probability,outcome_rate,rows
direction,D0,month,2025-01,1,,,0
direction,D0,month,2025-01,2,,,0
direction,D0,month,2025-01,3,,,0
direction,D0,month,2025-01,4,,,0
direction,D0,month,2025-01,5,0.472167894831,0.54,50
direction,D0,month,2025-01,6,0.534540885755,0.428571428571,35
direction,D0,month,2025-01,7,,,0
direction,D0,month,2025-01,8,,,0
direction,D0,month,2025-01,9,,,0
direction,D0,month,2025-01,10,,,0
direction,D1,month,2025-01,1,,,0
direction,D1,month,2025-01,2,0.157530932129,1,2
direction,D1,month,2025-01,3,0.266317119441,0.5,6
direction,D1,month,2025-01,4,0.370224334536,0.538461538462,13
direction,D1,month,2025-01,5,0.46248100669,0.586206896552,29
direction,D1,month,2025-01,6,0.541443780262,0.4,20
direction,D1,month,2025-01,7,0.632798653139,0.2,10
direction,D1,month,2025-01,8,0.742803668651,0.5,4
direction,D1,month,2025-01,9,0.8208764837,1,1
direction,D1,month,2025-01,10,,,0
direction,D2,month,2025-01,1,0.0135216166319,1,1
direction,D2,month,2025-01,2,0.151432916755,1,2
direction,D2,month,2025-01,3,0.256221641943,0.692307692308,13
direction,D2,month,2025-01,4,0.351108479109,0.5,16
direction,D2,month,2025-01,5,0.453775676752,0.5,20
direction,D2,month,2025-01,6,0.545475122569,0.428571428571,14
direction,D2,month,2025-01,7,0.641943248601,0.375,8
direction,D2,month,2025-01,8,0.73778584617,0.222222222222,9
direction,D2,month,2025-01,9,0.852074162745,0.5,2
direction,D2,month,2025-01,10,,,0
direction,D3,month,2025-01,1,0.0194621822744,0.5,2
direction,D3,month,2025-01,2,0.184930107995,0.75,4
direction,D3,month,2025-01,3,0.248886782114,0.642857142857,14
direction,D3,month,2025-01,4,0.361940318984,0.6,20
direction,D3,month,2025-01,5,0.453019312258,0.454545454545,11
direction,D3,month,2025-01,6,0.55752689466,0.416666666667,12
direction,D3,month,2025-01,7,0.656798845448,0.222222222222,9
direction,D3,month,2025-01,8,0.732445494733,0.3,10
direction,D3,month,2025-01,9,0.835797521045,0.5,2
direction,D3,month,2025-01,10,0.920371430773,1,1
onset,A0,month,2025-01,1,,,0
onset,A0,month,2025-01,2,0.15070259253,0.0903614457831,166
onset,A0,month,2025-01,3,0.242049014297,0.345454545455,55
onset,A0,month,2025-01,4,0.351494630535,0.535714285714,28
onset,A0,month,2025-01,5,0.467752416617,0.636363636364,11
onset,A0,month,2025-01,6,0.55596526925,0.5,12
onset,A0,month,2025-01,7,0.647036095258,0.8,10
onset,A0,month,2025-01,8,0.759421106134,1,13
onset,A0,month,2025-01,9,0.803392306256,1,2
onset,A0,month,2025-01,10,,,0
onset,A1,month,2025-01,1,0.0863918560914,0.0740740740741,27
onset,A1,month,2025-01,2,0.147929553616,0.115384615385,130
onset,A1,month,2025-01,3,0.238260127283,0.28813559322,59
onset,A1,month,2025-01,4,0.338868630711,0.416666666667,24
onset,A1,month,2025-01,5,0.458468123489,0.5,14
onset,A1,month,2025-01,6,0.554849413867,0.833333333333,12
onset,A1,month,2025-01,7,0.645105504129,0.571428571429,7
onset,A1,month,2025-01,8,0.74854272663,0.769230769231,13
onset,A1,month,2025-01,9,0.842386348142,0.75,4
onset,A1,month,2025-01,10,0.972441489883,1,7
onset,A2,month,2025-01,1,0.0764633596416,0.0666666666667,30
onset,A2,month,2025-01,2,0.148624882417,0.105691056911,123
onset,A2,month,2025-01,3,0.242208916043,0.320754716981,53
onset,A2,month,2025-01,4,0.340377247737,0.296296296296,27
onset,A2,month,2025-01,5,0.449791051127,0.631578947368,19
onset,A2,month,2025-01,6,0.544878540531,0.636363636364,11
onset,A2,month,2025-01,7,0.647991953183,0.571428571429,7
onset,A2,month,2025-01,8,0.747081300279,0.818181818182,11
onset,A2,month,2025-01,9,0.845142482559,0.625,8
onset,A2,month,2025-01,10,0.973741570107,1,8
onset,A3,month,2025-01,1,0.0767650380393,0.111111111111,36
onset,A3,month,2025-01,2,0.145862385449,0.117117117117,111
onset,A3,month,2025-01,3,0.240900899368,0.214285714286,56
onset,A3,month,2025-01,4,0.342921391594,0.393939393939,33
onset,A3,month,2025-01,5,0.456624101317,0.4,10
